alg,cl,Cn,Mu,FL,padj,pval,overlapGenes
fc,9,35,2,True,0.086127706730129,0.0430638533650645,"257194, 4978"
infomap,135,11,2,True,0.0091944564663219,0.0045972282331609,"1182, 9892"
infomap,188,11,2,True,0.0091944564663219,0.0045972282331609,"9093, 2823"
infomap,106,13,2,True,0.0128827846063259,0.0064413923031629,"22864, 57476"
infomap,5,120,4,True,0.0525405182881556,0.0262702591440778,"4137, 2911, 8204, 5595"
infomap,217,5,1,True,0.0932329511500016,0.0466164755750008,11141
infomap,264,5,1,True,0.0932329511500016,0.0466164755750008,488
infomap,267,5,1,True,0.0932329511500016,0.0466164755750008,94030
sgG1,16,4,1,True,0.0749330796192065,0.0374665398096032,488
sgG2,9,206,5,True,0.0883667135534951,0.0441833567767475,"4137, 2911, 5595, 56924, 1630"
sgG5,112,26,2,True,0.049641728787516,0.024820864393758,"257194, 4978"
sgG5,1,29,2,True,0.060910893743698,0.030455446871849,"5789, 11141"
spectral,3,1,1,True,0.0189964897790624,0.0094982448895312,11141
wt,257,1,1,True,0.0189964897790624,0.0094982448895312,257194
wt,470,1,1,True,0.0189964897790624,0.0094982448895312,399909
wt,480,1,1,True,0.0189964897790624,0.0094982448895312,152330
wt,730,1,1,True,0.0189964897790624,0.0094982448895312,9651
wt,735,1,1,True,0.0189964897790624,0.0094982448895312,64478
wt,761,1,1,True,0.0189964897790624,0.0094982448895312,57476
wt,797,1,1,True,0.0189964897790624,0.0094982448895312,94030
wt,126,2,1,True,0.0378164322553463,0.0189082161276731,11141
wt,74,3,1,True,0.0564614320727912,0.0282307160363956,7223
wt,90,3,1,True,0.0564614320727912,0.0282307160363956,2823
wt,109,3,1,True,0.0564614320727912,0.0282307160363956,57502
wt,129,3,1,True,0.0564614320727912,0.0282307160363956,6444
wt,78,5,1,True,0.0932329511500016,0.0466164755750008,488
