alg,clNo,clustsize,no.Trubetskoy Broad,Enrichment,Broad pval,Broad padj,no. Trubetskoy Priortised,Prior pval,Prior padj,Molecular Function,Molecular padj,Biological Function,Biological padj,SynGO,SynGO padj,Diseases,Diseases padj
wt,15.0,33.0,4.0,Positive,0.039260052417322,0.078520104834644,0.0,0.0,0.0,['guanylate kinase activity'],[0.0398053401319987],"['receptor clustering', 'embryo development', 'GDP metabolic process', 'GMP metabolic process']","[0.0135841520261823, 0.0226527824228178, 0.0418931615129478, 0.0469108729414803]","['structural constituent of postsynaptic density (GO:0098919)', 'neurotransmitter receptor localization to postsynaptic specialization membrane (GO:0099645)', 'integral component of postsynaptic membrane (GO:0099055)']","[0.0092891593664325, 0.0092891593664325, 0.0430630151162063]",[],[]
wt,52.0,5.0,2.0,Positive,0.0143020653688125,0.0286041307376249,0.0,0.0,0.0,[],[],['photoreceptor cell development'],[0.0203738374921301],[],[],[],[]
wt,109.0,3.0,0.0,Positive,0.0,0.0,1.0,0.0282307160363956,0.0564614320727912,[],[],['postsynaptic membrane assembly'],[0.0427732697801816],[],[],"['autistic_disorder', 'autism_spectrum_disorder', 'intellectual_disability']","[0.0281582671552313, 0.0281582671552313, 0.0281582671552313]"
wt,90.0,3.0,0.0,Positive,0.0,0.0,1.0,0.0282307160363956,0.0564614320727912,[],[],[],[],[],[],[],[]
wt,74.0,3.0,0.0,Positive,0.0,0.0,1.0,0.0282307160363956,0.0564614320727912,"['inositol 1,4,5 trisphosphate binding', 'store-operated calcium channel activity']","[1.12014295084086e-05, 0.0019361137503879]",[],[],[],[],[],[]
wt,78.0,5.0,0.0,Positive,0.0,0.0,1.0,0.0466164755750008,0.0932329511500016,[],[],[],[],[],[],['hypertension'],[0.0252227578209932]
wt,257.0,1.0,1.0,Positive,0.0394383646500102,0.0788767293000203,1.0,0.0094982448895312,0.0189964897790624,[],[],[],[],[],[],[],[]
wt,470.0,1.0,1.0,Positive,0.0394383646500102,0.0788767293000203,1.0,0.0094982448895312,0.0189964897790624,[],[],[],[],[],[],[],[]
wt,480.0,1.0,1.0,Positive,0.0394383646500102,0.0788767293000203,1.0,0.0094982448895312,0.0189964897790624,[],[],[],[],[],[],[],[]
wt,730.0,1.0,1.0,Positive,0.0394383646500102,0.0788767293000203,1.0,0.0094982448895312,0.0189964897790624,[],[],[],[],[],[],[],[]
wt,735.0,1.0,1.0,Positive,0.0394383646500102,0.0788767293000203,1.0,0.0094982448895312,0.0189964897790624,[],[],[],[],[],[],[],[]
wt,761.0,1.0,1.0,Positive,0.0394383646500102,0.0788767293000203,1.0,0.0094982448895312,0.0189964897790624,[],[],[],[],[],[],[],[]
wt,797.0,1.0,1.0,Positive,0.0394383646500102,0.0788767293000203,1.0,0.0094982448895312,0.0189964897790624,[],[],[],[],[],[],[],[]
wt,126.0,2.0,0.0,Positive,0.0,0.0,1.0,0.0189082161276731,0.0378164322553463,[],[],[],[],[],[],['intellectual_disability'],[0.0291083005121662]
wt,129.0,3.0,0.0,Positive,0.0,0.0,1.0,0.0282307160363956,0.0564614320727912,[],[],[],[],[],[],[],[]
wt,278.0,1.0,1.0,Positive,0.0394383646500102,0.0788767293000203,0.0,0.0,0.0,[],[],[],[],['intracellular cAMP-activated cation channel activity involved in regulation of presynaptic membrane potential (GO:0140232)'],[0.0487301259549788],[],[]
wt,141.0,3.0,2.0,Positive,0.0045218440806381,0.0090436881612762,0.0,0.0,0.0,[],[],[],[],[],[],[],[]
wt,225.0,1.0,1.0,Positive,0.0394383646500102,0.0788767293000203,0.0,0.0,0.0,[],[],[],[],[],[],[],[]
wt,291.0,1.0,1.0,Positive,0.0394383646500102,0.0788767293000203,0.0,0.0,0.0,[],[],[],[],[],[],[],[]
wt,295.0,1.0,1.0,Positive,0.0394383646500102,0.0788767293000203,0.0,0.0,0.0,[],[],[],[],[],[],[],[]
wt,310.0,1.0,1.0,Positive,0.0394383646500102,0.0788767293000203,0.0,0.0,0.0,[],[],[],[],[],[],[],[]
wt,313.0,1.0,1.0,Positive,0.0394383646500102,0.0788767293000203,0.0,0.0,0.0,[],[],[],[],[],[],[],[]
wt,347.0,1.0,1.0,Positive,0.0394383646500102,0.0788767293000203,0.0,0.0,0.0,[],[],[],[],[],[],[],[]
wt,509.0,1.0,1.0,Positive,0.0394383646500102,0.0788767293000203,0.0,0.0,0.0,[],[],[],[],[],[],[],[]
wt,574.0,1.0,1.0,Positive,0.0394383646500102,0.0788767293000203,0.0,0.0,0.0,[],[],[],[],[],[],[],[]
wt,582.0,1.0,1.0,Positive,0.0394383646500102,0.0788767293000203,0.0,0.0,0.0,[],[],[],[],[],[],[],[]
wt,601.0,1.0,1.0,Positive,0.0394383646500102,0.0788767293000203,0.0,0.0,0.0,[],[],[],[],[],[],[],[]
wt,613.0,1.0,1.0,Positive,0.0394383646500102,0.0788767293000203,0.0,0.0,0.0,[],[],[],[],[],[],[],[]
wt,767.0,1.0,1.0,Positive,0.0394383646500102,0.0788767293000203,0.0,0.0,0.0,[],[],[],[],[],[],[],[]
wt,817.0,1.0,1.0,Positive,0.0394383646500102,0.0788767293000203,0.0,0.0,0.0,[],[],[],[],[],[],[],[]
