alg,clNo,clustsize,no.Trubetskoy Broad,Enrichment,Broad pval,Broad padj,no. Trubetskoy Priortised,Prior pval,Prior padj,Molecular Function,Molecular padj,Biological Function,Biological padj,Diseases,Diseases padj
infomap,5,120,9,Positive,0.0462662209990365,0.092532441998073,0,0,0,['protein serine kinase activity', 'protein serine/threonine kinase activity', 'MAP kinase kinase activity', 'protein kinase activity', 'MAP kinase activity', 'ATP binding', 'MAP kinase kinase kinase activity', 'DNA-binding transcription factor binding', 'histone deacetylase binding', 'enzyme binding', 'transcription coactivator binding', 'phosphoserine residue binding', 'protein serine/threonine/tyrosine kinase activity', 'protein tyrosine kinase activity', '14-3-3 protein binding', 'magnesium ion binding', 'scaffold protein binding', 'MAP-kinase scaffold activity', 'protein kinase activator activity', 'protein kinase binding', 'histone acetyltransferase activity', 'nuclear receptor binding', 'RNA polymerase II cis-regulatory region sequence-specific DNA binding', 'tau-protein kinase activity', 'transcription coactivator activity', 'DNA-binding transcription factor activity', 'DNA-binding transcription factor activity, RNA polymerase II-specific', 'protein sequestering activity', 'JUN kinase kinase kinase activity', 'tau protein binding', 'RNA polymerase II-specific DNA-binding transcription factor binding', 'peptide N-acetyltransferase activity', 'histone H2B acetyltransferase activity', 'JUN kinase kinase activity'],[7.715940017312941e-25, 2.68911256927944e-21, 2.14822594861049e-11, 1.22785475609716e-10, 5.00824608082449e-10, 7.33985515528402e-10, 2.63310200035492e-06, 7.10476893745953e-06, 6.50672239129071e-05, 0.000414491715504, 0.0004498772482278, 0.0010886541432186, 0.0011495535934882, 0.0011818300140043, 0.0015869775399632, 0.0021224787198643, 0.0027476695215875, 0.0032584700015454, 0.0040053739890224, 0.0048038859642655, 0.0048038859642655, 0.0048038859642655, 0.0064067014904632, 0.0079519253985209, 0.0151001029707245, 0.0151001029707245, 0.0244496467534845, 0.0244496467534845, 0.0244496467534845, 0.0247741472187217, 0.042018402511377, 0.0451884335418382, 0.0451884335418382, 0.0451884335418382],['MAPK cascade', 'protein phosphorylation', 'stress-activated MAPK cascade', 'p38MAPK cascade', 'face development', 'insulin-like growth factor receptor signaling pathway', 'thyroid gland development', 'positive regulation of JUN kinase activity', 'positive regulation of transcription by RNA polymerase II', 'cellular senescence', 'cellular response to tumor necrosis factor', 'intracellular signal transduction', 'peptidyl-threonine phosphorylation', 'peptidyl-serine phosphorylation', 'anoikis', 'JNK cascade', 'phosphorylation', 'signal transduction', 'cellular response to cadmium ion', 'regulation of Golgi inheritance', 'negative regulation of TORC1 signaling', 'negative regulation of transcription by RNA polymerase II', 'cellular response to lipopolysaccharide', 'heart development', 'cellular response to reactive oxygen species', 'trachea formation', 'thymus development', 'phosphatidylinositol 3-kinase/protein kinase B signal transduction', 'ERK1 and ERK2 cascade', 'Fc-epsilon receptor signaling pathway', 'non-canonical NF-kappaB signal transduction', 'positive regulation of telomere capping', 'regulation of stress-activated MAPK cascade', 'regulation of early endosome to late endosome transport', 'T cell receptor signaling pathway', 'cellular response to interleukin-1', 'endothelial cell apoptotic process', 'positive regulation of cyclase activity', 'cellular response to UV-B', 'cellular response to nicotine', 'cellular response to sorbitol', 'cellular response to vascular endothelial growth factor stimulus', 'inflammatory response', 'interleukin-1-mediated signaling pathway', 'positive regulation of MAPK cascade', 'positive regulation of JNK cascade', 'positive regulation of gene expression', 'response to muscle stretch', 'apoptotic process', 'regulation of ossification', 'positive regulation of DNA-binding transcription factor activity', 'stimulatory C-type lectin receptor signaling pathway', 'cellular response to amino acid starvation', 'positive regulation of DNA-templated transcription', 'neuron differentiation', 'lipopolysaccharide-mediated signaling pathway', 'insulin receptor signaling pathway', 'regulation of cell cycle', 'protein autophosphorylation', 'positive regulation of protein phosphorylation', 'stress-activated protein kinase signaling cascade', 'peptidyl-serine autophosphorylation', 'dopamine biosynthetic process', 'positive regulation of peptidyl-serine phosphorylation', 'cellular response to insulin stimulus', 'negative regulation of apoptotic process', 'type B pancreatic cell proliferation', 'I-kappaB phosphorylation', 'response to osmotic stress', 'negative regulation of cell population proliferation', 'learning or memory', 'positive regulation of telomerase activity'],[7.715940017312941e-25, 2.68911256927944e-21, 2.14822594861049e-11, 1.22785475609716e-10, 5.00824608082449e-10, 7.33985515528402e-10, 2.63310200035492e-06, 7.10476893745953e-06, 6.50672239129071e-05, 0.000414491715504, 0.0004498772482278, 0.0010886541432186, 0.0011495535934882, 0.0011818300140043, 0.0015869775399632, 0.0021224787198643, 0.0027476695215875, 0.0032584700015454, 0.0040053739890224, 0.0048038859642655, 0.0048038859642655, 0.0048038859642655, 0.0064067014904632, 0.0079519253985209, 0.0151001029707245, 0.0151001029707245, 0.0244496467534845, 0.0244496467534845, 0.0244496467534845, 0.0247741472187217, 0.042018402511377, 0.0451884335418382, 0.0451884335418382, 0.0451884335418382],["Alzheimer's_disease", 'hypertension', "Huntington's_disease", 'schizophrenia'],[4.19270528345067e-06, 0.0006559105418292, 0.0008043236596856, 0.0076325664186489]
infomap,19,83,9,Positive,0.0050301996997794,0.0100603993995588,0,0,0,['glutamate-gated calcium ion channel activity', 'delayed rectifier potassium channel activity', 'NMDA glutamate receptor activity', 'outward rectifier potassium channel activity', 'PDZ domain binding', 'glutamate binding'],[2.14840391437128e-06, 2.14840391437128e-06, 2.25261207926645e-05, 0.0030630909067324, 0.0341393027966016, 0.0393420727087402],['positive regulation of excitatory postsynaptic potential', 'positive regulation of synaptic transmission, glutamatergic', 'embryo development', 'calcium ion transmembrane import into cytosol', 'chemical synaptic transmission', 'regulation of monoatomic cation transmembrane transport', 'receptor clustering', 'excitatory chemical synaptic transmission', 'regulation of monoatomic ion transmembrane transport', 'receptor localization to synapse', 'potassium ion transport', 'establishment or maintenance of epithelial cell apical/basal polarity', 'protein localization to synapse', 'potassium ion transmembrane transport', 'monoatomic cation transmembrane transport', 'regulation of neuronal synaptic plasticity', 'regulation of presynaptic membrane potential', 'AMPA glutamate receptor clustering', 'cell-cell adhesion', 'ionotropic glutamate receptor signaling pathway', 'brain development', 'calcium-mediated signaling', 'positive regulation of dendritic spine development', 'visual learning', 'excitatory postsynaptic potential', 'regulation of synaptic plasticity', 'cellular response to potassium ion', 'protein homooligomerization', 'regulation of long-term neuronal synaptic plasticity', 'glutamate receptor signaling pathway', 'dendritic spine morphogenesis', 'neurotransmitter receptor localization to postsynaptic specialization membrane'],[2.14840391437128e-06, 2.14840391437128e-06, 2.25261207926645e-05, 0.0030630909067324, 0.0341393027966016, 0.0393420727087402],['schizophrenia', 'intellectual_disability', 'autistic_disorder', 'autism_spectrum_disorder', 'epilepsy_syndrome', 'bipolar_disorder'],[0.0006402485467853, 0.0040405038622603, 0.0080294984599882, 0.0080294984599882, 0.0080294984599882, 0.0085980375219102]
infomap,14,11,3,Positive,0.0078817002808882,0.0157634005617766,0,0,0,['inositol 1,4,5 trisphosphate binding', 'inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity', 'store-operated calcium channel activity'],[4.55594249072025e-06, 0.0177305960834735, 0.0236114940689584],['activation of protein kinase C activity', 'CD40 signaling pathway', 'RIG-I signaling pathway'],[4.55594249072025e-06, 0.0177305960834735, 0.0236114940689584],[],[]
infomap,33,82,7,Positive,0.0418281329182647,0.0836562658365294,0,0,0,[],[],['positive regulation of ubiquitin-dependent protein catabolic process'],[],[],[]
infomap,167,7,2,Positive,0.0285083607239568,0.0570167214479137,0,0,0,[],[],['photoreceptor cell development'],[],[],[]
infomap,222,8,3,Positive,0.0029201431225877,0.0058402862451755,0,0,0,['cuprous ion binding'],[7.45605177372769e-05],[],[7.45605177372769e-05],[],[]
infomap,126,6,2,Positive,0.0209000960788573,0.0418001921577146,0,0,0,[],[],[],[],[],[]
infomap,176,14,3,Positive,0.0159361963417089,0.0318723926834178,0,0,0,['armadillo repeat domain binding', 'protein phosphatase 2A binding'],[9.84138800684519e-05, 9.84138800684519e-05],[],[9.84138800684519e-05, 9.84138800684519e-05],[],[]
infomap,188,11,3,Positive,0.0078817002808882,0.0157634005617766,0,0,0,[],[],[],[],[],[]
infomap,93,7,2,Positive,0.0285083607239568,0.0570167214479137,0,0,0,[],[],[],[],[],[]
