,Cluster1,Cluster2,Jaccard
0,"('sgG2', 5)","('spectral', 13)",0.4117647058823529
1,"('sgG2', 5)","('spectral', 76)",0.0
2,"('sgG2', 5)","('spectral', 3)",0.0
3,"('sgG2', 5)","('sgG1', 30)",0.0
4,"('sgG2', 5)","('sgG5', 116)",0.0
5,"('sgG2', 5)","('sgG5', 112)",0.0
6,"('sgG2', 5)","('infomap', 5)",0.0
7,"('sgG2', 5)","('infomap', 19)",0.0
8,"('sgG2', 5)","('infomap', 14)",0.8461538461538461
9,"('sgG2', 5)","('infomap', 33)",0.0
10,"('sgG2', 5)","('infomap', 167)",0.0
11,"('sgG2', 5)","('infomap', 222)",0.0
12,"('sgG2', 5)","('infomap', 126)",0.0
13,"('sgG2', 5)","('infomap', 176)",0.0
14,"('sgG2', 5)","('infomap', 188)",0.0
15,"('sgG2', 5)","('infomap', 93)",0.0
16,"('spectral', 13)","('spectral', 76)",0.0
17,"('spectral', 13)","('spectral', 3)",0.0
18,"('spectral', 13)","('sgG1', 30)",0.0
19,"('spectral', 13)","('sgG5', 116)",0.0
20,"('spectral', 13)","('sgG5', 112)",0.0
21,"('spectral', 13)","('infomap', 5)",0.0
22,"('spectral', 13)","('infomap', 19)",0.0
23,"('spectral', 13)","('infomap', 14)",0.375
24,"('spectral', 13)","('infomap', 33)",0.0
25,"('spectral', 13)","('infomap', 167)",0.0
26,"('spectral', 13)","('infomap', 222)",0.0
27,"('spectral', 13)","('infomap', 126)",0.0
28,"('spectral', 13)","('infomap', 176)",0.0
29,"('spectral', 13)","('infomap', 188)",0.0
30,"('spectral', 13)","('infomap', 93)",0.0
31,"('spectral', 76)","('spectral', 3)",0.0
32,"('spectral', 76)","('sgG1', 30)",0.006134969325153374
33,"('spectral', 76)","('sgG5', 116)",0.0
34,"('spectral', 76)","('sgG5', 112)",0.0
35,"('spectral', 76)","('infomap', 5)",0.0
36,"('spectral', 76)","('infomap', 19)",0.0
37,"('spectral', 76)","('infomap', 14)",0.0
38,"('spectral', 76)","('infomap', 33)",0.0
39,"('spectral', 76)","('infomap', 167)",0.0
40,"('spectral', 76)","('infomap', 222)",0.0
41,"('spectral', 76)","('infomap', 126)",0.0
42,"('spectral', 76)","('infomap', 176)",0.2972972972972973
43,"('spectral', 76)","('infomap', 188)",0.0
44,"('spectral', 76)","('infomap', 93)",0.0
45,"('spectral', 3)","('sgG1', 30)",0.0
46,"('spectral', 3)","('sgG5', 116)",0.0
47,"('spectral', 3)","('sgG5', 112)",0.0
48,"('spectral', 3)","('infomap', 5)",0.0
49,"('spectral', 3)","('infomap', 19)",0.0
50,"('spectral', 3)","('infomap', 14)",0.0
51,"('spectral', 3)","('infomap', 33)",0.0
52,"('spectral', 3)","('infomap', 167)",0.0
53,"('spectral', 3)","('infomap', 222)",0.0
54,"('spectral', 3)","('infomap', 126)",0.0
55,"('spectral', 3)","('infomap', 176)",0.0
56,"('spectral', 3)","('infomap', 188)",0.0
57,"('spectral', 3)","('infomap', 93)",0.0
58,"('sgG1', 30)","('sgG5', 116)",0.0
59,"('sgG1', 30)","('sgG5', 112)",0.012987012987012988
60,"('sgG1', 30)","('infomap', 5)",0.0
61,"('sgG1', 30)","('infomap', 19)",0.0
62,"('sgG1', 30)","('infomap', 14)",0.0
63,"('sgG1', 30)","('infomap', 33)",0.0
64,"('sgG1', 30)","('infomap', 167)",0.0
65,"('sgG1', 30)","('infomap', 222)",0.0
66,"('sgG1', 30)","('infomap', 126)",0.0
67,"('sgG1', 30)","('infomap', 176)",0.0
68,"('sgG1', 30)","('infomap', 188)",0.0
69,"('sgG1', 30)","('infomap', 93)",0.0
70,"('sgG5', 116)","('sgG5', 112)",0.0
71,"('sgG5', 116)","('infomap', 5)",0.1417910447761194
72,"('sgG5', 116)","('infomap', 19)",0.0
73,"('sgG5', 116)","('infomap', 14)",0.0
74,"('sgG5', 116)","('infomap', 33)",0.008771929824561403
75,"('sgG5', 116)","('infomap', 167)",0.0
76,"('sgG5', 116)","('infomap', 222)",0.0
77,"('sgG5', 116)","('infomap', 126)",0.0
78,"('sgG5', 116)","('infomap', 176)",0.0
79,"('sgG5', 116)","('infomap', 188)",0.0
80,"('sgG5', 116)","('infomap', 93)",0.0
81,"('sgG5', 112)","('infomap', 5)",0.0
82,"('sgG5', 112)","('infomap', 19)",0.0
83,"('sgG5', 112)","('infomap', 14)",0.0
84,"('sgG5', 112)","('infomap', 33)",0.009345794392523364
85,"('sgG5', 112)","('infomap', 167)",0.0
86,"('sgG5', 112)","('infomap', 222)",0.0
87,"('sgG5', 112)","('infomap', 126)",0.0
88,"('sgG5', 112)","('infomap', 176)",0.0
89,"('sgG5', 112)","('infomap', 188)",0.0
90,"('sgG5', 112)","('infomap', 93)",0.0
91,"('infomap', 5)","('infomap', 19)",0.0
92,"('infomap', 5)","('infomap', 14)",0.0
93,"('infomap', 5)","('infomap', 33)",0.0
94,"('infomap', 5)","('infomap', 167)",0.0
95,"('infomap', 5)","('infomap', 222)",0.0
96,"('infomap', 5)","('infomap', 126)",0.0
97,"('infomap', 5)","('infomap', 176)",0.0
98,"('infomap', 5)","('infomap', 188)",0.0
99,"('infomap', 5)","('infomap', 93)",0.0
100,"('infomap', 19)","('infomap', 14)",0.0
101,"('infomap', 19)","('infomap', 33)",0.0
102,"('infomap', 19)","('infomap', 167)",0.0
103,"('infomap', 19)","('infomap', 222)",0.0
104,"('infomap', 19)","('infomap', 126)",0.0
105,"('infomap', 19)","('infomap', 176)",0.0
106,"('infomap', 19)","('infomap', 188)",0.0
107,"('infomap', 19)","('infomap', 93)",0.0
108,"('infomap', 14)","('infomap', 33)",0.0
109,"('infomap', 14)","('infomap', 167)",0.0
110,"('infomap', 14)","('infomap', 222)",0.0
111,"('infomap', 14)","('infomap', 126)",0.0
112,"('infomap', 14)","('infomap', 176)",0.0
113,"('infomap', 14)","('infomap', 188)",0.0
114,"('infomap', 14)","('infomap', 93)",0.0
115,"('infomap', 33)","('infomap', 167)",0.0
116,"('infomap', 33)","('infomap', 222)",0.0
117,"('infomap', 33)","('infomap', 126)",0.0
118,"('infomap', 33)","('infomap', 176)",0.0
119,"('infomap', 33)","('infomap', 188)",0.0
120,"('infomap', 33)","('infomap', 93)",0.0
121,"('infomap', 167)","('infomap', 222)",0.0
122,"('infomap', 167)","('infomap', 126)",0.0
123,"('infomap', 167)","('infomap', 176)",0.0
124,"('infomap', 167)","('infomap', 188)",0.0
125,"('infomap', 167)","('infomap', 93)",0.0
126,"('infomap', 222)","('infomap', 126)",0.0
127,"('infomap', 222)","('infomap', 176)",0.0
128,"('infomap', 222)","('infomap', 188)",0.0
129,"('infomap', 222)","('infomap', 93)",0.0
130,"('infomap', 126)","('infomap', 176)",0.0
131,"('infomap', 126)","('infomap', 188)",0.0
132,"('infomap', 126)","('infomap', 93)",0.0
133,"('infomap', 176)","('infomap', 188)",0.0
134,"('infomap', 176)","('infomap', 93)",0.0
135,"('infomap', 188)","('infomap', 93)",0.0
