alg,clNo,clustsize,no.Trubetskoy Broad,no. Trubetskoy Priortised,Molecular Function,Biological Function,Diseases,False Trub Enrichment
sgG5,80,93,0,0,"['structural constituent of skin epidermis', 'structural constituent of cytoskeleton', 'structural molecule activity']","['intermediate_filament_organization', 'keratinization', 'epithelial_cell_differentiation', 'epidermis_development', 'hair_cycle', 'hair_follicle_morphogenesis', 'cell_differentiation_involved_in_embryon...', 'biological_process', 'establishment_of_cell_polarity_involved_...', 'keratinocyte_migration']",[],False
sgG5,17,218,0,0,"['NADH dehydrogenase (ubiquinone) activity', 'proton-transporting ATP synthase activity, rotational mechanism', 'electron transfer activity', 'NADH dehydrogenase activity', 'structural constituent of ribosome', 'tRNA binding', 'pyruvate dehydrogenase (NAD+) activity', '4 iron, 4 sulfur cluster binding', '2 iron, 2 sulfur cluster binding', 'NAD+ binding', 'acetyl-CoA C-acetyltransferase activity', 'acyl-CoA dehydrogenase activity', 'cytochrome-c oxidase activity', 'obsolete myristoyl-CoA hydrolase activity', 'pyruvate dehydrogenase (acetyl-transferring) kinase activity', 'obsolete palmitoyl-CoA hydrolase activity', 'metalloendopeptidase activity', '3-hydroxyacyl-CoA dehydrogenase activity', 'flavin adenine dinucleotide binding', 'ATP-dependent peptidase activity', 'testosterone dehydrogenase (NAD+) activity', 'pyruvate dehydrogenase (acetyl-transferring) activity', 'succinate dehydrogenase (quinone) activity', 'obsolete fumarate reductase (menaquinone)', '3-sulfino-L-alanine: proton, glutamate antiporter activity', 'aspartate:glutamate, proton antiporter activity', 'acidic amino acid transmembrane transporter activity', 'succinate-CoA ligase (GDP-forming) activity', 'aminoacyl-tRNA editing activity', 'rRNA binding', 'pyrroline-5-carboxylate reductase activity', 'mitochondrial ribosome binding', 'medium-chain fatty acyl-CoA dehydrogenase activity', 'NAD-dependent protein deacetylase activity', 'delta(3)-delta(2)-enoyl-CoA isomerase activity', 'oxoglutarate dehydrogenase (succinyl-transferring) activity', 'cobalamin binding', 'nucleoside triphosphate adenylate kinase activity', 'quinone binding', '3 iron, 4 sulfur cluster binding', 'mitochondrion targeting sequence binding', 'protein transmembrane transporter activity', 'fatty acyl-CoA hydrolase activity', 'fatty-acyl-CoA binding', 'pyridoxal phosphate binding', 'acetyl-CoA C-acyltransferase activity', 'angiostatin binding', 'long-chain fatty acyl-CoA dehydrogenase activity', 'RNA binding', 'MHC class I protein binding', ""5'-nucleotidase activity"", 'enoyl-CoA hydratase activity', 'ubiquinol-cytochrome-c reductase activity', 'L-aspartate transmembrane transporter activity', 'estradiol 17-beta-dehydrogenase [NAD(P)] activity', 'acyltransferase activity', 'serine-type endopeptidase activity', 'cholate 7-alpha-dehydrogenase activity', '3-hydroxy-2-methylbutyryl-CoA dehydrogenase activity', 'chenodeoxycholate 7-alpha-dehydrogenase (NAD+) activity', 'isoursodeoxycholate 7-beta-dehydrogenase (NAD+) activity', 'ursodeoxycholate 7-beta-dehydrogenase (NAD+) activity', 'porphobilinogen synthase activity', 'proteasome core complex binding', 'delta(3,5)-delta(2,4)-dienoyl-CoA isomerase activity', 'dihydrolipoyllysine-residue succinyltransferase activity', 'ATP adenylyltransferase activity', 'lysine-tRNA ligase activity', 'malate dehydrogenase (NADP+) activity', 'dUTP diphosphatase activity', 'pyrimidine deoxyribonucleotide binding', 'ornithine aminotransferase activity', 'obsolete ornithine(lysine) transaminase activity', 'NAD(P)H oxidase H2O2-forming activity', '3-hydroxyisobutyryl-CoA hydrolase activity', 'dihydrolipoyllysine-residue acetyltransferase activity', 'glutamate dehydrogenase (NAD+) activity', 'glutamate dehydrogenase [NAD(P)+] activity', 'glutamate dehydrogenase (NADP+) activity', 'aspartate-tRNA(Asn) ligase activity', '1-pyrroline-5-carboxylate dehydrogenase activity', 'calcium:proton antiporter activity', 'mitochondrial transcription factor activity', 'mannokinase activity', 'glucosamine kinase activity', 'tyrosine binding', 'glycine-gated chloride ion channel activity', 'glycine hydroxymethyltransferase activity', 'citrate (Si)-synthase activity', 'protein-malonyllysine demalonylase activity', 'protein-succinyllysine desuccinylase activity', 'protein-glutaryllysine deglutarylase activity', 'oxoglutarate dehydrogenase (NAD+) activity', 'methylmalonyl-CoA mutase activity', 'modified amino acid binding', 'C-acetyltransferase activity', 'cholesterol O-acyltransferase activity', 'coenzyme A binding', '2-methylbutanoyl-CoA dehydrogenase activity', 'short-chain fatty acyl-CoA dehydrogenase activity', '2-methylpropanoyl-CoA dehydrogenase activity', 'copper chaperone activity', 'intramolecular oxidoreductase activity, transposing C=C bonds', 'corrinoid adenosyltransferase activity', 'transferase activity, transferring alkyl or aryl (other than methyl) groups', 'malate dehydrogenase (decarboxylating) (NAD+) activity', 'malate dehydrogenase (decarboxylating) (NADP+) activity', 'oxaloacetate decarboxylase activity', 'protein-transporting ATPase activity', 'phosphoenolpyruvate carboxykinase activity', 'phosphoenolpyruvate carboxykinase (GTP) activity', 'cysteine desulfurase activity', '[pyruvate dehydrogenase (lipoamide)] phosphatase regulator activity', 'glutamate 5-kinase activity', 'glutamate-5-semialdehyde dehydrogenase activity', 'mycophenolic acid acyl-glucuronide esterase activity', 'trimethyllysine dioxygenase activity', 'obsolete 2-octaprenyl-6-methoxy-1,4-benzoquinone methylase activity', 'obsolete 2-decaprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity']","['mitochondrial_ATP_synthesis_coupled_prot...', 'mitochondrial_translation', 'aerobic_respiration', 'mitochondrial_electron_transport,_NADH_t...', 'mitochondrial_respiratory_chain_complex_...', 'proton_transmembrane_transport', 'tricarboxylic_acid_cycle', 'cellular_respiration', 'ATP_synthesis_coupled_proton_transport', 'inner_mitochondrial_membrane_organizatio...', 'cristae_formation', 'fatty_acid_beta-oxidation', 'mitochondrion_organization', 'protein_import_into_mitochondrial_outer_...', 'mitochondrial_respiratory_chain_complex_...', 'ATP_biosynthetic_process', 'respiratory_electron_transport_chain', 'mitochondrial_electron_transport,_cytoch...', 'mitochondrial_fusion', 'L-proline_biosynthetic_process', 'generation_of_precursor_metabolites_and_...', 'glucose_metabolic_process', 'acetyl-CoA_biosynthetic_process_from_pyr...', 'isoleucine_catabolic_process', 'regulation_of_acetyl-CoA_biosynthetic_pr...', 'proline_biosynthetic_process', 'protein_import_into_mitochondrial_interm...', 'protein_targeting_to_mitochondrion', 'succinyl-CoA_metabolic_process', 'iron-sulfur_cluster_assembly', 'fatty_acid_beta-oxidation_using_acyl-CoA...', 'reactive_oxygen_species_metabolic_proces...', 'protein_import_into_mitochondrial_inner_...', 'protein_import_into_mitochondrial_matrix', '[2Fe-2S]_cluster_assembly', 'oxidative_phosphorylation', 'mitochondrial_ATP_synthesis_coupled_elec...', 'hypoxia-inducible_factor-1alpha_signalin...', 'tRNA_aminoacylation', 'positive_regulation_of_mitochondrial_DNA...', 'mitochondrial_proton-transporting_ATP_sy...', 'aspartate_family_amino_acid_metabolic_pr...', 'mitochondrial_calcium_ion_homeostasis', 'regulation_of_glucose_metabolic_process', 'regulation_of_oxidative_phosphorylation', '2-oxoglutarate_metabolic_process', 'cellular_amino_acid_catabolic_process', 'carnitine_biosynthetic_process', 'medium-chain_fatty_acid_metabolic_proces...', 'regulation_of_peroxisome_organization', 'glutamate_biosynthetic_process', 'positive_regulation_of_mitochondrial_RNA...', 'tetrahydrofolate_interconversion', 'succinate_metabolic_process', 'mitochondrial_electron_transport,_succin...', 'modified_amino_acid_transport', 'malate-aspartate_shuttle', 'response_to_cold', 'GTP_metabolic_process', 'mitochondrial_electron_transport,_ubiqui...']",[],False
sgG5,119,59,0,0,"['structural constituent of ribosome', 'RNA binding', 'CTP synthase activity', '5S rRNA binding', ""mRNA 5'-UTR binding"", 'rRNA binding', 'snoRNA binding', 'signal recognition particle binding', '7S RNA binding', 'ubiquitin ligase inhibitor activity']","['cytoplasmic_translation', 'translation', 'rRNA_processing', 'ribosomal_small_subunit_biogenesis', 'ribosomal_large_subunit_biogenesis', 'ribosomal_small_subunit_assembly', 'ribosomal_large_subunit_assembly', ""'de_novo'_CTP_biosynthetic_process"", 'nucleolus_organization', 'pyrimidine_nucleobase_biosynthetic_proce...', 'negative_regulation_of_protein_neddylati...', 'maturation_of_SSU-rRNA', 'maturation_of_SSU-rRNA_from_tricistronic...', 'epithelial_cilium_movement', 'CTP_biosynthetic_process', 'negative_regulation_of_ubiquitin_protein...', 'maturation_of_LSU-rRNA_from_tricistronic...']",[],False
sgG5,108,23,0,0,"['protein domain specific binding', 'MIT domain binding', 'protein-containing complex binding']","['multivesicular_body_assembly', 'nuclear_envelope_reassembly', 'membrane_fission', 'multivesicular_body_sorting_pathway', 'midbody_abscission', 'ESCRT_III_complex_disassembly', 'viral_budding_via_host_ESCRT_complex', 'nucleus_organization', 'ubiquitin-dependent_protein_catabolic_pr...', 'plasma_membrane_repair', 'multivesicular_body-lysosome_fusion', 'mitotic_metaphase_plate_congression', 'autophagosome_maturation', 'regulation_of_mitotic_spindle_assembly', 'late_endosome_to_lysosome_transport', 'macroautophagy', 'regulation_of_centrosome_duplication', 'late_endosome_to_vacuole_transport', 'autophagy', 'endosome_transport_via_multivesicular_bo...', 'protein_transport', 'late_endosome_to_vacuole_transport_via_m...', 'viral_release_from_host_cell', 'vesicle_budding_from_membrane', 'exit_from_mitosis', 'ubiquitin-independent_protein_catabolic_...', 'positive_regulation_of_exosomal_secretio...', 'protein_polymerization', 'cytoskeleton-dependent_cytokinesis', 'establishment_of_protein_localization', 'late_endosomal_microautophagy', 'abscission', 'mitotic_nuclear_envelope_reassembly', 'negative_regulation_of_epidermal_growth_...', 'vacuole_organization', 'protein_transport_to_vacuole_involved_in...', 'mitotic_cytokinesis', 'protein_homooligomerization', 'cell_division', 'positive_regulation_of_cytokinesis', 'hippocampal_neuron_apoptotic_process', 'negative_regulation_of_hippocampal_neuro...', 'threonine_metabolic_process', 'actomyosin_contractile_ring_contraction', 'negative_regulation_of_cytokinesis', 'mitotic_cytokinesis_checkpoint', 'vesicle_uncoating', 'ESCRT_complex_disassembly', 'ESCRT_III_complex_assembly', 'viral_capsid_secondary_envelopment', 'protein_depolymerization']",[],False
sgG5,72,87,0,0,"['ubiquitin protein ligase activity', 'ubiquitin-protein transferase activity', 'cysteine-type deubiquitinase activity', 'ubiquitin protein ligase binding', 'ubiquitin conjugating enzyme activity', 'ubiquitin binding', 'cysteine-type endopeptidase activity', 'zinc ion binding', 'protein tag activity', 'K48-linked deubiquitinase activity', 'cysteine-type peptidase activity', 'deNEDDylase activity', 'deubiquitinase activity', 'ubiquitin-protein transferase activator activity', 'transcription coactivator activity', 'proteasome binding', 'ligase activity', 'polyubiquitin modification-dependent protein binding', 'ubiquitin activating enzyme activity', 'translation repressor activity', 'ubiquitin-ubiquitin ligase activity', 'K63-linked deubiquitinase activity']","['protein_ubiquitination', 'protein_polyubiquitination', 'ubiquitin-dependent_protein_catabolic_pr...', 'protein_deubiquitination', 'protein_K48-linked_ubiquitination', 'protein_autoubiquitination', 'protein_K48-linked_deubiquitination', 'proteasome-mediated_ubiquitin-dependent_...', 'protein_monoubiquitination', 'modification-dependent_protein_catabolic...', 'protein_K63-linked_ubiquitination', 'positive_regulation_of_NF-kappaB_transcr...', 'postreplication_repair', 'monoubiquitinated_protein_deubiquitinati...', 'protein_deubiquitination_involved_in_ubi...', 'regulation_of_viral_entry_into_host_cell', 'negative_regulation_by_host_of_viral_rel...', 'positive_regulation_of_I-kappaB_kinase/N...', 'protein_modification_process', 'positive_regulation_of_protein_ubiquitin...', 'regulation_of_DNA_repair', 'positive_regulation_of_protein_targeting...', 'regulation_of_proteasomal_ubiquitin-depe...', 'free_ubiquitin_chain_polymerization', 'intrinsic_apoptotic_signaling_pathway_in...', 'protein_catabolic_process', 'negative_regulation_of_NF-kappaB_transcr...', 'negative_regulation_of_TORC1_signaling', 'regulation_of_protein_localization', 'negative_regulation_of_BMP_signaling_pat...', 'negative_regulation_of_viral_transcripti...', 'regulation_of_ubiquitin-dependent_protei...', 'regulation_of_proteasomal_protein_catabo...', 'regulation_of_mitochondrial_membrane_pot...', 'protein_K63-linked_deubiquitination', 'positive_regulation_of_DNA-binding_trans...', 'positive_regulation_of_intrinsic_apoptot...', 'protein_K11-linked_deubiquitination', 'innate_immune_response', 'positive_regulation_of_protein_catabolic...', 'positive_regulation_of_tumor_necrosis_fa...', 'protein_K11-linked_ubiquitination', 'positive_regulation_of_autophagy', 'DNA_double-strand_break_processing', 'positive_regulation_of_intracellular_sig...', 'negative_regulation_of_mitochondrial_fus...', 'tissue_homeostasis', 'progesterone_receptor_signaling_pathway', 'lipid_droplet_organization', 'response_to_interferon-gamma']","[""Huntington's_disease""]",False
sgG5,59,29,0,0,"['threonine-type endopeptidase activity', 'endopeptidase activity', 'lipopolysaccharide binding']","['proteasomal_protein_catabolic_process', 'proteasome-mediated_ubiquitin-dependent_...']",[],False
sgG5,92,100,0,0,"['structural constituent of chromatin', 'DNA binding', 'nucleosomal DNA binding', 'protein heterodimerization activity', 'chromatin DNA binding', 'double-stranded DNA binding', 'histone deacetylase binding', 'minus-end-directed microtubule motor activity', 'dynein intermediate chain binding', 'histone H4K12 acetyltransferase activity', 'dynein light intermediate chain binding', 'histone binding', 'protein lysine deacetylase activity', 'nuclear retinoid X receptor binding', 'microtubule motor activity', 'histone deacetylase activity', 'minor groove of adenine-thymine-rich DNA binding']","['nucleosome_assembly', 'negative_regulation_of_DNA_recombination', 'chromosome_condensation', 'negative_regulation_of_megakaryocyte_dif...', 'telomere_organization', 'chromatin_organization', 'cilium_movement_involved_in_cell_motilit...', 'retinal_pigment_epithelium_development', 'chromosome_organization', 'negative_regulation_of_transcription_by_...']",[],False
sgG5,84,46,0,0,"['molecular adaptor activity', 'GTPase activity', 'GTP binding', 'aromatic amino acid transmembrane transporter activity', 'L-leucine transmembrane transporter activity', 'L-amino acid transmembrane transporter activity', 'neutral L-amino acid transmembrane transporter activity']","['cytoskeleton-dependent_cytokinesis', 'chemorepulsion_involved_in_postnatal_olf...', 'negative_regulation_of_chemokine-mediate...', 'regulation_of_exocytosis', 'tryptophan_transport', 'leucine_import_across_plasma_membrane', 'L-leucine_import_across_plasma_membrane', 'Roundabout_signaling_pathway', 'leucine_transport', 'proline_transport', 'pulmonary_valve_morphogenesis', 'axon_extension_involved_in_axon_guidance', 'positive_regulation_of_non-motile_cilium...', 'negative_regulation_of_cytokine_producti...', 'thyroid_hormone_transport', 'aortic_valve_morphogenesis', 'amino_acid_transmembrane_transport', 'motor_neuron_axon_guidance', 'ventricular_septum_morphogenesis']",[],False
sgG5,52,97,0,0,"['RNA binding', 'mRNA binding', ""mRNA 3'-UTR binding"", 'pre-mRNA binding', 'miRNA binding', 'single-stranded RNA binding', ""mRNA 3'-UTR AU-rich region binding"", 'poly(U) RNA binding', 'single-stranded DNA binding', 'DNA binding', 'C-rich single-stranded DNA binding', 'protein-arginine omega-N monomethyltransferase activity', 'S-adenosyl-L-methionine binding', 'BRE binding', 'sequence-specific mRNA binding', 'telomerase RNA binding', 'poly(A) binding', 'protein-arginine omega-N asymmetric methyltransferase activity', 'G-rich strand telomeric DNA binding', 'poly(G) binding', 'transcription coregulator activity', 'double-stranded DNA binding', 'ribonucleoprotein complex binding', 'primary miRNA binding', 'pre-mRNA intronic binding', 'molecular condensate scaffold activity', 'double-stranded RNA binding', 'promoter-specific chromatin binding', 'lncRNA binding', 'N6-methyladenosine-containing RNA reader activity', 'mRNA regulatory element binding translation repressor activity', 'sequence-specific double-stranded DNA binding', 'RNA helicase activity', 'RNA polymerase II complex binding', 'N-methyltransferase activity', 'alkyl hydroperoxide reductase activity', 'sequence-specific single stranded DNA binding', 'regulatory region RNA binding', ""3'-5' DNA/RNA helicase activity"", 'triplex DNA binding', 'polysome binding', 'poly-pyrimidine tract binding', 'MH2 domain binding', 'galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase activity', 'TFIIH-class transcription factor complex binding', 'snRNA binding', 'poly(C) RNA binding', 'histone pre-mRNA DCP binding', '11-cis retinal binding', 'all-trans retinal binding', 'retinol transmembrane transporter activity', 'flippase activity', 'N-retinylidene-phosphatidylethanolamine flippase activity']","['regulation_of_alternative_mRNA_splicing,...', 'mRNA_splicing,_via_spliceosome', 'RNA_processing', 'RNA_splicing', 'regulation_of_RNA_splicing', 'mRNA_processing', 'mRNA_stabilization', 'negative_regulation_of_mRNA_splicing,_vi...', 'CRD-mediated_mRNA_stabilization', 'positive_regulation_of_cytoplasmic_trans...', 'alternative_mRNA_splicing,_via_spliceoso...', 'mRNA_splice_site_selection', 'posttranscriptional_gene_silencing', 'regulation_of_gene_expression', 'regulation_of_RNA_metabolic_process', 'negative_regulation_of_telomere_maintena...', 'intracellular_estrogen_receptor_signalin...', 'mRNA_transport', 'negative_regulation_of_translation', ""3'-UTR-mediated_mRNA_stabilization"", 'primary_miRNA_processing', 'regulation_of_mRNA_splicing,_via_spliceo...', 'viral_RNA_genome_replication', 'positive_regulation_of_telomerase_RNA_re...', 'positive_regulation_of_DNA_topoisomerase...', 'miRNA_transport', 'protein_methylation', 'mRNA_destabilization', 'peptidyl-arginine_methylation', 'negative_regulation_of_kinase_activity', 'positive_regulation_of_RNA_export_from_n...', 'regulation_of_skeletal_muscle_cell_diffe...', 'positive_regulation_of_mRNA_splicing,_vi...', 'protein_homooligomerization', 'regulation_of_megakaryocyte_differentiat...', 'negative_regulation_of_RNA_splicing', 'osteoblast_differentiation', 'regulation_of_transcription_by_RNA_polym...', 'mRNA_metabolic_process', 'dosage_compensation_by_inactivation_of_X...', 'regulation_of_mRNA_processing', 'RNA_transport', 'epithelial_to_mesenchymal_transition', 'defense_response_to_virus', 'protein_localization_to_cytoplasmic_stre...', 'G-quadruplex_DNA_unwinding', 'miRNA_metabolic_process']",[],False
sgG5,31,34,0,0,"['ubiquitin ligase complex scaffold activity', 'NEDD8 transferase activity', 'ubiquitin protein ligase binding', 'ubiquitin-protein transferase activity', 'cullin family protein binding', 'protein-macromolecule adaptor activity', 'NEDD8 activating enzyme activity', 'Notch binding']","['protein_neddylation', 'protein_ubiquitination', 'regulation_of_protein_neddylation', 'protein_deneddylation', 'intrinsic_apoptotic_signaling_pathway', 'ubiquitin-dependent_protein_catabolic_pr...', 'proteasome-mediated_ubiquitin-dependent_...', 'G1/S_transition_of_mitotic_cell_cycle', 'SCF-dependent_proteasomal_ubiquitin-depe...', 'positive_regulation_of_proteasomal_ubiqu...', 'post-translational_protein_modification', 'positive_regulation_of_TORC1_signaling', 'cellular_response_to_UV', 'negative_regulation_of_Rho_protein_signa...', 'protein_quality_control_for_misfolded_or...', 'transcription_initiation_from_RNA_polyme...', 'negative_regulation_of_type_I_interferon...', 'positive_regulation_of_protein_catabolic...', 'cellular_response_to_DNA_damage_stimulus', 'protein_monoubiquitination']",[],False
