alg,clNo,clustsize,no.Trubetskoy,Molecular Function,Biological Function,Diseases,False Trub Enrichment
sgG5,80,93,0,[],"['intermediate_filament_organization', 'keratinization', 'epithelial_cell_differentiation', 'epidermis_development', 'hair_cycle', 'hair_follicle_morphogenesis', 'cell_differentiation_involved_in_embryon...', 'biological_process', 'establishment_of_cell_polarity_involved_...', 'keratinocyte_migration', 'structural_constituent_of_epidermis', 'structural_constituent_of_cytoskeleton', 'structural_molecule_activity']",[],False
sgG5,17,218,0,[],"['mitochondrial_ATP_synthesis_coupled_prot...', 'mitochondrial_translation', 'aerobic_respiration', 'mitochondrial_electron_transport,_NADH_t...', 'mitochondrial_respiratory_chain_complex_...', 'proton_transmembrane_transport', 'tricarboxylic_acid_cycle', 'cellular_respiration', 'ATP_synthesis_coupled_proton_transport', 'inner_mitochondrial_membrane_organizatio...', 'cristae_formation', 'fatty_acid_beta-oxidation', 'mitochondrion_organization', 'protein_import_into_mitochondrial_outer_...', 'mitochondrial_respiratory_chain_complex_...', 'ATP_biosynthetic_process', 'respiratory_electron_transport_chain', 'mitochondrial_electron_transport,_cytoch...', 'mitochondrial_fusion', 'L-proline_biosynthetic_process', 'generation_of_precursor_metabolites_and_...', 'glucose_metabolic_process', 'acetyl-CoA_biosynthetic_process_from_pyr...', 'isoleucine_catabolic_process', 'regulation_of_acetyl-CoA_biosynthetic_pr...', 'proline_biosynthetic_process', 'protein_import_into_mitochondrial_interm...', 'protein_targeting_to_mitochondrion', 'succinyl-CoA_metabolic_process', 'iron-sulfur_cluster_assembly', 'fatty_acid_beta-oxidation_using_acyl-CoA...', 'reactive_oxygen_species_metabolic_proces...', 'protein_import_into_mitochondrial_inner_...', 'protein_import_into_mitochondrial_matrix', '[2Fe-2S]_cluster_assembly', 'oxidative_phosphorylation', 'mitochondrial_ATP_synthesis_coupled_elec...', 'hypoxia-inducible_factor-1alpha_signalin...', 'tRNA_aminoacylation', 'positive_regulation_of_mitochondrial_DNA...', 'mitochondrial_proton-transporting_ATP_sy...', 'aspartate_family_amino_acid_metabolic_pr...', 'mitochondrial_calcium_ion_homeostasis', 'regulation_of_glucose_metabolic_process', 'regulation_of_oxidative_phosphorylation', '2-oxoglutarate_metabolic_process', 'cellular_amino_acid_catabolic_process', 'carnitine_biosynthetic_process', 'medium-chain_fatty_acid_metabolic_proces...', 'regulation_of_peroxisome_organization', 'glutamate_biosynthetic_process', 'positive_regulation_of_mitochondrial_RNA...', 'tetrahydrofolate_interconversion', 'succinate_metabolic_process', 'mitochondrial_electron_transport,_succin...', 'modified_amino_acid_transport', 'malate-aspartate_shuttle', 'response_to_cold', 'GTP_metabolic_process', 'mitochondrial_electron_transport,_ubiqui...', 'NADH_dehydrogenase_(ubiquinone)_activity', 'proton-transporting_ATP_synthase_activit...', 'electron_transfer_activity', 'NADH_dehydrogenase_activity', 'structural_constituent_of_ribosome', 'tRNA_binding', 'pyruvate_dehydrogenase_(NAD+)_activity', '4_iron,_4_sulfur_cluster_binding', '2_iron,_2_sulfur_cluster_binding', 'NAD+_binding', 'acetyl-CoA_C-acetyltransferase_activity', 'acyl-CoA_dehydrogenase_activity', 'cytochrome-c_oxidase_activity', 'myristoyl-CoA_hydrolase_activity', 'pyruvate_dehydrogenase_(acetyl-transferr...', 'palmitoyl-CoA_hydrolase_activity', 'metalloendopeptidase_activity', '3-hydroxyacyl-CoA_dehydrogenase_activity', 'flavin_adenine_dinucleotide_binding', 'ATP-dependent_peptidase_activity', 'testosterone_dehydrogenase_(NAD+)_activi...', 'pyruvate_dehydrogenase_(acetyl-transferr...', 'succinate_dehydrogenase_(ubiquinone)_act...', 'acidic_amino_acid_transmembrane_transpor...', 'succinate-CoA_ligase_(GDP-forming)_activ...', 'aminoacyl-tRNA_editing_activity', 'rRNA_binding', 'pyrroline-5-carboxylate_reductase_activi...', 'mitochondrial_ribosome_binding', 'medium-chain-acyl-CoA_dehydrogenase_acti...', 'NAD-dependent_protein_deacetylase_activi...', 'dodecenoyl-CoA_delta-isomerase_activity', 'oxoglutarate_dehydrogenase_(succinyl-tra...', 'cobalamin_binding', 'nucleoside_triphosphate_adenylate_kinase...', 'quinone_binding', '3_iron,_4_sulfur_cluster_binding', 'mitochondrion_targeting_sequence_binding', 'protein_transmembrane_transporter_activi...', 'acyl-CoA_hydrolase_activity', 'fatty-acyl-CoA_binding', 'pyridoxal_phosphate_binding', 'acetyl-CoA_C-acyltransferase_activity', 'angiostatin_binding', 'long-chain-acyl-CoA_dehydrogenase_activi...', 'RNA_binding', 'MHC_class_I_protein_binding', ""5'-nucleotidase_activity"", 'enoyl-CoA_hydratase_activity', 'ubiquinol-cytochrome-c_reductase_activit...', 'L-aspartate_transmembrane_transporter_ac...', 'estradiol_17-beta-dehydrogenase_activity', 'transferase_activity,_transferring_acyl_...', 'serine-type_endopeptidase_activity', 'cholate_7-alpha-dehydrogenase_activity', '3-hydroxy-2-methylbutyryl-CoA_dehydrogen...', 'porphobilinogen_synthase_activity', 'proteasome_core_complex_binding', 'delta3,5-delta2,4-dienoyl-CoA_isomerase_...', 'dihydrolipoyllysine-residue_succinyltran...', 'ATP_adenylyltransferase_activity', 'lysine-tRNA_ligase_activity', 'malate_dehydrogenase_(NADP+)_activity', 'dUTP_diphosphatase_activity', 'pyrimidine_deoxyribonucleotide_binding', 'ornithine-oxo-acid_transaminase_activity', 'NAD(P)H_oxidase_activity', '3-hydroxyisobutyryl-CoA_hydrolase_activi...', 'dihydrolipoyllysine-residue_acetyltransf...', 'glutamate_dehydrogenase_(NAD+)_activity', 'glutamate_dehydrogenase_[NAD(P)+]_activi...', 'aspartate-tRNA(Asn)_ligase_activity', '1-pyrroline-5-carboxylate_dehydrogenase_...', 'calcium:proton_antiporter_activity', 'mannokinase_activity', 'tyrosine_binding', 'glycine-gated_chloride_ion_channel_activ...', 'glycine_hydroxymethyltransferase_activit...', 'citrate_(Si)-synthase_activity', 'protein-malonyllysine_demalonylase_activ...', 'protein-succinyllysine_desuccinylase_act...', 'protein-glutaryllysine_deglutarylase_act...', 'oxoglutarate_dehydrogenase_(NAD+)_activi...', 'methylmalonyl-CoA_mutase_activity', 'modified_amino_acid_binding', 'C-acetyltransferase_activity', 'short-branched-chain-acyl-CoA_dehydrogen...', 'copper_chaperone_activity', 'intramolecular_oxidoreductase_activity,_...', 'cob(I)yrinic_acid_a,c-diamide_adenosyltr...', 'transferase_activity,_transferring_alkyl...', 'malate_dehydrogenase_(decarboxylating)_(...', 'malate_dehydrogenase_(decarboxylating)_(...', 'oxaloacetate_decarboxylase_activity', 'P-P-bond-hydrolysis-driven_protein_trans...', 'phosphoenolpyruvate_carboxykinase_activi...', 'phosphoenolpyruvate_carboxykinase_(GTP)_...', 'cysteine_desulfurase_activity', 'glutamate_5-kinase_activity', 'glutamate-5-semialdehyde_dehydrogenase_a...', 'mycophenolic_acid_acyl-glucuronide_ester...', 'trimethyllysine_dioxygenase_activity', '2-octaprenyl-6-methoxy-1,4-benzoquinone_...', '2-decaprenyl-6-methoxy-1,4-benzoquinone_...']",[],False
sgG5,119,59,0,[],"['cytoplasmic_translation', 'translation', 'rRNA_processing', 'ribosomal_small_subunit_biogenesis', 'ribosomal_large_subunit_biogenesis', 'ribosomal_small_subunit_assembly', 'ribosomal_large_subunit_assembly', ""'de_novo'_CTP_biosynthetic_process"", 'nucleolus_organization', 'pyrimidine_nucleobase_biosynthetic_proce...', 'negative_regulation_of_protein_neddylati...', 'maturation_of_SSU-rRNA', 'maturation_of_SSU-rRNA_from_tricistronic...', 'epithelial_cilium_movement', 'CTP_biosynthetic_process', 'negative_regulation_of_ubiquitin_protein...', 'maturation_of_LSU-rRNA_from_tricistronic...', 'structural_constituent_of_ribosome', 'RNA_binding', 'CTP_synthase_activity', '5S_rRNA_binding', ""mRNA_5'-UTR_binding"", 'rRNA_binding', 'snoRNA_binding', 'signal_recognition_particle_binding', '7S_RNA_binding', 'ubiquitin_ligase_inhibitor_activity']",[],False
sgG5,108,23,0,[],"['multivesicular_body_assembly', 'nuclear_envelope_reassembly', 'membrane_fission', 'multivesicular_body_sorting_pathway', 'midbody_abscission', 'ESCRT_III_complex_disassembly', 'viral_budding_via_host_ESCRT_complex', 'nucleus_organization', 'ubiquitin-dependent_protein_catabolic_pr...', 'plasma_membrane_repair', 'multivesicular_body-lysosome_fusion', 'mitotic_metaphase_plate_congression', 'autophagosome_maturation', 'regulation_of_mitotic_spindle_assembly', 'late_endosome_to_lysosome_transport', 'macroautophagy', 'regulation_of_centrosome_duplication', 'late_endosome_to_vacuole_transport', 'autophagy', 'endosome_transport_via_multivesicular_bo...', 'protein_transport', 'late_endosome_to_vacuole_transport_via_m...', 'viral_release_from_host_cell', 'vesicle_budding_from_membrane', 'exit_from_mitosis', 'ubiquitin-independent_protein_catabolic_...', 'positive_regulation_of_exosomal_secretio...', 'protein_polymerization', 'cytoskeleton-dependent_cytokinesis', 'establishment_of_protein_localization', 'late_endosomal_microautophagy', 'abscission', 'mitotic_nuclear_envelope_reassembly', 'negative_regulation_of_epidermal_growth_...', 'vacuole_organization', 'protein_transport_to_vacuole_involved_in...', 'mitotic_cytokinesis', 'protein_homooligomerization', 'cell_division', 'positive_regulation_of_cytokinesis', 'hippocampal_neuron_apoptotic_process', 'negative_regulation_of_hippocampal_neuro...', 'threonine_metabolic_process', 'actomyosin_contractile_ring_contraction', 'negative_regulation_of_cytokinesis', 'mitotic_cytokinesis_checkpoint', 'vesicle_uncoating', 'ESCRT_complex_disassembly', 'ESCRT_III_complex_assembly', 'viral_capsid_secondary_envelopment', 'protein_depolymerization', 'protein_domain_specific_binding', 'MIT_domain_binding', 'protein-containing_complex_binding']",[],False
sgG5,72,87,0,[],"['protein_ubiquitination', 'protein_polyubiquitination', 'ubiquitin-dependent_protein_catabolic_pr...', 'protein_deubiquitination', 'protein_K48-linked_ubiquitination', 'protein_autoubiquitination', 'protein_K48-linked_deubiquitination', 'proteasome-mediated_ubiquitin-dependent_...', 'protein_monoubiquitination', 'modification-dependent_protein_catabolic...', 'protein_K63-linked_ubiquitination', 'positive_regulation_of_NF-kappaB_transcr...', 'postreplication_repair', 'monoubiquitinated_protein_deubiquitinati...', 'protein_deubiquitination_involved_in_ubi...', 'regulation_of_viral_entry_into_host_cell', 'negative_regulation_by_host_of_viral_rel...', 'positive_regulation_of_I-kappaB_kinase/N...', 'protein_modification_process', 'positive_regulation_of_protein_ubiquitin...', 'regulation_of_DNA_repair', 'positive_regulation_of_protein_targeting...', 'regulation_of_proteasomal_ubiquitin-depe...', 'free_ubiquitin_chain_polymerization', 'intrinsic_apoptotic_signaling_pathway_in...', 'protein_catabolic_process', 'negative_regulation_of_NF-kappaB_transcr...', 'negative_regulation_of_TORC1_signaling', 'regulation_of_protein_localization', 'negative_regulation_of_BMP_signaling_pat...', 'negative_regulation_of_viral_transcripti...', 'regulation_of_ubiquitin-dependent_protei...', 'regulation_of_proteasomal_protein_catabo...', 'regulation_of_mitochondrial_membrane_pot...', 'protein_K63-linked_deubiquitination', 'positive_regulation_of_DNA-binding_trans...', 'positive_regulation_of_intrinsic_apoptot...', 'protein_K11-linked_deubiquitination', 'innate_immune_response', 'positive_regulation_of_protein_catabolic...', 'positive_regulation_of_tumor_necrosis_fa...', 'protein_K11-linked_ubiquitination', 'positive_regulation_of_autophagy', 'DNA_double-strand_break_processing', 'positive_regulation_of_intracellular_sig...', 'negative_regulation_of_mitochondrial_fus...', 'tissue_homeostasis', 'progesterone_receptor_signaling_pathway', 'lipid_droplet_organization', 'response_to_interferon-gamma', 'ubiquitin_protein_ligase_activity', 'ubiquitin-protein_transferase_activity', 'thiol-dependent_ubiquitin-specific_prote...', 'ubiquitin_protein_ligase_binding', 'ubiquitin_conjugating_enzyme_activity', 'ubiquitin_binding', 'cysteine-type_endopeptidase_activity', 'zinc_ion_binding', 'protein_tag', 'Lys48-specific_deubiquitinase_activity', 'cysteine-type_peptidase_activity', 'NEDD8-specific_protease_activity', 'ubiquitinyl_hydrolase_activity', 'ubiquitin-protein_transferase_activator_...', 'transcription_coactivator_activity', 'proteasome_binding', 'ligase_activity', 'polyubiquitin_modification-dependent_pro...', 'ubiquitin_activating_enzyme_activity', 'translation_repressor_activity', 'ubiquitin-ubiquitin_ligase_activity', 'Lys63-specific_deubiquitinase_activity']","[""Huntington's_disease""]",False
sgG5,59,29,0,[],"['proteasomal_protein_catabolic_process', 'proteasome-mediated_ubiquitin-dependent_...', 'threonine-type_endopeptidase_activity', 'endopeptidase_activity', 'lipopolysaccharide_binding']",[],False
sgG5,92,100,0,[],"['nucleosome_assembly', 'negative_regulation_of_DNA_recombination', 'chromosome_condensation', 'negative_regulation_of_megakaryocyte_dif...', 'telomere_organization', 'chromatin_organization', 'cilium_movement_involved_in_cell_motilit...', 'retinal_pigment_epithelium_development', 'chromosome_organization', 'negative_regulation_of_transcription_by_...', 'structural_constituent_of_chromatin', 'DNA_binding', 'nucleosomal_DNA_binding', 'protein_heterodimerization_activity', 'chromatin_DNA_binding', 'double-stranded_DNA_binding', 'histone_deacetylase_binding', 'ATP-dependent_microtubule_motor_activity...', 'dynein_intermediate_chain_binding', 'histone_acetyltransferase_activity_(H4-K...', 'dynein_light_intermediate_chain_binding', 'histone_binding', 'protein_deacetylase_activity', 'retinoid_X_receptor_binding', 'microtubule_motor_activity', 'histone_deacetylase_activity', 'AT_DNA_binding']",[],False
sgG5,84,46,0,[],"['cytoskeleton-dependent_cytokinesis', 'chemorepulsion_involved_in_postnatal_olf...', 'negative_regulation_of_chemokine-mediate...', 'regulation_of_exocytosis', 'tryptophan_transport', 'leucine_import_across_plasma_membrane', 'L-leucine_import_across_plasma_membrane', 'Roundabout_signaling_pathway', 'leucine_transport', 'proline_transport', 'pulmonary_valve_morphogenesis', 'axon_extension_involved_in_axon_guidance', 'positive_regulation_of_non-motile_cilium...', 'negative_regulation_of_cytokine_producti...', 'thyroid_hormone_transport', 'aortic_valve_morphogenesis', 'amino_acid_transmembrane_transport', 'motor_neuron_axon_guidance', 'ventricular_septum_morphogenesis', 'molecular_adaptor_activity', 'GTPase_activity', 'GTP_binding', 'aromatic_amino_acid_transmembrane_transp...', 'L-amino_acid_transmembrane_transporter_a...', 'neutral_amino_acid_transmembrane_transpo...']",[],False
sgG5,52,97,0,[],"['regulation_of_alternative_mRNA_splicing,...', 'mRNA_splicing,_via_spliceosome', 'RNA_processing', 'RNA_splicing', 'regulation_of_RNA_splicing', 'mRNA_processing', 'mRNA_stabilization', 'negative_regulation_of_mRNA_splicing,_vi...', 'CRD-mediated_mRNA_stabilization', 'positive_regulation_of_cytoplasmic_trans...', 'alternative_mRNA_splicing,_via_spliceoso...', 'mRNA_splice_site_selection', 'posttranscriptional_gene_silencing', 'regulation_of_gene_expression', 'regulation_of_RNA_metabolic_process', 'negative_regulation_of_telomere_maintena...', 'intracellular_estrogen_receptor_signalin...', 'mRNA_transport', 'negative_regulation_of_translation', ""3'-UTR-mediated_mRNA_stabilization"", 'primary_miRNA_processing', 'regulation_of_mRNA_splicing,_via_spliceo...', 'viral_RNA_genome_replication', 'positive_regulation_of_telomerase_RNA_re...', 'positive_regulation_of_DNA_topoisomerase...', 'miRNA_transport', 'protein_methylation', 'mRNA_destabilization', 'peptidyl-arginine_methylation', 'negative_regulation_of_kinase_activity', 'positive_regulation_of_RNA_export_from_n...', 'regulation_of_skeletal_muscle_cell_diffe...', 'positive_regulation_of_mRNA_splicing,_vi...', 'protein_homooligomerization', 'regulation_of_megakaryocyte_differentiat...', 'negative_regulation_of_RNA_splicing', 'osteoblast_differentiation', 'regulation_of_transcription_by_RNA_polym...', 'mRNA_metabolic_process', 'dosage_compensation_by_inactivation_of_X...', 'regulation_of_mRNA_processing', 'RNA_transport', 'epithelial_to_mesenchymal_transition', 'defense_response_to_virus', 'protein_localization_to_cytoplasmic_stre...', 'G-quadruplex_DNA_unwinding', 'miRNA_metabolic_process', 'RNA_binding', 'mRNA_binding', ""mRNA_3'-UTR_binding"", 'pre-mRNA_binding', 'miRNA_binding', 'single-stranded_RNA_binding', ""mRNA_3'-UTR_AU-rich_region_binding"", 'poly(U)_RNA_binding', 'single-stranded_DNA_binding', 'DNA_binding', 'C-rich_single-stranded_DNA_binding', 'protein-arginine_omega-N_monomethyltrans...', 'S-adenosyl-L-methionine_binding', 'BRE_binding', 'sequence-specific_mRNA_binding', 'telomerase_RNA_binding', 'poly(A)_binding', 'protein-arginine_omega-N_asymmetric_meth...', 'G-rich_strand_telomeric_DNA_binding', 'poly(G)_binding', 'transcription_coregulator_activity', 'double-stranded_DNA_binding', 'ribonucleoprotein_complex_binding', 'primary_miRNA_binding', 'pre-mRNA_intronic_binding', 'double-stranded_RNA_binding', 'promoter-specific_chromatin_binding', 'N6-methyladenosine-containing_RNA_bindin...', 'translation_repressor_activity,_mRNA_reg...', 'sequence-specific_double-stranded_DNA_bi...', 'RNA_helicase_activity', 'RNA_polymerase_II_complex_binding', 'N-methyltransferase_activity', 'alkyl_hydroperoxide_reductase_activity', 'sequence-specific_single_stranded_DNA_bi...', 'regulatory_region_RNA_binding', ""3'-5'_DNA/RNA_helicase_activity"", 'triplex_DNA_binding', 'polysome_binding', 'poly-pyrimidine_tract_binding', 'MH2_domain_binding', 'galactosylgalactosylxylosylprotein_3-bet...', 'TFIIH-class_transcription_factor_complex...', 'snRNA_binding', 'poly(C)_RNA_binding', 'histone_pre-mRNA_DCP_binding', '11-cis_retinal_binding']",[],False
sgG5,31,34,0,[],"['protein_neddylation', 'protein_ubiquitination', 'regulation_of_protein_neddylation', 'protein_deneddylation', 'intrinsic_apoptotic_signaling_pathway', 'ubiquitin-dependent_protein_catabolic_pr...', 'proteasome-mediated_ubiquitin-dependent_...', 'G1/S_transition_of_mitotic_cell_cycle', 'SCF-dependent_proteasomal_ubiquitin-depe...', 'positive_regulation_of_proteasomal_ubiqu...', 'post-translational_protein_modification', 'positive_regulation_of_TORC1_signaling', 'cellular_response_to_UV', 'negative_regulation_of_Rho_protein_signa...', 'protein_quality_control_for_misfolded_or...', 'transcription_initiation_from_RNA_polyme...', 'negative_regulation_of_type_I_interferon...', 'positive_regulation_of_protein_catabolic...', 'cellular_response_to_DNA_damage_stimulus', 'protein_monoubiquitination', 'NEDD8_transferase_activity', 'ubiquitin_protein_ligase_binding', 'ubiquitin-protein_transferase_activity', 'cullin_family_protein_binding', 'protein_binding,_bridging', 'NEDD8_activating_enzyme_activity', 'Notch_binding']",[],False
