,infomap14,infomap167,infomap19,infomap5,louvain8,sgG25,sgG5116,spectral13,wt15,wt52
wt52,,403,,,,,,,,
wt15,,,"23513, 9758",,,,,,,
spectral13,23293,,,,,23293,,,,
sgG5116,,,,"8204, 5970, 4208",,,,,,
sgG25,"23293, 7223",,,,7223,,,23293,,
louvain8,"23293, 7223",,,,,"23293, 7223",,23293,,
infomap5,,,,,,,"8204, 5970, 4208",,,
infomap19,,,,,,,,,23513,
infomap188,,,,,2823,,,,,
infomap167,,,,,,,,,,403
infomap14,,,,,7223,"23293, 7223",,23293,,
infomap126,,,,,783,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
