"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"fc",1,"GO:0032543",4843,41,1100,36,3.23059634413593,2.29268944428781,4.16850324398404,3.86580931263858,0.144089256198347,9.53368137859186e-19,7.59453058618628e-15,1,1,"65080, 64965, 4701, 10240, 64963, 64978, 124995, 23107, 28973, 26024, 55037, 60488, 23395, 54948, 55699, 28957, 56945, 51649, 65993, 11222, 219927, 26589, 10884, 51073, 29088, 51081, 51116, 54148, 51069, 65008, 9801, 7818, 64432, 64969, 54534, 740"
"fc",1,"GO:0042776",4843,52,1100,35,1.97449519045121,1.3910788451483,2.55791153575411,2.96337412587413,0.140086776859504,6.8719599825911e-12,2.73710166106604e-08,0.999999999999085,1,"506, 509, 4700, 4709, 10476, 4701, 4698, 515, 51079, 4726, 4695, 522, 539, 498, 513, 4696, 4722, 4729, 4723, 6389, 374291, 54539, 6390, 10632, 4728, 4725, 4720, 4719, 4702, 514, 4704, 4724, 9551, 4705, 55967"
"fc",1,"GO:1902600",4843,56,1100,34,1.68539719487868,1.14480254072474,2.22599184903262,2.67308441558442,0.136084297520661,9.02526584634539e-10,2.39650892439958e-06,0.999999999840008,1,"6548, 506, 527, 509, 10476, 476, 515, 4513, 535, 4519, 522, 3954, 1327, 539, 498, 528, 513, 10159, 140679, 6566, 1528, 1537, 10632, 8604, 7388, 1340, 7384, 514, 10165, 537, 9296, 7386, 9377, 9551"
"fc",1,"GO:0009060",4843,47,1100,30,1.81566066131152,1.21678579164046,2.41453553098258,2.81025145067698,0.120074380165289,1.60447114792778e-09,3.19530429109817e-06,0.999999999751416,1,"4700, 4709, 4191, 4701, 23410, 4698, 51079, 7385, 847, 4726, 4695, 513, 4696, 4722, 4729, 4723, 374291, 54539, 6390, 4728, 4725, 4720, 7388, 4719, 7384, 4702, 4704, 4724, 4705, 55967"
"fc",1,"GO:0006906",4843,17,1100,15,3.25267598891585,1.77569453912255,4.72965743870915,3.88475935828877,0.0600371900826446,1.73819472923195e-08,2.76929184261235e-05,0.999999999382055,1,"6810, 10228, 8675, 6845, 6844, 112755, 23673, 6843, 9341, 8411, 8417, 9482, 9570, 9066, 9527"
"fc",1,"GO:0007007",4843,14,1100,13,3.80114797717436,1.7660390268415,5.83625692750723,4.08824675324675,0.0520322314049587,4.48768190307637e-08,5.95814567331773e-05,0.999999999088016,1,"10989, 4580, 4976, 3954, 54927, 25813, 55735, 10651, 125988, 139322, 345778, 84303, 8834"
"fc",1,"GO:0045333",4843,25,1100,18,2.18366594878316,1.30799423526601,3.0593376623003,3.16996363636364,0.0720446280991736,2.1052158375208e-07,0.000239573562309868,0.999999978016927,1,"1345, 4513, 7385, 4519, 1327, 1350, 54205, 114789, 1537, 4697, 7388, 1340, 4719, 7384, 10165, 4724, 9377, 1347"
"fc",1,"GO:0006626",4843,19,1100,15,2.55899404898487,1.45397153685217,3.66401656111758,3.47583732057416,0.0600371900826446,3.08996353242371e-07,0.000275914710213251,0.999999978079883,1,"10469, 10440, 26519, 10452, 54543, 56947, 51024, 100287932, 54332, 56993, 26517, 26520, 9804, 9868, 9927"
"fc",1,"GO:0048278",4843,10,1100,10,Inf,NA,Inf,4.40272727272727,0.0400247933884297,3.53999136658414e-07,0.000275914710213251,1,1,"6810, 6804, 10228, 6857, 8675, 112755, 23673, 65009, 8417, 9482"
"fc",1,"GO:0042407",4843,10,1100,10,Inf,NA,Inf,4.40272727272727,0.0400247933884297,3.53999136658414e-07,0.000275914710213251,1,1,"10989, 10939, 3954, 54927, 25813, 55735, 125988, 139322, 84303, 91137"
"fc",1,"GO:0006120",4843,35,1100,22,1.7673938570657,1.07839499635506,2.45639271777634,2.76742857142857,0.0880545454545455,3.81001984979382e-07,0.000275914710213251,0.999999939106744,1,"4700, 4709, 57017, 4701, 4698, 4726, 4695, 4696, 4722, 4729, 1738, 4723, 374291, 4697, 4728, 4725, 4720, 4719, 4702, 4704, 4724, 4705"
"fc",1,"GO:0042147",4843,46,1100,26,1.5055040632714,0.918611729928853,2.09239639661394,2.48849802371541,0.104064462809917,6.5721729074477e-07,0.000436282744839403,0.999999862624178,1,"10228, 27131, 10490, 58533, 5870, 8675, 22836, 254122, 6642, 6643, 10652, 51560, 9341, 738, 51209, 9367, 7879, 400, 51479, 26000, 25963, 9043, 9779, 8938, 9581, 9527"
"fc",1,"GO:0032981",4843,36,1100,22,1.69301775245294,1.01951050383214,2.36652500107373,2.69055555555556,0.0880545454545455,7.71246255358424e-07,0.000472595974629631,0.999999867335278,1,"4700, 4709, 4698, 51079, 4695, 4696, 4722, 374291, 54539, 4728, 4725, 4720, 4719, 4702, 4704, 28976, 29078, 4724, 617, 80224, 4705, 55967"
"fc",1,"GO:0008053",4843,9,1100,9,Inf,NA,Inf,4.40272727272727,0.0360223140495868,1.56849846618403e-06,0.000892475627258714,1,1,"4976, 10939, 54927, 56947, 51024, 54332, 84749, 374986, 9927"
"fc",1,"GO:0006635",4843,26,1100,17,1.87373384382067,1.06293367419543,2.68453401344592,2.87870629370629,0.0680421487603306,3.81676197473514e-06,0.00202695505938267,0.999999460533891,1,"3028, 215, 225, 5825, 6342, 1891, 34, 3295, 5830, 3032, 10455, 3030, 11001, 38, 84129, 1632, 10449"
"fc",1,"GO:0006886",4843,145,1100,56,0.789478289498377,0.448164534389418,1.13079204460734,1.70036363636364,0.224138842975207,8.85662405366421e-06,0.00440949170071807,0.999996134976541,1,"6810, 10484, 6804, 10228, 5868, 375, 10469, 5861, 23647, 27131, 4905, 10490, 10440, 26276, 320, 58533, 10427, 10938, 5870, 8675, 6812, 23256, 382, 23086, 54732, 56681, 51715, 6642, 112755, 23011, 26286, 11311, 23673, 6643, 6814, 63908, 51560, 51552, 140823, 27236, 100287932, 378, 7846, 400, 377, 55717, 53407, 441400, 8417, 8775, 65082, 381, 9482, 63894, 84100, 8774"
"fc",1,"GO:0015986",4843,18,1100,13,2.19064054592174,1.15701124181979,3.22426985002368,3.17974747474747,0.0520322314049587,1.07873875052856e-05,0.0050548428745356,0.999998910705559,1,"506, 527, 509, 10476, 515, 522, 539, 498, 513, 10632, 514, 9551, 9556"
"fc",1,"GO:0015914",4843,14,1100,11,2.53310875160588,1.2547017339539,3.81151576925786,3.45928571428571,0.0440272727272727,1.45333299462368e-05,0.00643180590842903,0.999998972258579,1,"6342, 26207, 9218, 5007, 114882, 21, 5306, 23344, 9854, 83394, 84162"
"fc",1,"GO:0150104",4843,39,1100,21,1.39318284538278,0.759978935720785,2.02638675504478,2.3706993006993,0.0840520661157025,2.19672459290158e-05,0.00921005689844946,0.999994939269328,1,"6558, 6536, 4363, 23428, 388662, 7037, 6507, 6529, 6566, 10396, 6515, 6505, 8671, 81539, 6508, 6509, 493, 6533, 8140, 6542, 6526"
"fc",1,"GO:0061025",4843,19,1100,13,2.00805143059776,1.03834194834251,2.977760912853,3.01239234449761,0.0520322314049587,2.70661140815076e-05,0.0107804332386645,0.999996725870914,1,"8773, 10059, 10490, 26276, 6844, 10652, 9341, 9218, 9342, 11261, 53407, 8775, 8774"
"fc",1,"GO:0031629",4843,7,1100,7,Inf,NA,Inf,4.40272727272727,0.0280173553719008,3.0727276513396e-05,0.0111260674866233,1,1,"6616, 8773, 6804, 112476, 112755, 116841, 9342"
"fc",1,"GO:0015804",4843,7,1100,7,Inf,NA,Inf,4.40272727272727,0.0280173553719008,3.0727276513396e-05,0.0111260674866233,1,1,"23428, 388662, 6507, 8604, 10165, 81539, 8140"
"fc",1,"GO:0035493",4843,9,1100,8,3.31105089220902,1.23106421785257,5.39103756656547,3.91353535353535,0.0320198347107438,4.99549525232732e-05,0.0162326518095552,0.999998431501534,1,"6616, 6810, 6812, 6844, 8674, 6843, 9341, 29091"
"fc",1,"GO:0006865",4843,9,1100,8,3.31105089220902,1.23106421785257,5.39103756656547,3.91353535353535,0.0320198347107438,4.99549525232732e-05,0.0162326518095552,0.999998431501534,1,"57709, 23428, 6520, 94097, 81539, 6509, 6533, 6542"
"fc",1,"GO:0006123",4843,13,1100,10,2.43688071951132,1.14488811009807,3.72887332892457,3.38671328671329,0.0400247933884297,5.0943546979523e-05,0.0162326518095552,0.999996078203895,1,"1345, 4513, 1327, 1350, 246269, 54205, 4697, 1340, 9377, 1347"
"fc",1,"GO:0045040",4843,11,1100,9,2.73633564529135,1.2026497227878,4.2700215677949,3.60223140495868,0.0360223140495868,5.48142297790734e-05,0.0167942367084653,0.999996904393645,1,"4580, 10452, 54543, 25813, 10651, 23788, 56993, 9804, 9868"
"fc",1,"GO:0010807",4843,6,1100,6,Inf,NA,Inf,4.40272727272727,0.0240148760330579,0.000135857254566085,0.0400829218471642,1,1,"6804, 6812, 112755, 63908, 134957, 8775"
"fc",1,"GO:0120009",4843,22,1100,13,1.60178321710578,0.749190064617605,2.45437636959395,2.60161157024793,0.0520322314049587,0.000247382176346451,0.0703802291705652,0.999955358511933,1,"27141, 26207, 5007, 337, 114882, 21, 5306, 23344, 9854, 83394, 55102, 84162, 57476"
