"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"infomap",1,"GO:0097720",4843,4,18,4,Inf,NA,Inf,269.055555555556,59.7901234567901,1.3366354331855e-10,5.32381893037785e-07,1,1,"5530, 5532, 5534, 5533"
"infomap",1,"GO:1905949",4843,4,18,4,Inf,NA,Inf,269.055555555556,59.7901234567901,1.3366354331855e-10,5.32381893037785e-07,1,1,"5530, 5532, 5534, 5533"
"infomap",1,"GO:0006470",4843,54,18,7,4.16964460243264,3.17940394871917,5.15988525614611,34.8775720164609,104.632716049383,4.1560367295624e-10,1.10356628625647e-06,0.999999999994396,1,"5530, 5494, 9647, 5532, 5534, 5533, 9108"
"infomap",1,"GO:1905665",4843,5,18,4,7.22859576991165,4.97533228075299,9.48185925907031,215.244444444444,59.7901234567901,6.66770876661806e-10,1.32787420087199e-06,0.999999999999613,1,"5530, 5532, 5534, 5533"
"infomap",1,"GO:0070886",4843,8,18,4,5.84167932479036,4.35978970436408,7.32356894521665,134.527777777778,59.7901234567901,9.2701155356076e-09,1.2307623392775e-05,0.999999999978489,1,"5530, 5532, 5534, 5533"
"infomap",1,"GO:0033173",4843,8,18,4,5.84167932479036,4.35978970436408,7.32356894521665,134.527777777778,59.7901234567901,9.2701155356076e-09,1.2307623392775e-05,0.999999999978489,1,"5530, 5532, 5534, 5533"
"infomap",1,"GO:0023057",4843,2,18,2,Inf,NA,Inf,269.055555555556,29.8950617283951,1.30491484663029e-05,0.0148499309546527,1,1,"5530, 5532"
"infomap",1,"GO:0016311",4843,19,18,3,4.09621780660378,2.76297407962932,5.42946153357824,42.4824561403509,44.8425925925926,4.02642384154803e-05,0.0400931154022145,0.999999499627411,1,"5530, 5494, 5532"
"infomap",1,"GO:0000083",4843,5,18,2,5.30289022839317,3.44756545488098,7.15821500190536,107.622222222222,29.8950617283951,0.000129630912669789,0.114737761147505,0.999999570714933,1,"5127, 1020"
"infomap",1,"GO:0070262",4843,6,18,2,5.0150007516059,3.24805512507203,6.78194637813976,89.6851851851852,29.8950617283951,0.00019401808177905,0.154554803945191,0.999999143425549,1,"5530, 9647"
"infomap",1,"GO:0021819",4843,7,18,2,4.79164975293071,3.07992050668639,6.50337899917503,76.8730158730159,29.8950617283951,0.000271027106118702,0.196272902485598,0.99999850447907,1,"1020, 8851"
"infomap",1,"GO:0018107",4843,41,18,3,3.22663511723202,1.94658150756119,4.50668872690285,19.6869918699187,44.8425925925926,0.000420837300126821,0.279365827734188,0.999987577508912,1,"1020, 8851, 22853"
"infomap",1,"GO:0098693",4843,10,18,2,4.32102352327055,2.69563202925352,5.94641501728758,53.8111111111111,29.8950617283951,0.000576944595506883,0.328281474843417,0.999994908173107,1,"8851, 5534"
"infomap",1,"GO:0035970",4843,10,18,2,4.32102352327055,2.69563202925352,5.94641501728758,53.8111111111111,29.8950617283951,0.000576944595506883,0.328281474843417,0.999994908173107,1,"5494, 9647"
"infomap",1,"GO:0048741",4843,11,18,2,4.2030328679726,2.59413817941681,5.8119275565284,48.9191919191919,29.8950617283951,0.00070360228621719,0.373659720800409,0.999993015012689,1,"5530, 5532"
"infomap",1,"GO:0099170",4843,14,18,2,3.91472767783527,2.33934470695109,5.49011064871945,38.4365079365079,29.8950617283951,0.00115647307628634,0.56859990474738,0.999984697905261,1,"5530, 5534"
"infomap",1,"GO:0042110",4843,15,18,2,3.8344771779532,2.26692940203142,5.40202495387497,35.8740740740741,29.8950617283951,0.00133145614123644,0.56859990474738,0.999980916845889,1,"5530, 5532"
"infomap",1,"GO:0043525",4843,15,18,2,3.8344771779532,2.26692940203142,5.40202495387497,35.8740740740741,29.8950617283951,0.00133145614123644,0.56859990474738,0.999980916845889,1,"1020, 8851"
"infomap",1,"GO:0051726",4843,61,18,3,2.79959153222431,1.53322651514837,4.06595654930025,13.2322404371585,44.8425925925926,0.00135618857521971,0.56859990474738,0.999938894318843,1,"5127, 1020, 5494"
"infomap",1,"GO:0090314",4843,17,18,2,3.69096062031776,2.13603125339934,5.24588998723619,31.6535947712418,29.8950617283951,0.00171697391410217,0.644571254492057,0.999971612564198,1,"1020, 8851"
"infomap",1,"GO:0061001",4843,17,18,2,3.69096062031776,2.13603125339934,5.24588998723619,31.6535947712418,29.8950617283951,0.00171697391410217,0.644571254492057,0.999971612564198,1,"1020, 8851"
"infomap",1,"GO:0031175",4843,67,18,3,2.69989201340075,1.43598066789072,3.96380335891077,12.047263681592,44.8425925925926,0.00178013653010611,0.644571254492057,0.999911494940119,1,"5127, 1020, 8851"
"infomap",1,"GO:0048675",4843,20,18,2,3.50801516831796,1.96687228392911,5.04915805270681,26.9055555555556,29.8950617283951,0.00238292363063106,0.807496812638369,0.999952740428297,1,"1020, 5532"
"infomap",1,"GO:0048813",4843,21,18,2,3.45373989545014,1.91624556770456,4.99123422319572,25.6243386243386,29.8950617283951,0.00262796738220008,0.807496812638369,0.999944992009275,1,"1020, 5530"
