"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"louvain",1,"GO:0018108",4843,27,537,21,3.37302650469546,2.46113925476313,4.28491375462779,7.01448375750052,0.352683540879914,9.53779888834787e-16,7.59781059445791e-12,1,1,"1956, 2066, 3643, 2048, 2534, 5747, 4067, 2261, 3055, 3791, 2321, 6714, 2043, 27, 2242, 1436, 2263, 3718, 2268, 2185, 7535"
"louvain",1,"GO:0007169",4843,30,537,20,2.81054394224022,2.04597557504438,3.57511230943606,6.01241464928616,0.335889086552299,5.8742781668419e-13,2.33972499385313e-09,0.999999999999967,1,"1956, 2066, 10006, 4915, 3643, 11122, 5793, 29760, 2534, 4067, 2261, 3055, 3791, 2321, 1436, 2263, 2268, 7525, 7535, 7301"
"louvain",1,"GO:2000463",4843,27,537,17,2.6422390756754,1.85584325289656,3.42863489845424,5.67839161321471,0.285505723569454,1.33082383656299e-10,3.53378089402026e-07,0.999999999991146,1,"1742, 10458, 2903, 2904, 22871, 2905, 2906, 50944, 9699, 57555, 2902, 85358, 22999, 9378, 2185, 81832, 23316"
"louvain",1,"GO:0048013",4843,36,537,18,2.11167181958475,1.45201867834376,2.77132496082574,4.50931098696462,0.302300177897069,6.52869645511074e-09,1.3001898990353e-05,0.999999999261312,1,"1398, 2048, 2534, 5747, 5781, 4067, 25791, 1123, 8440, 8874, 1948, 6714, 2043, 5921, 2047, 7525, 56899, 2044"
"louvain",1,"GO:0008360",4843,82,537,28,1.46591718652225,1.00030837088796,1.93152600215654,3.07952945451242,0.470244721173219,1.90835067780959e-08,3.04038429988625e-05,0.999999995808837,1,"30011, 5362, 5365, 1739, 1398, 10458, 2335, 2534, 5747, 2059, 116985, 157285, 23136, 3055, 3791, 7422, 5921, 445815, 2242, 3815, 10154, 1436, 2268, 2185, 54014, 57381, 23433, 2245"
"louvain",1,"GO:0007173",4843,24,537,14,2.44233040874499,1.62575246226612,3.25890835522386,5.26086281812539,0.23512236058661,2.46849259308426e-08,3.27733533275154e-05,0.999999998023946,1,"2885, 1956, 2066, 5335, 5290, 6654, 5747, 5781, 8440, 6714, 2185, 8826, 5286, 9185"
"louvain",1,"GO:0098609",4843,70,537,25,1.53114786355829,1.03371687709912,2.02857885001745,3.22093641926044,0.419861358190374,4.02861511688583e-08,4.58456400301608e-05,0.99999999174973,1,"1956, 1742, 1740, 1741, 1495, 1739, 10458, 1499, 23513, 3728, 1952, 6092, 57554, 57555, 6714, 23114, 1000, 1501, 7094, 4868, 83604, 8502, 4897, 83660, 84623"
"louvain",1,"GO:0007165",4843,362,537,74,0.80191710435687,0.528959795995287,1.07487441271845,1.8435857073778,1.24278962024351,4.61041197720862e-08,4.59081772630548e-05,0.999999979891036,1,"6455, 1785, 1837, 2317, 1793, 2885, 6456, 9863, 3667, 1956, 322, 1742, 2066, 55824, 10675, 260425, 6457, 1399, 1398, 2017, 23607, 867, 11059, 11122, 6774, 6654, 3190, 4067, 116985, 4043, 26060, 8440, 9223, 8874, 160622, 5062, 2247, 23048, 6714, 5921, 27, 1271, 575, 3815, 1436, 109, 116984, 1128, 5532, 1501, 2185, 26578, 8826, 65059, 30818, 55698, 23433, 10276, 6778, 952, 2977, 2245, 3706, 9784, 84152, 83478, 9901, 8506, 7301, 718, 94134, 9754, 84435, 5136"
"louvain",1,"GO:0051968",4843,16,537,11,2.8897589804103,1.82874391297705,3.95077404784354,6.20030260707635,0.184738997603765,7.34376862023852e-08,6.50005120320223e-05,0.999999996309764,1,"2903, 2904, 22871, 2905, 2906, 57555, 2902, 85358, 9378, 2185, 23096"
"louvain",1,"GO:0051897",4843,46,537,19,1.76010148731945,1.16614445921302,2.35405851542587,3.72508298923164,0.319094632224684,1.22067781488864e-07,9.72391947340292e-05,0.999999980369308,1,"3688, 1956, 4915, 3643, 867, 5795, 5290, 2335, 5747, 3791, 2321, 2247, 6714, 11315, 3815, 1436, 2268, 7295, 7057"
"louvain",1,"GO:0007275",4843,27,537,14,2.17926757631336,1.41890722761016,2.93962792501656,4.67632250500034,0.23512236058661,1.83613406788175e-07,0.000132969490770419,0.999999980916372,1,"1956, 2066, 4915, 3643, 1009, 2261, 3791, 2321, 1000, 3815, 1436, 1002, 2263, 7301"
"louvain",1,"GO:0048167",4843,43,537,18,1.78153395600702,1.16884683403178,2.39422107798226,3.77523710536573,0.302300177897069,2.06795731372427e-07,0.000137277899676063,0.999999967553805,1,"1605, 4130, 10458, 9693, 2903, 2904, 2905, 2906, 10769, 9699, 2902, 177, 22999, 575, 5532, 2185, 8831, 3706"
"louvain",1,"GO:0019221",4843,21,537,12,2.38995619363515,1.52094000840372,3.25897237886659,5.15349827081671,0.20153345193138,3.51890792505361e-07,0.000207559292310698,0.999999970706432,1,"867, 5795, 6774, 3716, 6654, 5781, 3055, 3815, 1436, 6776, 3718, 6778"
"louvain",1,"GO:0008286",4843,32,537,15,1.98097815368024,1.28073661616027,2.6812196912002,4.22747905027933,0.251916814914224,3.64779072602282e-07,0.000207559292310698,0.999999953612654,1,"2887, 2885, 3667, 5295, 10580, 3643, 10458, 5786, 5290, 6655, 6654, 26060, 23433, 5286, 6599"
"louvain",1,"GO:0007229",4843,41,537,17,1.76350617128243,1.13555077443749,2.39146156812736,3.73942862333651,0.285505723569454,5.34904137532145e-07,0.000284069757305404,0.99999991489583,1,"1793, 3688, 1495, 5786, 2335, 5747, 5781, 335, 3055, 6714, 2533, 8482, 2268, 7094, 2185, 102, 8754"
"louvain",1,"GO:0016477",4843,116,537,31,1.11262662448986,0.691176644408354,1.53407660457137,2.41014897579143,0.520628084156064,1.72866228629666e-06,0.000802231236593289,0.999999460103988,1,"1793, 3688, 30011, 2066, 1495, 1399, 1398, 5335, 23607, 1009, 23513, 5290, 5747, 3728, 157285, 8440, 3791, 2321, 357, 8826, 399687, 2674, 5286, 80005, 7057, 8525, 8754, 7301, 6653, 84940, 79585"
"louvain",1,"GO:0009790",4843,6,537,6,Inf,NA,Inf,9.01862197392924,0.10076672596569,1.81272436086859e-06,0.000802231236593289,1,1,"1742, 1740, 1741, 1739, 23513, 57554"
"louvain",1,"GO:0060397",4843,6,537,6,Inf,NA,Inf,9.01862197392924,0.10076672596569,1.81272436086859e-06,0.000802231236593289,1,1,"6774, 3716, 4067, 6776, 3718, 6778"
"louvain",1,"GO:0033674",4843,17,537,10,2.45561211189365,1.48548677631536,3.42573744747194,5.30507174937014,0.16794454327615,2.44509683346277e-06,0.00102513901975602,0.999999812626065,1,"1956, 2066, 4915, 3643, 2261, 3791, 2321, 1436, 2263, 7301"
"louvain",1,"GO:0007155",4843,149,537,36,0.980696765829667,0.594314016194474,1.36707951546486,2.17899591316411,0.604600355794139,3.43085893357224e-06,0.00136651111324182,0.99999877281499,1,"3688, 1495, 23037, 1499, 1009, 11122, 10076, 2335, 394, 9223, 177, 3055, 1948, 6714, 2043, 27, 2242, 3636, 575, 259, 1000, 382, 10154, 1002, 1501, 65217, 7057, 8754, 8506, 56138, 55966, 7301, 5067, 6900, 83660, 27255"
"louvain",1,"GO:0008284",4843,109,537,29,1.10379894591011,0.669103409330434,1.53849448248979,2.399449882972,0.487039175500834,4.13473715887077e-06,0.00151846662391082,0.999998701620905,1,"3667, 1956, 2066, 1739, 4915, 1399, 3643, 2335, 5747, 4067, 2261, 22941, 57555, 3055, 3791, 7422, 2321, 2247, 1948, 2043, 1271, 1436, 2263, 2185, 11138, 102, 823, 6599, 7057"
"louvain",1,"GO:0007411",4843,71,537,22,1.31137522041211,0.800121840141432,1.82262860068278,2.79450258347103,0.369477995207529,4.19360604143084e-06,0.00151846662391082,0.999998941385599,1,"1605, 57453, 57556, 2048, 2534, 6654, 5747, 6092, 1948, 2043, 5588, 23114, 9378, 8482, 1436, 1002, 2047, 57715, 2044, 4897, 6900, 27255"
