"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"spectral",1,"GO:0031468",4843,12,78,11,6.6620455838826,4.60074015812408,8.72335100964111,56.9155982905983,8.75624589086128,1.08234066361918e-19,8.62192572639042e-16,1,1,"25978, 57132, 51652, 128866, 27243, 5119, 27183, 79643, 6683, 91782, 9525"
"spectral",1,"GO:0046761",4843,10,78,10,Inf,NA,Inf,62.0897435897436,7.96022353714661,6.49300968470371e-19,2.58616575741749e-15,1,1,"25978, 57132, 51652, 128866, 27243, 5119, 27183, 79643, 91782, 9525"
"spectral",1,"GO:0061952",4843,11,78,10,6.55192031829313,4.48236468994212,8.62147594664414,56.4452214452214,7.96022353714661,7.05095442338722e-18,1.87226343122342e-14,1,1,"25978, 57132, 51652, 128866, 27243, 5119, 27183, 79643, 91782, 9525"
"spectral",1,"GO:0071985",4843,15,78,11,5.27512130148203,4.10559978976104,6.44464281320303,45.5324786324786,8.75624589086128,1.18480174484788e-17,2.35953267486455e-14,1,1,"25978, 57132, 51652, 128866, 27243, 5119, 27183, 79643, 51534, 91782, 9525"
"spectral",1,"GO:0099022",4843,9,78,9,Inf,NA,Inf,62.0897435897436,7.16420118343195,4.54887084287792e-17,7.2472610268731e-14,1,1,"27095, 126003, 51693, 122553, 58485, 22878, 7109, 83696, 60684"
"spectral",1,"GO:0036258",4843,22,78,12,4.45961878974702,3.58594419276871,5.33329338672533,33.8671328671329,9.55226824457594,7.21451626822777e-17,9.5784727654504e-14,1,1,"25978, 57132, 51652, 128866, 27243, 5119, 27183, 79643, 51534, 8766, 91782, 9525"
"spectral",1,"GO:0007080",4843,20,78,11,4.46314033388186,3.54978067903156,5.37649998873216,34.149358974359,8.75624589086128,1.36749224266323e-15,1.55620617215076e-12,1,1,"25978, 57132, 51652, 128866, 27243, 5119, 27183, 79643, 8766, 91782, 9525"
"spectral",1,"GO:0039702",4843,15,78,10,4.9416424226093,3.84174189234732,6.04154295287129,41.3931623931624,7.96022353714661,1.82827983364934e-15,1.82050964435633e-12,1,1,"25978, 57132, 51652, 128866, 27243, 5119, 27183, 79643, 91782, 9525"
"spectral",1,"GO:0051469",4843,8,78,8,Inf,NA,Inf,62.0897435897436,6.36817882971729,3.14197007504497e-15,2.50289336178082e-12,1,1,"25978, 57132, 51652, 128866, 27243, 5119, 79643, 91782"
"spectral",1,"GO:0061763",4843,8,78,8,Inf,NA,Inf,62.0897435897436,6.36817882971729,3.14197007504497e-15,2.50289336178082e-12,1,1,"25978, 57132, 51652, 128866, 27243, 5119, 79643, 91782"
