"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"wt",1,"GO:0006468",4843,180,1737,128,1.54162588412438,1.21370076418656,1.86955100406221,1.98267766903346,0.205458825806576,1.18512282343033e-22,9.44068841144599e-19,1,1,"673, 7534, 1487, 351, 8491, 2475, 207, 5170, 3984, 5894, 1147, 1613, 1859, 5584, 5058, 815, 57787, 4750, 4214, 5063, 65125, 4217, 3643, 2045, 2048, 1612, 9463, 10188, 10494, 9943, 3716, 5594, 2534, 5747, 4067, 8476, 22983, 2932, 5601, 4140, 613, 157285, 10769, 3991, 6195, 57144, 1454, 1453, 5586, 5566, 5582, 5062, 3055, 1020, 23043, 8536, 6714, 2043, 472, 5590, 5218, 5580, 65266, 5588, 27, 5591, 2242, 1445, 5599, 27347, 817, 22853, 2931, 5595, 50488, 5571, 51422, 5581, 57448, 9578, 56924, 5604, 5602, 4145, 120892, 156, 2046, 1025, 1452, 5567, 5578, 2268, 10295, 5579, 5532, 3611, 814, 6872, 816, 79705, 10645, 2047, 51701, 2011, 6794, 10920, 9448, 79834, 7535, 30849, 65268, 102, 23049, 8997, 9318, 8408, 9064, 6792, 657, 90, 8428, 8986, 84451, 5128, 91, 65267, 9891, 84446"
"wt",1,"GO:0007165",4843,362,1737,201,0.872827725452682,0.656543659326333,1.08911179157903,1.54811114609872,0.322634562399388,1.76523303003414e-15,7.03092315862598e-12,0.999999999999999,1,"6455, 1785, 1837, 7534, 7531, 2317, 1793, 2885, 6456, 10133, 3303, 207, 6198, 3667, 5898, 1956, 322, 10971, 7529, 7532, 7533, 1432, 10043, 3984, 5894, 2891, 41, 1742, 2066, 55824, 6457, 1460, 8404, 9135, 65125, 3708, 1399, 1398, 2810, 355, 2017, 9379, 4301, 23607, 867, 146691, 11059, 10486, 10494, 9943, 5797, 11122, 6774, 408, 10487, 5142, 5594, 6654, 4067, 4354, 7276, 1114, 613, 116985, 4043, 57658, 4192, 10817, 8394, 6197, 6195, 26060, 57144, 5528, 55198, 389, 1454, 54472, 1453, 8440, 11216, 8027, 5586, 9223, 8874, 160622, 3925, 5062, 5525, 4952, 2247, 208, 1808, 22920, 10439, 8536, 23048, 286, 6714, 472, 5590, 5921, 5580, 65266, 27, 2556, 27347, 3476, 5587, 4659, 3815, 57524, 5571, 6009, 7159, 5581, 388, 1131, 1436, 9578, 5604, 4294, 5602, 10125, 375790, 10728, 1452, 5567, 5609, 51719, 5579, 5532, 301, 2132, 3628, 5909, 5606, 1501, 814, 9984, 5529, 816, 2257, 10767, 26750, 26578, 3094, 5291, 8826, 5317, 6794, 65059, 10672, 288, 3482, 5912, 55697, 10276, 148252, 55346, 9610, 6778, 2890, 10411, 5754, 2245, 23303, 118427, 8997, 9318, 9467, 5141, 5144, 5880, 30811, 8408, 4983, 9064, 6416, 5526, 8428, 8500, 9784, 4856, 4660, 56896, 9765, 8533, 90627, 9495, 9901, 8506, 84451, 7301, 80131, 91, 718, 94134, 8036, 9373, 80728"
"wt",1,"GO:0046777",4843,78,1737,61,1.88909793199365,1.34827514901238,2.42992071497492,2.1804688307279,0.0979139716734462,1.62717335141495e-14,4.32068763912384e-11,0.999999999999998,1,"2475, 207, 5170, 1956, 1613, 1859, 2066, 5058, 815, 4915, 3643, 1612, 2324, 10494, 9943, 5747, 4067, 2932, 5062, 3055, 3791, 2321, 23043, 6714, 2043, 472, 2242, 27347, 817, 22853, 50488, 5587, 3815, 4215, 1436, 4294, 120892, 2046, 2263, 2268, 814, 6872, 816, 10645, 2047, 5156, 2011, 6794, 79834, 790, 65268, 2050, 23049, 8408, 6792, 8428, 84451, 7301, 91, 5613, 65267"
"wt",1,"GO:0035556",4843,167,1737,106,1.17687280746174,0.856193009818421,1.49755260510506,1.76971790443293,0.17014559012107,1.50250883268319e-13,2.99224634028858e-10,0.999999999999955,1,"7531, 5663, 8491, 207, 5170, 5573, 1432, 1613, 55824, 5584, 5058, 57787, 4216, 5063, 65125, 1399, 1612, 9693, 6453, 23263, 1464, 9943, 3315, 29760, 5336, 3716, 5600, 5594, 2534, 5576, 5879, 4067, 22983, 2932, 4140, 8878, 4192, 1855, 4649, 1857, 6197, 6195, 57144, 6271, 10670, 5586, 22866, 8874, 10207, 3925, 5582, 5062, 3055, 208, 23043, 6714, 5590, 5921, 8125, 5580, 65266, 5588, 5970, 27347, 5595, 5587, 3815, 51422, 5581, 200576, 4215, 56924, 282974, 50649, 120892, 5578, 5589, 51719, 5579, 23589, 814, 6386, 79705, 166614, 51701, 2011, 5577, 10276, 23426, 9448, 7535, 23268, 57580, 65268, 8997, 9467, 30811, 5603, 8525, 8986, 7857, 6000, 84254, 65267, 9891, 84446"
"wt",1,"GO:0018107",4843,41,1737,34,2.17913845268591,1.36348923587113,2.99478766950069,2.31211648904054,0.0545750006048717,6.91614423194761e-10,1.10188009903389e-06,0.999999999925507,1,"207, 5170, 1859, 1460, 65125, 9943, 5594, 8476, 2932, 1386, 1020, 8658, 5580, 5591, 5599, 27347, 817, 8851, 22853, 2931, 5587, 9578, 4294, 120892, 5578, 6872, 51701, 2011, 6794, 790, 8408, 90, 91, 65267"
"wt",1,"GO:0001934",4843,63,1737,46,1.59795539645288,1.03848694817034,2.15742384473542,2.03578510659685,0.0738367655242381,1.70291490058453e-09,2.26090334967606e-06,0.999999999669168,1,"5663, 351, 207, 1956, 3320, 2066, 5058, 4915, 3306, 1399, 355, 3643, 2045, 2324, 408, 9821, 10961, 5879, 5747, 4067, 10399, 8878, 5478, 1855, 1857, 10211, 5300, 1453, 1386, 177, 3791, 208, 23043, 5911, 5595, 1436, 10125, 2332, 120892, 3611, 10645, 25999, 8841, 6416, 718, 85442"
"wt",1,"GO:0000165",4843,49,1737,38,1.83943895037478,1.16576735157693,2.51311054917263,2.1622313865097,0.0609955889113271,2.58791017235767e-09,2.94504177614303e-06,0.999999999607392,1,"673, 369, 7531, 1956, 5894, 4214, 4216, 5063, 4217, 1499, 9693, 5536, 23043, 5605, 5501, 4155, 85358, 5500, 5595, 50488, 5581, 4215, 5604, 4208, 120892, 5606, 6885, 151742, 10645, 51701, 9448, 4882, 9064, 6416, 4763, 7857, 84451, 389840"
"wt",1,"GO:0018105",4843,93,1737,61,1.2517076044301,0.819771404850576,1.68364380400962,1.82878030964275,0.0979139716734462,3.92828460162953e-09,3.91158939207261e-06,0.999999998914301,1,"2475, 207, 5170, 6198, 5310, 1432, 1147, 1859, 5584, 815, 65125, 5594, 22983, 2932, 5601, 4140, 10769, 6197, 6195, 1454, 1453, 5586, 5566, 5582, 5062, 208, 1020, 8658, 8536, 472, 5590, 5580, 5588, 5591, 253260, 5599, 27347, 817, 8851, 22853, 5587, 5581, 282974, 4294, 120892, 156, 1452, 5567, 5578, 51719, 5579, 814, 6872, 816, 2011, 23049, 8408, 5603, 8986, 5613, 84446"
"wt",1,"GO:0006470",4843,54,1737,39,1.55455502028826,0.956128340412183,2.15298170016434,2.0136570076121,0.062600735987941,5.02792226456315e-08,4.45026986216778e-05,0.999999989872918,1,"5799, 5499, 5797, 11122, 5802, 5789, 5803, 5787, 5795, 5536, 5781, 5515, 5528, 5728, 5525, 22843, 5501, 54434, 5530, 5518, 5500, 4659, 5494, 5516, 9647, 5532, 5534, 151742, 5783, 5519, 5529, 6794, 57026, 5533, 5526, 8897, 9110, 5520, 92609"
"wt",1,"GO:0043066",4843,148,1737,83,0.853443149994689,0.523334446197559,1.18355185379182,1.56361931880067,0.133227207358951,2.84450648965104e-07,0.000221127498335395,0.999999882562612,1,"673, 369, 7534, 2316, 5663, 2274, 3303, 2475, 207, 6198, 1956, 1072, 5894, 2066, 10935, 9531, 5295, 5584, 1642, 11331, 5621, 3309, 8887, 3326, 5757, 355, 10987, 1612, 1499, 867, 2324, 3315, 1410, 5747, 2932, 7917, 4831, 213, 396, 23162, 10769, 79577, 6197, 6195, 10456, 8678, 7178, 6622, 5062, 3055, 3791, 208, 6714, 5590, 5921, 7001, 5591, 5970, 253260, 5599, 23376, 57448, 1436, 3313, 57019, 301, 3301, 83737, 23017, 54806, 4282, 25824, 9448, 8841, 399687, 6651, 2739, 7057, 7416, 64223, 81567, 84299, 65267"
