"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"infomap",1,"GO:0033192",4843,5,18,5,Inf,NA,Inf,269.055555555556,74.7376543209877,3.8670998273604e-13,9.75669286443029e-10,1,1,"5530, 5494, 9647, 5532, 5533"
"infomap",1,"GO:0017018",4843,28,18,5,4.38578211582461,3.27598313435805,5.49558109729117,48.0456349206349,74.7376543209877,3.60936327294413e-08,4.55321176881902e-05,0.999999999626461,1,"5530, 5494, 9647, 5532, 5533"
"infomap",1,"GO:0004722",4843,23,18,4,4.28041846863461,3.08134015265611,5.47949678461311,46.792270531401,59.7901234567901,1.13257747308813e-06,0.000952497654867117,0.999999987502693,1,"5530, 5494, 9647, 5532"
"infomap",1,"GO:0016018",4843,8,18,3,5.26165338217645,3.74318144880127,6.78012531555162,100.895833333333,44.8425925925926,2.38727141855215e-06,0.00150577144725177,0.999999990729884,1,"5478, 5530, 5534"
"infomap",1,"GO:0004723",4843,3,18,2,6.40191719672719,3.95175468138755,8.85207971206682,179.37037037037,29.8950617283951,3.90611878589537e-05,0.019710275393628,0.99999995687123,1,"5534, 5533"
"infomap",1,"GO:0004672",4843,101,18,4,2.63378361208718,1.50452870514104,3.76303851903332,10.6556655665567,59.7901234567901,0.000435537381646562,0.166724901060186,0.999975328406471,1,"1020, 8851, 22853, 5754"
"infomap",1,"GO:0004693",4843,9,18,2,4.45476249243967,2.80840367878574,6.1011213060936,59.7901234567901,29.8950617283951,0.000462574041784106,0.166724901060186,0.99999642741666,1,"5127, 1020"
"infomap",1,"GO:0005516",4843,123,18,4,2.42470710768041,1.2986970399931,3.55071717536772,8.74977416440831,59.7901234567901,0.000919950853651597,0.290129500470372,0.999935975228121,1,"5530, 5532, 5534, 5533"
"infomap",1,"GO:0046983",4843,21,18,2,3.45373989545014,1.91624556770456,4.99123422319572,25.6243386243386,29.8950617283951,0.00262796738220008,0.669803250641548,0.999944992009275,1,"5530, 5532"
"infomap",1,"GO:0004674",4843,177,18,4,2.03899795064541,0.917467043490524,3.16052885780029,6.08035153797866,59.7901234567901,0.00352948831950549,0.669803250641548,0.999641678920794,1,"5127, 1020, 9625, 22853"
"infomap",1,"GO:0030549",4843,1,18,1,Inf,NA,Inf,269.055555555556,14.9475308641975,0.00371670452199035,0.669803250641548,1,1,"1020"
"infomap",1,"GO:0008597",4843,1,18,1,Inf,NA,Inf,269.055555555556,14.9475308641975,0.00371670452199035,0.669803250641548,1,1,"5534"
"infomap",1,"GO:0016312",4843,1,18,1,Inf,NA,Inf,269.055555555556,14.9475308641975,0.00371670452199035,0.669803250641548,1,1,"9108"
"infomap",1,"GO:0106018",4843,1,18,1,Inf,NA,Inf,269.055555555556,14.9475308641975,0.00371670452199035,0.669803250641548,1,1,"9108"
"infomap",1,"GO:0106310",4843,186,18,4,1.98634633244776,0.865304366958592,3.10738829793692,5.78614097968937,59.7901234567901,0.00422109576688761,0.709988307990495,0.999548928526502,1,"5127, 1020, 9625, 22853"
"infomap",1,"GO:0016301",4843,33,18,2,2.96169166882935,1.44986366417827,4.47351967348042,16.3063973063973,29.8950617283951,0.00643537635692106,0.89150323887541,0.999780558631766,1,"1020, 8851"
"infomap",1,"GO:0070853",4843,2,18,1,5.6481453943508,2.83567800393297,8.46061278476864,134.527777777778,14.9475308641975,0.00742035989551471,0.89150323887541,0.999986950851534,1,"22853"
"infomap",1,"GO:0043125",4843,2,18,1,5.6481453943508,2.83567800393297,8.46061278476864,134.527777777778,14.9475308641975,0.00742035989551471,0.89150323887541,0.999986950851534,1,"1020"
"infomap",1,"GO:1904399",4843,2,18,1,5.6481453943508,2.83567800393297,8.46061278476864,134.527777777778,14.9475308641975,0.00742035989551471,0.89150323887541,0.999986950851534,1,"5478"
"infomap",1,"GO:0005176",4843,2,18,1,5.6481453943508,2.83567800393297,8.46061278476864,134.527777777778,14.9475308641975,0.00742035989551471,0.89150323887541,0.999986950851534,1,"1020"
"infomap",1,"GO:0061575",4843,2,18,1,5.6481453943508,2.83567800393297,8.46061278476864,134.527777777778,14.9475308641975,0.00742035989551471,0.89150323887541,0.999986950851534,1,"8851"
"infomap",2,"GO:0004713",4843,42,159,20,3.41741570666069,2.78879848138433,4.04603293193704,14.5043426175502,3.83133578576797,1.76044142502977e-19,4.44159371535011e-16,1,1,"1956, 2066, 3643, 2048, 10188, 2534, 5747, 4067, 613, 3055, 3791, 6714, 27, 2242, 1445, 3815, 1436, 2268, 2185, 7535"
"infomap",2,"GO:0001784",4843,22,159,15,4.24273891019678,3.33037613932561,5.15510168106796,20.7675814751286,2.87350183932598,4.01168388421539e-18,5.06073921993772e-15,1,1,"2885, 3667, 5295, 1399, 1398, 867, 5336, 5781, 8440, 3055, 5921, 27, 2268, 10044, 7535"
"infomap",2,"GO:0017124",4843,63,159,22,2.90060544884581,2.35545958324072,3.44575131445089,10.6365179195368,4.21446936434477,8.85889753875894e-18,7.45033283009627e-15,1,1,"1785, 1793, 2885, 30011, 51517, 10006, 7454, 1398, 23607, 867, 6654, 4067, 10657, 22941, 1795, 3636, 26578, 8867, 8754, 8871, 8506, 6451"
"infomap",2,"GO:0004715",4843,22,159,12,3.64165948511402,2.7865287494389,4.49679022078915,16.6140651801029,2.29880147146078,5.05194263003566e-13,3.18651281389499e-10,0.999999999999988,1,"10188, 2534, 5747, 4067, 3055, 6714, 27, 2242, 1445, 2268, 2185, 7535"
