"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"louvain",1,"GO:0004713",4843,42,537,26,2.61318023750006,1.98368271389214,3.24267776110798,5.58295646005143,0.436655812517989,2.51710489790266e-15,6.35065565740841e-12,1,1,"1956, 2066, 3643, 2048, 10188, 3716, 2534, 5747, 4067, 2261, 3055, 3791, 6714, 2043, 27, 2242, 1445, 3815, 1436, 2263, 3718, 2268, 2185, 7525, 7535, 7301"
"louvain",1,"GO:0017124",4843,63,537,31,2.10202006827705,1.59956260177612,2.60447753477797,4.43773462209216,0.520628084156064,3.28085057745507e-14,4.13879300345957e-11,0.999999999999996,1,"1785, 1793, 2885, 30011, 51517, 10006, 7454, 1398, 23607, 867, 9844, 63916, 6654, 4067, 10657, 50944, 22941, 85358, 1795, 3636, 9444, 26578, 9026, 8831, 102, 9732, 8867, 8754, 8871, 8506, 6451"
"louvain",1,"GO:0001784",4843,22,537,16,3.09144951294001,2.14877588198839,4.03412314389163,6.55899779922126,0.268711269241839,1.6763279339535e-11,1.4097917924549e-08,0.99999999999929,1,"2885, 3667, 5295, 1399, 1398, 867, 5336, 5781, 8440, 3055, 5921, 27, 2268, 10044, 7525, 7535"
"louvain",1,"GO:0004715",4843,22,537,15,2.87061018066054,1.96885652427573,3.77236383704535,6.14906043676993,0.251916814914224,3.19025851044093e-10,2.01225555546062e-07,0.999999999983237,1,"10188, 3716, 2534, 5747, 4067, 3055, 6714, 27, 2242, 1445, 3718, 2268, 2185, 7525, 7535"
"louvain",1,"GO:0003729",4843,97,537,29,1.26915341606013,0.824820485474812,1.71348634664545,2.69628904375204,0.487039175500834,2.89926696969701e-07,0.000146297011290911,0.999999922581095,1,"26986, 5094, 5093, 4670, 1994, 1982, 3190, 6311, 10657, 10236, 10658, 10949, 4857, 3191, 27316, 5725, 1973, 58155, 23543, 54039, 57060, 22794, 11315, 3182, 9444, 4440, 6129, 4858, 56853"
"louvain",1,"GO:0001540",4843,42,537,17,1.72245061375749,1.09961393907806,2.34528728843692,3.65039460849517,0.285505723569454,8.07646652025574e-07,0.000339615417176754,0.999999866187796,1,"322, 4035, 58512, 3643, 2048, 774, 2903, 2904, 22871, 4043, 335, 2902, 177, 2043, 3339, 321, 6653"
"louvain",1,"GO:0019903",4843,48,537,18,1.59804376521306,1.00662522300581,2.18946230742031,3.38198324022346,0.302300177897069,1.4556039816871e-06,0.000524641263685222,0.999999726290509,1,"2885, 1956, 1742, 5295, 23026, 1499, 11122, 6774, 3716, 5747, 3728, 1445, 1000, 1436, 3718, 8826, 6778, 51434"
"louvain",1,"GO:0005178",4843,54,537,19,1.49871894625901,0.932799206909996,2.06463868560802,3.17321884267881,0.319094632224684,2.29064108355646e-06,0.000685442145647395,0.999999523324454,1,"3688, 5803, 2335, 5747, 4067, 5478, 87, 3791, 2247, 6714, 8482, 7094, 81, 102, 2674, 7057, 8754, 8425, 83660"
"louvain",1,"GO:0046875",4843,17,537,10,2.45561211189365,1.48548677631536,3.42573744747194,5.30507174937014,0.16794454327615,2.44509683346277e-06,0.000685442145647395,0.999999812626065,1,"2885, 1398, 867, 2534, 4067, 1123, 1948, 6714, 2043, 56899"
"louvain",1,"GO:0042169",4843,21,537,11,2.19544860325532,1.33429007378604,3.05660713272459,4.72404008158198,0.184738997603765,3.51432487226832e-06,0.000886664165273298,0.999999648109207,1,"1605, 3667, 55824, 1398, 29760, 394, 5747, 10657, 6714, 3636, 3815"
