"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"sgG1",1,"GO:0004364",4843,11,4,4,Inf,NA,Inf,440.272727272727,1210.75,1.4414695848079e-11,3.63682776247032e-08,1,1,"2947, 2949, 2944, 2946"
"sgG1",1,"GO:0043295",4843,5,4,3,8.88951508093115,6.23551290598454,11.5435172558778,726.45,908.0625,2.11350017760394e-09,2.66618047404737e-06,0.999999999999782,1,"2947, 2944, 2946"
"sgG1",1,"GO:0019899",4843,142,4,3,4.61945614323557,2.34996542831572,6.88894685815542,25.5792253521127,908.0625,9.66416983607921e-05,0.0812756683214262,0.999999290862267,1,"2947, 2944, 2946"
"sgG1",1,"GO:0042803",4843,256,4,3,3.99598626335844,1.72923634266759,6.26273618404929,14.1884765625,908.0625,0.000561345772972589,0.35406884630246,0.999992364900782,1,"2947, 2944, 2946"
"sgG1",3,"GO:0004111",4843,6,8,3,6.87357782718055,5.04869928333736,8.69845637102374,302.6875,227.015625,5.90588471003513e-08,0.000149005471234186,0.999999999954196,1,"1158, 1159, 548596"
"sgG1",4,"GO:0043022",4843,42,2,2,Inf,NA,Inf,115.309523809524,2421.5,7.34334433299788e-05,0.185272577521536,1,1,"10952, 55176"
"sgG1",5,"GO:0005344",4843,5,6,5,Inf,NA,Inf,807.166666666667,672.638888888889,2.70805310039243e-16,2.27747265743004e-13,1,1,"3039, 3050, 3045, 3046, 3043"
"sgG1",5,"GO:0031720",4843,5,6,5,Inf,NA,Inf,807.166666666667,672.638888888889,2.70805310039243e-16,2.27747265743004e-13,1,1,"3039, 3050, 3045, 3046, 3043"
"sgG1",5,"GO:0043177",4843,5,6,5,Inf,NA,Inf,807.166666666667,672.638888888889,2.70805310039243e-16,2.27747265743004e-13,1,1,"3039, 3050, 3045, 3046, 3043"
"sgG1",5,"GO:0019825",4843,9,6,5,8.70636622315929,6.34604529824005,11.0666871480785,448.425925925926,672.638888888889,3.40979597159955e-14,1.72058304726914e-11,1,1,"3039, 3050, 3045, 3046, 3043"
"sgG1",5,"GO:0004601",4843,9,6,5,8.70636622315929,6.34604529824005,11.0666871480785,448.425925925926,672.638888888889,3.40979597159955e-14,1.72058304726914e-11,1,1,"3039, 3050, 3045, 3046, 3043"
"sgG1",5,"GO:0020037",4843,28,6,5,6.95322731484797,4.76742217880018,9.13903245089576,144.136904761905,672.638888888889,2.65093064406195e-11,1.11471633582805e-08,0.999999999999979,1,"3039, 3050, 3045, 3046, 3043"
"sgG1",5,"GO:0031721",4843,3,6,3,Inf,NA,Inf,807.166666666667,403.583333333333,1.05707769552579e-09,3.81001003687367e-07,1,1,"3045, 3046, 3043"
"sgG1",5,"GO:0005506",4843,18,6,2,5.0150007516059,3.24805512507203,6.78194637813976,89.6851851851852,269.055555555556,0.000194018081779051,0.0611884525410681,0.999999143425549,1,"3039, 3050"
"sgG1",5,"GO:0070001",4843,1,6,1,Inf,NA,Inf,807.166666666667,134.527777777778,0.00123890150733019,0.347305389221564,1,1,"1509"
"sgG1",5,"GO:0004190",4843,3,6,1,6.18105131489335,3.62536852162384,8.73673410816286,269.055555555556,134.527777777778,0.0037128675942254,0.851596812748244,0.999996164129312,1,"1509"
"sgG1",5,"GO:0030492",4843,3,6,1,6.18105131489335,3.62536852162384,8.73673410816286,269.055555555556,134.527777777778,0.0037128675942254,0.851596812748244,0.999996164129312,1,"3043"
"sgG1",7,"GO:0019888",4843,24,129,12,3.69356929430226,2.87264428631588,4.51449430228864,18.7713178294574,3.49233820082928,1.57283385581115e-13,3.96825981821154e-10,0.999999999999996,1,"5528, 5525, 5518, 3476, 5519, 5529, 5524, 5526, 51400, 5520, 55844, 5522"
"sgG1",7,"GO:0051721",4843,16,129,8,3.66080302369057,2.66432669184791,4.65727935553322,18.7713178294574,2.32822546721952,2.19590337028601e-09,2.7701321016158e-06,0.999999999950077,1,"29888, 3476, 55917, 5524, 29966, 6801, 51400, 116443"
"sgG1",7,"GO:0044183",4843,27,129,9,2.97382743816594,2.15340190350625,3.79425297282563,12.5142118863049,2.61925365062196,1.59542130556861e-08,1.3417493179832e-05,0.999999999271466,1,"10574, 22948, 7203, 10576, 10575, 6950, 10694, 10693, 908"
"sgG1",7,"GO:0140662",4843,29,129,9,2.86804093741115,2.06072675801497,3.67535511680733,11.6511627906977,2.61925365062196,3.25867441608458e-08,2.05540888794535e-05,0.999999998346823,1,"10574, 22948, 7203, 10576, 10575, 6950, 10694, 10693, 908"
"sgG1",7,"GO:0051082",4843,69,129,10,1.89162134568796,1.19708590346356,2.58615678791237,5.44096168969779,2.9102818340244,1.13543380630171e-05,0.00572939898659841,0.999998468382479,1,"10574, 22948, 7203, 10576, 10575, 57805, 6950, 10694, 10693, 908"
"sgG1",7,"GO:0008184",4843,3,129,3,Inf,NA,Inf,37.5426356589147,0.873084550207319,1.84726441448523e-05,0.00582581014718278,1,1,"5837, 5834, 5836"
"sgG1",7,"GO:0102250",4843,3,129,3,Inf,NA,Inf,37.5426356589147,0.873084550207319,1.84726441448523e-05,0.00582581014718278,1,1,"5837, 5834, 5836"
"sgG1",7,"GO:0102499",4843,3,129,3,Inf,NA,Inf,37.5426356589147,0.873084550207319,1.84726441448523e-05,0.00582581014718278,1,1,"5837, 5834, 5836"
"sgG1",7,"GO:0072542",4843,8,129,4,3.62912944970816,2.23186482683712,5.02639407257921,18.7713178294574,1.16411273360976,3.09681832642283e-05,0.00868141404173868,0.999999347951283,1,"5528, 5525, 5529, 5526"
"sgG1",7,"GO:0004721",4843,17,129,5,2.75999292614108,1.70157382553338,3.81841202674877,11.0419516643867,1.4551409170122,5.93646606151625e-05,0.0149777038732055,0.999996906700116,1,"5802, 5515, 5528, 5525, 5524"
"sgG1",7,"GO:0004971",4843,4,129,3,4.72041030864036,2.45029195723825,6.99052866004248,28.156976744186,0.873084550207319,7.24478783383441e-05,0.0152321664206369,0.999999519100586,1,"2891, 2892, 2893"
"sgG1",7,"GO:0070016",4843,4,129,3,4.72041030864036,2.45029195723825,6.99052866004248,28.156976744186,0.873084550207319,7.24478783383441e-05,0.0152321664206369,0.999999519100586,1,"29888, 29966, 6801"
"sgG1",7,"GO:0004722",4843,23,129,4,2.06779503629351,0.975027675028506,3.16056239755852,6.52915402763734,1.16411273360976,0.00287134082878017,0.557260993154798,0.999716156860786,1,"5515, 5518, 5516, 5531"
"sgG1",7,"GO:1904315",4843,24,129,4,2.01628872667457,0.928156746409144,3.10442070693999,6.25710594315245,1.16411273360976,0.00337541973552347,0.608298856623266,0.999649053704936,1,"2891, 2892, 2893, 116443"
"sgG1",7,"GO:0098882",4843,4,129,2,3.61368063887283,1.64577207925085,5.58158919849481,18.7713178294574,0.582056366804879,0.00407851526028995,0.68600626678077,0.999927552121662,1,"27445, 26059"
"sgG1",7,"GO:0017018",4843,28,129,4,1.83311465490997,0.759793374423889,2.90643593539605,5.36323366555925,1.16411273360976,0.00599104734645266,0.944713278443754,0.999255022919993,1,"5515, 4624, 5516, 5531"
"sgG1",8,"GO:0051015",4843,138,11,8,4.56903803165616,3.23071777230092,5.9073582910114,25.5230566534914,320.198347107438,5.4555863422958e-11,1.37644443416123e-07,0.999999999999499,1,"10093, 10094, 10092, 10097, 10096, 10109, 57180, 81873"
"sgG1",8,"GO:0005200",4843,83,11,6,4.30546810991976,3.09745921788982,5.5134770019497,31.8269441401971,240.148760330578,9.11302597176703e-09,1.14960822633841e-05,0.999999999894992,1,"10093, 10094, 10092, 10097, 10096, 10109"
"sgG1",8,"GO:0004829",4843,3,11,2,6.97873136777813,4.49075234010807,9.4667103954482,293.515151515152,80.0495867768595,1.40551693091348e-05,0.0118203973889823,0.999999991279109,1,"123283, 6897"
"sgG1",9,"GO:0098632",4843,14,4,2,5.99707378587249,3.95684605594305,8.03730151580194,172.964285714286,605.375,4.64137700900309e-05,0.117101941937148,0.999999923175918,1,"22854, 57689"
"sgG1",9,"GO:0050839",4843,38,4,2,4.89347706320871,2.90624005053294,6.88071407588449,63.7236842105263,605.375,0.000356189782560381,0.449333410699921,0.999998226171428,1,"22854, 57689"
"sgG1",10,"GO:0005525",4843,205,431,42,1.03477901397297,0.680075670531596,1.38948235741435,2.30214475694641,1.09498764541535,1.35086795333389e-07,0.000340823984626141,0.999999953861928,1,"57403, 5869, 5868, 375, 5861, 23647, 26354, 7277, 403, 55207, 4733, 11031, 9230, 5867, 389, 1938, 2794, 5870, 5911, 382, 347733, 10890, 116987, 116442, 54734, 53916, 51552, 126298, 2909, 7846, 7879, 400, 377, 326624, 5878, 381, 55915, 51493, 83452, 401409, 201475, 79861"
"sgG1",10,"GO:0003779",4843,152,431,32,1.05379084687841,0.650570728225342,1.45701096553147,2.36561240688729,0.834276301268835,2.44092416722663e-06,0.00307922583695639,0.999999190627327,1,"1756, 1605, 23499, 667, 2036, 4478, 6711, 10163, 23345, 55704, 6709, 4606, 51466, 55740, 85458, 7430, 118, 23224, 3192, 57731, 64601, 57617, 22921, 6710, 4210, 55075, 57553, 6624, 6712, 7402, 22998, 7224"
"sgG1",10,"GO:0005200",4843,83,431,21,1.27916201706271,0.774040738367921,1.78428329575749,2.84301009140972,0.547493822707673,7.12003087726736e-06,0.00578833990568422,0.999998147954961,1,"1756, 4478, 6711, 7277, 55914, 286, 6708, 6709, 287, 347733, 7094, 57731, 288, 6710, 23336, 4741, 7846, 6712, 4744, 5357, 79861"
"sgG1",10,"GO:0003925",4843,32,431,12,1.83884343950124,1.11617026925621,2.56151660974626,4.21374709976798,0.312853612975813,9.17691621987193e-06,0.00578833990568422,0.999998679520941,1,"5869, 5868, 5861, 55207, 9230, 5867, 5911, 382, 10890, 53916, 7879, 5878"
"sgG1",10,"GO:0019003",4843,49,431,15,1.53535169430759,0.919553841399682,2.15114954721551,3.43979355083101,0.391067016219766,1.2608944520819e-05,0.00636247340520525,0.999997507721237,1,"57403, 5869, 5868, 403, 55207, 11031, 9230, 5867, 5911, 382, 10890, 51552, 7879, 5878, 201475"
"sgG1",10,"GO:0003924",4843,184,431,33,0.85003487286703,0.459641462930147,1.24042828280391,2.01527035206295,0.860347435683486,5.90249074101968e-05,0.0223226782215025,0.999976104921816,1,"57403, 5869, 5868, 375, 5861, 403, 55207, 4733, 11031, 9230, 5867, 389, 1938, 2794, 5870, 5911, 382, 347733, 116987, 116442, 54734, 53916, 51552, 2909, 7879, 400, 377, 326624, 5878, 381, 83452, 401409, 201475"
"sgG1",10,"GO:0140444",4843,4,431,4,Inf,NA,Inf,11.2366589327146,0.104284537658604,6.19337088983422e-05,0.0223226782215025,1,1,"23345, 25777, 23224, 23353"
"sgG1",10,"GO:0017166",4843,10,431,6,2.7445522900165,1.4754670951449,4.0136374848881,6.74199535962877,0.156426806487906,7.39381592439364e-05,0.0233182469715565,0.999996005462546,1,"1756, 1605, 7094, 23336, 7402, 51493"
"sgG1",10,"GO:0008017",4843,141,431,26,0.874949726326688,0.437298592743103,1.31260085991027,2.07200803014596,0.677849494780928,0.000228309577594369,0.0640027849189548,0.999910897152152,1,"3798, 3799, 3800, 667, 403, 55755, 81631, 4733, 11345, 26146, 55704, 3797, 7430, 25777, 23046, 9493, 27072, 4741, 84557, 83473, 4926, 55605, 126731, 4744, 54627, 9371"
"sgG1",10,"GO:0031267",4843,163,431,28,0.789000278017,0.369373059914506,1.20862749611949,1.93022362034362,0.72999176361023,0.000451876549543008,0.114008453449701,0.999807641361125,1,"23163, 7249, 4645, 23647, 11078, 2664, 10640, 4952, 55770, 2803, 23637, 26056, 9648, 9578, 23258, 2665, 11069, 259173, 83547, 10497, 22930, 23312, 7879, 80223, 9321, 9783, 9371, 9950"
"sgG1",10,"GO:0070679",4843,9,431,5,2.55988055587759,1.24131719117809,3.87844392057709,6.24258829595257,0.130355672073255,0.000508179687200646,0.116557940982476,0.99996802801383,1,"3709, 23228, 3708, 7223, 7224"
"sgG1",10,"GO:0005543",4843,55,431,13,1.17431659474305,0.544202419164875,1.80443077032122,2.65593756591436,0.338924747390464,0.000820032710787619,0.172411877443097,0.999772353161192,1,"23647, 6711, 23710, 338, 23550, 116987, 8291, 57731, 27236, 84557, 2909, 10497, 6712"
"sgG1",10,"GO:0051015",4843,138,431,22,0.68917674239785,0.222248144620579,1.15610534017512,1.79135142405595,0.573564957122324,0.00472194201517056,0.85606841316047,0.997823458261818,1,"23499, 4645, 6711, 88, 11078, 23345, 6708, 6709, 23164, 7430, 118, 4621, 7094, 4651, 57731, 6710, 57698, 6624, 6712, 4625, 5357, 4626"
"sgG1",10,"GO:0030507",4843,19,431,6,1.56385346419082,0.591389219510412,2.53631770887123,3.54841861033093,0.156426806487906,0.00476681303883474,0.85606841316047,0.999177046705553,1,"286, 287, 118, 4651, 57731, 288"
"sgG1",10,"GO:0005545",4843,9,431,4,2.11102190029915,0.792466468996176,3.42957733160213,4.99407063676205,0.104284537658604,0.00542415988894007,0.85606841316047,0.999491820312799,1,"23001, 8411, 9765, 9892"
"sgG1",10,"GO:0004198",4843,5,431,3,2.73797188096726,0.945995278056657,4.52994848387786,6.74199535962877,0.0782134032439532,0.00610750354216745,0.85606841316047,0.999712191917339,1,"824, 826, 823"
"sgG1",10,"GO:0016812",4843,5,431,3,2.73797188096726,0.945995278056657,4.52994848387786,6.74199535962877,0.0782134032439532,0.00610750354216745,0.85606841316047,0.999712191917339,1,"1808, 1809, 56896"
"sgG1",10,"GO:0019208",4843,5,431,3,2.73797188096726,0.945995278056657,4.52994848387786,6.74199535962877,0.0782134032439532,0.00610750354216745,0.85606841316047,0.999712191917339,1,"4659, 81846, 4660"
"sgG1",10,"GO:0003777",4843,33,431,8,1.19959443893157,0.397209571906858,2.00197930595628,2.72403852914294,0.208569075317209,0.00697435646766506,0.926121124627313,0.998212901982368,1,"3799, 3800, 3797, 9126, 23046, 9493, 55605, 9371"
"sgG1",10,"GO:0031489",4843,15,431,5,1.64222773525709,0.564094842425469,2.72036062808871,3.74555297757154,0.130355672073255,0.00771915727813104,0.949520678946585,0.998804039786022,1,"9230, 5870, 10890, 116442, 51552"
"sgG1",10,"GO:0005093",4843,2,431,2,Inf,NA,Inf,11.2366589327146,0.0521422688293022,0.00790326367731997,0.949520678946585,1,1,"2664, 2665"
"sgG1",10,"GO:0030674",4843,48,431,10,1.00579930082199,0.302053637809019,1.70954496383496,2.34097061098221,0.260711344146511,0.00837971621687203,0.961001091598551,0.997341133959804,1,"10133, 287, 55823, 57617, 288, 11069, 6624, 4744, 55691, 482"
"sgG1",11,"GO:1905574",4843,1,4,1,Inf,NA,Inf,1210.75,302.6875,0.000825934338219869,0.69461077844291,1,1,"5660"
"sgG1",11,"GO:1905575",4843,1,4,1,Inf,NA,Inf,1210.75,302.6875,0.000825934338219869,0.69461077844291,1,1,"5660"
"sgG1",11,"GO:1905577",4843,1,4,1,Inf,NA,Inf,1210.75,302.6875,0.000825934338219869,0.69461077844291,1,1,"5660"
"sgG1",12,"GO:0046961",4843,15,4,3,7.0956860745406,4.76264888595865,9.42872326312256,242.15,908.0625,9.60151970216409e-08,0.0002422463420856,0.999999999940376,1,"523, 51382, 526"
"sgG1",13,"GO:0030280",4843,23,740,22,4.83380282294242,2.82818443490924,6.8394212109756,6.26004700352526,0.194569028487947,1.69592421320966e-17,4.27881678992797e-14,1,1,"3855, 3848, 3854, 3853, 140807, 5317, 3852, 3851, 3849, 374454, 112802, 338785, 319101, 196374, 51350, 121391, 3892, 3888, 9119, 8689, 3887, 3889"
"sgG1",13,"GO:0005515",4843,3899,740,634,0.42861291909671,0.209383213208216,0.647842624985205,1.06418901589458,5.60712563915267,4.49609416695122e-05,0.0567182279160896,0.999971392753032,1,"1487, 2058, 1674, 6427, 5048, 7533, 1613, 4783, 40, 10484, 3251, 10342, 3855, 65263, 25831, 22995, 1600, 5859, 1838, 11117, 6499, 5976, 5493, 10539, 10482, 7431, 7251, 9146, 114928, 4747, 9463, 23368, 2801, 81876, 22938, 3848, 9759, 1856, 1832, 91404, 3635, 10142, 5575, 55048, 9738, 5682, 5689, 10606, 23028, 11075, 284403, 10540, 2059, 23474, 28985, 192111, 4026, 9231, 8655, 10994, 10615, 22981, 11021, 4218, 1855, 11170, 4649, 1639, 1857, 10817, 50861, 22924, 5713, 26003, 23265, 2992, 11007, 3854, 8996, 3866, 386618, 4591, 8907, 3983, 60491, 27229, 149371, 10483, 5300, 3880, 22954, 57144, 1781, 8623, 10152, 26128, 54474, 2670, 81628, 10320, 153733, 66036, 11020, 10900, 51421, 541468, 127703, 55885, 140735, 2954, 3853, 5152, 10982, 57596, 6990, 1780, 10127, 22978, 445, 51760, 3875, 23636, 9093, 54906, 95, 5700, 9513, 8379, 51160, 8615, 56850, 26058, 6249, 23085, 23332, 10432, 54749, 23112, 23152, 54535, 54550, 81565, 30820, 1778, 51361, 9659, 51199, 3856, 1062, 4716, 10787, 10427, 8736, 5966, 55212, 26046, 6158, 23281, 152185, 84445, 353, 5571, 51422, 5562, 121441, 7159, 22919, 1540, 3141, 26523, 5204, 25959, 23384, 11064, 283234, 54477, 64926, 55835, 375790, 375056, 6293, 55149, 5585, 23479, 3801, 1641, 7170, 54793, 2617, 5027, 5108, 64754, 7247, 10146, 27161, 4706, 636, 3304, 5565, 7965, 9961, 23243, 56904, 6723, 388135, 58494, 57019, 5537, 10120, 11258, 282991, 1152, 3628, 64837, 22870, 53358, 5630, 29110, 1977, 154796, 22852, 10933, 2631, 11130, 4236, 9984, 81892, 6386, 23011, 54585, 117177, 1656, 167691, 25901, 115704, 57606, 26578, 27342, 23019, 1846, 5563, 3927, 115948, 22832, 2281, 23216, 140807, 10297, 5317, 90550, 152789, 4163, 54828, 200734, 10529, 4644, 9181, 5202, 23371, 23186, 57532, 7525, 2173, 4957, 54806, 23201, 10460, 125115, 64147, 143884, 23288, 3881, 159989, 10213, 3281, 7024, 114824, 4253, 8664, 79720, 79959, 3860, 9470, 28952, 9500, 53615, 3382, 7168, 3852, 2997, 3851, 358, 200081, 3849, 402, 221, 9278, 1984, 5129, 2039, 374454, 55697, 27124, 57096, 112802, 29094, 51248, 114327, 284656, 84312, 23334, 57213, 338785, 23254, 10434, 319101, 9454, 79571, 64744, 114971, 1794, 2800, 57326, 94121, 51015, 23503, 10611, 55698, 116835, 26051, 5318, 84260, 55156, 79843, 140460, 53944, 22931, 55337, 54834, 51256, 553115, 27343, 23270, 9100, 55521, 22864, 26985, 11196, 51143, 3796, 191, 271, 9852, 9832, 54438, 7082, 547, 85376, 8481, 221178, 192666, 80184, 463, 8030, 196374, 115817, 27132, 152206, 89, 340527, 148252, 23294, 54785, 11178, 3885, 342574, 55346, 3868, 642938, 51350, 3886, 388336, 8618, 121391, 29982, 3892, 5705, 3888, 123591, 84376, 9119, 150962, 64599, 29119, 84823, 151963, 145773, 400673, 784, 29941, 55128, 7411, 51668, 54676, 2239, 84516, 5833, 31, 134829, 80212, 401647, 3861, 197322, 3882, 154043, 122961, 220164, 23151, 51741, 6726, 9079, 79711, 60484, 51101, 23138, 26515, 51606, 10471, 374618, 284992, 22885, 501, 9260, 55833, 1819, 810, 144100, 9255, 23548, 4713, 54994, 144165, 2741, 7171, 284439, 64168, 23177, 54915, 5096, 9605, 91156, 57530, 221424, 25852, 3712, 60370, 5917, 4336, 5224, 26011, 51164, 342667, 1738, 4892, 93986, 51807, 5095, 23268, 8565, 51542, 55275, 5091, 11160, 10111, 256309, 10613, 79048, 387680, 10973, 829, 54862, 10121, 55862, 138311, 6144, 10763, 832, 23271, 22994, 28981, 142678, 10527, 55619, 374654, 65078, 23049, 84665, 80196, 7257, 23431, 3376, 27327, 60592, 55201, 23325, 131405, 9690, 55728, 5116, 2876, 55291, 91526, 283373, 85379, 9256, 23500, 55857, 9786, 79848, 23094, 64793, 54939, 57650, 5862, 57662, 60412, 6391, 23102, 55831, 23322, 79598, 9201, 4677, 9851, 9053, 9731, 10844, 57584, 525, 9662, 286077, 9567, 9414, 4676, 55705, 285636, 25900, 4856, 55717, 3872, 57216, 51204, 55860, 57459, 6727, 56922, 57175, 64343, 140465, 83658, 22, 291, 285590, 22848, 63976, 5865, 779, 830, 9853, 9632, 9793, 8895, 90850, 874, 4062, 9825, 9787, 3887, 9775, 9859, 8601, 84894, 9545, 6494, 9657, 9118, 83548, 9755, 84932, 57644, 85865, 9600, 160418, 759, 4619, 55118, 79718, 85397, 3889, 79065, 84866, 84340, 9108, 388695, 56181, 80262, 9908, 2584, 9701, 5459, 9811, 7125, 8785, 92737, 5313, 6876, 55610, 85461, 9737, 9897, 800, 9761, 85417, 80155, 55320, 57470, 23370, 84461, 23412, 55750, 51441, 64506, 90362, 64087"
"sgG1",13,"GO:1990254",4843,5,740,5,Inf,NA,Inf,6.54459459459459,0.0442202337472608,8.23384148008607e-05,0.0692466068475238,1,1,"7431, 121391, 3861, 286077, 83481"
"sgG1",13,"GO:0005200",4843,83,740,26,0.949646325575038,0.47902948513301,1.42026316601707,2.05011396939108,0.229945215485756,0.000160084556524299,0.100973334027701,0.999942075664466,1,"1674, 5493, 7431, 4747, 1832, 3857, 3854, 3866, 27229, 3880, 54474, 2670, 3853, 375790, 636, 3881, 7168, 3852, 3849, 8030, 3868, 84823, 3861, 51807, 347688, 9118"
"sgG1",13,"GO:0009374",4843,4,740,4,Inf,NA,Inf,6.54459459459459,0.0353761869978086,0.000541352702746419,0.273166573805843,1,1,"3141, 5095, 5091, 56922"
"sgG1",13,"GO:0051011",4843,9,740,6,2.41338040463783,1.02522668005409,3.80153412922156,4.36306306306306,0.0530642804967129,0.000692685010536572,0.291274046930629,0.999948570849686,1,"27229, 51199, 157922, 23271, 57662, 10844"
"sgG1",13,"GO:0008017",4843,141,740,36,0.66632974720089,0.279398905318498,1.05326058908328,1.67096032202415,0.318385682980278,0.000918106406234848,0.330911780418646,0.999555861187065,1,"5048, 2801, 10615, 1639, 22924, 10982, 1780, 6249, 23332, 81565, 51361, 1062, 23281, 283234, 3801, 1641, 7840, 157922, 10297, 152789, 9181, 64147, 3796, 9832, 547, 55614, 84376, 57530, 374654, 55201, 91978, 79884, 9793, 79187, 9787, 85459"
"sgG1",13,"GO:0045504",4843,5,740,4,3.10429418102334,0.911543378038942,5.29704498400774,5.23567567567568,0.0353761869978086,0.00237740985452865,0.599820506297579,0.999917661585199,1,"1783, 1781, 1780, 51143"
"sgG1",13,"GO:0051371",4843,5,740,4,3.10429418102334,0.911543378038942,5.29704498400774,5.23567567567568,0.0353761869978086,0.00237740985452865,0.599820506297579,0.999917661585199,1,"10611, 9260, 4892, 84665"
"sgG1",13,"GO:0019215",4843,5,740,4,3.10429418102334,0.911543378038942,5.29704498400774,5.23567567567568,0.0353761869978086,0.00237740985452865,0.599820506297579,0.999917661585199,1,"5317, 5318, 10763, 83481"
"sgG1",13,"GO:0045505",4843,18,740,8,1.49810941121688,0.565078508464033,2.43114031396973,2.90870870870871,0.0707523739956172,0.00300662796978837,0.689611124343278,0.999427521970263,1,"5048, 8655, 140735, 6990, 1778, 636, 84376, 83658"
"sgG1",13,"GO:0045503",4843,3,740,3,Inf,NA,Inf,6.54459459459459,0.0265321402483565,0.00355515207773768,0.689972976317859,1,1,"1781, 1780, 84376"
"sgG1",13,"GO:0043515",4843,3,740,3,Inf,NA,Inf,6.54459459459459,0.0265321402483565,0.00355515207773768,0.689972976317859,1,1,"8379, 23332, 1062"
"sgG1",14,"GO:0032051",4843,5,5,2,6.97955901111112,4.86232940464882,9.09678861757342,387.44,387.44,8.51828770566534e-06,0.0214916398813937,0.999999994717887,1,"3092, 9026"
"sgG1",14,"GO:0043325",4843,11,5,2,5.87970500042916,3.97471856877092,7.7846914320874,176.109090909091,387.44,4.67345019543043e-05,0.0353587168778271,0.999999913007185,1,"3092, 9026"
"sgG1",14,"GO:0035615",4843,11,5,2,5.87970500042916,3.97471856877092,7.7846914320874,176.109090909091,387.44,4.67345019543043e-05,0.0353587168778271,0.999999913007185,1,"3092, 9026"
"sgG1",14,"GO:0080025",4843,12,5,2,5.77413738111521,3.88038739098157,7.66788737124886,161.433333333333,387.44,5.60582114590996e-05,0.0353587168778271,0.99999988404557,1,"3092, 9026"
"sgG1",14,"GO:0030276",4843,31,5,2,4.70548350318302,2.87939447622752,6.53157253013853,62.4903225806452,387.44,0.000391860788487668,0.197732953870877,0.999997644788158,1,"3092, 9026"
"sgG1",14,"GO:0035091",4843,47,5,2,4.26278420128115,2.44963673777662,6.07593166478568,41.2170212765957,387.44,0.000904945323229022,0.372112917022958,0.999991546194331,1,"3092, 9026"
"sgG1",14,"GO:0023030",4843,1,5,1,Inf,NA,Inf,968.6,193.72,0.00103241792277475,0.372112917022958,1,1,"51571"
"sgG1",14,"GO:0004359",4843,2,5,1,7.09775561170309,4.15762054485872,10.0378906785475,484.3,193.72,0.00206398296002952,0.65092862601931,0.999999147114479,1,"27165"
"sgG1",15,"GO:0035615",4843,11,6,2,5.59181582432126,3.7727940717734,7.41083757686912,146.757575757576,269.055555555556,7.00148679770253e-05,0.176647511906035,0.999999826230091,0.999999826230091,"164, 1174"
"sgG1",17,"GO:0003844",4843,1,3,1,Inf,NA,Inf,1614.33333333333,538.111111111111,0.000619450753665096,0.520958083832346,1,1,"2632"
