"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"spectral",1,"GO:0031489",4843,15,78,4,3.15107564303749,1.98387473721263,4.31827654886235,16.557264957265,3.18408941485865,7.42970739667146e-05,0.187451517618021,0.999997478467522,1,"9230, 116442, 51552, 8766"
"spectral",1,"GO:0005173",4843,2,78,2,Inf,NA,Inf,62.0897435897436,1.59204470742932,0.000256121521858219,0.323097299824144,1,1,"161742, 200734"
"spectral",1,"GO:0031267",4843,163,78,9,1.36236550253204,0.649415013748526,2.07531599131555,3.42826805096744,7.16420118343195,0.00110388828655753,0.92837004899488,0.999753152763921,1,"4645, 7813, 23637, 26056, 23534, 22841, 22930, 80223, 9783"
"spectral",3,"GO:0050135",4843,3,1,1,Inf,NA,Inf,1614.33333333333,4843,0.000619450753665096,0.781437125748519,1,1,"11141"
"spectral",3,"GO:0061809",4843,3,1,1,Inf,NA,Inf,1614.33333333333,4843,0.000619450753665096,0.781437125748519,1,1,"11141"
"spectral",4,"GO:0106310",4843,186,252,59,2.37446067260339,2.03368813850835,2.71523320669843,6.09611281788701,4.49951184177375,1.62209833424423e-32,4.09255409729819e-29,1,1,"673, 369, 8844, 2475, 207, 5170, 6198, 1432, 3984, 5894, 5584, 5058, 23031, 57787, 4216, 65125, 4217, 10494, 9943, 5290, 5600, 5594, 6195, 5566, 6300, 5582, 208, 5605, 5590, 5580, 65266, 5599, 27347, 2931, 5595, 5587, 5581, 4215, 5604, 4294, 5602, 5578, 5609, 5579, 3611, 5606, 2011, 6794, 65268, 9064, 5603, 6416, 54861, 84630, 8986, 7786, 84451, 84446, 9024"
"spectral",4,"GO:0004674",4843,177,252,55,2.32502836069468,1.97617894392176,2.67387777746759,5.97177383194332,4.194460191484,9.93662519134296e-30,1.25350526788791e-26,1,1,"673, 369, 8844, 2475, 207, 5170, 6198, 1432, 3984, 5894, 5584, 5058, 23031, 57787, 65125, 4217, 10494, 9943, 5290, 5600, 5594, 6195, 5566, 6300, 5582, 208, 5605, 5590, 5580, 65266, 5599, 27347, 2931, 5595, 5587, 5581, 4215, 5604, 4294, 5578, 5579, 3611, 5606, 2011, 6794, 65268, 5603, 6416, 54861, 657, 84630, 8986, 7786, 84446, 9024"
"spectral",4,"GO:0004672",4843,101,252,28,2.04592371419972,1.59004550099779,2.50180192740165,5.32783278327833,2.13536155202822,6.14856389474636e-14,5.17094223548169e-11,0.999999999999992,1,"673, 369, 8844, 2475, 207, 6198, 3984, 5894, 5584, 5058, 65125, 4217, 10494, 5566, 5582, 5590, 5580, 65266, 5581, 4215, 5604, 4294, 5578, 5156, 6416, 5289, 7786, 84451"
"spectral",4,"GO:0005524",4843,715,252,79,1.04369357483087,0.764686034692544,1.3227011149692,2.12341547341547,6.02477009322247,4.94478112341572e-12,3.11892069359447e-09,0.999999999998298,1,"673, 369, 8844, 2475, 207, 5170, 6198, 1956, 1432, 3984, 5894, 5584, 5058, 23031, 57787, 4216, 65125, 4217, 10494, 9943, 1080, 5290, 5600, 5594, 6195, 5566, 6300, 5582, 208, 23396, 1969, 5605, 5037, 5590, 5580, 65266, 5599, 27347, 2931, 5595, 5587, 5581, 4215, 10243, 5604, 4294, 5602, 3101, 5578, 5609, 11344, 5214, 5579, 3611, 5606, 5156, 2011, 6794, 4438, 5524, 63826, 7153, 23303, 65268, 6854, 3758, 9064, 5603, 6416, 5289, 54861, 657, 84630, 8986, 7786, 2038, 84451, 84446, 9024"
"spectral",4,"GO:0004708",4843,10,252,9,5.13579843705026,3.06575243566927,7.20584443843126,17.2964285714286,0.686366213151927,2.32780457402477e-11,1.1746101880529e-08,0.999999999999877,1,"673, 1432, 5594, 5605, 5595, 5604, 5602, 5609, 5606"
"spectral",4,"GO:0071889",4843,13,252,9,3.74885026747295,2.56399120614233,4.93370932880358,13.3049450549451,0.686366213151927,1.4486675677637e-09,6.09164712244636e-07,0.999999999969519,1,"8844, 207, 10971, 5590, 5581, 171024, 153090, 57521, 23303"
"spectral",4,"GO:0004697",4843,12,252,8,3.62696044986392,2.41982261201358,4.83409828771425,12.8121693121693,0.610103300579491,1.9906103983847e-08,6.36338614443302e-06,0.999999999533154,1,"5584, 5582, 5590, 5580, 5587, 5581, 5578, 5579"
"spectral",4,"GO:0030295",4843,16,252,9,3.18858024333493,2.19244192798028,4.18471855868959,10.8102678571429,0.686366213151927,2.01772053727563e-08,6.36338614443302e-06,0.999999999257762,1,"65125, 5290, 6009, 5604, 51719, 2011, 57521, 8567, 6794"
"spectral",4,"GO:0004707",4843,9,252,7,4.18292217234547,2.60617960227488,5.75966474241607,14.9475308641975,0.533840388007055,3.13552713988728e-08,8.78992774881733e-06,0.999999999584692,1,"1432, 5600, 5594, 6300, 5595, 5609, 5603"
"spectral",4,"GO:0004709",4843,13,252,8,3.40359886737038,2.27883136153177,4.528366373209,11.8266178266178,0.610103300579491,4.94380022495805e-08,1.13392799705174e-05,0.999999998551332,1,"673, 369, 1956, 5894, 4216, 4217, 4215, 9064"
"spectral",4,"GO:0004698",4843,13,252,8,3.40359886737038,2.27883136153177,4.528366373209,11.8266178266178,0.610103300579491,4.94380022495805e-08,1.13392799705174e-05,0.999999998551332,1,"5584, 5582, 5590, 5580, 5587, 5581, 5578, 5579"
"spectral",4,"GO:0000287",4843,92,252,19,1.6187657814803,1.09708391232586,2.14044765063473,3.96898723257419,1.44899533887629,1.54679979791349e-07,3.25214657511311e-05,0.999999971305376,1,"23031, 4217, 9943, 6195, 5566, 6300, 6009, 5494, 5609, 2011, 6794, 57026, 63826, 7153, 9064, 54861, 8986, 84446, 9024"
"spectral",4,"GO:0019901",4843,206,252,29,1.17651091276921,0.761456521330245,1.59156530420817,2.7054823547542,2.21162446460065,5.92808666223343e-07,0.000108529894665438,0.999999826293752,1,"7534, 207, 65125, 4217, 2810, 1499, 9943, 5795, 572, 4137, 5566, 1386, 8678, 5037, 5590, 5580, 253260, 6009, 1845, 5609, 3611, 5606, 153090, 57521, 23303, 399473, 7786, 84446, 9024"
"spectral",4,"GO:0004712",4843,12,252,7,3.26597748949434,2.11114517270746,4.42080980628121,11.2106481481481,0.533840388007055,6.02226922440003e-07,0.000108529894665438,0.999999980093896,1,"207, 6198, 6195, 5566, 5582, 5605, 5604"
"spectral",4,"GO:0017018",4843,28,252,9,2.18743017974393,1.38388602003896,2.99097433944891,6.17729591836735,0.686366213151927,7.00507584016476e-06,0.00114496364089054,0.99999930352999,1,"5728, 54434, 11221, 1845, 5494, 5516, 151742, 57026, 85464"
"spectral",4,"GO:0051721",4843,16,252,7,2.67731822418781,1.68124450421594,3.67339194415968,8.40798611111111,0.533840388007055,7.26096641072085e-06,0.00114496364089054,0.999999569059971,1,"6198, 4137, 6772, 2768, 153090, 5524, 116443"
"spectral",4,"GO:0019899",4843,142,252,21,1.2114578692125,0.72961576329114,1.69329997513387,2.84213615023474,1.60152116402116,1.07479775234794e-05,0.00159512631127874,0.999997007922171,1,"7531, 207, 1956, 7529, 1432, 5894, 824, 1499, 1080, 4137, 5728, 5037, 5580, 5599, 5581, 7054, 6772, 5578, 5609, 2944, 5144"
"spectral",4,"GO:0004721",4843,17,252,7,2.57173943940328,1.59732751716844,3.54615136163813,7.91339869281046,0.533840388007055,1.1799318724004e-05,0.00165387117448123,0.999999222394037,1,"5728, 54434, 7145, 57026, 5524, 92609, 85464"
"spectral",4,"GO:0043539",4843,18,252,7,2.47621094282045,1.51988717916666,3.43253470647423,7.47376543209877,0.533840388007055,1.84570677181182e-05,0.00245090430804275,0.999998662858267,1,"5605, 253260, 6009, 5604, 51719, 153090, 7786"
"spectral",4,"GO:0004725",4843,34,252,9,1.91168013621721,1.13891959954078,2.68444067289364,5.08718487394958,0.686366213151927,4.03765256342512e-05,0.00509349870876078,0.999994730475559,1,"5795, 52, 5728, 54434, 1845, 5783, 9110, 92609, 85464"
"spectral",4,"GO:0005080",4843,29,252,8,1.96501936255146,1.14056911643598,2.78946960866694,5.3015873015873,0.610103300579491,7.94365019754191e-05,0.00954372830876106,0.999990299321743,1,"7532, 55704, 5587, 4082, 11344, 5579, 3685, 7153"
"spectral",4,"GO:0050815",4843,6,252,4,3.6111358487898,1.90892333125461,5.31334836632498,12.8121693121693,0.305051650289746,9.88671730583481e-05,0.0108452990272266,0.999997890111322,1,"7534, 7531, 7529, 7532"
"spectral",4,"GO:0004706",4843,6,252,4,3.6111358487898,1.90892333125461,5.31334836632498,12.8121693121693,0.305051650289746,9.88671730583481e-05,0.0108452990272266,0.999997890111322,1,"4217, 4294, 7786, 84451"
"spectral",4,"GO:0019903",4843,48,252,10,1.59960284244576,0.891102406044961,2.30810327884655,4.00380291005291,0.762629125724364,0.000137628727026296,0.0144682199286394,0.999975316886071,1,"7531, 1956, 1432, 4217, 1499, 3728, 572, 5599, 5609, 9110"
"spectral",4,"GO:0019902",4843,18,252,6,2.23075719616479,1.24239733223145,3.21911706009812,6.40608465608466,0.457577475434618,0.000204386887187896,0.0206267246550024,0.999981542932282,1,"7249, 65125, 5594, 5595, 9368, 9351"
"spectral",4,"GO:0050321",4843,19,252,6,2.15049607634667,1.17467346804747,3.12631868464586,6.06892230576441,0.457577475434618,0.000285825482008345,0.027736065042579,0.99997206340159,1,"57787, 2931, 2011, 84630, 84446, 9024"
"spectral",4,"GO:0005078",4843,8,252,4,2.91755274843219,1.52574535520008,4.3093601416643,9.60912698412698,0.305051650289746,0.000424469782004563,0.0396643429628708,0.999981945040728,1,"8844, 23162, 5605, 5604"
