"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"infomap",2,"110",4843,28,159,2,0.825146287634441,-0.621866969943818,2.2721595452127,2.17565139263252,0.383133578576797,0.233914831112642,0.747475278257893,0.937541244645619,0.937541244645619,"462, 966"
"infomap",2,"100",4843,350,159,13,0.138501036389631,-0.439515540805893,0.716517613585154,1.13133872416891,2.49036826074918,0.362601667119735,0.747475278257893,0.742493522183863,0.937541244645619,"2887, 3667, 57556, 7454, 29760, 11248, 10044, 8175, 9472, 129138, 56138, 8288, 780776"
"infomap",2,"1",4843,14,159,1,0.821584070013605,-1.21857377992533,2.86174191995254,2.17565139263252,0.191566789288398,0.373737639128947,0.747475278257893,0.924712374850708,0.937541244645619,"3000"
"infomap",2,"111",4843,2119,159,70,0.0113901850537821,-0.307007087933098,0.329787458040663,1.00620026653132,13.4096752501879,0.50318492037277,0.754777380559155,0.5613596394059,0.937541244645619,"6455, 1759, 1785, 2316, 8470, 2885, 6456, 8491, 10015, 55824, 2934, 50618, 10006, 6457, 58512, 22839, 4915, 1399, 1398, 2017, 50807, 2048, 10458, 1499, 10188, 11122, 5791, 5803, 2534, 6654, 5781, 4067, 10657, 10236, 3728, 4190, 22941, 9699, 5062, 3791, 6714, 1271, 114784, 1795, 6137, 445815, 23114, 23230, 2571, 2098, 3815, 57030, 25930, 147179, 3417, 2047, 55748, 56899, 2044, 3706, 85365, 3493, 8867, 8853, 966, 9901, 8506, 18, 6900, 8936"
"infomap",2,"101",4843,2356,159,75,-0.0612246718549223,-0.377827749234132,0.255378405524288,0.969623922862543,14.3675091966299,0.67689352191583,0.812272226298996,0.382984082992188,0.937541244645619,"2317, 1793, 2274, 30011, 2318, 51517, 1956, 2066, 5295, 10580, 80347, 3643, 5335, 23607, 867, 5787, 5795, 6774, 5336, 6655, 9644, 5747, 51429, 613, 5424, 8440, 160622, 3055, 2321, 5921, 5588, 27, 357, 11176, 23013, 171023, 2242, 1445, 3636, 9826, 1436, 8976, 2268, 11253, 644150, 2185, 26578, 54187, 65059, 56165, 57381, 126133, 124044, 7535, 952, 6936, 9784, 8754, 8871, 63897, 8667, 29934, 3000, 90134, 3700, 9185, 8425, 5445, 6451, 83442, 2184, 94134, 84940, 80208, 79585"
"infomap",5,"100",4843,350,120,17,0.777426371915353,0.252369256898459,1.30248348693225,1.9602619047619,5.71743055555556,0.00526505329444847,0.0315903197666908,0.997808998841703,0.997808998841703,"10014, 1147, 405, 1859, 5600, 1386, 171024, 4215, 4208, 6744, 51222, 8202, 5606, 8841, 5603, 2038, 4820"
"infomap",5,"110",4843,28,120,3,1.57245469422101,0.360906415764388,2.78400297267763,4.32410714285714,1.00895833333333,0.0309673636071779,0.0929020908215336,0.995367145810484,0.997808998841703,"10971, 3697, 92815"
"infomap",6,"110",4843,28,7,1,3.39064810604528,1.24007911536749,5.54121709672307,24.7091836734694,98.8367346938775,0.039799791063085,0.23879874637851,0.999335006389948,0.999335006389948,"1821"
"infomap",7,"101",4843,2356,11,8,1.03713551511711,-0.290989474113496,2.36526050434771,1.49498379379534,320.198347107438,0.0965225714958194,0.579135428974916,0.973445382092585,0.990942832632612,"54014, 11259, 54768, 54499, 57082, 6525, 55345, 63892"
"infomap",8,"101",4843,2356,14,11,1.35686774630325,0.078996687171262,2.63473880543524,1.61511642008246,271.801020408163,0.0225207052150957,0.135124231290574,0.995178130883518,0.995178130883518,"3836, 23633, 7112, 10541, 26040, 26049, 28992, 8815, 63891, 4542, 8731"
"infomap",10,"100",4843,350,8,3,2.04901204348968,0.613470264862326,3.48455382211704,5.18892857142857,227.015625,0.0159395215916022,0.0956371295496131,0.998513955743556,0.998513955743556,"10743, 22890, 79813"
"infomap",11,"100",4843,350,9,4,2.3395801208306,1.0202322282515,3.6589280134097,6.14984126984127,239.16049382716,0.00252334655950484,0.015140079357029,0.999810583622382,0.999810583622382,"23177, 93986, 6935, 9839"
"infomap",13,"111",4843,2119,41,22,0.401197634570537,-0.215292260521521,1.0176875296626,1.22637231091518,63.38251041047,0.130357413672711,0.782144482036269,0.924799464269009,0.966554062543064,"351, 348, 10376, 10724, 6767, 7001, 11140, 5864, 2, 3337, 6009, 54536, 2193, 10549, 55361, 9361, 10079, 9545, 762, 7087, 90580, 93185"
"infomap",15,"100",4843,350,15,3,1.17198237371939,-0.097897490155489,2.44186223759428,2.76742857142857,64.5733333333333,0.0890299170193254,0.534179502115953,0.980671936318813,0.987664620580055,"23242, 2533, 152503"
"infomap",19,"101",4843,2356,83,46,0.276563983867804,-0.159980516507952,0.71310848424356,1.1392496982838,32.3382203512847,0.128240473418997,0.769442840513984,0.912532617613067,0.933169526781582,"3739, 9863, 3736, 260425, 57453, 3761, 2903, 22871, 2905, 3704, 28966, 6197, 10207, 109, 116984, 1002, 23109, 10276, 81832, 65217, 11138, 22844, 2977, 6641, 3745, 23024, 9312, 30851, 54549, 8525, 9758, 57497, 55966, 5549, 5067, 80059, 64072, 25960, 53919, 642968, 84435, 85461, 79674, 54497, 57101, 266727"
