"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"sgG2",1,"101",4843,2356,238,145,0.523654954527791,0.256927579303215,0.790382329752366,1.25236299952918,12.397341289457,6.4389787889913e-05,0.000386338727339478,0.999963012262819,0.999963012262819,"1387, 142, 11127, 4297, 23394, 546, 4673, 10209, 56474, 2033, 3066, 11177, 9031, 121504, 7074, 2648, 80854, 8350, 5591, 8359, 8368, 8370, 26230, 11335, 8349, 3069, 7450, 1610, 23131, 3014, 4650, 23137, 1108, 129446, 84629, 91010, 23047, 51701, 5294, 134492, 4204, 3149, 79026, 27125, 26040, 23244, 64854, 3018, 8341, 23304, 4308, 3416, 6418, 7222, 10765, 3075, 56288, 3009, 6147, 6238, 58508, 5611, 10788, 56666, 3024, 3005, 3015, 3321, 8345, 8085, 55862, 114880, 6904, 317772, 8342, 166785, 55870, 4437, 114827, 6329, 146177, 8338, 1662, 22990, 6840, 1828, 129684, 1763, 57496, 79915, 115701, 22865, 7011, 100653515, 51673, 5980, 255626, 50809, 221322, 85235, 3908, 2042, 256957, 152100, 10943, 3148, 57680, 10499, 7994, 55193, 399909, 7520, 29028, 23269, 7750, 124739, 3070, 51780, 79187, 8968, 645, 91754, 91833, 633, 349667, 8520, 9555, 6738, 84910, 654790, 79747, 84643, 55567, 9401, 387597, 84364, 79633, 9745, 84896, 57578, 90381, 8632, 7368, 3324, 9824"
"sgG2",1,"100",4843,350,238,28,0.572954411528698,0.162685341877865,0.98322348117953,1.62789915966387,2.39396935244686,0.0064157747398398,0.0192473242195194,0.996646395507989,0.999963012262819,"10014, 1859, 10919, 2743, 10664, 8360, 3020, 3159, 266553, 4839, 3012, 149699, 723790, 23234, 6877, 23466, 22915, 1307, 8331, 23381, 23523, 1958, 254048, 6874, 7515, 7546, 5341, 5583"
"sgG2",1,"110",4843,28,238,4,1.18259200930099,0.115951322435363,2.24923269616661,2.90696278511405,0.341995621778123,0.0460480884749069,0.0920961769498138,0.989329056311633,0.999963012262819,"3021, 65084, 92815, 83889"
"sgG2",1,"1",4843,14,238,2,1.17669741007213,-0.32598276303768,2.67937758318194,2.90696278511405,0.170997810889061,0.148602549852919,0.222903824779378,0.97147397992718,0.999963012262819,"8340, 91833"
"sgG2",2,"100",4843,350,75,11,0.808941185981447,0.159740992548189,1.4581413794147,2.02944761904762,9.47075555555556,0.0178443523758754,0.107066114255252,0.993093589250826,0.998608338000798,"26036, 10460, 22890, 26098, 79813, 25941, 889, 83478, 55515, 115811, 64757"
"sgG2",2,"11",4843,4,75,1,3.06637543421602,0.791545097947168,5.34120577048488,16.1433333333333,0.860977777777778,0.0605392437169203,0.181617731150761,0.998608338000798,0.998608338000798,"2512"
"sgG2",2,"101",4843,2356,75,38,0.082051526721237,-0.374179834144098,0.538282887586572,1.04150537634409,32.7171555555556,0.406368253649501,0.812736507299002,0.680610337298172,0.998608338000798,"3646, 23390, 2051, 2632, 29062, 4798, 5909, 56254, 9788, 26286, 83605, 23116, 22921, 10690, 58473, 9810, 4144, 3839, 10147, 3145, 57471, 10411, 79776, 54821, 3832, 8216, 84678, 80142, 29088, 84816, 8663, 7108, 9771, 8799, 51059, 25880, 83447, 9783"
"sgG2",3,"111",4843,2119,11,10,2.55810540518903,0.501654014150303,4.61455679622776,2.07773821270754,400.247933884297,0.00168612197509695,0.0101167318505817,0.999889126952718,0.999889126952718,"27095, 51056, 126003, 51693, 122553, 58485, 22878, 7109, 83696, 60684"
"sgG2",5,"100",4843,350,13,2,0.850874082347973,-0.659732604203645,2.36148076889959,2.12879120879121,57.3136094674556,0.240897551164441,0.966610018838396,0.937784435280349,0.989302708211893,"22794, 23293"
"sgG2",5,"111",4843,2119,13,7,0.406411629712195,-0.685512817427236,1.49833607685163,1.23066032598831,200.597633136095,0.322203339612799,0.966610018838396,0.844708691148768,0.989302708211893,"11331, 5245, 54205, 3710, 1537, 8938, 9162"
"sgG2",6,"101",4843,2356,4,4,Inf,NA,Inf,2.05560271646859,1210.75,0.055933872076572,0.335603232459432,1,1,"64101, 22854, 57689, 84628"
"sgG2",7,"100",4843,350,289,37,0.687840004067239,0.324177003477852,1.05150300465663,1.77153732081068,2.14546042312712,0.000360383344691434,0.00216230006814861,0.999828481883501,0.999828481883501,"4783, 10482, 22938, 127703, 55885, 25959, 54793, 5027, 8317, 388135, 4236, 1846, 4438, 64147, 23288, 53615, 221, 9278, 114327, 79571, 84260, 140460, 55337, 11196, 196374, 152206, 23598, 400673, 375567, 55833, 23548, 60370, 23423, 9787, 85865, 901, 64506"
