"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"spectral",1,"101",4843,2356,78,43,0.264210689028812,-0.185597191351749,0.714018569409373,1.13321688215576,34.2289612097304,0.149107619452309,0.894645716713854,0.897750242484411,0.93709782940895,"1951, 10617, 5757, 23390, 3635, 7813, 25978, 23637, 1965, 57132, 51652, 9493, 116442, 22921, 10690, 27243, 23534, 27183, 26133, 51534, 55075, 4907, 55133, 10330, 203238, 55130, 23075, 54821, 22930, 80223, 6683, 441400, 57614, 253943, 23277, 91782, 84284, 51059, 25880, 83447, 9783, 9525, 80164"
"spectral",4,"100",4843,350,252,25,0.368532524088357,-0.059612511402548,0.796677559579261,1.37273242630385,1.90657281431091,0.0627204954926583,0.37632297295595,0.960796273174642,0.960796273174642,"405, 355, 5321, 5600, 4192, 11083, 6300, 1386, 2743, 171024, 4215, 11221, 6744, 4794, 5606, 6768, 4438, 10818, 4776, 3758, 5603, 9870, 607, 2038, 4820"
"spectral",4,"110",4843,28,252,3,0.788676394424942,-0.415676873883485,1.99302966273337,2.05909863945578,0.228788737717309,0.176280955983094,0.528842867949283,0.945160517182405,0.960796273174642,"10971, 3697, 966"
"spectral",4,"1",4843,14,252,1,0.338615203919191,-1.69933769429054,2.37656810212892,1.37273242630385,0.0762629125724364,0.527229084938068,0.893949848720365,0.837108134008742,0.960796273174642,"39"
"spectral",4,"111",4843,2119,252,108,-0.0385247843087698,-0.294742335976459,0.21769276735892,0.979505157419268,8.23639455782313,0.639720981852663,0.893949848720365,0.410159789965569,0.960796273174642,"7534, 7531, 2475, 7249, 10971, 7529, 7532, 7164, 1072, 5894, 824, 1495, 5058, 2934, 57787, 708, 4217, 2810, 1499, 22800, 5594, 2037, 1471, 226, 3728, 52, 23162, 3991, 6142, 6195, 10007, 4137, 5566, 8678, 2911, 2915, 5582, 23396, 5605, 5037, 1509, 4155, 2596, 7248, 5580, 2571, 253260, 5599, 27347, 229, 2931, 5595, 6009, 5581, 4082, 10243, 5604, 5602, 11346, 5730, 5516, 5578, 5609, 5214, 39, 5579, 11033, 2768, 5962, 2562, 3685, 153090, 2011, 57521, 8567, 23017, 57026, 10672, 8650, 1500, 2944, 63826, 9368, 2805, 7153, 5144, 6854, 5289, 10554, 5813, 143425, 4763, 471, 8745, 85445, 966, 84258, 80727, 5538, 55362, 6900, 7167, 3696, 1476, 92675, 84446, 9024, 9520"
"spectral",4,"101",4843,2356,252,118,-0.0770466756297546,-0.331160352401072,0.177067001141562,0.962544129140054,8.99902368354749,0.744958207266971,0.893949848720365,0.298341092019914,0.960796273174642,"673, 369, 8844, 207, 5170, 6198, 1956, 1432, 3984, 41, 5584, 23031, 8404, 4216, 65125, 10494, 9943, 1080, 5795, 408, 5290, 5142, 2286, 3757, 572, 6002, 140576, 1155, 27429, 5728, 7074, 208, 55704, 1969, 9672, 5590, 54434, 5921, 8661, 65266, 171023, 6280, 1645, 5587, 58497, 10395, 7054, 6772, 4294, 3097, 23108, 1845, 3101, 5494, 11344, 10541, 51719, 1630, 7145, 3611, 23258, 151742, 84629, 5783, 2560, 83605, 5156, 25830, 10952, 4163, 54187, 6794, 27248, 54897, 57402, 5524, 9610, 8665, 2152, 8662, 7222, 56288, 55357, 23303, 65268, 399473, 9064, 6416, 30851, 54861, 657, 9110, 1812, 644, 6847, 92609, 56926, 84630, 116443, 8986, 7812, 7786, 9351, 8663, 94274, 84952, 84451, 53343, 6451, 83442, 2184, 84433, 7064, 8577, 7111, 7464, 55176, 85464"
"spectral",5,"111",4843,2119,100,55,0.461468438405306,0.0633335745404238,0.859603302270189,1.25703161868806,26.6365,0.0146203083501544,0.0877218501009262,0.991403134994104,0.991403134994104,"22895, 6645, 4842, 351, 322, 23025, 4035, 348, 334, 10376, 774, 2273, 4860, 10236, 6767, 23136, 476, 7001, 5908, 5864, 6812, 2, 54536, 2193, 6135, 10381, 55361, 9361, 56899, 1277, 4916, 5110, 53822, 23181, 9911, 501, 114134, 30968, 10079, 21, 399687, 2674, 6154, 7416, 10396, 9362, 64223, 762, 9922, 6323, 55754, 7087, 8774, 90580, 93185"
"spectral",5,"1",4843,14,100,1,1.30161127388985,-0.742092205165166,3.34531475294487,3.45928571428571,0.4843,0.25360485931039,0.760814577931171,0.967315478314442,0.991403134994104,"4860"
"spectral",8,"1",4843,14,64,1,1.76117857380562,-0.28794111837653,3.81029826598777,5.40513392857143,1.182373046875,0.17013705606447,0.623405490191947,0.985875784423619,0.985875784423619,"5243"
"spectral",8,"111",4843,2119,64,31,0.191185844743043,-0.302374812110164,0.684746501596249,1.10704489145823,36.653564453125,0.26234699438131,0.623405490191947,0.812741995228337,0.985875784423619,"1837, 22808, 4734, 4915, 146691, 11059, 11122, 55207, 11345, 26060, 6531, 203068, 50488, 6143, 23208, 156, 1983, 427, 23111, 25824, 27044, 6134, 2784, 2629, 2287, 79594, 9892, 55970, 57537, 9371, 7881"
"spectral",8,"110",4843,28,64,1,1.02734926864662,-0.98403524873629,3.03873378602953,2.70256696428571,1.182373046875,0.311702745095974,0.623405490191947,0.947857162477262,0.985875784423619,"1821"
"spectral",8,"101",4843,2356,64,31,-0.00852104973193398,-0.502031381037501,0.484989281573633,0.995682565789474,36.653564453125,0.562943104125435,0.844414656188153,0.537057512474438,0.985875784423619,"2066, 7332, 57610, 26994, 133957, 23327, 57658, 56957, 55803, 57118, 178, 23012, 2039, 23336, 84305, 64422, 57471, 56164, 8408, 8216, 176, 79876, 23061, 6335, 9683, 9265, 5613, 487, 81532, 5243, 9196"
"spectral",9,"111",4843,2119,85,44,0.327591984974779,-0.10169795832657,0.756881928276128,1.18308858229465,29.4937024221453,0.0824372343562643,0.494623406137586,0.946053382734752,0.946053382734752,"815, 3326, 808, 801, 6853, 57554, 3925, 26355, 6622, 1020, 22843, 4641, 5530, 817, 775, 7407, 27130, 5532, 5534, 814, 816, 10369, 166614, 11332, 30000, 5912, 30818, 4133, 81, 2890, 818, 3780, 4139, 5550, 4900, 89910, 85300, 79012, 3742, 6620, 9751, 57605, 10840, 59283"
