"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"wt",1,"111",4843,2119,1737,842,0.298212088325798,0.180045069918976,0.416379106732619,1.10788781382252,1.35153383850888,4.40689266531788e-07,2.64413559919073e-06,0.999999676638625,0.999999676638625,"273, 6455, 1759, 1785, 1837, 1605, 7534, 7531, 58513, 1487, 2316, 8470, 2885, 29993, 6456, 6645, 4842, 3303, 351, 8491, 4734, 2475, 3798, 3799, 3800, 3064, 5898, 5333, 3320, 1615, 5573, 7249, 322, 10971, 53616, 5048, 7529, 7532, 7533, 1072, 5894, 2891, 2892, 3028, 1742, 1741, 9228, 10015, 55824, 2512, 2495, 3251, 10342, 10935, 2783, 10574, 6342, 2280, 387, 824, 1495, 5058, 23499, 50618, 5799, 5362, 1173, 23025, 4645, 815, 4035, 10006, 6457, 57787, 1460, 10989, 5684, 6499, 3184, 5976, 11331, 348, 4684, 1272, 4099, 5621, 1191, 5034, 334, 3309, 58512, 22839, 5869, 5868, 7334, 7316, 7431, 667, 29924, 161, 5063, 4915, 23095, 10376, 3708, 3326, 28964, 51631, 1213, 1400, 1937, 5764, 3306, 1399, 1398, 4217, 2810, 1627, 2017, 28988, 50807, 2045, 2048, 9379, 9369, 4301, 3556, 10458, 4478, 1499, 22800, 5315, 9463, 1947, 9693, 163, 274, 6453, 392, 10188, 19, 2904, 146691, 11059, 114793, 10486, 5097, 23705, 5499, 161742, 5861, 9990, 2906, 11122, 5802, 5792, 5789, 5803, 5798, 3831, 5536, 5305, 27131, 47, 10487, 5216, 9588, 71, 6711, 6262, 10961, 3939, 998, 5594, 55845, 2037, 226, 1410, 2534, 6654, 5576, 11113, 5879, 808, 801, 5781, 4067, 8476, 10627, 88, 2932, 1936, 1915, 6176, 10382, 5217, 2597, 10094, 10399, 3336, 4860, 5050, 10606, 5515, 5717, 1114, 1743, 7277, 509, 51726, 2026, 3312, 5601, 4140, 4715, 4831, 11165, 5049, 25843, 6136, 3921, 11075, 7336, 213, 306, 3728, 78987, 1508, 10540, 55512, 10724, 4043, 192111, 4356, 5481, 6133, 6853, 396, 826, 5955, 4646, 7203, 8655, 10570, 23521, 311, 10994, 3735, 23162, 4190, 3991, 55968, 6767, 10419, 4218, 6204, 5478, 7280, 10949, 4649, 23136, 10211, 50861, 11345, 4141, 22924, 7317, 6195, 23265, 26060, 26086, 1073, 8907, 60, 11252, 57144, 5704, 23392, 11034, 5528, 10900, 389, 140735, 2954, 10982, 285527, 1454, 10007, 1996, 7360, 54472, 5706, 2580, 1453, 5700, 4830, 5701, 8615, 9253, 25758, 50944, 22941, 2917, 6513, 87, 4137, 202333, 5566, 2893, 8497, 8541, 9223, 9699, 22866, 57554, 8874, 7461, 23332, 8678, 2911, 2915, 10048, 80852, 2902, 7415, 3099, 5479, 26278, 51286, 54749, 3925, 3615, 2023, 5582, 7178, 6622, 5062, 3791, 4952, 81565, 55770, 23396, 1020, 476, 23043, 1808, 1809, 55763, 1938, 10439, 9659, 8499, 22843, 58533, 203068, 23048, 286, 4641, 6714, 2043, 5605, 5037, 4134, 6708, 6709, 5501, 4155, 85358, 1968, 5530, 2596, 5518, 7248, 4716, 8125, 5580, 5066, 7001, 5052, 5500, 114784, 1795, 6137, 445815, 22999, 23114, 2550, 2571, 287, 2556, 253260, 5599, 27347, 10808, 5908, 817, 4628, 6336, 11140, 229, 23077, 5864, 6812, 2931, 5911, 2029, 2, 1892, 2271, 2098, 5595, 1655, 3337, 7323, 50488, 1000, 3815, 57524, 10058, 51386, 6201, 55611, 55823, 23321, 7335, 9456, 57030, 51466, 775, 10314, 116986, 6009, 22919, 5581, 5710, 10910, 388, 2288, 57448, 4082, 10243, 54536, 2193, 310, 22859, 22872, 9578, 8924, 9743, 5910, 6146, 25930, 147179, 5604, 5602, 3895, 4509, 4513, 11346, 54737, 773, 10549, 10130, 9126, 27445, 221692, 10125, 23191, 6160, 5730, 7407, 347733, 10728, 128, 156, 162, 230, 6191, 2617, 2673, 2879, 2898, 3295, 5516, 5567, 5578, 5589, 5609, 6122, 8904, 10131, 10383, 11336, 25932, 5214, 54413, 373156, 10959, 3033, 3313, 338, 5447, 6135, 7430, 9961, 10247, 10498, 39, 7295, 8050, 5579, 27130, 83700, 5818, 4637, 5532, 5534, 205, 301, 221184, 3032, 23646, 10381, 3301, 1428, 10120, 118, 23317, 11033, 1622, 3155, 64837, 127281, 871, 129285, 523, 1974, 3692, 55558, 6187, 1501, 7267, 2768, 814, 8301, 23111, 23348, 5837, 23122, 2631, 8522, 11130, 3188, 55082, 3187, 5519, 5529, 816, 9229, 10768, 2257, 166614, 2047, 3094, 3305, 5291, 3927, 23001, 55361, 153090, 103910, 1182, 2011, 5906, 9601, 57731, 57521, 64601, 57617, 23339, 152789, 8567, 1917, 23017, 57026, 3161, 11311, 200734, 23023, 9361, 4644, 10672, 7266, 3737, 288, 6710, 55748, 56899, 8650, 54806, 1500, 1277, 3482, 25977, 11332, 30000, 8573, 4355, 5577, 3945, 5110, 767, 539, 53822, 5912, 1984, 23549, 55697, 23181, 5332, 27124, 51382, 9911, 348110, 284069, 94121, 10611, 6897, 26985, 4282, 7414, 9852, 22933, 8777, 8448, 11069, 10612, 148252, 22841, 10920, 29965, 8618, 4741, 25999, 22905, 131034, 25824, 784, 51678, 81, 134829, 80212, 93974, 57826, 55327, 501, 286205, 5714, 5533, 4713, 25796, 25852, 10056, 51138, 4336, 1186, 1738, 9448, 6647, 782, 2890, 818, 7514, 790, 222236, 8343, 2913, 57599, 80331, 23197, 2918, 6861, 1175, 160, 3710, 5707, 259266, 10525, 7284, 1431, 30849, 811, 6129, 23406, 3780, 6202, 51434, 6188, 2319, 7153, 8831, 7343, 6139, 54520, 23, 55930, 26059, 10097, 102, 6326, 7846, 10296, 10497, 16, 33, 399687, 6207, 6712, 7204, 8997, 9318, 4625, 2035, 5144, 6854, 5306, 4983, 7402, 326624, 391, 8239, 2287, 85365, 5872, 10953, 7345, 483, 80128, 5526, 10554, 79594, 56888, 8428, 51400, 23362, 84687, 249, 6391, 10096, 8518, 873, 1650, 4642, 23385, 2739, 5236, 5520, 6233, 6229, 219287, 3493, 5357, 57482, 57609, 64682, 56896, 8724, 526, 9321, 65082, 6154, 6175, 7416, 586, 143425, 4763, 471, 5230, 830, 8867, 8745, 8853, 9948, 988, 4978, 8078, 3858, 9446, 79641, 84966, 9568, 8895, 7511, 8508, 9900, 8825, 7857, 9495, 9892, 9901, 84033, 8506, 6000, 85300, 93664, 55915, 64223, 9545, 5128, 6205, 718, 79634, 85440, 81533, 80150, 6222, 83992, 5510, 9352, 8036, 9910, 51493, 84790, 9465, 9861, 79065, 80262, 9922, 80856, 80222, 6323, 6533, 79180, 283450, 387104, 9371, 7881, 92675, 9927, 84446, 440073, 8209"
"wt",1,"1",4843,14,1737,6,0.294375393348824,-0.765778363280309,1.35452914997796,1.19491734517641,0.00963088245968323,0.385712156995018,0.907154843536384,0.797459675566924,0.956951610680309,"4860, 10959, 39, 7347, 91833, 5243"
"wt",1,"100",4843,350,1737,127,0.019612554658366,-0.206649047366609,0.245874156683341,1.0116966855827,0.203853678729962,0.453577421768192,0.907154843536384,0.591781447976229,0.887672171964343,"2887, 10014, 3667, 1147, 405, 1859, 57556, 1600, 7454, 9001, 29117, 355, 27185, 55596, 5797, 29760, 5321, 5600, 1063, 2661, 7083, 2290, 23199, 56144, 6275, 157285, 4192, 10916, 79577, 10743, 10919, 1602, 10127, 1386, 26146, 177, 22794, 2743, 401145, 8658, 23242, 29127, 11248, 2533, 5966, 259, 7159, 171024, 4215, 84171, 25839, 152503, 11221, 4208, 22837, 6744, 51222, 8202, 27005, 54623, 8926, 6776, 53335, 338699, 23309, 2132, 79020, 126374, 5606, 3280, 10933, 9611, 1846, 4438, 10044, 57532, 10818, 10460, 9500, 9278, 64419, 23143, 23270, 9753, 4440, 29982, 8175, 23598, 26031, 55833, 3779, 55105, 93986, 9478, 9817, 6907, 8841, 4776, 23560, 23523, 23314, 27175, 440730, 65244, 9472, 9467, 84665, 56946, 6604, 9781, 4775, 5603, 57646, 51070, 4856, 54881, 26010, 6935, 55585, 889, 8288, 4820, 6942, 83595, 90102, 9747, 55320"
"wt",1,"11",4843,4,1737,1,-0.517826519440025,-2.78180184268766,1.74614880380761,0.697035118019574,0.00160514707661387,0.830937671730653,0.999999496475563,0.547613748448343,0.887672171964343,"2512"
"wt",1,"110",4843,28,1737,8,-0.336958184634339,-1.15899632854706,0.485079959278378,0.796611563450942,0.012841176612911,0.842586787628717,0.999999496475563,0.275457854433087,0.826373563299262,"1821, 10971, 2597, 11004, 6627, 5042, 8495, 525"
"wt",1,"101",4843,2356,1737,764,-0.292052225426419,-0.410064612187064,-0.174039838665773,0.904133837295339,1.226332366533,0.999999496475563,0.999999496475563,6.82084701274094e-07,4.09250820764457e-06,"2060, 673, 1756, 369, 3836, 2317, 5663, 1793, 2274, 10133, 8844, 3688, 1975, 23163, 30011, 2318, 51517, 5195, 207, 5170, 6198, 1956, 5310, 1432, 10043, 672, 3984, 1613, 29763, 41, 2066, 5825, 9531, 10534, 5295, 5584, 7332, 25831, 10580, 57670, 3646, 10212, 1642, 23517, 26019, 23248, 8404, 10539, 4750, 26994, 55666, 9135, 4214, 4216, 10598, 65125, 8887, 576, 5757, 57562, 114928, 10980, 80347, 3643, 5335, 23390, 10987, 1612, 23263, 23607, 867, 2903, 23327, 23002, 1729, 11100, 55729, 11190, 1009, 1464, 23420, 2324, 4881, 10494, 9943, 2905, 324, 1080, 5787, 5795, 10755, 26354, 6774, 3315, 9138, 408, 6261, 23394, 5290, 2335, 5336, 3716, 4666, 9821, 4580, 5142, 1523, 9158, 56252, 3096, 10163, 10592, 6655, 9644, 55048, 5747, 1434, 9696, 51429, 22983, 6311, 56893, 55183, 7917, 4354, 51608, 11051, 7276, 5720, 170961, 197131, 54622, 51593, 2079, 65080, 4832, 10273, 9638, 613, 1008, 2059, 116985, 3189, 11078, 23286, 8669, 10398, 5424, 5498, 6165, 6279, 8878, 7314, 25791, 642, 4733, 8894, 3757, 57658, 3857, 114088, 23039, 10769, 64965, 4673, 55638, 22984, 79735, 1855, 1952, 51412, 1857, 2873, 10817, 11146, 8394, 23558, 28966, 10440, 6197, 572, 26003, 60491, 5300, 22954, 26128, 1854, 81628, 10320, 66036, 23710, 55198, 6271, 1995, 55577, 6990, 5932, 22978, 10456, 339965, 10016, 26353, 8440, 11216, 8027, 10670, 23266, 26058, 5586, 6249, 160622, 10207, 23345, 3507, 7337, 23287, 2023, 23152, 27429, 54880, 3055, 5728, 9479, 5525, 2321, 7074, 2247, 1948, 208, 23365, 55704, 3797, 22920, 23040, 22906, 8536, 4647, 8204, 1969, 8666, 9672, 472, 1965, 5501, 5590, 5218, 115703, 54434, 10049, 1062, 5921, 8661, 65266, 5588, 27, 357, 11176, 171023, 2639, 4606, 5591, 2242, 8736, 1445, 5970, 56957, 9625, 9184, 3636, 53918, 64219, 350, 3476, 8851, 22853, 23542, 23376, 7321, 7322, 5587, 4659, 27034, 57169, 6218, 6159, 6224, 196403, 23295, 3093, 23609, 54708, 4643, 55740, 9826, 58497, 5571, 51422, 9049, 3240, 200576, 7052, 55803, 26230, 3185, 51720, 5569, 1131, 3843, 7054, 1436, 6772, 4846, 23164, 51295, 26057, 23384, 4512, 1730, 8888, 56924, 8976, 282974, 4294, 23229, 3913, 54477, 22874, 50649, 57514, 51742, 3097, 23108, 129807, 29, 23203, 10579, 2332, 3054, 375790, 25822, 4145, 4798, 120892, 2046, 2730, 2969, 1025, 1452, 1845, 2263, 3101, 5494, 6168, 6638, 7247, 10055, 10146, 11344, 165215, 25793, 55157, 27339, 5830, 10891, 1374, 2268, 2548, 654364, 10295, 10541, 25777, 283820, 6232, 8029, 51719, 6737, 58494, 57019, 9958, 9647, 7145, 1302, 6166, 1291, 282991, 3611, 3628, 5909, 6885, 23224, 4232, 23589, 22980, 23046, 5531, 151742, 23109, 11168, 8291, 26973, 6872, 4621, 2027, 83737, 51735, 5783, 7094, 152485, 9984, 57805, 6386, 54585, 117177, 3964, 79705, 55421, 3781, 57606, 10767, 10645, 26750, 283455, 26091, 317719, 27072, 26578, 27342, 26286, 83605, 51701, 5156, 5294, 9459, 84681, 25830, 2281, 10075, 4868, 8826, 26012, 10297, 5317, 23328, 54187, 2235, 6794, 54828, 65059, 192669, 55226, 23371, 54014, 84300, 151056, 51185, 123283, 23201, 9666, 64978, 3281, 10005, 79959, 54726, 2039, 10290, 5711, 57213, 57674, 23254, 64398, 133746, 51015, 57381, 553115, 58473, 9100, 55521, 22864, 9640, 6240, 81704, 84959, 26040, 23336, 3839, 10276, 8030, 89, 340527, 55346, 5887, 84305, 143098, 23170, 150962, 29119, 26049, 83892, 151963, 55128, 54676, 2239, 84516, 284119, 5524, 122961, 23151, 51741, 6726, 79711, 64854, 26515, 55040, 9610, 23505, 3145, 64168, 23426, 64130, 54915, 28992, 64786, 55075, 9141, 6059, 30833, 7169, 8665, 5224, 57471, 4892, 115207, 6778, 6418, 783, 8662, 777, 5073, 7222, 10765, 79834, 5654, 3075, 4040, 5338, 7535, 56288, 23268, 6730, 57580, 2987, 2909, 10411, 321, 54893, 5754, 199223, 10988, 6238, 10111, 257160, 10613, 58508, 6209, 2245, 10973, 23075, 57716, 3015, 222950, 8243, 55862, 4629, 4882, 4926, 55749, 79776, 23303, 54821, 10178, 56164, 7342, 57538, 11041, 79925, 5168, 65268, 118427, 2050, 6936, 22849, 23074, 23049, 23355, 85444, 3148, 90678, 5141, 2897, 5880, 30811, 8408, 10499, 85456, 3745, 7706, 7257, 8411, 9064, 51377, 4836, 6792, 64397, 60592, 55193, 6416, 8893, 823, 9354, 51667, 9101, 50813, 55236, 7347, 55140, 9312, 9097, 261726, 657, 90, 2876, 9256, 23500, 8500, 57221, 6651, 9784, 89796, 6731, 8897, 9110, 23225, 9683, 1812, 644, 54867, 7750, 4660, 55844, 57572, 6847, 5358, 57216, 55854, 4774, 813, 6727, 64121, 6183, 80279, 23223, 8813, 5442, 6745, 7057, 29088, 51566, 92609, 54443, 221092, 9612, 57410, 372, 63976, 4547, 8525, 9853, 8986, 8754, 8871, 9898, 9765, 8533, 90627, 9849, 6560, 63971, 8991, 8880, 84141, 9842, 90850, 90990, 25836, 9779, 84816, 8667, 9265, 57622, 55607, 8913, 9775, 55691, 9757, 8601, 85439, 8663, 5504, 80700, 53353, 9185, 89970, 94274, 80303, 84952, 84451, 55088, 81567, 7301, 9203, 65249, 8425, 80131, 9529, 9771, 91, 5613, 6611, 84433, 23358, 9669, 7064, 94134, 91754, 84254, 389840, 386617, 57626, 91833, 83548, 9783, 9722, 388695, 84299, 9455, 9373, 57505, 81563, 65267, 5243, 9700, 84250, 3508, 55102, 57683, 343990, 85442, 80728, 84162, 9267, 9950, 9891, 154810, 84631"
"wt",3,"101",4843,2356,3,3,Inf,NA,Inf,2.05560271646859,1614.33333333333,0.115053098534045,0.690318591204272,1,1,"23012, 64422, 81532"
"wt",4,"111",4843,2119,135,89,0.93702942745833,0.576468745220372,1.29759010969629,1.50674497054865,23.6503155006859,1.18163176328949e-07,7.08979057973692e-07,0.999999955131111,0.999999955131111,"2108, 23113, 10469, 506, 5164, 5924, 217, 1345, 10476, 4698, 4942, 5160, 9131, 26519, 1737, 515, 51079, 4976, 5019, 7385, 1329, 3329, 2746, 10102, 4706, 37, 10240, 4726, 5162, 522, 81892, 2744, 10455, 1678, 3954, 1327, 25813, 498, 55735, 10651, 513, 4722, 4729, 51067, 54205, 10965, 51635, 8803, 4967, 4723, 114294, 6389, 10128, 374291, 2109, 1537, 6390, 38, 10632, 4697, 4728, 4725, 4720, 8604, 1340, 4719, 7384, 4702, 514, 4704, 83858, 84908, 29920, 29078, 26517, 84263, 26520, 94081, 7386, 9377, 84303, 55848, 8802, 9054, 54704, 617, 9652, 4705, 760"
"wt",4,"11",4843,4,135,1,2.45992896340046,0.19021125338844,4.72964667341248,8.96851851851852,0.265733882030178,0.106956724491028,0.320870173473083,0.995539209361224,0.999999955131111,"1345"
"wt",6,"111",4843,2119,129,78,0.69464474729434,0.3370190022344,1.05227049235428,1.38193750891711,22.7001983053903,8.10106307468351e-05,0.000486063784481011,0.999961201192959,0.999961201192959,"6616, 8773, 10550, 6804, 10228, 961, 527, 80725, 55333, 6857, 8675, 2224, 11230, 55177, 5354, 53826, 22908, 722, 7018, 6844, 10423, 112755, 23673, 116841, 10100, 8674, 23786, 6843, 2912, 63908, 56895, 56947, 493856, 219738, 51075, 157378, 10424, 51024, 51308, 59353, 1727, 127833, 11112, 55326, 56894, 9341, 9218, 9217, 2824, 54332, 7920, 5426, 5007, 7037, 10815, 112, 9554, 134957, 3074, 9342, 975, 54539, 11343, 8417, 8775, 80777, 9482, 8834, 8760, 9515, 9524, 91137, 50804, 9854, 94097, 81539, 91663, 81855"
