"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"infomap",1,"DOID:5419",4843,694,18,7,1.34364844234008,0.39256664593803,2.29473023874213,2.71381684277938,104.632716049383,0.00909250270720514,0.0566237511924626,0.998025866764788,0.999135115421968,"5478, 1020, 5530, 8851, 5532, 5534, 5533"
"infomap",1,"DOID:9255",4843,121,18,3,2.07668350450138,0.823682276102668,3.32968473290009,6.67079889807163,44.8425925925926,0.00943729186541043,0.0566237511924626,0.999135115421968,0.999135115421968,"273, 5530, 5533"
"infomap",1,"DOID:12858",4843,84,18,2,1.97826433693349,0.492142292148715,3.46438638171827,6.40608465608465,29.8950617283951,0.0379983694690198,0.151993477876079,0.996596652906657,0.999135115421968,"1020, 8851"
"infomap",1,"DOID:10652",4843,508,18,4,0.895902899365197,-0.219135788610279,2.01094158734067,2.11854768153981,59.7901234567901,0.112000560812866,0.336001682438597,0.966420479899972,0.999135115421968,"1020, 5530, 8851, 5534"
"infomap",2,"DOID:3312",4843,297,159,20,0.828190299077948,0.343981969702248,1.31239862845365,2.0511191580374,3.83133578576797,0.00153060090990283,0.018367210918834,0.999385022423942,0.999385022423942,"1956, 2066, 2934, 57556, 4915, 1499, 9644, 2534, 5588, 2571, 3815, 57030, 56899, 9472, 8867, 966, 90134, 3700, 6451, 94134"
"infomap",2,"DOID:10763",4843,298,159,19,0.762080313106051,0.267842769815435,1.25631785639667,1.94202439745051,3.63976899647957,0.0037410246777503,0.0224461480665018,0.998405541037445,0.999385022423942,"3667, 1956, 2066, 5295, 2934, 10580, 4915, 3643, 1499, 6774, 9644, 3791, 2321, 462, 2242, 1445, 3636, 2185, 5445"
"infomap",2,"DOID:12849",4843,209,159,14,0.79870926741287,0.231743583511749,1.36567495131399,2.04032379404773,2.68193505003758,0.00823111657539657,0.0278622137154617,0.996695519532753,0.999385022423942,"4915, 10458, 1499, 9644, 5747, 22941, 3791, 2321, 6714, 2571, 56899, 952, 18, 3700"
"infomap",2,"DOID:0060041",4843,212,159,14,0.782773271580303,0.216070380813018,1.34947616234759,2.01145128752818,2.68193505003758,0.00928740457182058,0.0278622137154617,0.996215250007898,0.999385022423942,"4915, 10458, 1499, 9644, 5747, 22941, 3791, 2321, 6714, 2571, 56899, 952, 18, 3700"
"infomap",2,"DOID:5419",4843,694,159,33,0.466254986613104,0.0742502421580534,0.858259731068155,1.44834429884182,6.32170404651715,0.0157190701874351,0.0377257684498442,0.990864911496273,0.999385022423942,"1759, 2887, 2885, 6456, 1956, 2066, 55824, 2934, 50618, 57556, 10580, 6457, 58512, 4915, 1499, 5803, 9644, 2534, 4190, 9699, 5588, 114784, 6137, 2571, 2242, 57030, 9826, 2047, 26578, 56899, 9472, 3700, 6451"
"infomap",2,"DOID:1826",4843,288,159,16,0.59602540605727,0.0650276835531443,1.1270231285614,1.69217330538085,3.06506862861437,0.0258775508029226,0.0517551016058453,0.987304905672438,0.999385022423942,"1759, 3667, 1956, 2934, 4915, 3643, 10188, 160622, 23114, 2571, 9826, 8976, 3417, 2185, 18, 6900"
"infomap",2,"DOID:10652",4843,508,159,24,0.433533949464344,-0.0107349102504397,0.877802809179128,1.43901351953647,4.59760294292156,0.0412611540752435,0.0707334069861318,0.97577605822889,0.999385022423942,"1785, 8470, 3667, 1956, 2066, 2934, 4915, 1499, 23607, 6655, 2534, 5747, 8440, 3791, 6714, 1795, 2571, 57030, 2185, 8867, 8754, 29934, 5445, 8936"
"infomap",2,"DOID:2377",4843,199,159,10,0.467612718894665,-0.188986942046996,1.12421237983633,1.53060901994248,1.91566789288398,0.117348155654622,0.176022233481934,0.938606655414457,0.999385022423942,"6456, 4915, 50807, 6774, 23114, 2571, 26578, 8853, 90134, 6900"
"infomap",2,"DOID:9255",4843,121,159,6,0.443439061035641,-0.392994545094116,1.2798726671654,1.51036956182754,1.14940073573039,0.20577599407493,0.274367992099907,0.898323828998974,0.999385022423942,"6455, 1785, 1499, 4190, 56165, 8506"
"infomap",2,"DOID:14330",4843,222,159,8,0.101329377450675,-0.622861122222116,0.825519877123466,1.09762592781461,1.53253431430719,0.445779186578751,0.534935023894501,0.694855213953043,0.999385022423942,"6456, 2066, 4915, 5791, 2571, 952, 8867, 5445"
"infomap",2,"DOID:1059",4843,239,159,7,-0.123599031061838,-0.892686280976919,0.645488218853244,0.892108102418357,1.34096752501879,0.677357597350312,0.738935560745795,0.46957854443932,0.999385022423942,"2316, 1499, 11122, 22941, 11253, 9901, 80208"
"infomap",2,"DOID:12858",4843,84,159,2,-0.335571601457305,-1.74729123997946,1.07614803706485,0.725217130877508,0.383133578576797,0.769406323174459,0.769406323174459,0.474964072081057,0.999385022423942,"1956, 25930"
"infomap",3,"DOID:14330",4843,222,94,12,1.15154187426274,0.530154876509412,1.77292887201608,2.78493387004025,6.57718424626528,0.00108687929558331,0.0130425515469998,0.999692916284933,0.999692916284933,"9531, 5708, 3312, 5704, 2580, 22980, 9532, 79705, 4157, 4129, 9829, 57626"
"infomap",3,"DOID:9255",4843,121,94,6,1.01066623137892,0.16322571279743,1.85810674996041,2.55477404606998,3.28859212313264,0.0293441492956803,0.176064895774082,0.991326540627107,0.999692916284933,"3303, 3320, 10963, 3300, 4128, 81027"
"infomap",3,"DOID:12858",4843,84,94,3,0.641789620885267,-0.529106977158183,1.81268621892872,1.84004559270517,1.64429606156632,0.222664015577717,0.890656062310867,0.920558627961713,0.999692916284933,"3300, 4128, 4129"
"infomap",3,"DOID:1059",4843,239,94,6,0.278766126453701,-0.558646215271674,1.11617846817907,1.29342116976765,3.28859212313264,0.31859310667378,0.93549251047594,0.819419145584527,0.999692916284933,"3320, 6493, 3054, 4128, 9829, 124997"
"infomap",3,"DOID:5419",4843,694,94,14,0.0460904447729145,-0.527506561667703,0.619687451213532,1.03933411000061,7.67338162064283,0.482786374051816,0.93549251047594,0.631838360277296,0.984953347044746,"3303, 3320, 2783, 3312, 10273, 23191, 3054, 2774, 4128, 4129, 8787, 9529, 9829, 9628"
"infomap",3,"DOID:2377",4843,199,94,4,0.0372463788495636,-0.974498906961395,1.04899166466052,1.03560354966321,2.19239474875509,0.544531546293379,0.93549251047594,0.656635564696497,0.984953347044746,"3303, 3306, 51284, 4157"
"infomap",3,"DOID:10652",4843,508,94,9,-0.103358512987153,-0.796642179056702,0.589925153082395,0.912778522365555,4.93288818469896,0.665306764211838,0.93549251047594,0.468494761456455,0.936989522912909,"3320, 3312, 10273, 26353, 3054, 10728, 147746, 4128, 4129"
"infomap",3,"DOID:0060041",4843,212,94,3,-0.333899178778158,-1.49233594726991,0.824537589713596,0.729074668807708,1.64429606156632,0.7875789528642,0.93549251047594,0.404593133625507,0.936989522912909,"23191, 4128, 4129"
"infomap",3,"DOID:1826",4843,288,94,4,-0.358465054060981,-1.3671630196319,0.650232911509936,0.715573286052009,2.19239474875509,0.819560964856,0.93549251047594,0.333915787214228,0.936989522912909,"5955, 1181, 166614, 9829"
"infomap",3,"DOID:12849",4843,209,94,2,-0.74023746708896,-2.14805875214238,0.667583817964459,0.493026570294207,1.09619737437755,0.919160671288665,0.93549251047594,0.22066405941091,0.88265623764364,"23191, 4128"
"infomap",3,"DOID:3312",4843,297,94,3,-0.694044645282512,-1.85019242849379,0.46210313792877,0.520416935310552,1.64429606156632,0.934529042554313,0.93549251047594,0.162147195803836,0.88265623764364,"2774, 4128, 122402"
"infomap",3,"DOID:10763",4843,298,94,3,-0.697664726371247,-1.85379343739049,0.458463984647991,0.518670569755819,1.64429606156632,0.93549251047594,0.93549251047594,0.160211969739034,0.88265623764364,"3303, 3320, 4128"
"infomap",4,"DOID:9255",4843,121,18,2,1.59802853449594,0.116813265693603,3.07924380329828,4.44719926538108,29.8950617283951,0.0730144784752193,0.876173741702632,0.99056270813459,0.99056270813459,"161, 163"
"infomap",5,"DOID:10652",4843,508,120,32,1.17694936440337,0.761401920572813,1.59249680823393,2.54225721784777,10.7622222222222,3.49392106954222e-07,4.19270528345067e-06,0.99999989737157,0.99999989737157,"7534, 10014, 207, 6198, 7249, 7532, 1432, 5894, 1859, 5058, 22800, 5290, 9588, 5594, 4137, 1386, 8678, 2911, 5728, 8204, 5605, 4155, 5599, 5595, 5604, 5602, 4208, 5629, 8567, 6794, 84630, 9520"
"infomap",5,"DOID:10763",4843,298,120,19,1.09741683126334,0.59258147263594,1.60225218989073,2.57318232662192,6.39006944444444,0.000109318423638207,0.000655910541829241,0.999966225672133,0.99999989737157,"207, 7249, 10971, 1432, 3984, 65125, 10987, 5594, 5728, 5599, 5595, 7054, 11346, 2879, 3611, 3305, 54897, 5144, 3324"
