"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"sgG2",1,"DOID:10763",4843,298,238,20,0.35624583729915,-0.117471952155248,0.829963626753548,1.36568721448311,1.70997810889062,0.0934590906103872,0.658981759732982,0.941985547587005,0.941985547587005,"3146, 142, 7074, 5037, 5591, 7450, 5578, 2768, 3018, 7222, 3075, 6301, 10788, 56666, 3006, 492, 7515, 718, 633, 3324"
"sgG2",1,"DOID:2377",4843,199,238,14,0.400950427753638,-0.1586785079501,0.960579363457376,1.43156961276973,1.19698467622343,0.10983029328883,0.658981759732982,0.936630492192561,0.941985547587005,"3146, 10919, 5578, 4650, 56666, 3321, 114880, 1828, 115701, 152100, 4744, 718, 5341, 84910"
"sgG2",1,"DOID:1059",4843,239,238,14,0.19611487892629,-0.360213131696353,0.752442889548934,1.19197637213881,1.19698467622343,0.285029409141202,0.678393908511896,0.804688928536549,0.941985547587005,"3146, 1859, 4297, 23394, 546, 2915, 10664, 4204, 3149, 26040, 3416, 64324, 3908, 7994"
"sgG2",1,"DOID:5419",4843,694,238,37,0.10089338665391,-0.259328348745044,0.461115122052865,1.08487516043882,3.16345950144764,0.319064299922001,0.678393908511896,0.744051414938795,0.941985547587005,"1387, 4297, 23394, 2033, 3066, 2915, 5582, 10664, 5037, 2596, 4082, 5339, 27445, 1786, 7450, 1610, 5578, 4650, 3159, 4204, 26040, 64854, 23234, 56288, 781, 3008, 4522, 8340, 1767, 22990, 129684, 51673, 50809, 1958, 5289, 9745, 5902"
"sgG2",1,"DOID:0060041",4843,212,238,12,0.156549822337958,-0.441122046925037,0.754221691600952,1.1518154431584,1.02598686533437,0.348154697889361,0.678393908511896,0.758306317753622,0.941985547587005,"3146, 1859, 23394, 2915, 1610, 5579, 4204, 4522, 10514, 129684, 57680, 9824"
"sgG2",1,"DOID:12858",4843,84,238,5,0.206545432594861,-0.706846151857434,1.11993701704716,1.21123449379752,0.427494527222654,0.3968881163483,0.678393908511896,0.769758912647387,0.941985547587005,"5580, 5578, 3014, 7515, 9555"
"sgG2",1,"DOID:10652",4843,508,238,26,0.0479024820057692,-0.370160281319082,0.46596524533062,1.04147091907629,2.2229715415578,0.443714578388872,0.678393908511896,0.639013575476838,0.941985547587005,"10014, 3146, 1859, 142, 23394, 6189, 3066, 2915, 5037, 2931, 5901, 1786, 3159, 3018, 3416, 6418, 3075, 3006, 4522, 22990, 1828, 1958, 4744, 7515, 718, 57578"
"sgG2",1,"DOID:12849",4843,209,238,11,0.0756276894644197,-0.546010015282572,0.697265394211411,1.07098628925254,0.940487959889838,0.452262605674598,0.678393908511896,0.669858518095973,0.941985547587005,"3146, 23394, 2915, 1610, 5579, 4204, 4522, 10514, 129684, 57680, 9824"
"sgG2",1,"DOID:9255",4843,121,238,6,0.00969794993479496,-0.821617931633741,0.841013831503331,1.00902840475033,0.512993432667185,0.551421902687901,0.735229203583868,0.615403049553775,0.941985547587005,"5901, 11335, 1786, 8342, 8340, 1662"
"sgG2",1,"DOID:3312",4843,297,238,13,-0.128883146972156,-0.70071991048837,0.442953616544057,0.890685567156155,1.1114857707789,0.710768894060522,0.852922672872627,0.393764087832213,0.941985547587005,"2915, 27445, 1786, 7450, 1610, 64854, 781, 25782, 8340, 1767, 55193, 6874, 79633"
