"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"spectral",1,"DOID:1059",4843,239,78,5,0.282355300595146,-0.633182573940081,1.19789317513037,1.29894861066409,3.98011176857331,0.340617889134525,0.975858510014499,0.814154653738466,0.847409480940368,"1968, 116442, 6683, 83696, 55515"
"spectral",1,"DOID:12858",4843,84,78,2,0.407388802192903,-1.01353219411825,1.82830979850406,1.47832722832723,1.59204470742932,0.393830074233476,0.975858510014499,0.847409480940368,0.847409480940368,"23390, 8766"
"spectral",1,"DOID:3312",4843,297,78,5,0.0480392724502757,-0.865722000453288,0.961800545353839,1.04528187861521,3.98011176857331,0.52635438195825,0.975858510014499,0.655594691797216,0.78671363015666,"161742, 2823, 200734, 54734, 7184"
"spectral",1,"DOID:2377",4843,199,78,3,-0.0699408425354465,-1.23278023958901,1.09289855451812,0.936026285272516,2.38806706114398,0.628424614127253,0.975858510014499,0.600162104844745,0.78671363015666,"7813, 4907, 23075"
"spectral",1,"DOID:14330",4843,222,78,3,-0.185944550272213,-1.3479003453746,0.97601124483017,0.839050589050589,2.38806706114398,0.701756861671674,0.975858510014499,0.516621983583902,0.774932975375853,"25978, 116442, 51059"
"spectral",1,"DOID:1826",4843,288,78,3,-0.46398667972782,-1.62419849871273,0.696225139257093,0.646768162393162,2.38806706114398,0.851891652648124,0.975858510014499,0.309281865254611,0.618563730509223,"1965, 2823, 4907"
"spectral",1,"DOID:9255",4843,121,78,1,-0.687750513387791,-2.66874301268001,1.29324198590442,0.51313837677474,0.796022353714661,0.863251671732808,0.975858510014499,0.414602089771123,0.710746439607639,"25978"
"spectral",1,"DOID:10763",4843,298,78,3,-0.500707493600406,-1.66072320810282,0.659308220902006,0.625064532782654,2.38806706114398,0.867813173671883,0.975858510014499,0.283453093715748,0.618563730509223,"200734, 57553, 4907"
"spectral",1,"DOID:10652",4843,508,78,5,-0.544117886155468,-1.45487767564072,0.366641903329783,0.611119523521098,3.98011176857331,0.923593017490585,0.975858510014499,0.1581611611798,0.474483483539401,"3635, 25978, 1965, 55130, 7447"
"spectral",1,"DOID:12849",4843,209,78,1,-1.25692371029112,-3.23449877855347,0.720651357971228,0.297080112869587,0.796022353714661,0.968856883596351,0.975858510014499,0.142553053557982,0.474483483539401,"54734"
"spectral",1,"DOID:0060041",4843,212,78,1,-1.27190230870607,-3.24941112291088,0.705606505498751,0.292876149008224,0.796022353714661,0.970403502997697,0.975858510014499,0.137064146196437,0.474483483539401,"54734"
"spectral",1,"DOID:5419",4843,694,78,6,-0.705578784902091,-1.54232737594914,0.131169806144957,0.536798935934383,4.77613412228797,0.975858510014499,0.975858510014499,0.0559885239591154,0.474483483539401,"4645, 2823, 10690, 54734, 9783, 7447"
"spectral",2,"DOID:14330",4843,222,1,1,Inf,NA,Inf,21.8153153153153,4843,0.0458393557712161,0.237869089407392,1,1,"9829"
