"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"wt",1,"DOID:5419",4843,694,1737,329,0.562312956767678,0.400043216427942,0.724582697107415,1.32175535347804,0.528093388205964,9.91539353105822e-12,1.18984722372699e-10,0.999999999994417,0.999999999994417,"1759, 1756, 3836, 7534, 7531, 2887, 2885, 6456, 4842, 3303, 4734, 2475, 207, 3800, 1956, 3320, 5048, 7529, 7532, 7533, 1432, 1072, 2891, 2892, 3028, 1742, 2066, 1741, 9228, 55824, 2512, 2783, 5058, 23499, 50618, 5799, 5362, 1173, 57556, 10580, 4645, 815, 4035, 6457, 23248, 348, 4684, 4099, 5621, 1191, 3309, 58512, 4750, 7334, 7431, 4915, 10376, 1400, 5764, 355, 9379, 9369, 1612, 1499, 9463, 1947, 19, 2903, 2904, 23705, 9943, 2905, 2906, 324, 5792, 5803, 3831, 26354, 5305, 23394, 10487, 9588, 5321, 71, 5142, 998, 9644, 226, 1410, 2534, 11113, 801, 6311, 2932, 7917, 2597, 10399, 1114, 2026, 3312, 4715, 10273, 9638, 213, 55512, 23286, 6853, 396, 25791, 7203, 3757, 4190, 55968, 6204, 5478, 7280, 10949, 23136, 6197, 60, 1454, 22978, 50944, 2917, 6513, 26058, 4137, 202333, 2893, 9223, 9699, 22866, 8678, 2911, 2915, 10048, 23345, 2902, 2023, 5582, 177, 6622, 81565, 1948, 55770, 1020, 23043, 1808, 23040, 8499, 203068, 5037, 6709, 472, 5590, 4155, 85358, 5530, 2596, 7001, 5052, 23242, 5588, 114784, 6137, 22999, 2550, 2571, 287, 2556, 2242, 64219, 8851, 6812, 5595, 3337, 5587, 9456, 4643, 57030, 55740, 775, 9826, 7052, 3843, 7054, 4082, 10243, 4846, 2193, 310, 56924, 9743, 4208, 57514, 4513, 11346, 27445, 23191, 2332, 3054, 5730, 347733, 120892, 128, 156, 230, 2730, 2263, 2898, 5578, 5609, 7247, 10891, 3313, 7295, 5532, 5534, 301, 221184, 10381, 1428, 129285, 523, 1974, 23046, 1501, 8291, 51735, 816, 9229, 2257, 10645, 2047, 26578, 3094, 3305, 3927, 25830, 10075, 103910, 1182, 288, 56899, 54806, 5110, 767, 5912, 10611, 26040, 8777, 3839, 10612, 4741, 29119, 51678, 84516, 51741, 64854, 5533, 4713, 23426, 7169, 1738, 57471, 93986, 6647, 783, 8662, 2890, 8841, 56288, 2913, 2918, 6861, 321, 10613, 51434, 8831, 26059, 6326, 7846, 23074, 23314, 6207, 8997, 9472, 5141, 2897, 5144, 6854, 30811, 5306, 3745, 7257, 4775, 7345, 2876, 84687, 6391, 51070, 873, 4642, 2739, 57572, 526, 7057, 5230, 9948, 4978, 8880, 9568, 8895, 9900, 9779, 85439, 85300, 55915, 80303, 84952, 6942, 9529, 9783, 9722, 9455, 9373, 65267, 57683, 79180"
"wt",1,"DOID:10652",4843,508,1737,247,0.59165487692621,0.406721472191058,0.776588281661363,1.35565097756563,0.396471327923626,3.13167536399285e-10,1.87900521839571e-09,0.999999999829223,0.999999999994417,"1785, 7534, 5663, 10014, 8470, 10133, 3688, 4842, 23163, 351, 2475, 207, 6198, 3667, 3800, 1956, 3320, 7249, 322, 7532, 1432, 672, 5894, 2891, 2892, 3028, 1859, 1742, 2066, 10935, 2280, 387, 824, 5058, 815, 4035, 1600, 57787, 348, 4684, 1272, 5621, 1191, 334, 3309, 5868, 7431, 9135, 4214, 161, 4915, 3708, 1627, 355, 3556, 1612, 1499, 22800, 274, 6453, 23607, 19, 2903, 2904, 23705, 1080, 3831, 23394, 5290, 9588, 5321, 9821, 5594, 55845, 6655, 1410, 2534, 5879, 5747, 801, 2932, 2597, 10399, 4860, 7276, 1743, 2026, 3312, 4831, 3921, 10273, 1508, 55512, 23286, 4043, 5481, 8878, 6853, 7314, 642, 3757, 1855, 10211, 26060, 5300, 1996, 54472, 26353, 1453, 8440, 4830, 6513, 4137, 5566, 2893, 9223, 1386, 8678, 2911, 2915, 10048, 2902, 7415, 54749, 3925, 2023, 27429, 177, 6622, 5728, 3791, 9479, 1020, 1808, 55763, 1938, 8536, 286, 6714, 8204, 5605, 5037, 1965, 4155, 5530, 7001, 5052, 1795, 2550, 2571, 5599, 8851, 6812, 2931, 2, 5595, 1000, 9456, 57030, 775, 7159, 3240, 5581, 7052, 2288, 1131, 6772, 10243, 4846, 5604, 5602, 4208, 3054, 375790, 5730, 10728, 120892, 156, 230, 10891, 3313, 338, 7295, 57019, 5534, 23646, 11033, 1501, 814, 8301, 8522, 9229, 23328, 8567, 6794, 1917, 54828, 288, 8650, 3482, 5110, 4282, 7414, 22933, 4440, 8030, 143098, 4741, 29119, 26031, 5524, 51741, 4336, 6418, 6647, 783, 2890, 818, 5654, 3075, 4040, 5338, 23268, 23197, 321, 811, 57538, 102, 8997, 90678, 4625, 823, 7345, 8428, 249, 23385, 644, 7416, 8867, 8754, 9948, 9446, 8913, 55691, 9892, 718, 9891"
"wt",1,"DOID:10763",4843,298,1737,143,0.53531702893344,0.300028513625366,0.770605544241514,1.33793317955435,0.229536031955784,6.26245246304773e-06,2.17503679052823e-05,0.999996425380709,0.999999999994417,"4842, 3303, 351, 5195, 2475, 207, 3667, 1956, 3320, 7249, 10971, 1432, 3984, 2066, 5295, 387, 10580, 348, 5621, 1191, 3309, 10539, 65125, 4915, 355, 3643, 10987, 1499, 19, 23327, 4881, 1080, 5792, 3831, 6774, 3315, 9138, 2335, 10163, 5594, 9644, 5879, 7917, 7276, 1114, 3921, 6275, 6279, 396, 4646, 3757, 2873, 5300, 389, 57554, 7178, 177, 5728, 3791, 2321, 7074, 2247, 476, 5037, 65266, 5591, 2242, 1445, 253260, 5599, 27347, 3636, 23077, 350, 8851, 2271, 5595, 3337, 775, 3240, 388, 7052, 2288, 1131, 7054, 6772, 4846, 11346, 2332, 2879, 5578, 6776, 25932, 10891, 338, 27130, 118, 3611, 2768, 8291, 5837, 3305, 9459, 4868, 200734, 57674, 10611, 4282, 29119, 51741, 6726, 3779, 6778, 6647, 783, 7222, 5654, 3075, 5338, 222236, 811, 55749, 5168, 2050, 5144, 2876, 56888, 4856, 4642, 644, 6727, 6183, 54881, 7057, 63976, 9446, 7511, 7857, 91, 718, 6533, 283450, 9927"
"wt",1,"DOID:12858",4843,84,1737,50,0.985039492533579,0.545326023839831,1.42475296122733,1.65960742385613,0.0802573538306936,7.25012263509411e-06,2.17503679052823e-05,0.999997414640277,0.999999999994417,"3836, 2475, 207, 3064, 1956, 1432, 5621, 28964, 9001, 4217, 23390, 19, 2903, 2904, 324, 2932, 2597, 213, 54472, 4137, 5566, 1386, 7337, 177, 1020, 1808, 472, 5580, 5599, 8851, 5595, 7323, 6009, 3240, 7052, 25930, 5602, 2898, 5578, 10891, 6794, 5332, 22933, 501, 64130, 6647, 3710, 51667, 9101, 7345"
"wt",1,"DOID:12849",4843,209,1737,102,0.55878007424002,0.280938191862746,0.836621956617294,1.36071927345448,0.163725001814615,6.00804454273165e-05,0.000139129813624754,0.999966763256156,0.999999999994417,"1821, 7534, 351, 2475, 207, 3800, 5310, 7249, 2891, 2495, 1600, 23248, 348, 4684, 5621, 4915, 9379, 9369, 10458, 1499, 2903, 2904, 1009, 23705, 2906, 324, 26354, 23394, 1523, 6262, 9644, 5879, 5747, 2290, 6853, 25791, 22978, 22941, 2917, 26058, 2915, 23345, 7337, 2023, 5728, 3791, 4952, 2321, 476, 23040, 6714, 85358, 7248, 2550, 2571, 2556, 27347, 5864, 9456, 775, 10243, 8924, 4208, 23191, 2332, 128, 2969, 2898, 54413, 5579, 4232, 129285, 23046, 814, 3094, 288, 56899, 54806, 1500, 4282, 51678, 84516, 4713, 23426, 64130, 93986, 783, 2918, 8831, 6326, 2897, 6854, 6792, 2876, 2739, 7057, 9568, 93664, 6942, 9722, 65267, 6323"
"wt",1,"DOID:0060041",4843,212,1737,103,0.549961897897207,0.273965558037333,0.825958237757081,1.35461541803804,0.165330148891229,6.95649068123768e-05,0.000139129813624754,0.999961177049844,0.999999999994417,"1821, 7534, 351, 2475, 207, 3800, 5310, 7249, 2891, 1859, 2495, 1600, 23248, 348, 4684, 5621, 4915, 9379, 9369, 10458, 1499, 2903, 2904, 1009, 23705, 2906, 324, 26354, 23394, 1523, 6262, 9644, 5879, 5747, 2290, 6853, 25791, 22978, 22941, 2917, 26058, 2915, 23345, 7337, 2023, 5728, 3791, 4952, 2321, 476, 23040, 6714, 85358, 7248, 2550, 2571, 2556, 27347, 5864, 9456, 775, 10243, 8924, 4208, 23191, 2332, 128, 2969, 2898, 54413, 5579, 4232, 129285, 23046, 814, 3094, 288, 56899, 54806, 1500, 4282, 51678, 84516, 4713, 23426, 64130, 93986, 783, 2918, 8831, 6326, 2897, 6854, 6792, 2876, 2739, 7057, 9568, 93664, 6942, 9722, 65267, 6323"
"wt",1,"DOID:3312",4843,297,1737,135,0.426194795426508,0.189820578675956,0.662569012177059,1.26733657821741,0.216694855342873,0.000283047446765411,0.00048522419445499,0.999820799834957,0.999999999994417,"1756, 7531, 3688, 4842, 207, 3799, 3800, 1956, 7533, 2066, 5799, 57556, 23248, 348, 4684, 1272, 5621, 3309, 4915, 1612, 1499, 2903, 2904, 23705, 161742, 26354, 5290, 9644, 2534, 11113, 2932, 10399, 2026, 11075, 25791, 1454, 22978, 25758, 2917, 26058, 202333, 9223, 2911, 2915, 23345, 2902, 2023, 2247, 1948, 1808, 5590, 5588, 2571, 5908, 3337, 1000, 3815, 4643, 57030, 775, 51422, 6009, 7054, 4846, 27445, 10125, 2332, 5730, 120892, 2263, 2898, 54413, 338, 301, 221184, 3628, 129285, 23046, 1501, 23348, 10933, 9984, 2257, 3094, 3927, 10075, 200734, 288, 54014, 51185, 56899, 8650, 10611, 89, 784, 51678, 84516, 51741, 64854, 4713, 23426, 64786, 9141, 783, 8662, 2890, 2913, 2918, 26059, 6207, 6712, 9472, 5141, 2897, 6854, 7257, 55193, 6391, 6233, 57572, 4774, 526, 7057, 8525, 8867, 9495, 9892, 84952, 6942, 94134, 9722, 80856, 84250, 57683, 343990"
"wt",1,"DOID:1826",4843,288,1737,131,0.426671032161413,0.186903041364629,0.666439022958197,1.26821667306339,0.210274267036417,0.000336006633068181,0.000504009949602272,0.999787536765913,0.999999999994417,"1759, 369, 4842, 351, 2475, 3667, 3798, 1956, 7249, 53616, 7532, 7533, 2891, 2892, 1859, 387, 5976, 348, 4684, 5621, 7316, 4915, 1400, 3643, 1612, 22800, 9693, 10188, 2903, 2904, 23327, 5789, 3315, 9138, 5321, 998, 5879, 2932, 10399, 5515, 213, 2290, 6853, 826, 5955, 3757, 7317, 6513, 4137, 160622, 2911, 2915, 2902, 23287, 51286, 3925, 7074, 23365, 1808, 55704, 8536, 6709, 1965, 5590, 7248, 23114, 2550, 2571, 6812, 9826, 3240, 388, 1131, 10243, 310, 8976, 4208, 23229, 4509, 4513, 773, 9961, 23348, 3781, 166614, 27342, 83605, 9459, 5906, 1917, 3737, 25977, 11332, 8573, 54726, 94121, 55521, 10276, 5524, 51741, 501, 3779, 57471, 6647, 777, 9817, 2890, 8831, 6326, 16, 6854, 5880, 3745, 7402, 6792, 8893, 823, 261726, 51400, 8500, 249, 55585, 889, 63971, 9568, 9900, 8913, 718, 85440, 6323, 7881"
"wt",1,"DOID:2377",4843,199,1737,92,0.449498258136671,0.16440949135255,0.734587024920792,1.28898956498092,0.147673531048476,0.00136993501946812,0.00176114433080646,0.999161503689884,0.999999999994417,"58513, 6456, 4842, 3303, 351, 207, 6198, 3798, 7532, 1432, 672, 2891, 2892, 3028, 348, 4684, 1272, 5621, 4915, 23095, 3708, 3306, 355, 50807, 2904, 23327, 3831, 6774, 3315, 5594, 1410, 6311, 2932, 7917, 2597, 7276, 2290, 10919, 10007, 87, 4137, 2902, 3925, 177, 6622, 2247, 4155, 23114, 2571, 11140, 5864, 2, 7323, 23321, 116986, 5569, 6772, 4846, 54536, 4509, 129807, 156, 2898, 5578, 6776, 10055, 10891, 9647, 301, 23046, 10767, 26578, 54806, 4282, 284119, 6647, 8662, 2913, 23075, 79925, 5141, 8893, 9312, 2739, 64682, 6745, 7416, 6935, 830, 8853, 6000, 718"
"wt",1,"DOID:1059",4843,239,1737,108,0.409211613300753,0.147400399012952,0.671022827588554,1.25991284930735,0.173355884274298,0.00146762027567205,0.00176114433080646,0.999061832140835,0.999999999994417,"1756, 2316, 3800, 3320, 2892, 3028, 1859, 1741, 5063, 1499, 2903, 2904, 55729, 11122, 23394, 1915, 2290, 6197, 6195, 5528, 55198, 2954, 5932, 22978, 50944, 22941, 6249, 22866, 2915, 23345, 2902, 5728, 4952, 23040, 6709, 85358, 1968, 5518, 7248, 64219, 3476, 8851, 5864, 6812, 3337, 9456, 1131, 171024, 4512, 8924, 8888, 4208, 23229, 3913, 11346, 773, 9126, 23203, 2332, 3054, 347733, 2969, 2263, 2898, 54413, 7430, 64837, 1501, 814, 23111, 23122, 9459, 10075, 1917, 288, 51185, 8573, 767, 10290, 94121, 9640, 81704, 26040, 51741, 4713, 259266, 2245, 10973, 8243, 8831, 10178, 5168, 6326, 5144, 4983, 391, 8239, 6792, 56888, 249, 57609, 8825, 8913, 9901, 93664, 6611, 65267, 6323"
