"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"infomap",1,"FALSE",4843,4652,18,18,Inf,NA,Inf,1.04105760963027,269.055555555556,0.484049256924271,0.968098513848542,1,1,"273, 5478, 5127, 66036, 1020, 5530, 9625, 8851, 22853, 5494, 9647, 5532, 5534, 200844, 5533, 54893, 5754, 9108"
"infomap",2,"FALSE",4843,4652,159,153,0.0474238484015331,-0.781427433460175,0.876275130263241,1.00177241681403,29.309718761125,0.561429890806627,0.603888485790636,0.603888485790636,0.603888485790636,"6455, 1759, 1785, 2317, 2316, 2887, 1793, 2274, 8470, 2885, 6456, 8491, 30011, 2318, 51517, 3667, 1956, 2066, 10015, 55824, 5295, 2934, 50618, 57556, 10580, 10006, 6457, 58512, 22839, 7454, 4915, 80347, 1399, 1398, 3643, 5335, 2017, 50807, 2048, 10458, 1499, 10188, 23607, 867, 11122, 5791, 5803, 5787, 5795, 6774, 29760, 5336, 6655, 9644, 2534, 6654, 5747, 5781, 4067, 51429, 10657, 10236, 3728, 613, 5424, 4190, 8440, 22941, 9699, 160622, 5062, 3055, 3791, 2321, 6714, 5921, 5588, 27, 1271, 11248, 114784, 1795, 357, 445815, 23114, 11176, 23230, 23013, 2571, 171023, 2242, 1445, 3636, 2098, 3815, 57030, 9826, 1436, 8976, 25930, 147179, 3417, 2268, 11253, 644150, 2047, 26578, 54187, 65059, 10044, 55748, 56899, 56165, 57381, 8175, 126133, 7535, 952, 6936, 2044, 3706, 85365, 9784, 3493, 8867, 8754, 8871, 8853, 966, 63897, 129138, 8667, 9901, 8506, 18, 29934, 3000, 90134, 8288, 3700, 9185, 8425, 5445, 6451, 83442, 6900, 2184, 8936, 94134, 84940, 780776, 80208, 79585"
"infomap",2,"TRUE",4843,191,159,6,-0.047423848401533,-0.876275130263241,0.781427433460175,0.956830978958807,1.14940073573039,0.603888485790636,0.603888485790636,0.561429890806627,0.603888485790636,"6137, 462, 2185, 124044, 9472, 56138"
"infomap",3,"TRUE",4843,191,94,6,0.52002154065349,-0.319935800714528,1.35997888202151,1.61846942185585,3.28859212313264,0.16527846426869,0.33055692853738,0.923625222274533,0.923625222274533,"22980, 4157, 192669, 122402, 9529, 9628"
"infomap",3,"FALSE",4843,4652,94,88,-0.52002154065349,-1.35997888202151,0.319935800714528,0.974607123909186,48.232684472612,0.923625222274533,0.923625222274533,0.16527846426869,0.33055692853738,"26052, 3303, 3320, 1615, 4291, 27101, 2783, 9531, 10598, 3326, 3306, 2324, 5536, 5708, 10382, 51608, 3312, 10273, 5955, 10681, 4141, 5704, 26353, 2580, 26355, 10049, 10963, 10726, 6493, 10910, 282974, 23191, 3054, 4145, 10728, 1025, 51284, 10426, 26973, 1181, 9532, 79705, 147746, 166614, 283455, 317719, 8079, 51495, 200424, 5709, 10294, 10869, 80755, 2781, 3300, 5431, 2774, 1384, 7260, 4128, 5875, 55466, 4129, 7266, 55226, 10391, 157807, 790, 157680, 9064, 81027, 813, 8787, 9829, 79012, 80216, 3645, 3742, 57626, 55631, 2009, 1762, 284434, 124997, 23507, 9521, 10840, 55667"
"infomap",4,"FALSE",4843,4652,18,18,Inf,NA,Inf,1.04105760963027,269.055555555556,0.484049256924271,0.968098513848542,1,1,"2060, 58513, 29924, 161, 1213, 163, 6453, 7461, 57514, 129807, 55614, 1175, 84251, 3268, 85439, 48, 9267, 154810"
"infomap",5,"TRUE",4843,191,120,9,0.704590220045041,0.00931536301180569,1.39986507707828,1.90170157068063,3.026875,0.0462662209990365,0.092532441998073,0.980708936551376,0.980708936551376,"7531, 4140, 4137, 2911, 8204, 5970, 5595, 4208, 63826"
"infomap",5,"FALSE",4843,4652,120,111,-0.704590220045041,-1.39986507707828,-0.00931536301180558,0.962978288907997,37.3314583333333,0.980708936551376,0.980708936551376,0.0462662209990365,0.092532441998073,"673, 369, 7534, 10014, 8844, 1387, 207, 6198, 7249, 10971, 7529, 7532, 1432, 3984, 5894, 1147, 405, 1859, 5058, 4216, 65125, 4217, 2810, 10987, 22800, 5315, 408, 5290, 9588, 5600, 5594, 2037, 23162, 572, 2033, 1386, 8678, 5728, 1969, 5605, 5218, 4155, 7248, 5599, 1645, 3697, 7054, 171024, 4215, 9349, 5604, 4294, 5602, 3097, 6744, 23108, 11346, 51222, 8202, 1610, 1644, 2879, 5609, 5629, 10498, 3611, 5606, 6885, 151742, 83605, 3305, 51701, 5156, 25830, 153090, 8567, 6794, 27248, 54897, 9610, 8841, 7343, 65268, 9318, 5144, 10499, 64397, 5603, 6416, 92815, 54861, 92609, 9612, 84630, 5230, 8986, 84258, 3858, 8455, 80727, 2038, 84952, 84451, 4820, 53343, 55362, 7064, 3324, 84446, 9024, 9520"
"infomap",7,"TRUE",4843,191,11,2,1.69729157618401,0.158201661185375,3.23638149118264,4.61018562589243,80.0495867768595,0.0673411170959502,0.1346822341919,0.992118299719112,0.992118299719112,"2923, 129285"
"infomap",7,"FALSE",4843,4652,11,9,-1.69729157618401,-3.23638149118264,-0.158201661185375,0.851774407879309,360.223140495868,0.992118299719112,0.992118299719112,0.0673411170959502,0.1346822341919,"54014, 11259, 54768, 54499, 22915, 57082, 6525, 55345, 63892"
