"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"infomap",2,"FALSE",4843,4797,159,159,Inf,NA,Inf,1.0095893266625,30.4591194968553,0.213766873742887,0.427533747485774,1,1,"6455, 1759, 1785, 2317, 2316, 2887, 1793, 2274, 8470, 2885, 6456, 8491, 30011, 2318, 51517, 3667, 1956, 2066, 10015, 55824, 5295, 2934, 50618, 57556, 10580, 10006, 6457, 58512, 22839, 7454, 4915, 80347, 1399, 1398, 3643, 5335, 2017, 50807, 2048, 10458, 1499, 10188, 23607, 867, 11122, 5791, 5803, 5787, 5795, 6774, 29760, 5336, 6655, 9644, 2534, 6654, 5747, 5781, 4067, 51429, 10657, 10236, 3728, 613, 5424, 4190, 8440, 22941, 9699, 160622, 5062, 3055, 3791, 2321, 6714, 5921, 5588, 27, 1271, 11248, 114784, 1795, 6137, 357, 445815, 23114, 11176, 23230, 23013, 2571, 171023, 462, 2242, 1445, 3636, 2098, 3815, 57030, 9826, 1436, 8976, 25930, 147179, 3417, 2268, 11253, 644150, 2185, 2047, 26578, 54187, 65059, 10044, 55748, 56899, 56165, 57381, 8175, 126133, 124044, 7535, 952, 6936, 2044, 9472, 3706, 85365, 9784, 3493, 8867, 8754, 8871, 8853, 966, 63897, 129138, 8667, 9901, 8506, 18, 56138, 29934, 3000, 90134, 8288, 3700, 9185, 8425, 5445, 6451, 83442, 6900, 2184, 8936, 94134, 84940, 780776, 80208, 79585"
"infomap",3,"FALSE",4843,4797,94,94,Inf,NA,Inf,1.0095893266625,51.5212765957447,0.404189854309489,0.808379708618979,1,1,"26052, 3303, 3320, 1615, 4291, 27101, 2783, 9531, 10598, 3326, 3306, 2324, 5536, 5708, 10382, 51608, 3312, 10273, 5955, 10681, 4141, 5704, 26353, 2580, 26355, 10049, 10963, 10726, 6493, 10910, 282974, 23191, 3054, 4145, 10728, 1025, 51284, 22980, 10426, 26973, 1181, 9532, 79705, 147746, 166614, 283455, 317719, 8079, 51495, 200424, 5709, 10294, 10869, 80755, 2781, 3300, 5431, 2774, 1384, 4157, 7260, 192669, 4128, 5875, 55466, 122402, 4129, 7266, 55226, 10391, 157807, 790, 157680, 9064, 81027, 813, 8787, 9529, 9829, 79012, 80216, 3645, 3742, 57626, 9628, 55631, 2009, 1762, 284434, 124997, 23507, 9521, 10840, 55667"
"infomap",5,"TRUE",4843,46,120,4,1.34630159303023,0.304282117498222,2.38832106856223,3.50942028985507,1.34527777777778,0.0262702591440778,0.0525405182881556,0.994770686259595,0.994770686259595,"4137, 2911, 8204, 5595"
"infomap",5,"FALSE",4843,4797,120,116,-1.34630159303023,-2.38832106856223,-0.304282117498222,0.975936349107081,39.0130555555556,0.994770686259595,0.994770686259595,0.0262702591440778,0.0525405182881556,"673, 369, 7534, 7531, 10014, 8844, 1387, 207, 6198, 7249, 10971, 7529, 7532, 1432, 3984, 5894, 1147, 405, 1859, 5058, 4216, 65125, 4217, 2810, 10987, 22800, 5315, 408, 5290, 9588, 5600, 5594, 2037, 4140, 23162, 572, 2033, 1386, 8678, 5728, 1969, 5605, 5218, 4155, 7248, 5970, 5599, 1645, 3697, 7054, 171024, 4215, 9349, 5604, 4294, 5602, 4208, 3097, 6744, 23108, 11346, 51222, 8202, 1610, 1644, 2879, 5609, 5629, 10498, 3611, 5606, 6885, 151742, 83605, 3305, 51701, 5156, 25830, 153090, 8567, 6794, 27248, 54897, 9610, 63826, 8841, 7343, 65268, 9318, 5144, 10499, 64397, 5603, 6416, 92815, 54861, 92609, 9612, 84630, 5230, 8986, 84258, 3858, 8455, 80727, 2038, 84952, 84451, 4820, 53343, 55362, 7064, 3324, 84446, 9024, 9520"
"infomap",7,"TRUE",4843,46,11,1,2.36441160662814,0.287892549244343,4.44093066401194,9.57114624505929,40.0247933884297,0.0997557021636394,0.199511404327279,0.995402771766839,0.995402771766839,"2923"
"infomap",7,"FALSE",4843,4797,11,10,-2.36441160662814,-4.44093066401194,-0.287892549244343,0.917808478784088,400.247933884297,0.995402771766839,0.995402771766839,0.099755702163639,0.199511404327278,"129285, 54014, 11259, 54768, 54499, 22915, 57082, 6525, 55345, 63892"
"infomap",14,"TRUE",4843,46,11,1,2.36441160662814,0.287892549244343,4.44093066401194,9.57114624505929,40.0247933884297,0.0997557021636394,0.199511404327279,0.995402771766839,0.995402771766839,"7223"
"infomap",14,"FALSE",4843,4797,11,10,-2.36441160662814,-4.44093066401194,-0.287892549244343,0.917808478784088,400.247933884297,0.995402771766839,0.995402771766839,0.099755702163639,0.199511404327278,"3709, 11331, 5757, 23293, 5245, 54205, 3710, 1537, 9162, 7224"
"infomap",19,"TRUE",4843,46,83,2,0.973224653626507,-0.460773547222209,2.40722285447522,2.53693033001572,1.40600958049064,0.185960242207606,0.371920484415212,0.956535657864796,0.956535657864796,"9228, 2903"
"infomap",19,"FALSE",4843,4797,83,81,-0.973224653626507,-2.40722285447522,0.460773547222209,0.98526187300798,56.9433880098708,0.956535657864796,0.956535657864796,0.185960242207606,0.371920484415212,"3739, 9863, 1742, 1740, 1741, 6640, 3736, 260425, 57453, 1739, 23095, 3761, 2904, 22871, 2905, 2906, 23513, 3704, 28966, 6197, 3759, 50944, 6300, 9223, 8874, 10207, 57555, 2902, 491, 85358, 9456, 22859, 109, 116984, 1002, 1128, 1501, 23109, 9229, 3737, 8514, 10276, 81832, 65217, 11138, 22844, 114786, 2977, 6641, 8831, 3745, 23024, 5286, 9312, 30851, 54549, 8525, 4897, 9758, 3738, 57497, 3766, 23096, 55966, 5549, 5067, 8120, 5128, 80059, 64072, 25960, 29919, 53919, 9754, 642968, 84435, 85461, 79674, 54497, 57101, 266727"
