"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"louvain",1,"TRUE",4843,46,537,6,0.186549892903476,-0.676260534695194,1.04936032050215,1.17634199659947,0.10076672596569,0.402536735197032,0.756374633375646,0.756374633375646,0.756374633375646,"9228, 23113, 2903, 57502, 9568, 57476"
"louvain",1,"FALSE",4843,4797,537,531,-0.186549892903476,-1.04936032050215,0.676260534695194,0.998308998990291,8.91785524796355,0.756374633375646,0.756374633375646,0.402536735197031,0.756374633375646,"273, 6455, 1759, 1785, 1837, 1821, 1605, 26986, 58513, 2317, 2316, 2887, 1793, 2274, 8470, 2885, 29993, 6456, 5094, 3739, 3688, 6645, 4842, 10605, 9863, 8491, 30011, 2318, 51517, 3667, 1956, 322, 29763, 1742, 2066, 1740, 1741, 10015, 55824, 5093, 5295, 10675, 6640, 1495, 3736, 2934, 259217, 260425, 50618, 5362, 23037, 23026, 23025, 57453, 5365, 57556, 10580, 815, 4035, 10006, 6457, 4670, 10212, 1994, 4685, 334, 10539, 58512, 22839, 1739, 7454, 4130, 4915, 23095, 80347, 1399, 1398, 3643, 5335, 2017, 50807, 2048, 10458, 1499, 9693, 274, 6453, 10188, 23607, 867, 774, 19, 3761, 2904, 11059, 1009, 1464, 22871, 2905, 2906, 23513, 11122, 10076, 5786, 5791, 5793, 5803, 5787, 5795, 26354, 6774, 9844, 9138, 6261, 5290, 29760, 2335, 5336, 3716, 9821, 4580, 1523, 1982, 4638, 394, 6655, 9644, 3704, 63916, 2534, 6654, 5747, 5781, 3190, 4067, 51429, 6311, 10657, 2261, 4860, 170961, 403, 10236, 3728, 22913, 2059, 116985, 4043, 4356, 6133, 6275, 6853, 25791, 1123, 157285, 10570, 335, 10658, 4190, 10769, 5478, 10949, 1952, 23136, 4857, 6092, 3191, 28966, 3759, 26060, 3183, 11252, 10054, 51729, 27316, 7360, 1153, 57120, 5725, 8440, 23266, 50944, 22941, 87, 9223, 9699, 57554, 8874, 9266, 160622, 55333, 2895, 2894, 1973, 10207, 2915, 57555, 2902, 3099, 58155, 23543, 23287, 54039, 2023, 10659, 57060, 177, 5062, 3055, 3791, 7422, 9479, 22794, 10492, 2321, 2247, 1948, 23048, 6714, 2043, 11315, 491, 115703, 85358, 5530, 5921, 5588, 27, 1271, 11248, 114784, 1795, 357, 610, 445815, 22999, 23114, 11176, 23230, 2533, 2550, 171023, 25924, 462, 2242, 1445, 9378, 3636, 575, 6812, 259, 1892, 2098, 1655, 3697, 1000, 3815, 3182, 9456, 4643, 3778, 57030, 9826, 3240, 7052, 3185, 869, 382, 3843, 10154, 8482, 1436, 6772, 22859, 9743, 152503, 8976, 25930, 147179, 4509, 23504, 109, 116984, 1002, 1128, 3339, 5730, 54623, 2263, 2935, 6776, 11336, 3718, 2268, 10295, 10999, 55753, 7295, 23550, 5532, 5534, 11253, 51109, 116987, 1501, 23109, 178, 83737, 644150, 8522, 7094, 3188, 6428, 3187, 9444, 9229, 2185, 2047, 26578, 23001, 4868, 8826, 348980, 54187, 65059, 10044, 3737, 54014, 7525, 55748, 56899, 1277, 4355, 30818, 64398, 118812, 55698, 56165, 55156, 57381, 57715, 23433, 9782, 8514, 8777, 23336, 4440, 10276, 166647, 83604, 23154, 7458, 8175, 25824, 23762, 51678, 126133, 81, 402117, 55327, 5533, 64130, 2824, 25852, 60682, 163259, 9026, 6778, 81832, 6907, 3075, 7535, 952, 65217, 316, 11138, 22844, 114786, 2977, 6641, 321, 6129, 2245, 6202, 51434, 2805, 4353, 56666, 57716, 222950, 8831, 27133, 7586, 23316, 10343, 1769, 6936, 102, 1130, 2044, 21, 399687, 9472, 1528, 8842, 2674, 6134, 8502, 6792, 1993, 823, 3268, 3706, 85365, 23024, 5286, 30851, 54549, 4858, 23362, 114780, 9784, 9732, 80005, 873, 285513, 57224, 6599, 494115, 3493, 441400, 6154, 7057, 8525, 8867, 8754, 4897, 8871, 8853, 9806, 9820, 9758, 966, 63971, 3738, 63897, 129138, 84152, 9900, 8825, 57497, 3766, 83478, 3751, 9901, 8506, 18, 56138, 29934, 3000, 94137, 90134, 51762, 8288, 85439, 3700, 9185, 23096, 9931, 55966, 5549, 7301, 5067, 8120, 80059, 64072, 83595, 8425, 5445, 718, 6451, 83442, 6900, 2184, 487, 6653, 8936, 93643, 94134, 386617, 26154, 51493, 9722, 84940, 84866, 57624, 56181, 83733, 25960, 29919, 53919, 9754, 9922, 642968, 84435, 63875, 780776, 56853, 64800, 83660, 84623, 79674, 54497, 57101, 6764, 24, 8504, 80724, 282973, 53917, 89853, 93377, 80208, 5136, 392862, 57605, 154810, 79585, 27255, 266727, 26045"
"louvain",2,"FALSE",4843,4797,269,269,Inf,NA,Inf,1.0095893266625,18.003717472119,0.0712629725491933,0.142525945098387,1,1,"26052, 3303, 3320, 1615, 4291, 27101, 2783, 9531, 2280, 6449, 1642, 1191, 10598, 375, 3708, 3326, 576, 3306, 2324, 10287, 5536, 3315, 5305, 2773, 6262, 11316, 5708, 7917, 10382, 51608, 3312, 25873, 10273, 2771, 5424, 60626, 10072, 826, 5955, 4733, 2788, 112840, 1314, 10681, 4141, 23450, 11146, 51594, 5662, 11171, 6002, 5704, 26128, 6271, 1315, 443, 10456, 26353, 2107, 2580, 84864, 5701, 6921, 6923, 26355, 2770, 4647, 10049, 8454, 10963, 5138, 8065, 23020, 23542, 10726, 6493, 9049, 6500, 10910, 2288, 81488, 5569, 1131, 2870, 282974, 23191, 3054, 4145, 10728, 1025, 2776, 5567, 10055, 10131, 10636, 26575, 10180, 373156, 27339, 2778, 3313, 4924, 51284, 126374, 22820, 22980, 1974, 10426, 26973, 1181, 10594, 9532, 79705, 55832, 147746, 166614, 283455, 140469, 26270, 317719, 27072, 108, 8452, 116988, 23708, 152789, 4046, 9687, 23221, 8079, 51495, 200424, 5709, 10294, 10869, 80755, 2781, 3300, 5431, 2774, 1384, 2782, 10672, 4157, 7260, 192669, 4128, 5875, 55466, 122402, 4129, 26958, 7266, 55226, 10391, 2785, 57532, 157807, 22824, 767, 23181, 11163, 58473, 26232, 8453, 26507, 126006, 480, 56111, 9817, 7514, 2775, 790, 6157, 199223, 6130, 5707, 53904, 440, 157680, 25851, 26094, 111, 161436, 5168, 5464, 1268, 5141, 5999, 6604, 27089, 6011, 9064, 1901, 8451, 2784, 2786, 131118, 22992, 10444, 84678, 55140, 54331, 9343, 81027, 200933, 9978, 123879, 57657, 8266, 117, 59345, 7803, 26504, 54805, 1176, 10239, 8295, 372, 8787, 83715, 5179, 90627, 9446, 93145, 8402, 90990, 9535, 51250, 8647, 79699, 8601, 6000, 85300, 8943, 53353, 9529, 91, 55970, 80150, 6611, 9829, 79176, 79012, 80216, 3645, 3742, 57626, 9628, 51133, 9352, 57623, 339122, 6620, 55631, 2009, 1762, 284434, 124997, 23507, 85397, 9751, 9521, 460, 9276, 6623, 22821, 10840, 55667"
"louvain",3,"FALSE",4843,4797,263,261,0.235762015273421,-1.18679722020175,1.65832125074859,1.00191184128864,18.2744148390175,0.540199658292786,0.722300277640331,0.722300277640331,0.722300277640331,"2060, 29979, 10133, 2561, 10043, 3503, 3500, 3612, 1600, 708, 10617, 26994, 7334, 7316, 55666, 4214, 29924, 4738, 133957, 146691, 29978, 10564, 4881, 91404, 10961, 1410, 56893, 7336, 3092, 7314, 25978, 5660, 2936, 10994, 2901, 23435, 58478, 23558, 7317, 8996, 327, 1731, 5635, 23157, 1996, 54472, 5631, 8027, 7415, 7337, 11047, 1155, 51286, 5100, 3925, 3615, 7874, 23072, 6282, 6285, 5413, 23176, 6622, 9039, 6396, 79837, 56957, 9040, 8314, 10801, 346288, 55752, 6280, 57132, 23376, 7321, 7322, 7323, 6201, 55611, 57169, 6218, 196403, 23295, 3093, 23321, 23609, 7335, 5710, 51652, 22872, 27005, 29, 55739, 4794, 5716, 8926, 29968, 5214, 54413, 712, 2157, 27165, 6232, 6737, 130507, 9958, 301, 51617, 54914, 5153, 989, 23111, 4621, 128866, 2560, 2562, 714, 3964, 10767, 26091, 27342, 4069, 10075, 10952, 23017, 57026, 5634, 23201, 9666, 151011, 11332, 55964, 27243, 1278, 1013, 5332, 118881, 23127, 64744, 4735, 51571, 27343, 84959, 23581, 5119, 27183, 79643, 26133, 10612, 29944, 29965, 5887, 5414, 27239, 147906, 23544, 51534, 8883, 55040, 51028, 5636, 114900, 84313, 3416, 9798, 2987, 51592, 2918, 10988, 811, 55814, 292, 5042, 84251, 2581, 55975, 51065, 6138, 6207, 90678, 7706, 9781, 8396, 51377, 128312, 8861, 284697, 9354, 51667, 2554, 2555, 79876, 6683, 9101, 55236, 7347, 23373, 57646, 9097, 7345, 2566, 80128, 9870, 657, 90, 3502, 79594, 56888, 161725, 1212, 6233, 58489, 64682, 5442, 586, 2767, 221092, 23071, 23576, 231, 7732, 3514, 713, 563, 9765, 8078, 9620, 6447, 9069, 84833, 8933, 8913, 7857, 80700, 93664, 53840, 89970, 6942, 80131, 9380, 84284, 8036, 160418, 51144, 83692, 9373, 3933, 9847, 84502, 9525, 6748, 55176, 9700, 83449, 219793, 9927, 201475, 9735, 79092, 5304"
"louvain",3,"TRUE",4843,46,263,2,-0.235762015273421,-1.65832125074859,1.18679722020175,0.800628203008762,0.140033830184042,0.722300277640331,0.722300277640331,0.540199658292786,0.722300277640331,"64219, 22905"
"louvain",4,"TRUE",4843,46,502,6,0.262906921172928,-0.60019505170616,1.12600889405201,1.2583578728564,0.115307693528674,0.340671507549885,0.68134301509977,0.805865839176277,0.805865839176277,"5142, 4137, 2911, 5595, 56924, 1630"
"louvain",4,"FALSE",4843,4797,502,496,-0.262906921172928,-1.12600889405201,0.60019505170616,0.997522521961352,9.53210266503706,0.805865839176277,0.805865839176277,0.340671507549885,0.68134301509977,"673, 369, 22808, 7534, 7531, 8844, 4734, 2475, 207, 5170, 6198, 5573, 7249, 29959, 10971, 53616, 7529, 7532, 7164, 64283, 1432, 3984, 5894, 405, 2512, 2495, 5584, 387, 824, 5058, 7332, 57610, 23031, 57787, 1459, 1460, 23517, 26019, 11331, 4216, 161, 5063, 65125, 1213, 4217, 2810, 2045, 9379, 9369, 4301, 10987, 1612, 22800, 5315, 23263, 23327, 55596, 1284, 5499, 161742, 10494, 9990, 9943, 408, 47, 9759, 9588, 5321, 9158, 56252, 998, 5600, 5594, 2037, 1471, 5881, 5879, 2932, 5515, 1114, 5720, 197131, 54622, 81631, 5601, 4140, 6230, 7083, 306, 481, 3039, 1508, 11078, 8669, 10398, 8878, 10155, 396, 2286, 3308, 3757, 57658, 23162, 23039, 1967, 3991, 55968, 4192, 79735, 7280, 51412, 2873, 11345, 6142, 11031, 5127, 26100, 6197, 6195, 572, 11083, 26086, 10743, 5528, 1602, 55198, 55577, 5932, 339965, 2941, 2917, 5566, 6300, 1386, 8678, 10048, 3507, 5582, 27429, 4627, 5527, 5728, 5525, 7074, 208, 7143, 23396, 1020, 1938, 55704, 203068, 1969, 5605, 5037, 1509, 472, 317, 5501, 5590, 5218, 4155, 5518, 7248, 23092, 8661, 5500, 65266, 29127, 6137, 5970, 253260, 5599, 9625, 27347, 10135, 5908, 350, 3476, 8851, 22853, 2931, 5911, 1645, 5213, 5587, 116986, 58497, 10749, 9353, 10395, 5581, 55803, 26230, 10856, 7054, 171024, 4215, 23164, 310, 1730, 8924, 8888, 5910, 9349, 6146, 5604, 4294, 5602, 11221, 50649, 57514, 3097, 6744, 23108, 11346, 51222, 347733, 120892, 128, 156, 1452, 1620, 1644, 1845, 2879, 3101, 427, 5494, 5516, 5609, 6156, 10383, 11344, 26470, 55738, 57118, 6167, 84172, 10891, 10959, 10960, 10972, 11197, 11334, 51719, 338699, 10945, 9647, 7145, 1302, 2132, 2244, 10381, 1397, 1455, 23205, 11033, 1622, 3611, 5909, 5606, 6885, 127281, 23258, 523, 55558, 5531, 6187, 57418, 51440, 7267, 151742, 5962, 23122, 84629, 51735, 5783, 57805, 5519, 5529, 2257, 80206, 23012, 83605, 3305, 51701, 5156, 5291, 55054, 25830, 153090, 2011, 5906, 57521, 2235, 8567, 6794, 27248, 1917, 54897, 57402, 10818, 3050, 3045, 23143, 130813, 8890, 4282, 81704, 3839, 11069, 28958, 200844, 4133, 5756, 148252, 10920, 84305, 23170, 3046, 259173, 5524, 23052, 54769, 23138, 501, 29850, 84557, 9610, 63826, 64786, 64422, 361, 126298, 2152, 3043, 6091, 8662, 7222, 9368, 2890, 5654, 4040, 5338, 56288, 2913, 6521, 57580, 4776, 23218, 55357, 27145, 2909, 10235, 3710, 6217, 127795, 6209, 6223, 23075, 8243, 7343, 6125, 4139, 221061, 23303, 55619, 57337, 11041, 79925, 65268, 8892, 65244, 5430, 399473, 5144, 6854, 5880, 3758, 115557, 8408, 3074, 9912, 4983, 8239, 4261, 79813, 8216, 4775, 5603, 2629, 6416, 8893, 2287, 176, 23061, 5289, 5878, 113246, 5526, 54861, 261726, 10554, 60673, 51400, 6164, 51070, 9683, 1812, 644, 4660, 5520, 55844, 57572, 6847, 55210, 92609, 143425, 4763, 56926, 84630, 5230, 116443, 9211, 79443, 889, 8986, 85445, 8533, 84258, 9043, 9362, 7786, 7841, 7511, 8607, 8508, 9351, 55607, 55690, 9757, 2914, 8663, 5504, 7108, 8455, 80727, 2038, 94274, 64223, 84952, 4820, 5128, 5538, 6205, 53343, 9397, 9771, 1723, 55362, 79634, 5613, 56948, 85440, 221545, 84433, 6222, 48, 5510, 57338, 7412, 7064, 8577, 7111, 7464, 84617, 81532, 7447, 81563, 79791, 5121, 51313, 83657, 9162, 51449, 54928, 9891, 6917, 793, 1476, 9196, 84446, 57464, 9024, 9520, 59283"
"louvain",5,"FALSE",4843,4797,553,548,0.0559705011034114,-0.87673089729259,0.988671899499413,1.00046103256971,8.67850194075387,0.569072700925018,0.6162909737461,0.6162909737461,0.6162909737461,"1756, 1981, 23163, 3799, 2058, 5310, 1674, 4783, 40, 41, 3251, 10342, 3855, 65263, 5799, 1173, 3646, 2243, 7916, 5859, 5684, 1838, 11117, 6499, 5493, 4998, 4172, 4175, 10482, 7251, 9146, 9135, 164, 8887, 4747, 1174, 2051, 9463, 163, 114793, 23368, 2801, 22938, 1080, 23647, 3848, 961, 3635, 5575, 55048, 5682, 5683, 5687, 5690, 5689, 5691, 5693, 5694, 5695, 10399, 10606, 293, 23028, 2950, 11075, 22927, 4841, 7114, 55262, 57095, 11170, 10817, 50861, 29062, 79577, 2170, 26003, 23265, 2947, 11007, 3854, 26505, 3866, 386618, 4591, 8907, 60491, 27229, 149371, 5300, 3880, 22954, 57144, 8623, 10152, 54474, 140885, 2670, 81628, 10320, 153733, 66036, 23710, 10900, 51421, 541468, 127703, 55885, 2954, 3853, 56243, 5152, 57596, 10127, 22978, 51760, 5706, 3875, 23636, 54906, 95, 5700, 9513, 4830, 51160, 6717, 56850, 26278, 54749, 23152, 10640, 54535, 54550, 30820, 64753, 9659, 8666, 9672, 3856, 5688, 10021, 2571, 5692, 8736, 5966, 55576, 53918, 55212, 57524, 2224, 10058, 27034, 55823, 23281, 84445, 5571, 51422, 5562, 3691, 200576, 25959, 23384, 283234, 140710, 51742, 64926, 129807, 10579, 26999, 6293, 54954, 5585, 3417, 23479, 3801, 1641, 7170, 54793, 162, 2969, 10810, 1610, 2898, 5027, 64754, 7247, 8317, 25932, 4706, 11151, 53335, 4519, 5565, 7965, 9961, 56904, 39, 6723, 388135, 58494, 83700, 154661, 282991, 23589, 53358, 5630, 154796, 10933, 11130, 4236, 9984, 81892, 6386, 54585, 117177, 1656, 25901, 1846, 5563, 3927, 115948, 2281, 23216, 140807, 64601, 57617, 5317, 4163, 200734, 23371, 151056, 2173, 51185, 1158, 1728, 125115, 25977, 64147, 143884, 23288, 3881, 340371, 5702, 5715, 3281, 7024, 114824, 8664, 79720, 79959, 3860, 9470, 53615, 3382, 7168, 6050, 3852, 3851, 358, 200081, 3849, 221, 2949, 9278, 1984, 54726, 5129, 2039, 374454, 55697, 27124, 10290, 112802, 29094, 114327, 284656, 84312, 23334, 148281, 57213, 338785, 57674, 23254, 10434, 51382, 9911, 348110, 319101, 9454, 133746, 79571, 114971, 1794, 2800, 57326, 94121, 23503, 116835, 26051, 79843, 140460, 53944, 22931, 55337, 54834, 27430, 51256, 553115, 6687, 11196, 9753, 4144, 9852, 9832, 54438, 2944, 547, 85376, 55614, 192666, 57795, 463, 8030, 196374, 115817, 27132, 152206, 89, 340527, 23294, 54785, 11178, 3885, 342574, 55346, 6627, 23233, 5814, 3868, 53916, 51350, 3299, 3886, 388336, 121391, 29982, 3892, 728116, 5705, 3888, 123591, 9119, 150962, 64599, 29119, 23598, 84823, 8087, 145773, 400673, 784, 29941, 55128, 26031, 51668, 54676, 8689, 5833, 134829, 401647, 3861, 197322, 3241, 3882, 25801, 122961, 220164, 93974, 23151, 375567, 51741, 9079, 60484, 26515, 10471, 284992, 1159, 3208, 22885, 9260, 55833, 27236, 144100, 548596, 9255, 23548, 23304, 4713, 144165, 2946, 23505, 7171, 284439, 64168, 84215, 8398, 55105, 25796, 25925, 10536, 9605, 28992, 91156, 4308, 221424, 7169, 8665, 51138, 3712, 60370, 5917, 4336, 5224, 8940, 26011, 342667, 55364, 26027, 30, 4892, 83547, 8565, 8343, 5686, 10411, 1175, 257160, 256309, 55862, 549, 55749, 27127, 3752, 79811, 143471, 51555, 7011, 7342, 65078, 22911, 26098, 7110, 4625, 84665, 308, 2897, 30811, 80196, 10587, 400, 7257, 23423, 377, 6506, 3376, 23209, 84962, 10953, 3746, 9256, 23500, 8495, 65250, 23255, 4856, 3872, 4642, 219287, 51204, 4774, 57459, 526, 381, 23060, 57410, 63976, 779, 9898, 9948, 3858, 7381, 9550, 8895, 9787, 84457, 8667, 3887, 9265, 84894, 81567, 64847, 6169, 80028, 25821, 80207, 84932, 85865, 9600, 9465, 759, 4619, 3889, 9703, 79707, 63027, 79065, 80017, 84340, 9108, 388695, 50804, 9747, 80224, 5459, 7125, 90957, 9415, 92399, 83451, 23616, 8785, 92737, 64757, 8224, 5313, 65267, 6876, 9737, 57486, 85417, 92255, 85464, 57447, 92675, 901, 79640, 64506, 84125"
"louvain",5,"TRUE",4843,46,553,5,-0.0559705011034114,-0.988671899499413,0.87673089729259,0.951922320937181,0.0791834118681922,0.6162909737461,0.6162909737461,0.569072700925018,0.6162909737461,"5685, 9093, 8379, 10529, 22864"
"louvain",6,"FALSE",4843,4797,734,730,0.63375888539869,-0.394868214542462,1.66238598533984,1.00408747747088,6.56213573491525,0.152321018209479,0.304642036418958,0.933849044684139,0.933849044684139,"6548, 6616, 3265, 5195, 5193, 5898, 5333, 6810, 8773, 5825, 10484, 10550, 7905, 954, 6804, 2108, 55187, 221981, 4645, 10989, 4684, 10228, 5868, 2036, 1891, 2010, 4478, 10469, 1947, 392, 5097, 23705, 81876, 5861, 6558, 6867, 5797, 5798, 682, 27131, 57655, 527, 55845, 5576, 6184, 3732, 4354, 4905, 1743, 509, 1160, 51726, 2819, 3163, 4832, 1345, 10397, 5481, 55004, 4709, 7542, 3703, 8894, 51280, 3735, 51025, 4191, 4893, 22984, 112476, 26960, 65991, 10476, 58477, 57017, 10059, 10490, 124801, 10211, 57498, 10916, 8394, 9230, 57003, 6734, 10313, 10328, 10483, 11180, 11135, 1525, 664, 57142, 23204, 11216, 10670, 9253, 7163, 7165, 6536, 6093, 59338, 55914, 2697, 114569, 51706, 476, 58533, 9131, 6857, 3845, 26519, 1968, 26056, 25875, 57148, 10938, 6793, 8675, 54822, 3267, 6845, 3956, 50488, 6786, 515, 51079, 54708, 219771, 10314, 599, 3655, 23256, 11230, 1267, 4976, 4082, 55177, 23580, 23301, 23236, 3895, 4513, 10452, 439, 3996, 375056, 7385, 254122, 1329, 5354, 4000, 535, 4363, 53826, 22908, 30844, 30846, 54732, 56681, 81839, 84867, 10730, 51715, 146223, 2710, 5830, 5447, 7018, 10970, 2040, 26873, 131474, 5818, 6844, 1465, 307, 23646, 10423, 118, 10857, 4726, 10939, 5297, 522, 871, 129285, 6642, 51100, 8165, 474383, 64101, 22854, 57689, 5327, 55243, 2744, 112755, 57506, 10768, 10113, 120, 115, 27247, 27141, 9601, 821, 56886, 11188, 51062, 7187, 4853, 6768, 2021, 23770, 23673, 116841, 214, 57488, 84300, 10507, 10100, 8650, 10367, 1500, 6643, 3482, 6814, 10652, 6252, 4253, 5577, 1678, 8674, 23786, 3954, 127829, 139341, 1327, 1312, 6843, 26580, 539, 2912, 5711, 201562, 54543, 284069, 151393, 63908, 56895, 54927, 25813, 4012, 80342, 498, 5860, 528, 196051, 4815, 148753, 421, 30845, 2686, 22841, 23780, 143098, 199953, 23251, 56947, 10447, 26049, 55735, 28956, 10651, 347, 145567, 56997, 57414, 80851, 65009, 23657, 149111, 9238, 2572, 57826, 116151, 93380, 23066, 255057, 513, 27065, 219738, 51075, 51805, 57709, 55800, 79901, 23428, 4259, 55260, 54923, 56616, 65055, 157378, 4696, 51552, 444, 10424, 51024, 51308, 116228, 59353, 10159, 11022, 140823, 4074, 388662, 1727, 127833, 9283, 192683, 100287932, 11112, 26207, 10804, 1350, 23788, 51170, 4722, 5780, 2590, 283635, 4729, 132204, 114801, 125988, 246269, 90701, 55326, 347734, 56894, 727, 55308, 144402, 9341, 9218, 9217, 51090, 133121, 6059, 57460, 54332, 9391, 378, 54768, 7920, 55379, 54940, 117159, 1186, 6855, 284111, 80380, 6563, 8879, 6272, 10493, 80221, 50814, 80731, 7019, 7781, 2817, 55532, 3098, 9448, 6647, 55847, 84628, 54205, 5923, 7037, 79834, 4756, 10815, 337, 738, 745, 51393, 9367, 8001, 7779, 10965, 2150, 1209, 140679, 128869, 3269, 6507, 80331, 23197, 6861, 246213, 54893, 6305, 5754, 114882, 10525, 10723, 201595, 54499, 7284, 5064, 112, 51347, 51635, 23284, 2802, 7873, 55341, 55681, 170690, 56776, 114294, 253559, 9554, 401024, 56954, 7417, 51097, 6576, 253959, 2319, 114789, 27044, 23187, 22907, 5858, 134957, 55930, 2182, 56851, 23416, 4430, 54948, 2181, 6566, 55907, 6520, 1362, 26050, 9631, 2109, 7038, 54795, 64225, 9342, 3745, 1537, 5331, 975, 80223, 10067, 326624, 6196, 8914, 54539, 5872, 9312, 2900, 1456, 483, 9143, 9522, 23592, 224, 57648, 51479, 65108, 54566, 25921, 11231, 132884, 11343, 54468, 10409, 23167, 57181, 119, 10160, 1650, 23155, 254102, 10350, 54867, 79073, 84448, 391634, 255252, 25912, 23670, 11261, 23250, 26000, 257407, 29091, 26084, 25963, 139065, 29801, 4728, 4720, 8604, 7388, 1340, 4719, 7384, 4702, 514, 4704, 83858, 64756, 139322, 84749, 641371, 89941, 65260, 84908, 29920, 81570, 56993, 55699, 10165, 26517, 537, 64423, 55852, 57620, 53407, 3916, 23180, 813, 8766, 64121, 10845, 3029, 6185, 51234, 54901, 23065, 65992, 80279, 23344, 81542, 55255, 131544, 23165, 23223, 57614, 8417, 8724, 8813, 8775, 9321, 9296, 65082, 6170, 6745, 253943, 23478, 133686, 26509, 6341, 345778, 26520, 9804, 1200, 80777, 91452, 374986, 54996, 55218, 51566, 94081, 7386, 9377, 7416, 84303, 55848, 51651, 57082, 26090, 1595, 285172, 1717, 22979, 23007, 26608, 26953, 113201, 5593, 9853, 9632, 8723, 6560, 9868, 9590, 23659, 51196, 57719, 6515, 81618, 9789, 9482, 9694, 9779, 6505, 91782, 8834, 9495, 987, 57468, 90523, 81929, 8760, 57406, 8407, 84134, 51069, 81037, 92140, 9344, 9515, 9910, 9570, 9524, 91137, 64083, 9462, 80856, 9854, 9028, 79188, 345079, 9556, 757, 80298, 64748, 64840, 84668, 94097, 89792, 57130, 950, 9071, 9145, 9917, 254263, 81539, 91663, 51727, 9497, 55530, 747, 6102, 6833, 27032, 57106, 79832, 57165, 6509, 23518, 81490, 8776, 84293, 9962, 493, 85452, 29953, 6533, 339829, 6263, 55345, 80164, 29957, 9066, 85442, 9914, 54617, 63892, 84162, 7357, 8140, 9445, 9950, 84100, 8774, 9919, 54509, 51337, 57037, 79572, 92521, 57446, 6575, 5099, 57465, 55144, 8613, 6542, 79143, 55612, 9772, 64285, 63895, 57512, 90167, 54664, 55714, 1347, 91683, 6526, 5101, 9527, 6836, 9537, 56255, 81855, 56907"
