"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"sgG2",1,"FALSE",4843,4797,238,237,0.849644728397019,-1.13631111897967,2.83560057577371,1.00534735470173,20.2632405903538,0.331177368935523,0.662354737871047,0.902620015324608,0.902620015324608,"10014, 1387, 3146, 1859, 142, 11127, 4297, 23394, 546, 6189, 4673, 10419, 10209, 56474, 10919, 2033, 3066, 11177, 9031, 2915, 5582, 121504, 7074, 2743, 10664, 5037, 2648, 2596, 80854, 8350, 5580, 5591, 8359, 8360, 8368, 8370, 2931, 6143, 26230, 5901, 4082, 3020, 3021, 11335, 8349, 5339, 3069, 54737, 27445, 1786, 6160, 7450, 1610, 5578, 6122, 6155, 4736, 10498, 23131, 5579, 3014, 3632, 4650, 23137, 7311, 2768, 1108, 129446, 84629, 91010, 23047, 3159, 51701, 5294, 266553, 134492, 4204, 3149, 4839, 79026, 27125, 1503, 26040, 23244, 3012, 64854, 3018, 8341, 149699, 23304, 4308, 723790, 23234, 3416, 6877, 6418, 23466, 7222, 10765, 3075, 56288, 6301, 57599, 781, 3009, 6147, 6238, 58508, 6594, 5611, 6152, 10788, 65084, 22915, 22884, 56666, 25782, 3024, 3005, 3006, 3008, 3015, 3321, 3007, 8345, 7153, 8467, 11076, 8085, 55862, 114880, 6904, 4522, 317772, 8342, 8340, 166785, 55870, 64324, 1307, 4437, 492, 114827, 10514, 8331, 6329, 146177, 1767, 8338, 1662, 22990, 115098, 127731, 6840, 23381, 1828, 146754, 129684, 1763, 23, 57496, 79915, 80243, 115701, 22865, 7011, 100653515, 51673, 23523, 5980, 255626, 50809, 221322, 85235, 3908, 2042, 256957, 152100, 10943, 3148, 1958, 57680, 4744, 10499, 7994, 55193, 92815, 5289, 7520, 254048, 29028, 23269, 7750, 124739, 6874, 3070, 7515, 23036, 51780, 29789, 79187, 8968, 7546, 645, 718, 5341, 91754, 5583, 670, 91833, 633, 349667, 9045, 8520, 9555, 6738, 84910, 654790, 79747, 84643, 55567, 9401, 83889, 387597, 84364, 79633, 9745, 84896, 57578, 90381, 8632, 53349, 7368, 5902, 3324, 9824, 6632"
"sgG2",1,"TRUE",4843,46,238,1,-0.849644728397019,-2.83560057577371,1.13631111897967,0.442363902082572,0.0854989054445307,0.902620015324608,0.902620015324608,0.331177368935523,0.662354737871047,"399909"
"sgG2",2,"TRUE",4843,46,75,1,0.349471886921628,-1.64544560102815,2.3443893748714,1.40376811594203,0.860977777777778,0.513892243470784,0.84119387976144,0.84119387976144,0.84119387976144,"2823"
"sgG2",2,"FALSE",4843,4797,75,74,-0.349471886921628,-2.3443893748714,1.64544560102815,0.996128135640331,63.7123555555556,0.84119387976144,0.84119387976144,0.513892243470783,0.84119387976144,"22808, 3064, 2512, 3646, 23390, 2051, 2049, 4301, 22800, 26036, 5217, 2632, 29062, 10900, 5908, 5911, 51386, 5910, 4798, 5909, 129285, 56254, 9788, 26286, 83605, 5906, 23116, 139818, 23023, 22921, 10690, 10460, 5912, 27430, 58473, 8574, 9810, 4144, 8448, 3839, 11069, 148252, 22890, 54769, 10147, 3145, 8398, 57471, 10411, 79776, 54821, 26098, 3832, 79813, 8216, 84678, 80142, 29088, 25941, 889, 5226, 84816, 83478, 8663, 7108, 9771, 8799, 51059, 25880, 55515, 83447, 9783, 115811, 64757"
"sgG2",5,"TRUE",4843,46,13,1,2.18167216432873,0.120627510654904,4.24271681800256,8.09866220735786,28.6568047337278,0.116816285002904,0.233632570005808,0.993558607696837,0.993558607696837,"7223"
"sgG2",5,"FALSE",4843,4797,13,12,-2.18167216432873,-4.24271681800256,-0.120627510654904,0.931928609226921,343.881656804734,0.993558607696837,0.993558607696837,0.116816285002904,0.233632570005809,"3709, 11331, 5757, 22794, 23293, 5245, 54205, 3710, 1537, 8938, 9162, 7224"
"sgG2",7,"TRUE",4843,46,289,3,0.0956944995630905,-1.08080736751221,1.27219636663839,1.092899052204,0.17395625052382,0.523703396308763,0.706334660637476,0.706334660637476,0.706334660637476,"8379, 10529, 22864"
"sgG2",7,"FALSE",4843,4797,289,286,-0.0956944995630906,-1.27219636663839,1.08080736751221,0.999109160641779,16.5838292166042,0.706334660637476,0.706334660637476,0.523703396308763,0.706334660637476,"5310, 1674, 4783, 3855, 2243, 1838, 5493, 10482, 7431, 7251, 9146, 4747, 23368, 2801, 22938, 3848, 3635, 5575, 55048, 10606, 23028, 2950, 55262, 10615, 11170, 1857, 10817, 50861, 2170, 26003, 23265, 11007, 3854, 8996, 26505, 3866, 386618, 4591, 8907, 60491, 27229, 149371, 5300, 3880, 57144, 8623, 10152, 54474, 140885, 2670, 81628, 10320, 153733, 51421, 541468, 127703, 55885, 3853, 56243, 5152, 57596, 51760, 3875, 23636, 54906, 9513, 51160, 54749, 54535, 54550, 64753, 3856, 7248, 4716, 8851, 23281, 84445, 3691, 25959, 283234, 140710, 64926, 6293, 5585, 23479, 3801, 1641, 7170, 54793, 10810, 5027, 64754, 8317, 4706, 5565, 6723, 388135, 53358, 5630, 154796, 11130, 4236, 81892, 117177, 1656, 115704, 10645, 1846, 5563, 115948, 23216, 140807, 5317, 7187, 4438, 23371, 151056, 2173, 125115, 64147, 143884, 23288, 3881, 340371, 159989, 3281, 114824, 8664, 79720, 79959, 3860, 9470, 53615, 7168, 3852, 3851, 358, 200081, 3849, 221, 9278, 5129, 2039, 374454, 27124, 112802, 29094, 114327, 84312, 148281, 338785, 57674, 23254, 10434, 319101, 9454, 133746, 79571, 114971, 1794, 2800, 94121, 23503, 55698, 116835, 26051, 84260, 79843, 140460, 55337, 54834, 51256, 6687, 11196, 271, 9832, 54438, 85376, 192666, 463, 8030, 196374, 115817, 152206, 340527, 23294, 54785, 11178, 3885, 342574, 3868, 51350, 3299, 3886, 388336, 121391, 3892, 5705, 3888, 123591, 9119, 150962, 64599, 23598, 84823, 8087, 400673, 29941, 7411, 51668, 8689, 401647, 3861, 197322, 3241, 3882, 122961, 375567, 51741, 60484, 26515, 284992, 22885, 9260, 55833, 144100, 51028, 9610, 23548, 144165, 284439, 84215, 25796, 10536, 9605, 91156, 7169, 8665, 60370, 26011, 26027, 257160, 256309, 138311, 10763, 286046, 51555, 55619, 65078, 23423, 60592, 84962, 23500, 3872, 51204, 57459, 57410, 63976, 4062, 9787, 3887, 84894, 9545, 25821, 80207, 83548, 85865, 4619, 3889, 9861, 79065, 84340, 388695, 5459, 7125, 9415, 83451, 23616, 8785, 92737, 6876, 57486, 85417, 901, 79640, 64506"
"sgG2",9,"TRUE",4843,46,206,5,1.02550257663936,0.0863722044046323,1.96463294887409,2.55540312368088,0.570623998491847,0.0441833567767475,0.0883667135534951,0.987555721833437,0.987555721833437,"4137, 2911, 5595, 56924, 1630"
"sgG2",9,"FALSE",4843,4797,206,201,-1.02550257663936,-1.96463294887409,-0.0863722044046323,0.985084731355155,22.9390847393722,0.987555721833437,0.987555721833437,0.0441833567767475,0.0883667135534951,"673, 369, 7534, 7531, 2316, 8844, 207, 6198, 7249, 10971, 53616, 7529, 7532, 7164, 64283, 1432, 3984, 5894, 1147, 405, 824, 5058, 57787, 708, 4750, 4216, 65125, 4217, 2810, 10987, 1612, 5315, 23327, 10494, 9990, 9943, 408, 9759, 5290, 9588, 5321, 5600, 5594, 2037, 5515, 5601, 4140, 8669, 10398, 23162, 1967, 4192, 572, 5528, 10007, 10670, 6300, 1386, 8678, 27429, 4627, 5525, 203068, 1969, 5605, 9672, 5590, 4155, 8661, 65266, 5970, 5599, 27347, 1645, 5213, 3697, 5587, 6224, 51422, 10749, 5562, 10395, 5581, 55803, 7054, 171024, 4215, 9349, 5604, 4294, 5602, 11221, 4208, 3097, 6744, 23108, 11346, 51222, 8202, 120892, 156, 2969, 1644, 1845, 2879, 4794, 5494, 5609, 6156, 10383, 10960, 11334, 39, 51719, 7145, 154661, 1455, 11033, 3611, 5606, 6885, 151742, 55421, 3305, 5156, 55818, 25830, 153090, 2011, 57521, 6794, 27248, 1917, 54897, 53944, 8767, 4133, 84305, 29982, 5524, 8662, 2890, 4776, 10235, 30849, 6217, 127795, 7343, 4139, 23303, 65268, 57551, 399473, 6854, 8408, 8239, 4775, 5603, 6416, 5526, 54861, 6164, 644, 92609, 9612, 4763, 84630, 116443, 9211, 8986, 84258, 3858, 8455, 80727, 2038, 94274, 84952, 84451, 4820, 9203, 5128, 6205, 53343, 55362, 84433, 7064, 7111, 7464, 84617, 81563, 9801, 5121, 51313, 83657, 51449, 9196, 92675, 84446, 9024, 9520, 59283"
