"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"spectral",1,"TRUE",4843,46,78,1,0.309096166955597,-1.68531444680599,2.30350678071719,1.34977703455964,0.796022353714661,0.527829232483014,0.831100579773542,0.831100579773542,0.831100579773542,"2823"
"spectral",1,"FALSE",4843,4797,78,77,-0.309096166955597,-2.30350678071719,1.68531444680599,0.996645873756568,61.2937212360289,0.831100579773542,0.831100579773542,0.527829232483014,0.831100579773542,"1951, 4645, 10617, 5757, 23390, 161742, 3635, 7813, 51726, 25978, 9230, 27095, 23637, 1965, 1968, 26056, 29127, 57148, 57132, 51652, 126003, 51693, 128866, 5529, 9493, 200734, 116442, 22921, 10690, 27243, 23534, 54734, 5119, 27183, 79643, 26133, 30845, 22841, 51534, 387849, 80851, 23052, 51552, 55075, 7184, 57553, 4907, 55133, 10330, 203238, 55130, 23075, 54821, 122553, 22930, 80223, 6683, 58485, 22878, 7109, 8766, 441400, 83696, 57614, 253943, 23277, 91782, 84284, 51059, 25880, 55515, 83447, 9783, 7447, 9525, 80164, 60684"
"spectral",3,"TRUE",4843,46,1,1,Inf,NA,Inf,105.282608695652,4843,0.00949824488953122,0.0189964897790624,1,1,"11141"
"spectral",4,"TRUE",4843,46,252,5,0.809360021046812,-0.12787789170809,1.74659793380171,2.08894064872326,0.381314562862182,0.0886766777989148,0.17735335559783,0.969515550977301,0.969515550977301,"5142, 4137, 2911, 5595, 1630"
"spectral",4,"FALSE",4843,4797,252,247,-0.809360021046811,-1.74659793380171,0.12787789170809,0.989557792403321,18.8369394053918,0.969515550977301,0.969515550977301,0.0886766777989148,0.17735335559783,"673, 369, 7534, 7531, 8844, 2475, 207, 5170, 6198, 1956, 7249, 10971, 7529, 7532, 7164, 1432, 3984, 1072, 5894, 405, 41, 5584, 824, 1495, 5058, 2934, 23031, 57787, 708, 8404, 4216, 65125, 4217, 2810, 355, 1499, 22800, 10494, 9943, 1080, 5795, 408, 5290, 5321, 5600, 5594, 2037, 1471, 226, 3728, 52, 2286, 3757, 23162, 3991, 4192, 6142, 6195, 572, 6002, 11083, 10007, 140576, 5566, 6300, 1386, 8678, 2915, 1155, 5582, 27429, 5728, 7074, 208, 2743, 23396, 55704, 1969, 5605, 5037, 9672, 1509, 5590, 4155, 54434, 2596, 7248, 5921, 8661, 5580, 65266, 2571, 171023, 253260, 5599, 27347, 229, 6280, 2931, 1645, 3697, 5587, 58497, 6009, 10395, 5581, 7054, 171024, 4215, 6772, 4082, 10243, 5604, 4294, 5602, 11221, 3097, 6744, 23108, 11346, 5730, 1845, 3101, 4794, 5494, 5516, 5578, 5609, 11344, 5214, 10541, 39, 51719, 5579, 7145, 11033, 3611, 5606, 23258, 2768, 151742, 5962, 84629, 5783, 2560, 2562, 83605, 5156, 3685, 25830, 153090, 2011, 57521, 10952, 4163, 54187, 8567, 6794, 27248, 23017, 57026, 54897, 57402, 6768, 4438, 10672, 10818, 8650, 1500, 2944, 5524, 9610, 63826, 8665, 2152, 8662, 7222, 9368, 56288, 4776, 55357, 2805, 7153, 23303, 65268, 399473, 5144, 6854, 3758, 9064, 5603, 6416, 5289, 30851, 54861, 9870, 657, 10554, 5813, 9110, 1812, 644, 6847, 92609, 143425, 4763, 56926, 84630, 471, 116443, 8745, 8986, 85445, 966, 84258, 607, 7812, 7786, 9351, 8663, 80727, 2038, 94274, 84952, 84451, 4820, 5538, 53343, 55362, 6451, 83442, 6900, 7167, 2184, 84433, 7064, 8577, 7111, 7464, 55176, 3696, 1476, 85464, 92675, 84446, 9024, 9520"
"spectral",5,"TRUE",4843,46,100,1,0.0531098253139483,-1.93852032081174,2.04473997143963,1.05282608695652,0.4843,0.618750892655668,0.754545381031843,0.754545381031843,0.754545381031843,"6444"
"spectral",5,"FALSE",4843,4797,100,99,-0.0531098253139484,-2.04473997143963,1.93852032081174,0.999493433395872,47.9457,0.754545381031843,0.754545381031843,0.618750892655668,0.754545381031843,"5663, 22895, 6645, 4842, 351, 322, 23025, 4035, 1994, 348, 334, 10376, 57576, 774, 2335, 2273, 22983, 4860, 7276, 10236, 642, 335, 6767, 23136, 11235, 1995, 320, 5178, 9479, 476, 7001, 2639, 5908, 5864, 6812, 2, 9353, 3240, 4846, 51295, 54536, 2193, 84171, 12, 7372, 6776, 3718, 6135, 254427, 10381, 55361, 9361, 56899, 1277, 4916, 5110, 53822, 23181, 9911, 220164, 402117, 501, 114134, 6091, 5654, 3075, 30968, 321, 79776, 10079, 21, 22849, 399687, 2674, 823, 6154, 7416, 889, 10396, 9362, 64223, 9931, 7301, 762, 6653, 354, 64743, 9722, 9922, 6323, 9856, 57528, 55754, 5136, 7087, 8774, 90580, 93185, 59269"
"spectral",8,"TRUE",4843,46,64,1,0.512728573912077,-1.4844589881376,2.50991613596175,1.64504076086957,1.182373046875,0.459261880756998,0.877014634462984,0.877014634462984,0.877014634462984,"9892"
"spectral",8,"FALSE",4843,4797,64,63,-0.512728573912077,-2.50991613596175,1.4844589881376,0.993814493433396,74.489501953125,0.877014634462984,0.877014634462984,0.459261880756998,0.877014634462984,"1837, 1821, 22808, 4734, 2066, 7332, 57610, 26994, 4915, 133957, 146691, 11059, 23327, 11122, 55207, 57658, 11345, 26060, 6531, 203068, 56957, 50488, 6143, 55803, 23208, 156, 1983, 427, 57118, 178, 23111, 23012, 2039, 23336, 84305, 25824, 64422, 57471, 27044, 56164, 49855, 8408, 6134, 2784, 8216, 2629, 2287, 176, 79876, 23061, 6335, 79594, 9683, 9265, 55970, 5613, 487, 81532, 5243, 57537, 9371, 7881, 9196"
"spectral",9,"TRUE",4843,46,85,1,0.220600638310097,-1.77276769929654,2.21396897591674,1.2386189258312,0.670311418685121,0.558846297746609,0.80714372470422,0.80714372470422,0.80714372470422,"775"
