"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"fc",1,"integral component of synaptic vesicle membrane (GO:0030285)",4843,38,1100,33,3.14076938574613,2.19771042075467,4.0838283507376,3.82342105263158,0.132081818181818,5.86538965968796e-17,1.38423195968636e-14,1,1,"6804, 10228, 527, 6536, 114569, 6857, 8675, 6845, 535, 6844, 1182, 23673, 6843, 10159, 388662, 127833, 192683, 132204, 9341, 6855, 7781, 140679, 246213, 9522, 537, 3916, 8417, 143425, 10396, 9145, 55530, 7466, 91683"
"fc",1,"calcium-dependent activation of synaptic vesicle fusion (GO:0099502)",4843,5,1100,5,Inf,NA,Inf,4.40272727272727,0.0200123966942149,0.000600253331133076,0.070829893073703,1,1,"6857, 8448, 127833, 143425, 9066"
"fc",1,"integral component of postsynaptic membrane (GO:0099055)",4843,57,1100,23,0.845716591646191,0.312221494812972,1.37921168847941,1.77653907496013,0.0920570247933884,0.00204521560129985,0.104241439350258,0.99919324864832,1,"6810, 1813, 4684, 23705, 8829, 23266, 6536, 575, 53826, 2562, 1182, 821, 4916, 8828, 6529, 23284, 2900, 9568, 6505, 57406, 747, 6533, 84631"
"fc",1,"exocytic insertion of neurotransmitter receptor to postsynaptic membrane (GO:0098967)",4843,4,1100,4,Inf,NA,Inf,4.40272727272727,0.0160099173553719,0.00265020608517606,0.104241439350258,1,1,"6810, 8773, 22908, 116841"
"fc",1,"regulation of neurotransmitter uptake (GO:0051580)",4843,4,1100,4,Inf,NA,Inf,4.40272727272727,0.0160099173553719,0.00265020608517606,0.104241439350258,1,1,"1813, 10550, 10211, 9143"
"fc",1,"presynaptic active zone membrane (GO:0048787)",4843,4,1100,4,Inf,NA,Inf,4.40272727272727,0.0160099173553719,0.00265020608517606,0.104241439350258,1,1,"320, 63908, 8775, 7416"
"fc",1,"synaptic vesicle to endosome fusion (GO:0016189)",4843,3,1100,3,Inf,NA,Inf,4.40272727272727,0.0120074380165289,0.0116927962190083,0.344937488460745,1,1,"10228, 23673, 8674"
"fc",1,"regulation of synaptic vesicle priming (GO:0010807)",4843,3,1100,3,Inf,NA,Inf,4.40272727272727,0.0120074380165289,0.0116927962190083,0.344937488460745,1,1,"63908, 134957, 8775"
"fc",1,"synaptic vesicle exocytosis (GO:0016079)",4843,8,1100,5,1.73915687192397,0.306191830615905,3.17212191323203,2.75170454545455,0.0200123966942149,0.0180383770959361,0.473006332737881,0.99752506595087,1,"6616, 6804, 6844, 112755, 10497"
"fc",1,"synaptic vesicle (GO:0008021)",4843,15,1100,7,1.09529021676586,0.0786569146698515,2.11192351886186,2.05460606060606,0.0280173553719008,0.0348887839168413,0.823375300437455,0.990532984438429,1,"26276, 11311, 9554, 134957, 9342, 9143, 65108"
"fc",1,"extrinsic component of presynaptic membrane (GO:0098888)",4843,4,1100,3,2.32565333522691,0.0614400359930363,4.58986663446079,3.30204545454545,0.0120074380165289,0.0388205666205051,0.832877611130836,0.997349793914824,1,"6616, 6812, 134957"
