"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"sgG5",1,"presynapse assembly (GO:0099054)",4843,13,29,6,5.18818357213755,4.02332653305363,6.35304061122148,77.0769230769231,34.551724137931,4.43405579740834e-11,1.04643716818837e-08,0.999999999999788,1,"5802, 5789, 8497, 8541, 8499, 8500"
"sgG5",1,"synapse adhesion between pre- and post-synapse (GO:0099560)",4843,21,29,6,4.42437789405494,3.39277723469394,5.45597855341594,47.7142857142857,34.551724137931,1.35703800922473e-09,1.60130485088518e-07,0.999999999986098,1,"3556, 5802, 5792, 5789, 84631, 145581"
"sgG5",1,"trans-synaptic signaling by trans-synaptic complex (GO:0099545)",4843,3,29,3,Inf,NA,Inf,167,17.2758620689655,1.93128094972562e-07,1.51927434711748e-05,1,1,"3556, 5789, 11141"
"sgG5",1,"regulation of postsynaptic density assembly (GO:0099151)",4843,12,29,4,4.56559741086827,3.30263924284938,5.82855557888716,55.6666666666667,23.0344827586207,4.96808644067312e-07,2.93117099999714e-05,0.999999995876298,1,"3556, 5802, 5789, 57622"
"sgG5",1,"regulation of presynapse assembly (GO:1905606)",4843,19,29,4,3.93553117700773,2.76464639754783,5.10641595646762,35.1578947368421,23.0344827586207,3.7790021543834e-06,0.000178368901686897,0.999999941187939,1,"3556, 11141, 84631, 145581"
"sgG5",1,"trans-synaptic signaling (GO:0099537)",4843,4,29,2,5.18303121109024,3.18686493069898,7.1791974914815,83.5,11.5172413793103,0.000206221000471177,0.00811135935186628,0.999999230600015,1,"5802, 5789"
"sgG5",1,"integral component of postsynaptic density membrane (GO:0099061)",4843,53,29,4,2.74465105422937,1.65228197193061,3.83702013652812,12.6037735849057,23.0344827586207,0.000248002270025494,0.00836121938943093,0.999987395589779,1,"5792, 57622, 11141, 145581"
"sgG5",1,"modulation of chemical synaptic transmission (GO:0050804)",4843,71,29,4,2.42799403541204,1.34530729288453,3.51068077793956,9.40845070422535,23.0344827586207,0.000763816853451176,0.0225325971768097,0.999946934339786,1,"5802, 5786, 5789, 7204"
"sgG5",1,"presynaptic active zone (GO:0048786)",4843,13,29,2,3.47641104342207,1.92298976168447,5.02983232515967,25.6923076923077,11.5172413793103,0.00259264659291116,0.0679849551030037,0.999946949790978,1,"8541, 7204"
"sgG5",1,"presynaptic active zone cytoplasmic component (GO:0098831)",4843,16,29,2,3.23462418183634,1.70548003728527,4.76376832638741,20.875,11.5172413793103,0.00394452675668474,0.0930908314577599,0.999897374460651,1,"8541, 26059"
"sgG5",1,"regulation of synaptic vesicle exocytosis (GO:2000300)",4843,17,29,2,3.16542295531165,1.64227206053716,4.68857385008614,19.6470588235294,11.5172413793103,0.00445391494377715,0.095556720611946,0.999875884646508,1,"28964, 8499"
"sgG5",1,"structural constituent of presynapse (GO:0099181)",4843,1,29,1,Inf,NA,Inf,167,5.75862068965517,0.00598802395209586,0.117764471057885,1,1,"8499"
"sgG5",1,"structural constituent of postsynaptic specialization (GO:0098879)",4843,2,29,1,5.14687135912791,2.35023084386347,7.94351187439234,83.5,5.75862068965517,0.0119414207520518,0.216782715191095,0.999965372847861,1,"28964"
"sgG5",1,"spine apparatus (GO:0097444)",4843,3,29,1,4.45351638635942,2.02444283097053,6.88258994174831,55.6666666666667,5.75862068965517,0.0178603835279644,0.301075036614257,0.999896504799772,1,"8500"
"sgG5",1,"regulation of postsynapse organization (GO:0099175)",4843,37,29,2,2.31394885164436,0.839620078385376,3.78827762490335,9.02702702702703,11.5172413793103,0.0202569867816733,0.318709925364993,0.998691533672848,1,"5792, 11141"
"sgG5",1,"integral component of synaptic membrane (GO:0099699)",4843,5,29,1,3.75995349180471,1.53734271403937,5.98256426957006,33.4,5.75862068965517,0.0295957743380703,0.38803348576581,0.999657575499971,1,"5786"
"sgG5",1,"synaptic vesicle docking (GO:0016081)",4843,5,29,1,3.75995349180471,1.53734271403937,5.98256426957006,33.4,5.75862068965517,0.0295957743380703,0.38803348576581,0.999657575499971,1,"8541"
"sgG5",1,"regulation of presynaptic cytosolic calcium levels (GO:0099509)",4843,5,29,1,3.75995349180471,1.53734271403937,5.98256426957006,33.4,5.75862068965517,0.0295957743380703,0.38803348576581,0.999657575499971,1,"26059"
"sgG5",1,"synapse (GO:0045202)",4843,203,29,4,1.31118085846415,0.246192154933575,2.37616956199472,3.29064039408867,23.0344827586207,0.0313003253075169,0.38878298803021,0.993573116494469,1,"3556, 8497, 8541, 8499"
"sgG5",1,"regulation of synaptic vesicle fusion to presynaptic active zone membrane (GO:0031630)",4843,6,29,1,3.53660201866836,1.35763005108439,5.71557398625232,27.8333333333333,5.75862068965517,0.0354125834625424,0.417868484858,0.99948827128429,1,"26059"
"sgG5",1,"synapse organization (GO:0050808)",4843,7,29,1,3.35407249681178,1.20468521939281,5.50345977423076,23.8571428571429,5.75862068965517,0.0411957207541663,0.42270391730362,0.999286240287203,1,"5802"
"sgG5",1,"regulation of calcium-dependent activation of synaptic vesicle fusion (GO:0150037)",4843,7,29,1,3.35407249681178,1.20468521939281,5.50345977423076,23.8571428571429,5.75862068965517,0.0411957207541663,0.42270391730362,0.999286240287203,1,"26059"
"sgG5",1,"structural constituent of active zone (GO:0098882)",4843,7,29,1,3.35407249681178,1.20468521939281,5.50345977423076,23.8571428571429,5.75862068965517,0.0411957207541663,0.42270391730362,0.999286240287203,1,"26059"
"sgG5",1,"synaptic vesicle exocytosis (GO:0016079)",4843,8,29,1,3.19971380866344,1.07171024478481,5.32771737254208,20.875,5.75862068965517,0.0469453742070469,0.461629513035961,0.999051853415995,1,"8541"
"sgG5",1,"postsynaptic specialization (GO:0099572)",4843,9,29,1,3.06597436444137,0.954150665794722,5.17779806308803,18.5555555555556,5.75862068965517,0.0526617308043568,0.472000749021747,0.998785478571436,1,"8499"
"sgG5",1,"presynaptic membrane (GO:0042734)",4843,9,29,1,3.06597436444137,0.954150665794722,5.17779806308803,18.5555555555556,5.75862068965517,0.0526617308043568,0.472000749021747,0.998785478571436,1,"8499"
"sgG5",1,"integral component of presynaptic membrane (GO:0099056)",4843,63,29,2,1.75296772699631,0.294589594245933,3.2113458597467,5.3015873015873,11.5172413793103,0.0540000856931659,0.472000749021747,0.993975652835433,1,"5802, 5789"
