"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"wt",1,"postsynaptic density (GO:0014069)",4843,102,1737,64,1.12770438513361,0.721911183625352,1.53349758664187,1.74942147267658,0.102729412903288,2.2349362699769e-08,5.27444959714549e-06,0.999999993008395,1,"1821, 3836, 7249, 5058, 815, 10006, 3646, 3184, 11331, 5063, 1627, 1612, 27185, 6774, 5594, 2932, 3312, 6136, 2059, 4646, 1855, 140735, 50944, 22941, 160622, 80852, 5062, 23396, 8536, 5590, 85358, 7248, 8661, 3337, 9456, 6009, 56924, 5604, 54477, 156, 6232, 1501, 3188, 3187, 816, 26750, 56899, 8650, 10460, 5332, 8777, 11069, 23426, 6129, 6188, 6207, 8997, 9101, 84687, 6175, 8525, 55607, 6222, 9455"
"wt",1,"modulation of chemical synaptic transmission (GO:0050804)",4843,71,1737,46,1.20969972131898,0.719092237461019,1.70030720517695,1.80640086923383,0.0738367655242381,5.72395847590079e-07,6.75427100156293e-05,0.999999836822741,1,"1759, 3688, 6198, 5048, 1072, 9228, 4645, 4684, 58512, 65125, 5764, 5335, 2045, 10458, 1009, 5802, 5789, 6774, 5216, 2534, 5576, 5217, 5601, 613, 11252, 50944, 2915, 7337, 85358, 5599, 5595, 1000, 29, 347733, 9229, 3781, 2047, 5577, 5332, 8831, 7204, 5141, 6792, 55607, 9465, 6533"
"wt",1,"synapse (GO:0045202)",4843,203,1737,103,0.639138097134516,0.357460790365061,0.920815403903971,1.41467225923184,0.165330148891229,6.68533857527627e-06,0.000525913301255066,0.999996577378971,1,"6455, 2060, 7531, 6456, 6198, 5573, 7249, 10971, 7532, 7533, 2280, 1173, 3184, 1191, 3556, 163, 274, 11100, 1009, 5803, 10163, 5576, 1936, 6176, 5515, 6136, 3921, 1008, 6165, 6133, 396, 8894, 23521, 4218, 6204, 10949, 1857, 10211, 6195, 57144, 8497, 8541, 7415, 1809, 1938, 8499, 1965, 1968, 5530, 5518, 6137, 2556, 5970, 5911, 51386, 6201, 6218, 6159, 6224, 6009, 388, 3185, 6146, 375790, 6160, 6191, 6122, 6168, 6135, 6232, 5532, 5534, 3692, 6187, 5519, 8567, 1917, 1984, 2239, 64854, 55327, 8665, 8662, 1175, 7284, 6129, 6209, 6188, 2319, 6139, 6207, 5520, 6233, 6229, 6154, 6175, 221092, 8986, 8880, 8825, 6205, 9669, 6222"
"wt",1,"presynapse (GO:0098793)",4843,98,1737,55,0.84554433583879,0.442152528131003,1.24893614354658,1.56477271392149,0.088283089213763,2.87266587639329e-05,0.00151581409505262,0.999988217271766,1,"273, 6455, 1793, 322, 7532, 7533, 5799, 5764, 28988, 27185, 23607, 5499, 5861, 10755, 5216, 51429, 5217, 3312, 1855, 10211, 26060, 5566, 8497, 9223, 23043, 1808, 5501, 2596, 2571, 8851, 57524, 156, 6232, 118, 6386, 64601, 57617, 25977, 8573, 8618, 782, 10497, 6712, 8997, 4983, 8495, 8867, 8871, 79641, 55607, 6000, 85439, 93664, 9722, 79065"
"wt",1,"regulation of modification of postsynaptic actin cytoskeleton (GO:1905274)",4843,10,1737,10,Inf,NA,Inf,2.7881404720783,0.0160514707661387,3.46433415626789e-05,0.00151581409505262,1,1,"387, 10458, 6453, 5747, 7074, 4628, 4082, 23191, 8997, 83992"
"wt",1,"presynapse assembly (GO:0099054)",4843,13,1737,12,3.07269331469012,1.03181174583321,5.11357488354703,2.57366812807227,0.0192617649193665,3.85376464843885e-05,0.00151581409505262,0.999998421075928,1,"1947, 23705, 5802, 5789, 1855, 8497, 8541, 1948, 8499, 6386, 65059, 8500"
"wt",1,"extrinsic component of presynaptic endocytic zone membrane (GO:0098894)",4843,11,1737,10,2.88921300921495,0.832705857340456,4.94572016108944,2.53467315643481,0.0160514707661387,0.000257283976558915,0.00642609802585749,0.999987620721937,1,"273, 2060, 58513, 1487, 1173, 29924, 163, 8301, 1175, 9892"
"wt",1,"postsynaptic actin cytoskeleton (GO:0098871)",4843,16,1737,13,2.05405928201817,0.797274750119148,3.31084381391719,2.26536413356362,0.0208669119959803,0.000265167802051966,0.00642609802585749,0.999969883382279,1,"4645, 1627, 2017, 6453, 71, 88, 4646, 60, 23345, 4628, 4644, 55607, 83992"
"wt",1,"synaptic vesicle endocytosis (GO:0048488)",4843,31,1737,21,1.33205229939109,0.57668956874745,2.08741503003473,1.88874031979497,0.0337080886088913,0.000294407625198363,0.00642609802585749,0.999928924831528,1,"273, 1759, 1785, 2060, 58513, 1487, 29993, 6456, 1173, 5868, 29924, 1213, 163, 274, 6453, 1729, 6622, 8301, 1175, 9892, 85439"
"wt",1,"postsynaptic density, intracellular component (GO:0099092)",4843,37,1737,24,1.20399974724736,0.526460815037283,1.88153867945743,1.80852354945619,0.0385235298387329,0.000299521518154375,0.00642609802585749,0.999917230243427,1,"6455, 1785, 4842, 1741, 9228, 6457, 10458, 1499, 2534, 88, 2597, 613, 80852, 23043, 85358, 29, 9229, 56899, 1500, 9478, 8831, 6792, 9495, 9922"
