alg,cl,Cn,Mu,FL,padj,pval,overlapGenes
infomap,47,25,24,GO:0002181,2.5035712297816998e-23,6.24799408480584e-27,"25873, 6165, 6194, 6156, 23521, 6135, 4736, 6129, 6124, 6189, 6130, 6159, 9045, 6161, 6143, 6141, 6175, 6136, 6158, 6168, 6142, 6228, 6208, 6229"
infomap,47,25,24,GO:0006412,5.6194771375947e-23,2.80483011609418e-26,"25873, 6165, 6194, 6156, 23521, 6135, 4736, 6129, 6124, 6189, 6130, 6159, 9045, 6161, 6143, 6141, 6175, 6136, 6158, 6168, 6142, 6228, 6208, 6229"
infomap,12,29,9,GO:0048278,4.46276402990418e-11,1.1137419590477101e-14,"6810, 6804, 10228, 6857, 8675, 112755, 23673, 2054, 8417"
infomap,2,15,8,GO:0072583,3.47833369746143e-09,8.68064311819673e-13,"163, 23396, 1213, 8301, 1175, 1211, 85439, 84251"
infomap,61,5,5,GO:0061640,5.31420443930922e-09,1.3262302069651199e-12,"5413, 23176, 989, 23157, 55752"
infomap,12,29,8,GO:0031629,8.22742425798765e-09,4.1065257090030695e-12,"6616, 8773, 6804, 112476, 112755, 116841, 2054, 9342"
infomap,41,8,6,GO:0050877,1.4088569327828e-08,3.51598935059346e-12,"2560, 2562, 2561, 2566, 2555, 2554"
infomap,12,29,9,GO:0006906,2.68467429066582e-08,2.00998823858185e-11,"6810, 10228, 8675, 6844, 112755, 23673, 6843, 9341, 8417"
infomap,41,8,6,GO:0007214,3.85924313834712e-08,1.9262506305700598e-11,"2560, 2562, 2561, 2566, 2555, 2554"
infomap,5,52,10,GO:0018108,4.84766620213743e-08,1.20979940158159e-11,"2048, 2534, 5747, 4067, 6714, 2043, 3717, 27, 25, 2185"
infomap,41,8,5,GO:1904862,9.89173080290463e-08,7.405837885878189e-11,"2562, 2561, 2566, 2555, 2554"
infomap,3,23,8,GO:0000398,9.93556437787288e-08,2.47955187868053e-11,"26986, 3190, 3178, 3181, 4670, 3185, 3187, 220988"
infomap,12,29,12,GO:0006887,1.90256932497687e-07,1.89924564509794e-10,"6616, 6810, 8773, 6804, 6844, 116841, 2054, 9341, 10815, 134957, 9342, 9515"
infomap,3,23,6,GO:0043484,3.04111675473326e-07,1.51790204878126e-10,"3178, 3188, 3185, 92906, 3187, 3191"
infomap,41,8,6,GO:1902476,3.31204598542314e-07,3.30626003036999e-10,"2560, 2562, 2561, 2566, 2555, 2554"
infomap,51,16,12,GO:0006412,5.16309934216493e-07,1.28851992567131e-10,"6133, 6122, 6232, 6209, 6188, 6201, 6144, 6207, 6173, 6224, 1917, 6222"
infomap,51,16,11,GO:0002181,4.13050316508928e-06,2.0616437060590404e-09,"6133, 6122, 6232, 6209, 6188, 6201, 6144, 6207, 6173, 6224, 6222"
infomap,3,23,6,GO:0006396,5.49046208447127e-06,4.11065292074215e-09,"3184, 3190, 11100, 3185, 3187, 3191"
infomap,41,8,5,GO:0051932,7.70154497726725e-06,9.61011352291895e-09,"2562, 2561, 2566, 2555, 2554"
infomap,86,3,3,GO:0031639,8.64191497416765e-06,8.626818042593111e-09,"2243, 2244, 2266"
infomap,86,3,3,GO:0042730,8.64191497416765e-06,8.626818042593111e-09,"2243, 2244, 2266"
infomap,86,3,3,GO:0072378,8.64191497416765e-06,8.626818042593111e-09,"2243, 2244, 2266"
infomap,86,3,3,GO:0090277,8.64191497416765e-06,8.626818042593111e-09,"2243, 2244, 2266"
infomap,41,8,4,GO:0071420,9.09112762775824e-06,1.36128689210256e-08,"2560, 2562, 2561, 2566"
infomap,49,5,5,GO:0042274,1.3731904271175e-05,3.4269788547978603e-09,"6230, 6217, 6193, 6223, 6234"
infomap,12,29,6,GO:0035493,1.53181796902175e-05,1.91142746321656e-08,"6616, 6810, 6844, 8674, 6843, 9341"
infomap,86,3,3,GO:2000352,1.97529485123832e-05,3.45072721703725e-08,"2243, 2244, 2266"
infomap,86,3,3,GO:0034116,1.97529485123832e-05,3.45072721703725e-08,"2243, 2244, 2266"
infomap,86,3,3,GO:0051258,1.97529485123832e-05,3.45072721703725e-08,"2243, 2244, 2266"
infomap,13,10,4,GO:2000480,3.28470976393702e-05,8.19742890925135e-09,"5573, 5576, 5577, 5575"
infomap,77,3,3,GO:0034058,3.45676598966706e-05,8.626818042593111e-09,"57617, 55823, 64601"
infomap,86,3,3,GO:1902042,3.84085109963007e-05,8.62681804259313e-08,"2243, 2244, 2266"
infomap,86,3,3,GO:0045907,3.84085109963007e-05,8.62681804259313e-08,"2243, 2244, 2266"
infomap,12,29,12,GO:0006886,4.33994254548101e-05,6.49854137082258e-08,"6810, 6804, 10228, 8675, 112755, 23673, 6814, 63908, 26276, 2054, 8775, 8417"
infomap,80,4,4,GO:0007035,5.16168677190105e-05,1.28816740002522e-08,"51382, 523, 526, 9296"
infomap,22,15,7,GO:0032956,7.11687115519688e-05,2.32083040541687e-08,"5058, 5063, 998, 387, 6093, 5879, 9912"
infomap,22,15,4,GO:0034329,7.11687115519688e-05,5.32832879101338e-08,"998, 387, 4649, 4983"
infomap,22,15,4,GO:0045198,7.11687115519688e-05,5.32832879101338e-08,"998, 387, 4649, 4983"
infomap,80,4,4,GO:0097401,7.82855827071654e-05,3.9074411134098e-08,"51382, 523, 526, 9296"
infomap,12,29,5,GO:0010807,8.81111364010243e-05,1.53925119742244e-07,"6804, 112755, 63908, 134957, 8775"
infomap,41,8,5,GO:0060078,0.0001052478635973,1.83862002790459e-07,"2560, 2561, 2566, 2555, 2554"
infomap,80,4,4,GO:1902600,0.0001240890355265,9.29041943048489e-08,"51382, 523, 526, 9296"
infomap,79,4,3,GO:0031146,0.0001382706395866,3.45072721703724e-08,"26232, 6500, 84961"
infomap,85,3,3,GO:0034314,0.0001382706395866,3.45072721703725e-08,"10097, 10096, 10109"
infomap,8,53,6,GO:0009790,0.0001383228368836,3.45202986981831e-08,"1742, 1740, 1741, 1739, 57554, 23513"
infomap,12,29,6,GO:0061025,0.0001475840519841,2.94652462159422e-07,"8773, 6844, 26276, 9341, 9342, 8775"
infomap,1,18,4,GO:0016191,0.0001595430456769,1.1944824982052e-07,"6455, 6456, 6457, 8867"
infomap,1,18,4,GO:0097720,0.0001595430456769,1.1944824982052e-07,"5530, 5532, 5533, 5534"
infomap,1,18,4,GO:1905949,0.0001595430456769,1.1944824982052e-07,"5530, 5532, 5533, 5534"
infomap,2,15,5,GO:0048268,0.0001613148138435,8.05165030414718e-08,"2060, 1213, 8301, 1175, 1211"
infomap,77,3,3,GO:0035542,0.0001728382994833,8.62681804259313e-08,"57617, 55823, 64601"
infomap,29,10,7,GO:0015031,0.0001967199713876,4.90940782100329e-08,"9135, 2664, 2665, 53916, 5867, 83452, 7879"
infomap,29,10,4,GO:0032482,0.0002436811996917,1.21627751281118e-07,"2664, 53916, 5867, 83452"
infomap,72,4,4,GO:0099560,0.0002846748462078,7.10443838801785e-08,"64101, 22854, 57689, 84628"
infomap,86,3,3,GO:0070527,0.000290368343132,7.24652715577822e-07,"2243, 2244, 2266"
infomap,86,3,3,GO:0050714,0.0003456765989667,1.03521816511117e-06,"2243, 2244, 2266"
infomap,86,3,3,GO:0045921,0.0003456765989667,1.03521816511117e-06,"2243, 2244, 2266"
infomap,50,8,4,GO:0060070,0.000379061604529,9.45998513923294e-08,"8312, 1499, 1855, 1857"
infomap,1,18,4,GO:0033173,0.0003937984915661,5.89665822160415e-07,"5530, 5532, 5533, 5534"
infomap,1,18,4,GO:0070886,0.0003937984915661,5.89665822160415e-07,"5530, 5532, 5533, 5534"
infomap,1,18,4,GO:1905665,0.0003937984915661,5.89665822160415e-07,"5530, 5532, 5533, 5534"
infomap,8,53,10,GO:2000463,0.000511159334372,2.55133184113841e-07,"1742, 2903, 2904, 22871, 2905, 2906, 2902, 9378, 57555, 81832"
infomap,8,53,8,GO:0051968,0.0005969669051648,4.46943028573662e-07,"2903, 2904, 22871, 2905, 2906, 2902, 9378, 57555"
infomap,8,53,5,GO:0098655,0.0006354205319341,6.34310488579113e-07,"2903, 2904, 2905, 2906, 2902"
infomap,32,18,6,GO:0099560,0.0007961420096015,1.98687798752577e-07,"5802, 5792, 5789, 145581, 84631, 114798"
infomap,80,4,3,GO:0051452,0.0009646097673428,1.20365581150841e-06,"51382, 523, 9296"
infomap,80,4,3,GO:0061795,0.0009646097673428,1.20365581150841e-06,"51382, 523, 9296"
infomap,86,3,3,GO:0051592,0.0009678944771067,3.14016176750389e-06,"2243, 2244, 2266"
infomap,86,3,3,GO:1900026,0.0011234489466417,3.92520220937986e-06,"2243, 2244, 2266"
infomap,49,5,4,GO:0006364,0.0011813954746983,5.89665822160415e-07,"6230, 6217, 6223, 6234"
infomap,86,3,3,GO:0007160,0.0012905259694757,4.83101810385214e-06,"2243, 2244, 2266"
infomap,77,3,3,GO:0008333,0.0013827063958668,1.03521816511117e-06,"57617, 55823, 64601"
infomap,29,10,6,GO:0016192,0.0014149950024004,1.05939231524865e-06,"9135, 10890, 2664, 2665, 53916, 5867"
infomap,86,3,2,GO:0043152,0.0019120236880345,7.63473396769489e-06,"2243, 2244"
