alg,cl,Cn,Mu,FL,padj,pval,overlapGenes
infomap,47,25,24,GO:0003735,5.52947476505317e-24,6.24799408480584e-27,"25873, 6165, 6194, 6156, 23521, 6135, 4736, 6129, 6124, 6189, 6130, 6159, 9045, 6161, 6143, 6141, 6175, 6136, 6158, 6168, 6142, 6228, 6208, 6229"
infomap,12,29,16,GO:0005484,1.64372316822759e-22,1.8573143143814602e-25,"6616, 6810, 8773, 6804, 10228, 8675, 6844, 112755, 23673, 6843, 116841, 2054, 9341, 9342, 8417, 9554"
infomap,47,25,25,GO:0003723,3.61491643277452e-17,8.16930267293678e-20,"25873, 6165, 6194, 6156, 23521, 6135, 4736, 5073, 6129, 6124, 6189, 6130, 6159, 9045, 6161, 6143, 6141, 6175, 6136, 6158, 6168, 6142, 6228, 6208, 6229"
infomap,12,29,16,GO:0019905,1.25754897853258e-16,2.84191859555385e-19,"8773, 10228, 6857, 8675, 6844, 6814, 6843, 116841, 63908, 127833, 10815, 134957, 9342, 8775, 8417, 9515"
infomap,5,52,13,GO:0004713,3.6503851001615196e-11,4.12472892673618e-14,"3480, 2048, 2534, 5747, 4067, 6714, 2043, 3717, 27, 25, 5604, 2185, 613"
infomap,41,8,6,GO:0004890,1.30158874792807e-10,2.94144349814254e-13,"2560, 2562, 2561, 2566, 2555, 2554"
infomap,41,8,6,GO:0022851,1.30158874792807e-10,2.94144349814254e-13,"2560, 2562, 2561, 2566, 2555, 2554"
infomap,3,23,20,GO:0003723,6.66241507543952e-10,7.52815262761528e-13,"26986, 5094, 3184, 3190, 3178, 5093, 3181, 4670, 11100, 10949, 3188, 9444, 3185, 92906, 3187, 3182, 220988, 3191, 1993, 9987"
infomap,12,29,12,GO:0000149,1.2681026145933102e-09,4.298652930824799e-12,"6810, 6804, 10228, 6857, 8675, 6844, 112755, 23673, 2054, 10815, 8775, 8417"
infomap,41,8,6,GO:0005254,1.13426586654993e-08,3.8449690391523094e-11,"2560, 2562, 2561, 2566, 2555, 2554"
infomap,27,14,6,GO:0004697,1.38778913254969e-08,3.1362466272309296e-11,"5582, 5590, 5580, 5581, 5579, 5578"
infomap,27,14,6,GO:0004698,1.38778913254969e-08,3.1362466272309296e-11,"5582, 5590, 5580, 5581, 5579, 5578"
infomap,41,8,4,GO:0030594,6.04560382057287e-07,2.7324763030837803e-09,"2560, 2562, 2561, 2566"
infomap,3,23,10,GO:0003729,6.04986265173356e-07,1.36720059926182e-09,"26986, 5094, 3190, 5093, 4670, 10949, 9444, 92906, 3182, 3191"
infomap,4,17,10,GO:0106310,8.57974684830098e-07,9.69462920711975e-10,"5602, 1432, 1612, 5594, 8536, 5595, 56924, 27330, 8986, 9252"
infomap,5,52,8,GO:0004715,1.48590543316569e-06,3.3579783800354602e-09,"2534, 5747, 4067, 6714, 3717, 27, 25, 2185"
infomap,51,16,11,GO:0003735,1.82455467986225e-06,2.0616437060590404e-09,"6133, 6122, 6232, 6209, 6188, 6201, 6144, 6207, 6173, 6224, 6222"
infomap,12,29,8,GO:0017075,2.06570731359548e-06,9.336530230940021e-09,"6616, 8773, 112476, 6857, 6844, 6814, 9341, 134957"
infomap,61,5,5,GO:0060090,6.58238223453993e-06,7.437720039028171e-09,"5413, 23176, 989, 23157, 55752"
infomap,13,10,4,GO:0008603,7.25472458468745e-06,8.19742890925135e-09,"5573, 5576, 5577, 5575"
infomap,5,52,11,GO:0017124,1.12908225592614e-05,3.82739747771574e-08,"10006, 1398, 23607, 22941, 4067, 85358, 25, 1793, 9101, 8871, 8506"
infomap,80,4,4,GO:0046961,1.71004222353347e-05,1.93225110003782e-08,"51382, 523, 526, 9296"
infomap,13,10,4,GO:0004862,1.80382195081328e-05,4.07643378714866e-08,"5573, 5576, 5577, 5575"
infomap,41,8,5,GO:1904315,1.80882456222888e-05,1.02193478092027e-07,"2560, 2561, 2566, 2555, 2554"
infomap,13,10,4,GO:0030552,2.69101399709474e-05,1.21627751281118e-07,"5573, 5576, 5577, 5575"
infomap,13,10,4,GO:0034236,2.69101399709474e-05,1.21627751281118e-07,"5573, 5576, 5577, 5575"
infomap,6,42,17,GO:0045296,2.72428205090033e-05,3.07828480327721e-08,"5861, 3688, 11252, 10938, 3337, 3312, 118, 2011, 999, 1496, 6711, 832, 5331, 6138, 6147, 6520, 10163"
infomap,4,17,11,GO:0005524,0.0001289854967169,2.91492647947854e-07,"5602, 1432, 1612, 5594, 8536, 5595, 56924, 27330, 8986, 9252, 4076"
infomap,41,8,3,GO:0005237,0.0002432750977398,1.9242098126316e-06,"2566, 2555, 2554"
infomap,41,8,3,GO:0008503,0.0002432750977398,1.9242098126316e-06,"2566, 2555, 2554"
infomap,13,10,4,GO:0034237,0.0002948771273408,1.66597247085214e-06,"5566, 8165, 9495, 9465"
infomap,61,5,5,GO:0003924,0.0003561250910133,8.44325894041444e-07,"5413, 23176, 989, 23157, 55752"
infomap,61,5,5,GO:0005525,0.0003561250910133,1.20720369835041e-06,"5413, 23176, 989, 23157, 55752"
