alg,cl,Cn,Mu,FL,padj,pval,overlapGenes
infomap,72,4,4,101,0.0315831401745672,0.0045118771677953,"64101, 22854, 57689, 84628"
infomap,10,4,2,1,0.0571103357452402,0.0081586193921771,"1964, 9698"
infomap,4,17,9,101,0.0848016885836629,0.0153880603726284,"1432, 1612, 8536, 5970, 56924, 1630, 55357, 8986, 4076"
infomap,4,17,3,1,0.0848016885836629,0.0242290538810465,"409, 27330, 9252"
infomap,19,11,1,10,0.0868094701240169,0.0124013528748596,1129
infomap,24,7,5,101,0.105659774348584,0.0150942534783691,"1981, 7337, 1977, 3781, 8672"
infomap,12,29,25,111,0.112632601274899,0.0160903716106999,"6616, 8773, 6804, 10228, 112476, 6857, 8675, 6844, 112755, 23673, 8674, 6843, 116841, 63908, 26276, 127833, 9341, 57460, 10815, 134957, 9342, 8775, 8417, 9515, 9554"
infomap,9,5,4,101,0.125438360806577,0.0179197658295109,"1975, 8661, 8662, 9775"
infomap,8,53,21,101,0.125819988114499,0.017974284016357,"3739, 9863, 3736, 260425, 2903, 22871, 2905, 2066, 81832, 65217, 85461, 8525, 2894, 57497, 80059, 64072, 9758, 84435, 57101, 266727, 26045"
infomap,69,3,1,110,0.164606977913921,0.0235152825591316,525
infomap,71,7,2,1,0.185870892788346,0.0265529846840495,"3763, 9194"
infomap,6,42,34,111,0.220494477055923,0.031499211007989,"29993, 1605, 5861, 11252, 9253, 10938, 10211, 3337, 23236, 3312, 301, 118, 120, 3265, 9181, 2011, 1496, 2319, 6711, 490, 493, 832, 6138, 6520, 9066, 22848, 25921, 55714, 119, 27020, 3916, 65108, 6566, 57465"
infomap,50,8,5,101,0.222444011386452,0.0317777159123503,"1855, 1857, 8664, 800, 10297"
infomap,66,20,2,11,0.227351144776817,0.0324787349681166,"6572, 6571"
infomap,20,5,1,110,0.272492018668779,0.038927431238397,2597
infomap,21,8,8,111,0.278734260438798,0.0398191800626855,"2280, 1509, 6203, 3708, 5332, 6187, 7416, 54413"
infomap,56,8,8,111,0.278734260438798,0.0398191800626855,"10313, 57142, 22908, 6642, 51699, 55737, 7781, 9145"
infomap,73,8,8,111,0.278734260438798,0.0398191800626855,"5519, 11331, 3710, 5245, 5520, 8938, 6205, 9162"
infomap,55,6,4,101,0.297528868145548,0.0428125296430703,"10755, 132864, 6678, 23129"
infomap,84,3,1,11,0.303627736583043,0.0433753909404347,150
infomap,76,4,1,100,0.34139890106857,0.0487712715812243,9478
sgG1,5,113,89,111,0.0166189575941104,0.0023741367991586,"6616, 8773, 6804, 10228, 5869, 5868, 164, 112476, 5861, 10313, 7163, 6536, 114569, 6857, 10938, 8675, 9475, 6845, 6844, 10211, 4684, 27445, 58533, 10890, 2664, 2665, 6642, 3265, 11311, 112755, 23673, 4355, 8674, 6843, 116841, 63908, 26276, 53916, 2572, 55327, 10159, 127833, 5867, 9341, 57460, 9218, 23011, 10815, 7781, 80331, 2918, 6855, 6861, 140679, 10497, 134957, 9342, 5870, 2266, 9143, 9522, 490, 6520, 9066, 25921, 119, 27020, 821, 537, 3916, 8766, 5878, 1182, 143425, 8775, 8417, 9515, 8825, 9554, 9296, 7311, 83452, 7879, 8448, 65108, 6566, 57465, 91683, 7284"
sgG1,4,4,4,101,0.0315831401745672,0.0045118771677953,"64101, 22854, 57689, 84628"
sgG1,12,109,10,1,0.0369511149196842,0.005278730702812,"10928, 8312, 3717, 409, 2982, 51339, 27330, 6780, 8531, 9252"
sgG1,13,4,2,1,0.0571103357452402,0.0081586193921771,"1964, 9698"
sgG1,17,23,1,10,0.181510710259298,0.025930101465614,1129
sgG1,14,117,4,100,0.183759536933375,0.0452773456454504,"9001, 27185, 10460, 9478"
sgG1,24,76,58,111,0.304357625106622,0.0434796607295174,"3320, 6230, 6133, 6204, 6194, 6137, 7415, 348, 23236, 1982, 6160, 6122, 6156, 23521, 55738, 1487, 6203, 6135, 4736, 25930, 782, 6217, 6129, 6124, 6193, 6188, 6189, 6201, 6223, 6139, 6187, 6202, 6207, 6130, 6164, 6173, 9045, 80124, 1996, 6143, 6141, 6175, 6136, 6158, 6191, 6142, 785, 6710, 8943, 6205, 1917, 6228, 6222, 9922, 81876, 6206, 6208, 6229"
sgG1,23,126,41,101,0.336035240982085,0.0480050344260121,"3739, 9863, 3736, 260425, 23607, 2903, 22871, 2905, 5747, 2066, 160622, 27, 5335, 1009, 1793, 29, 5728, 81832, 65217, 2185, 3745, 6792, 176, 9101, 8871, 613, 26960, 9762, 8525, 2894, 57497, 56165, 80059, 64072, 9758, 9722, 84435, 57101, 80728, 266727, 26045"
sgG2,6,4,4,101,0.0315831401745672,0.0045118771677953,"64101, 22854, 57689, 84628"
sgG2,13,23,4,1,0.0665665505165693,0.0095095072166527,"409, 27330, 8531, 9252"
sgG2,33,17,2,100,0.120326981176185,0.017189568739455,"5027, 10460"
sgG2,21,41,3,11,0.132939862799452,0.0189914089713502,"2054, 6572, 6571"
sgG2,12,33,2,110,0.175606151741269,0.0250865931058955,"10971, 525"
sgG2,5,43,35,111,0.176408506863737,0.0252012152662482,"4905, 5861, 6536, 5413, 23176, 4067, 10938, 9475, 6845, 10211, 23236, 27445, 118, 989, 120, 3265, 23157, 10159, 9218, 55752, 2319, 490, 6520, 25921, 119, 27020, 821, 537, 3916, 8943, 9554, 9296, 65108, 6566, 57465"
sgG2,24,32,1,10,0.198153520447531,0.0360766629086809,1129
sgG2,19,59,22,101,0.230020778934606,0.0328601112763723,"3739, 9863, 3736, 260425, 2903, 22871, 2905, 5728, 81832, 65217, 85461, 8525, 2894, 57497, 80059, 64072, 9758, 84435, 57101, 266727, 26045, 81609"
sgG2,31,36,4,1,0.310525943328693,0.0443608490469562,"1964, 5664, 9698, 3693"
sgG2,20,4,1,100,0.34139890106857,0.0487712715812243,9478
sgG5,32,4,4,101,0.0315831401745672,0.0045118771677953,"64101, 22854, 57689, 84628"
sgG5,43,18,2,110,0.0538749413284739,0.0076964201897819,"10971, 525"
sgG5,7,12,12,111,0.0548704025648022,0.0078386289378288,"6536, 5413, 23176, 989, 3265, 23157, 55752, 490, 9066, 27020, 6515, 57465"
sgG5,69,4,2,1,0.0571103357452402,0.0081586193921771,"1964, 9698"
sgG5,73,4,2,1,0.0571103357452402,0.0081586193921771,"10928, 8531"
sgG5,14,15,2,100,0.0941716102939344,0.0134530871848478,"64506, 53335"
sgG5,36,13,1,10,0.102593010146558,0.0146561443066512,1129
sgG5,72,15,3,1,0.119617012037306,0.0170881445767579,"409, 27330, 9252"
sgG5,45,7,2,1,0.185870892788346,0.0265529846840495,"3480, 3717"
sgG5,62,27,23,111,0.194484221361876,0.0277834601945537,"6616, 8773, 6804, 10228, 112476, 6857, 8675, 6844, 112755, 23673, 8674, 6843, 116841, 63908, 127833, 9341, 10815, 134957, 9342, 8775, 8417, 9515, 9554"
sgG5,13,8,5,101,0.222444011386452,0.0317777159123503,"10755, 132864, 613, 6678, 23129"
sgG5,51,8,5,101,0.222444011386452,0.0317777159123503,"1981, 7337, 1977, 3781, 8672"
sgG5,1,22,2,11,0.271869419277599,0.0388384884682284,"6572, 6571"
sgG5,22,38,15,101,0.314233034033188,0.0448904334333125,"3739, 9863, 3736, 2903, 2905, 81832, 65217, 8525, 2894, 57497, 80059, 64072, 9758, 84435, 57101"
sgG5,80,4,1,100,0.34139890106857,0.0487712715812243,9478
spectral,4,4,4,101,0.0315831401745672,0.0045118771677953,"64101, 22854, 57689, 84628"
spectral,20,12,1,10,0.0947012401352876,0.0135287485907554,1129
spectral,10,1,1,11,0.102593010146562,0.0146561443066517,8447
spectral,45,40,33,111,0.145816258568137,0.0208308940811624,"6616, 8773, 6804, 10228, 112476, 80725, 6857, 8675, 6845, 6812, 6844, 6122, 112755, 23673, 8674, 6843, 116841, 63908, 26276, 127833, 9341, 57460, 23025, 10815, 6712, 10497, 134957, 9342, 2266, 8417, 9515, 9554, 8448"
spectral,31,17,2,11,0.166833293204949,0.023833327600707,"6572, 6571"
spectral,5,82,29,101,0.224672499821897,0.0320960714031281,"3739, 9863, 3736, 260425, 2903, 22871, 2905, 7813, 23266, 1948, 575, 5728, 81832, 9101, 9256, 64854, 85461, 8787, 8525, 2894, 57497, 57622, 9758, 84435, 57101, 80728, 266727, 26045, 81609"
