alg,cl,Cn,Mu,FL,padj,pval,overlapGenes
infomap,41,8,6,DOID:1826,0.0005925563283477,4.93796940289782e-05,"2562, 2561, 10564, 2566, 2555, 2554"
infomap,41,8,5,DOID:12849,0.0018832714547804,0.0004466000639574,"2560, 2562, 2566, 2555, 2554"
infomap,41,8,5,DOID:0060041,0.0018832714547804,0.0004708178636951,"2560, 2562, 2566, 2555, 2554"
infomap,5,52,13,DOID:12849,0.0087039393956684,0.0013030708009236,"5747, 22941, 6531, 6714, 85358, 1009, 9456, 2550, 2918, 6792, 26960, 9568, 84152"
infomap,5,52,13,DOID:0060041,0.0087039393956684,0.0014506565659447,"5747, 22941, 6531, 6714, 85358, 1009, 9456, 2550, 2918, 6792, 26960, 9568, 84152"
infomap,1,18,5,DOID:9255,0.0121764933479588,0.0010147077789965,"273, 6455, 1785, 5530, 5533"
infomap,41,8,6,DOID:5419,0.0167593330389667,0.0055864443463222,"2560, 2562, 2561, 2566, 2555, 2554"
infomap,41,8,4,DOID:3312,0.0199479910692015,0.0083116629455006,"2560, 2561, 2566, 2555"
infomap,14,17,7,DOID:1826,0.0203333306347502,0.0016944442195625,"7249, 53616, 7533, 6853, 7532, 6854, 9211"
infomap,16,8,4,DOID:12849,0.0329034144564226,0.0052659422117642,"351, 4915, 4916, 56899"
infomap,16,8,4,DOID:0060041,0.0329034144564226,0.0054839024094037,"351, 4915, 4916, 56899"
infomap,16,8,4,DOID:3312,0.0332466517820024,0.0083116629455006,"4915, 4916, 56899, 8774"
infomap,18,27,14,DOID:5419,0.0459990124250441,0.0038332510354203,"2891, 2892, 9463, 1947, 2917, 2893, 1948, 23705, 2898, 2913, 2897, 23426, 8452, 9783"
infomap,8,53,23,DOID:5419,0.054024693542265,0.0045020577951887,"9863, 1742, 1741, 9228, 26037, 1739, 2903, 2904, 2905, 2906, 2066, 6536, 2902, 9378, 57502, 57555, 1128, 1501, 81832, 2894, 6326, 8831, 266727"
infomap,8,53,11,DOID:12849,0.0619166971929283,0.0142868902188685,"2903, 2904, 22871, 2906, 9378, 57502, 4897, 491, 6326, 8831, 3751"
infomap,8,53,11,DOID:0060041,0.0619166971929283,0.0154791742982321,"2903, 2904, 22871, 2906, 9378, 57502, 4897, 491, 6326, 8831, 3751"
infomap,48,2,2,DOID:10763,0.0695676959136359,0.0057973079928029,"3921, 6227"
infomap,8,53,9,DOID:1059,0.0844420265282695,0.0281473421760898,"1741, 2903, 2904, 2902, 9378, 57502, 1501, 6326, 8831"
infomap,21,8,3,DOID:2377,0.0927808458166345,0.0077317371513862,"1509, 3708, 7416"
infomap,86,3,2,DOID:10763,0.110912238991846,0.0165272407523638,"2243, 2244"
infomap,86,3,2,DOID:14330,0.110912238991846,0.0184853731653077,"2244, 2266"
infomap,12,29,5,DOID:9255,0.114244725863132,0.0095203938219276,"6616, 6804, 112476, 6857, 112755"
infomap,19,11,4,DOID:1059,0.118312981304721,0.0098594151087267,"7102, 6529, 11141, 527"
infomap,6,42,8,DOID:10763,0.135009308460737,0.0112507757050614,"3337, 118, 999, 1496, 490, 10163, 55714, 119"
infomap,18,27,7,DOID:3312,0.143898094931525,0.0287965639727382,"2917, 1948, 23705, 2898, 2913, 2897, 23426"
infomap,18,27,6,DOID:12849,0.143898094931525,0.0495085713356137,"2891, 2917, 23705, 2898, 2897, 23426"
infomap,1,18,9,DOID:5419,0.146652093979221,0.0267173766040016,"1759, 6456, 6457, 1020, 5530, 57030, 5532, 5533, 5534"
infomap,1,18,7,DOID:10652,0.146652093979221,0.0366630234948052,"1785, 1020, 5530, 1000, 57030, 8867, 5534"
infomap,14,17,4,DOID:10763,0.210633335654168,0.0351055559423613,"7249, 65125, 10971, 11346"
infomap,25,8,5,DOID:5419,0.220485627318166,0.0341642465978677,"815, 816, 3927, 2912, 23237"
infomap,25,8,4,DOID:10652,0.220485627318166,0.0453780271240385,"815, 1131, 2912, 23237"
infomap,20,5,2,DOID:12858,0.239949064653232,0.0199957553877693,"2597, 3836"
infomap,12,29,7,DOID:1826,0.249651440487636,0.0416085734146059,"6616, 6810, 6804, 112476, 6857, 6844, 112755"
infomap,56,8,3,DOID:14330,0.256250395983334,0.0213541996652778,"10313, 55737, 7781"
infomap,21,8,4,DOID:10652,0.272268162744231,0.0453780271240385,"2280, 1509, 3708, 7416"
infomap,56,8,4,DOID:10652,0.272268162744231,0.0453780271240385,"10313, 57142, 6642, 7781"
infomap,40,5,2,DOID:2377,0.335117105103272,0.0279264254252726,"87, 11151"
infomap,60,5,2,DOID:2377,0.335117105103272,0.0279264254252726,"156, 2571"
infomap,23,24,11,DOID:5419,0.365230027344839,0.0304358356120699,"3800, 22866, 23345, 1191, 1808, 23043, 4741, 7846, 26011, 4747, 5048"
infomap,39,3,2,DOID:3312,0.4130475734364,0.037053934737,"1272, 26047"
infomap,4,17,3,DOID:12858,0.488102970285101,0.0422408828791496,"5602, 1432, 5595"
sgG1,23,126,30,DOID:12849,8.26694951447575e-06,1.0492589015468e-06,"10458, 2903, 2904, 22871, 2906, 5747, 22941, 6531, 6714, 1509, 85358, 1009, 9378, 9456, 2550, 57502, 5728, 2571, 6792, 26960, 4897, 9568, 84152, 56899, 6326, 9722, 6505, 54413, 8831, 3751"
sgG1,23,126,30,DOID:0060041,8.26694951447575e-06,1.37782491907929e-06,"10458, 2903, 2904, 22871, 2906, 5747, 22941, 6531, 6714, 1509, 85358, 1009, 9378, 9456, 2550, 57502, 5728, 2571, 6792, 26960, 4897, 9568, 84152, 56899, 6326, 9722, 6505, 54413, 8831, 3751"
sgG1,23,126,25,DOID:1826,0.0101973091142188,0.0025493272785547,"9863, 1740, 3736, 2903, 2904, 57142, 160622, 2911, 2902, 1509, 4842, 9378, 2550, 3737, 2571, 2185, 3745, 6792, 9568, 9900, 6326, 6505, 8831, 3751, 4133"
sgG1,23,126,46,DOID:5419,0.0129001561218393,0.004919725958344,"9863, 1742, 1741, 9228, 26037, 58512, 1739, 2903, 2904, 2905, 2906, 5803, 2534, 4734, 57142, 50944, 6531, 2066, 9699, 2911, 2902, 6622, 4842, 85358, 9378, 9456, 2550, 57502, 57555, 1128, 9229, 2571, 81832, 3745, 176, 9568, 84152, 9900, 2894, 56899, 6326, 9722, 6505, 8831, 4133, 266727"
sgG1,23,126,19,DOID:1059,0.0129001561218393,0.0053750650507663,"2316, 1741, 2903, 2904, 11122, 22941, 50944, 6531, 2902, 85358, 9378, 9456, 57502, 5728, 6792, 23096, 6326, 54413, 8831"
sgG1,2,72,24,DOID:10652,0.0162825513972849,0.001584372624693,"322, 351, 1994, 4915, 320, 2915, 1020, 8536, 6812, 2597, 5581, 5663, 23504, 334, 5027, 8650, 6272, 321, 22883, 102, 2566, 23385, 7416, 6515"
