alg,clNo,clustsize,no.Trubetskoy Broad,no. Trubetskoy Priortised,Molecular Function,Biological Function,Diseases,False Trub Enrichment
infomap,47,25,0,0,"['structural constituent of ribosome', 'RNA binding', 'large ribosomal subunit rRNA binding']","['cytoplasmic_translation', 'translation', 'rRNA_processing', 'ribosomal_large_subunit_biogenesis', 'ribosomal_small_subunit_biogenesis']",[],False
infomap,12,29,0,0,"['SNAP receptor activity', 'syntaxin binding', 'SNARE binding', 'syntaxin-1 binding', 'calcium-dependent protein binding', 'chloride channel inhibitor activity', 'myosin II binding', 'soluble NSF attachment protein activity']","['vesicle_docking', 'synaptic_vesicle_fusion_to_presynaptic_a...', 'vesicle_fusion', 'exocytosis', 'SNARE_complex_assembly', 'intracellular_protein_transport', 'regulation_of_synaptic_vesicle_priming', 'membrane_fusion', 'regulation_of_exocytosis', 'synaptic_vesicle_priming', 'protein_transport', 'exocytic_insertion_of_neurotransmitter_r...', 'cornified_envelope_assembly', 'vesicle_targeting', 'regulation_of_protein_secretion', 'endocytic_recycling', 'synaptic_vesicle_exocytosis', 'insulin_secretion', 'synaptic_vesicle_to_endosome_fusion', 'SNARE_complex_disassembly', 'calcium_ion-regulated_exocytosis_of_neur...']","['frontotemporal_dementia', 'epilepsy_syndrome']",False
infomap,2,15,0,0,"['clathrin adaptor activity', 'clathrin heavy chain binding', 'clathrin binding']","['clathrin-dependent_endocytosis', 'clathrin_coat_assembly', 'endocytosis', 'postsynaptic_neurotransmitter_receptor_i...', 'endosomal_transport', 'vesicle-mediated_transport', 'regulation_of_endocytosis', 'synaptic_vesicle_endocytosis', 'intracellular_protein_transport']",[],False
infomap,61,5,0,0,"['molecular adaptor activity', 'GTPase activity', 'GTP binding', 'structural molecule activity']",['cytoskeleton-dependent_cytokinesis'],[],False
infomap,41,8,0,0,"['GABA-A receptor activity', 'GABA-gated chloride ion channel activity', 'chloride channel activity', 'neurotransmitter receptor activity', 'transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential', 'inhibitory extracellular ligand-gated monoatomic ion channel activity', 'benzodiazepine receptor activity', 'GABA receptor activity', 'GABA receptor binding', 'ligand-gated monoatomic ion channel activity involved in regulation of presynaptic membrane potential', 'complement component C1q complex binding', 'kininogen binding', 'adrenergic receptor binding', 'mitochondrial ribosome binding', 'ligand-gated monoatomic ion channel activity', 'G protein-coupled neurotransmitter receptor activity involved in regulation of presynaptic membrane potential']","['nervous_system_process', 'gamma-aminobutyric_acid_signaling_pathwa...', 'inhibitory_synapse_assembly', 'chloride_transmembrane_transport', 'synaptic_transmission,_GABAergic', 'cellular_response_to_histamine', 'regulation_of_postsynaptic_membrane_pote...', 'signal_transduction', 'regulation_of_membrane_potential']","['epilepsy_syndrome', 'autistic_disorder', 'autism_spectrum_disorder', 'schizophrenia', 'bipolar_disorder']",False
infomap,5,52,7,0,"['protein tyrosine kinase activity', 'non-membrane spanning protein tyrosine kinase activity', 'SH3 domain binding', 'ephrin receptor binding', 'SH2 domain binding', 'signaling adaptor activity', 'scaffold protein binding', 'protein self-association', 'ATP binding', 'phosphotyrosine residue binding', 'protein kinase activity', 'receptor tyrosine kinase binding', 'phospholipase activator activity', 'protein kinase inhibitor activity', 'neurotrophin TRKA receptor binding', 'G protein-coupled GABA receptor activity', 'signaling receptor binding', 'kinase activity', 'phosphoprotein binding', 'type 5 metabotropic glutamate receptor binding', 'phosphatidylinositol 3-kinase binding', 'transmembrane-ephrin receptor activity', 'manganese ion binding', 'tau protein binding', 'protein kinase C binding', 'insulin receptor binding', 'insulin receptor substrate binding', 'alpha-tubulin binding', 'synaptic receptor adaptor activity', 'G-protein alpha-subunit binding', 'histone binding', 'heme binding', 'molecular adaptor activity', 'transmembrane transporter binding', 'phospholipase binding', 'actin monomer binding', 'transcription cis-regulatory region binding']","['peptidyl-tyrosine_phosphorylation', 'protein_autophosphorylation', 'protein_phosphorylation', 'regulation_of_cell_adhesion_mediated_by_...', 'cellular_response_to_transforming_growth...', 'positive_regulation_of_cell_migration', 'ephrin_receptor_signaling_pathway', 'epidermal_growth_factor_receptor_signali...', 'Fc-gamma_receptor_signaling_pathway_invo...', 'response_to_ethanol', 'signal_transduction', 'positive_regulation_of_peptidyl-tyrosine...', 'cellular_response_to_lipopolysaccharide', 'negative_regulation_of_inflammatory_resp...', 'signal_complex_assembly', 'growth_hormone_receptor_signaling_pathwa...', 'JAK-STAT_cascade_involved_in_growth_horm...', 'interleukin-6-mediated_signaling_pathway', 'regulation_of_cell_adhesion', 'regulation_of_actin_cytoskeleton_organiz...', 'vascular_endothelial_growth_factor_recep...', 'response_to_xenobiotic_stimulus', 'negative_regulation_of_cell_proliferatio...', 'response_to_nicotine', 'peptidyl-tyrosine_autophosphorylation', 'regulation_of_postsynaptic_neurotransmit...', 'regulation_of_dendrite_development', 'positive_regulation_of_tyrosine_phosphor...', 'regulation_of_cell_motility', 'positive_regulation_of_release_of_seques...', 'positive_regulation_of_aspartic-type_end...', 'establishment_of_cell_polarity', 'positive_regulation_of_cytosolic_calcium...', 'T_cell_receptor_signaling_pathway', 'positive_regulation_of_epithelial_cell_m...', 'focal_adhesion_assembly', 'positive_regulation_of_substrate_adhesio...', 'positive_regulation_of_protein_kinase_B_...', 'positive_regulation_of_protein_localizat...', 'cellular_response_to_dexamethasone_stimu...', 'negative_regulation_of_cell-cell_adhesio...', 'integrin-mediated_signaling_pathway', 'adaptive_immune_response', 'positive_regulation_of_cell_proliferatio...', 'stimulatory_C-type_lectin_receptor_signa...', 'positive_regulation_of_protein_serine/th...', 'transforming_growth_factor_beta_receptor...', 'positive_regulation_of_platelet_activati...', 'mRNA_transcription_by_RNA_polymerase_II', 'negative_regulation_of_muscle_cell_apopt...', 'positive_regulation_of_osteoblast_prolif...', 'cellular_response_to_progesterone_stimul...', 'cellular_response_to_testosterone_stimul...', 'cellular_response_to_insulin-like_growth...', 'helper_T_cell_diapedesis', 'response_to_hydrogen_peroxide', 'cerebellar_neuron_development', 'regulation_of_T_cell_migration', 'urogenital_system_development', 'regulation_of_JAK-STAT_cascade', 'activated_T_cell_proliferation', 'regulation_of_epithelial_cell_migration', 'dopamine_biosynthetic_process', 'negative_regulation_of_microtubule_polym...', 'protein_tetramerization', 'interleukin-5-mediated_signaling_pathway', 'cellular_response_to_fluid_shear_stress', 'JAK-STAT_cascade', 'positive_regulation_of_vascular_endothel...', 'activation_of_Janus_kinase_activity', 'positive_regulation_of_oxidoreductase_ac...', 'regulation_of_microtubule_polymerization', 'endothelin_receptor_signaling_pathway', 'regulation_of_GTPase_activity', 'cellular_response_to_amyloid-beta', 'negative_regulation_of_ERK1_and_ERK2_cas...', 'I-kappaB_kinase/NF-kappaB_signaling', 'regulation_of_focal_adhesion_assembly', 'leukocyte_migration', 'cellular_response_to_retinoic_acid', 'cell_migration', 'negative_regulation_of_gene_expression', 'T_cell_costimulation', 'transmembrane_receptor_protein_tyrosine_...', 'thymus_development', 'adenylate_cyclase-inhibiting_G_protein-c...', 'transcytosis', 'positive_regulation_of_cold-induced_ther...', 'signaling', 'reelin-mediated_signaling_pathway', 'postsynaptic_specialization_assembly', 'regulation_of_cell-cell_adhesion', 'regulation_of_potassium_ion_transmembran...', 'regulation_of_modification_of_synaptic_s...', 'response_to_cAMP', 'response_to_hormone', 'myoblast_proliferation', 'regulation_of_vascular_permeability', 'corticospinal_tract_morphogenesis', 'positive_regulation_of_establishment_of_...', 'positive_regulation_of_protein_phosphory...', 'positive_regulation_of_ERK1_and_ERK2_cas...', 'positive_regulation_of_MAPK_cascade', 'cellular_senescence', 'dendrite_development', 'cellular_response_to_hydrogen_peroxide', 'G_protein-coupled_glutamate_receptor_sig...', 'negative_regulation_of_apoptotic_process', 'positive_regulation_of_tumor_necrosis_fa...', 'dendrite_morphogenesis', 'positive_regulation_of_angiogenesis', 'megakaryocyte_development', 'positive_regulation_of_axon_regeneration', 'positive_regulation_of_potassium_ion_tra...', 'negative_regulation_of_cysteine-type_end...', 'positive_regulation_of_smooth_muscle_cel...', 'microglial_cell_activation', 'forebrain_development', 'dopamine_uptake_involved_in_synaptic_tra...', 'positive_regulation_of_Notch_signaling_p...', 'negative_regulation_of_anoikis', 'inner_ear_morphogenesis', 'positive_regulation_of_long-term_neurona...', 'B_cell_receptor_signaling_pathway', 'Bergmann_glial_cell_differentiation', 'ERK1_and_ERK2_cascade', 'regulation_of_early_endosome_to_late_end...', 'cellular_response_to_platelet-derived_gr...', 'platelet-derived_growth_factor_receptor_...', 'regulation_of_establishment_of_cell_pola...', 'erythrocyte_differentiation', 'bone_resorption', 'positive_regulation_of_vascular_smooth_m...', 'positive_regulation_of_interferon-gamma_...', 'tumor_necrosis_factor-mediated_signaling...', 'keratinocyte_differentiation', 'innate_immune_response', 'regulation_of_cell_cycle', 'modulation_of_chemical_synaptic_transmis...', 'positive_regulation_of_I-kappaB_kinase/N...', 'positive_regulation_of_endothelial_cell_...', 'adherens_junction_organization', 'regulation_of_cell_shape', 'negative_regulation_of_protein_phosphory...', 'Fc-epsilon_receptor_signaling_pathway', 'heart_morphogenesis', 'positive_regulation_of_interleukin-1_bet...', 'positive_regulation_of_T_cell_migration', 'negative_regulation_of_cell_adhesion', 'response_to_ischemia', 'lipid_metabolic_process', 'stress_fiber_assembly', 'progesterone_receptor_signaling_pathway', 'activation_of_cysteine-type_endopeptidas...', 'regulation_of_release_of_sequestered_cal...', 'positive_regulation_of_amyloid-beta_form...', 'neuromuscular_process_controlling_balanc...', 'intracellular_signal_transduction', 'protein_destabilization', 'positive_regulation_of_nitric_oxide_bios...', 'response_to_mechanical_stimulus', 'immune_response', 'dendritic_spine_maintenance', 'negative_regulation_of_long-term_synapti...', 'behavioral_response_to_cocaine', 'positive_regulation_of_protein_tyrosine_...', 'positive_regulation_of_calcium_ion_trans...', 'cell_chemotaxis', 'retinal_ganglion_cell_axon_guidance', 'positive_regulation_of_ubiquitin-depende...', 'adenylate_cyclase-inhibiting_G_protein-c...', 'protein_modification_process', 'angiogenesis', 'regulation_of_dendritic_spine_morphogene...', 'response_to_calcium_ion', 'MAPK_cascade', 'neuron_migration', 'axon_guidance']","['autistic_disorder', 'autism_spectrum_disorder']",False
infomap,3,23,0,0,"['RNA binding', 'mRNA binding', ""mRNA 3'-UTR binding"", 'single-stranded DNA binding', 'G-rich strand telomeric DNA binding', 'pre-mRNA intronic binding', 'poly(U) RNA binding', 'single-stranded RNA binding', 'poly(A) binding', 'miRNA binding', 'molecular condensate scaffold activity']","['mRNA_splicing,_via_spliceosome', 'regulation_of_RNA_splicing', 'RNA_processing', 'mRNA_processing', 'mRNA_transport', 'negative_regulation_of_nuclear-transcrib...', 'viral_RNA_genome_replication', 'positive_regulation_of_telomerase_RNA_re...', 'regulation_of_mRNA_splicing,_via_spliceo...', 'regulation_of_gene_expression']",[],False
infomap,51,16,0,0,"['structural constituent of ribosome', 'RNA binding', 'ubiquitin ligase inhibitor activity', 'small ribosomal subunit rRNA binding', 'tubulin binding', 'MDM2/MDM4 family protein binding', 'DNA binding', 'signaling receptor complex adaptor activity', ""mRNA 5'-UTR binding"", 'microtubule binding', 'rRNA binding', 'protein kinase A binding', 'GTPase activity', 'JUN kinase kinase kinase activity', 'GTP-dependent protein kinase activity', 'peroxidase inhibitor activity', 'co-receptor binding', 'beta-catenin destruction complex binding', 'damaged DNA binding', 'DNA-(apurinic or apyrimidinic site) endonuclease activity', 'DNA endonuclease activity', 'oxidized purine DNA binding', 'oxidized pyrimidine DNA binding', 'ubiquitin-like protein conjugating enzyme binding', 'iron-sulfur cluster binding', 'supercoiled DNA binding', 'class I DNA-(apurinic or apyrimidinic site) endonuclease activity', 'GTP binding']","['translation', 'cytoplasmic_translation', 'ribosomal_small_subunit_biogenesis', 'intracellular_distribution_of_mitochondr...', 'protein_localization_to_mitochondrion']",[],False
infomap,86,3,0,0,"['extracellular matrix structural constituent', 'structural molecule activity', 'cell adhesion molecule binding', 'signaling receptor binding']","['plasminogen_activation', 'fibrinolysis', 'blood_coagulation,_fibrin_clot_formation', 'positive_regulation_of_peptide_hormone_s...', 'negative_regulation_of_endothelial_cell_...', 'positive_regulation_of_heterotypic_cell-...', 'protein_polymerization', 'negative_regulation_of_extrinsic_apoptot...', 'positive_regulation_of_vasoconstriction', 'platelet_aggregation', 'positive_regulation_of_protein_secretion', 'positive_regulation_of_exocytosis', 'response_to_calcium_ion', 'positive_regulation_of_substrate_adhesio...', 'cell-matrix_adhesion', 'induction_of_bacterial_agglutination', 'positive_regulation_of_ERK1_and_ERK2_cas...', 'protein-containing_complex_assembly', 'cellular_response_to_interleukin-1', 'adaptive_immune_response', 'innate_immune_response', 'blood_coagulation,_common_pathway', 'platelet_maturation']","['hypertension', ""Parkinson's_disease""]",False
infomap,49,5,0,0,"['structural constituent of ribosome', 'RNA binding']","['ribosomal_small_subunit_biogenesis', 'rRNA_processing', 'ribosomal_small_subunit_assembly', 'cytoplasmic_translation', 'translation', 'maturation_of_SSU-rRNA_from_tricistronic...', 'maturation_of_SSU-rRNA']",[],False
