,Cluster1,Cluster2,Jaccard
0,"('infomap', 5)","('infomap', 8)",0.0
1,"('infomap', 5)","('infomap', 4)",0.0
2,"('infomap', 5)","('infomap', 10)",0.0
3,"('infomap', 5)","('sgG1', 23)",0.35877862595419846
4,"('infomap', 5)","('sgG1', 20)",0.0
5,"('infomap', 5)","('sgG1', 9)",0.0
6,"('infomap', 5)","('sgG1', 13)",0.0
7,"('infomap', 5)","('sgG2', 19)",0.0
8,"('infomap', 5)","('sgG2', 13)",0.013513513513513514
9,"('infomap', 5)","('sgG5', 22)",0.022727272727272728
10,"('infomap', 5)","('sgG5', 72)",0.015151515151515152
11,"('infomap', 5)","('sgG5', 29)",0.031746031746031744
12,"('infomap', 5)","('sgG5', 69)",0.0
13,"('infomap', 5)","('sgG5', 39)",0.0
14,"('infomap', 5)","('spectral', 5)",0.046875
15,"('infomap', 8)","('infomap', 4)",0.0
16,"('infomap', 8)","('infomap', 10)",0.0
17,"('infomap', 8)","('sgG1', 23)",0.32592592592592595
18,"('infomap', 8)","('sgG1', 20)",0.0
19,"('infomap', 8)","('sgG1', 9)",0.007142857142857143
20,"('infomap', 8)","('sgG1', 13)",0.0
21,"('infomap', 8)","('sgG2', 19)",0.75
22,"('infomap', 8)","('sgG2', 13)",0.0
23,"('infomap', 8)","('sgG5', 22)",0.6545454545454545
24,"('infomap', 8)","('sgG5', 72)",0.0
25,"('infomap', 8)","('sgG5', 29)",0.0
26,"('infomap', 8)","('sgG5', 69)",0.0
27,"('infomap', 8)","('sgG5', 39)",0.0
28,"('infomap', 8)","('spectral', 5)",0.4673913043478261
29,"('infomap', 4)","('infomap', 10)",0.0
30,"('infomap', 4)","('sgG1', 23)",0.0
31,"('infomap', 4)","('sgG1', 20)",0.0
32,"('infomap', 4)","('sgG1', 9)",0.009615384615384616
33,"('infomap', 4)","('sgG1', 13)",0.0
34,"('infomap', 4)","('sgG2', 19)",0.0
35,"('infomap', 4)","('sgG2', 13)",0.6666666666666666
36,"('infomap', 4)","('sgG5', 22)",0.0
37,"('infomap', 4)","('sgG5', 72)",0.7777777777777778
38,"('infomap', 4)","('sgG5', 29)",0.0
39,"('infomap', 4)","('sgG5', 69)",0.0
40,"('infomap', 4)","('sgG5', 39)",0.0
41,"('infomap', 4)","('spectral', 5)",0.0
42,"('infomap', 10)","('sgG1', 23)",0.0
43,"('infomap', 10)","('sgG1', 20)",0.0
44,"('infomap', 10)","('sgG1', 9)",0.0
45,"('infomap', 10)","('sgG1', 13)",1.0
46,"('infomap', 10)","('sgG2', 19)",0.0
47,"('infomap', 10)","('sgG2', 13)",0.0
48,"('infomap', 10)","('sgG5', 22)",0.0
49,"('infomap', 10)","('sgG5', 72)",0.0
50,"('infomap', 10)","('sgG5', 29)",0.0
51,"('infomap', 10)","('sgG5', 69)",1.0
52,"('infomap', 10)","('sgG5', 39)",0.0
53,"('infomap', 10)","('spectral', 5)",0.0
54,"('sgG1', 23)","('sgG1', 20)",0.0
55,"('sgG1', 23)","('sgG1', 9)",0.0
56,"('sgG1', 23)","('sgG1', 13)",0.0
57,"('sgG1', 23)","('sgG2', 19)",0.3805970149253731
58,"('sgG1', 23)","('sgG2', 13)",0.006756756756756757
59,"('sgG1', 23)","('sgG5', 22)",0.28125
60,"('sgG1', 23)","('sgG5', 72)",0.007142857142857143
61,"('sgG1', 23)","('sgG5', 29)",0.014598540145985401
62,"('sgG1', 23)","('sgG5', 69)",0.0
63,"('sgG1', 23)","('sgG5', 39)",0.0
64,"('sgG1', 23)","('spectral', 5)",0.35947712418300654
65,"('sgG1', 20)","('sgG1', 9)",0.0
66,"('sgG1', 20)","('sgG1', 13)",0.0
67,"('sgG1', 20)","('sgG2', 19)",0.0
68,"('sgG1', 20)","('sgG2', 13)",0.0
69,"('sgG1', 20)","('sgG5', 22)",0.0
70,"('sgG1', 20)","('sgG5', 72)",0.0
71,"('sgG1', 20)","('sgG5', 29)",0.03125
72,"('sgG1', 20)","('sgG5', 69)",0.0
73,"('sgG1', 20)","('sgG5', 39)",0.0
74,"('sgG1', 20)","('spectral', 5)",0.009900990099009901
75,"('sgG1', 9)","('sgG1', 13)",0.0
76,"('sgG1', 9)","('sgG2', 19)",0.00684931506849315
77,"('sgG1', 9)","('sgG2', 13)",0.00909090909090909
78,"('sgG1', 9)","('sgG5', 22)",0.0
79,"('sgG1', 9)","('sgG5', 72)",0.0
80,"('sgG1', 9)","('sgG5', 29)",0.0
81,"('sgG1', 9)","('sgG5', 69)",0.0
82,"('sgG1', 9)","('sgG5', 39)",0.0
83,"('sgG1', 9)","('spectral', 5)",0.011904761904761904
84,"('sgG1', 13)","('sgG2', 19)",0.0
85,"('sgG1', 13)","('sgG2', 13)",0.0
86,"('sgG1', 13)","('sgG5', 22)",0.0
87,"('sgG1', 13)","('sgG5', 72)",0.0
88,"('sgG1', 13)","('sgG5', 29)",0.0
89,"('sgG1', 13)","('sgG5', 69)",1.0
90,"('sgG1', 13)","('sgG5', 39)",0.0
91,"('sgG1', 13)","('spectral', 5)",0.0
92,"('sgG2', 19)","('sgG2', 13)",0.0
93,"('sgG2', 19)","('sgG5', 22)",0.5645161290322581
94,"('sgG2', 19)","('sgG5', 72)",0.0
95,"('sgG2', 19)","('sgG5', 29)",0.0
96,"('sgG2', 19)","('sgG5', 69)",0.0
97,"('sgG2', 19)","('sgG5', 39)",0.0
98,"('sgG2', 19)","('spectral', 5)",0.532608695652174
99,"('sgG2', 13)","('sgG5', 22)",0.0
100,"('sgG2', 13)","('sgG5', 72)",0.6521739130434783
101,"('sgG2', 13)","('sgG5', 29)",0.0
102,"('sgG2', 13)","('sgG5', 69)",0.0
103,"('sgG2', 13)","('sgG5', 39)",0.0
104,"('sgG2', 13)","('spectral', 5)",0.0
105,"('sgG5', 22)","('sgG5', 72)",0.0
106,"('sgG5', 22)","('sgG5', 29)",0.0
107,"('sgG5', 22)","('sgG5', 69)",0.0
108,"('sgG5', 22)","('sgG5', 39)",0.0
109,"('sgG5', 22)","('spectral', 5)",0.34831460674157305
110,"('sgG5', 72)","('sgG5', 29)",0.0
111,"('sgG5', 72)","('sgG5', 69)",0.0
112,"('sgG5', 72)","('sgG5', 39)",0.0
113,"('sgG5', 72)","('spectral', 5)",0.0
114,"('sgG5', 29)","('sgG5', 69)",0.0
115,"('sgG5', 29)","('sgG5', 39)",0.0
116,"('sgG5', 29)","('spectral', 5)",0.021505376344086023
117,"('sgG5', 69)","('sgG5', 39)",0.0
118,"('sgG5', 69)","('spectral', 5)",0.0
119,"('sgG5', 39)","('spectral', 5)",0.0
