alg,clNo,clustsize,no.Trubetskoy Broad,no. Trubetskoy Priortised,Molecular Function,Biological Function,Diseases,False Trub Enrichment
sgG1,24,76,0,0,"['structural constituent of ribosome', 'RNA binding', 'rRNA binding', 'ubiquitin ligase inhibitor activity', ""mRNA 5'-UTR binding"", 'mRNA binding', 'oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor', 'small ribosomal subunit rRNA binding', 'fibroblast growth factor binding']","['cytoplasmic_translation', 'translation', 'ribosomal_small_subunit_biogenesis', 'rRNA_processing', 'ribosomal_small_subunit_assembly', 'maturation_of_SSU-rRNA_from_tricistronic...', 'maturation_of_SSU-rRNA', 'ribosomal_large_subunit_biogenesis']",[],False
sgG1,22,33,0,0,"['RNA binding', 'mRNA binding', 'single-stranded DNA binding', ""mRNA 3'-UTR binding"", 'single-stranded RNA binding', 'poly(A) binding', 'pre-mRNA binding', 'G-rich strand telomeric DNA binding', 'pre-mRNA intronic binding', 'poly(U) RNA binding', 'poly(G) binding', 'DNA binding']","['mRNA_splicing,_via_spliceosome', 'RNA_processing', 'regulation_of_RNA_splicing', 'Rap_protein_signal_transduction', 'mRNA_processing', 'CRD-mediated_mRNA_stabilization', 'Arp2/3_complex-mediated_actin_nucleation', 'positive_regulation_of_cytoplasmic_trans...', 'mRNA_transport', 'negative_regulation_of_nuclear-transcrib...', 'viral_RNA_genome_replication', 'positive_regulation_of_telomerase_RNA_re...', 'regulation_of_mRNA_splicing,_via_spliceo...', 'asymmetric_cell_division', 'meiotic_chromosome_movement_towards_spin...', 'meiotic_cytokinesis', 'regulation_of_alternative_mRNA_splicing,...', 'regulation_of_gene_expression', 'negative_regulation_of_telomere_maintena...', 'actin_polymerization-dependent_cell_moti...', 'spindle_localization', 'negative_regulation_of_synaptic_vesicle_...', 'positive_regulation_of_transcription_by_...', 'positive_regulation_of_lamellipodium_ass...', 'mRNA_stabilization', 'negative_regulation_of_mRNA_splicing,_vi...', 'cellular_response_to_cAMP', 'regulation_of_cell_junction_assembly', 'cellular_response_to_xenobiotic_stimulus', 'establishment_of_endothelial_barrier']",[],False
sgG1,23,126,14,6,"['scaffold protein binding', 'protein tyrosine kinase activity', 'SH3 domain binding', 'NMDA glutamate receptor activity', 'ephrin receptor binding', 'delayed rectifier potassium channel activity', 'glutamate-gated calcium ion channel activity', 'non-membrane spanning protein tyrosine kinase activity', 'kinase binding', 'neurexin family protein binding', 'signaling receptor activity', 'glutamate binding', 'voltage-gated potassium channel activity', 'voltage-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential', 'structural constituent of postsynaptic density', 'outward rectifier potassium channel activity', 'protein self-association', 'transmembrane transporter binding', 'signaling adaptor activity', 'guanylate kinase activity', 'synaptic receptor adaptor activity', 'PDZ domain binding', 'amyloid-beta binding', 'SH2 domain binding', 'proline-rich region binding', 'phosphotyrosine residue binding', 'kinase activity', 'beta-1 adrenergic receptor binding', 'obsolete neurotransmitter binding', 'phospholipase activator activity', 'protein kinase inhibitor activity', 'neurotrophin TRKA receptor binding', 'cysteine-type endopeptidase activity', 'G protein-coupled GABA receptor activity', 'glutamate-gated receptor activity', 'transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential', 'potassium channel regulator activity', 'voltage-gated monoatomic ion channel activity involved in regulation of presynaptic membrane potential', 'receptor tyrosine kinase binding', 'phosphatidylinositol phospholipase C activity', 'ionotropic glutamate receptor binding']","['positive_regulation_of_excitatory_postsy...', 'positive_regulation_of_synaptic_transmis...', 'peptidyl-tyrosine_phosphorylation', 'social_behavior', 'neuromuscular_process_controlling_balanc...', 'response_to_ethanol', 'cellular_response_to_transforming_growth...', 'postsynaptic_membrane_assembly', 'cation_transmembrane_transport', 'ephrin_receptor_signaling_pathway', 'chemical_synaptic_transmission', 'vocalization_behavior', 'potassium_ion_transmembrane_transport', 'epidermal_growth_factor_receptor_signali...', 'regulation_of_ion_transmembrane_transpor...', 'positive_regulation_of_synapse_assembly', 'regulation_of_cation_transmembrane_trans...', 'calcium_ion_transmembrane_import_into_cy...', 'excitatory_chemical_synaptic_transmissio...', 'synapse_assembly', 'positive_regulation_of_potassium_ion_tra...', 'receptor_localization_to_synapse', 'regulation_of_postsynaptic_neurotransmit...', 'regulation_of_cell_adhesion_mediated_by_...', 'positive_regulation_of_long-term_synapti...', 'protein_localization_to_synapse', 'neuron_cell-cell_adhesion', 'focal_adhesion_assembly', 'protein_autophosphorylation', 'ionotropic_glutamate_receptor_signaling_...', 'modulation_of_chemical_synaptic_transmis...', 'brain_development', 'vascular_endothelial_growth_factor_recep...', 'presynaptic_membrane_assembly', 'calcium-mediated_signaling', 'long-term_synaptic_potentiation', 'regulation_of_synaptic_plasticity', 'protein_homooligomerization', 'transmembrane_receptor_protein_tyrosine_...', 'sensory_perception_of_pain', 'positive_regulation_of_cysteine-type_end...', 'signal_complex_assembly', 'response_to_hormone', 'regulation_of_neuronal_synaptic_plastici...', 'negative_regulation_of_ERK1_and_ERK2_cas...', 'adult_behavior', 'dendrite_development', 'Fc-gamma_receptor_signaling_pathway_invo...', 'positive_regulation_of_epithelial_cell_m...', 'negative_regulation_of_inflammatory_resp...', 'embryo_development', 'positive_regulation_of_protein_tyrosine_...', 'neurotransmitter_receptor_localization_t...', 'corpus_callosum_development', 'stimulatory_C-type_lectin_receptor_signa...', 'response_to_xenobiotic_stimulus', 'synapse_organization', 'positive_regulation_of_cell_proliferatio...', 'negative_regulation_of_cell_proliferatio...', 'positive_regulation_of_peptidyl-tyrosine...', 'excitatory_postsynaptic_potential', 'nervous_system_development', 'receptor_clustering', 'glutamate_receptor_signaling_pathway', 'locomotory_exploration_behavior', 'presynapse_assembly', 'regulation_of_postsynaptic_density_assem...', 'peptidyl-tyrosine_autophosphorylation', 'AMPA_glutamate_receptor_clustering', 'GMP_metabolic_process', 'GDP_metabolic_process', 'maintenance_of_postsynaptic_density_stru...', 'regulation_of_dendrite_development', 'positive_regulation_of_tyrosine_phosphor...', 'positive_regulation_of_release_of_seques...', 'regulation_of_cell_adhesion', 'positive_regulation_of_substrate_adhesio...', 'signal_transduction', 'regulation_of_postsynaptic_membrane_pote...', 'regulation_of_cell_shape', 'response_to_nicotine', 'cell_motility', 'regulation_of_presynaptic_membrane_poten...', 'learning_or_memory', 'cell_migration', 'regulation_of_GTPase_activity', 'dendritic_spine_morphogenesis', 'positive_regulation_of_dendritic_spine_d...', 'negative_regulation_of_activin_receptor_...', 'negative_regulation_of_muscle_cell_apopt...', 'positive_regulation_of_osteoblast_prolif...', 'cellular_response_to_progesterone_stimul...', 'cellular_response_to_insulin-like_growth...', 'cellular_response_to_potassium_ion', 'supramolecular_fiber_organization', 'membrane_repolarization_during_action_po...', 'bicellular_tight_junction_assembly', 'helper_T_cell_diapedesis', 'response_to_hydrogen_peroxide', 'cerebellar_neuron_development', 'regulation_of_T_cell_migration', 'urogenital_system_development', 'directional_locomotion', 'protein_localization_to_postsynaptic_mem...', 'protein_heterotetramerization', 'negative_regulation_of_dendritic_spine_m...', 'regulation_of_sensory_perception_of_pain', 'activated_T_cell_proliferation', 'regulation_of_epithelial_cell_migration', 'lactation', 'dopamine_biosynthetic_process', 'positive_regulation_of_lamellipodium_mor...', 'negative_regulation_of_microtubule_polym...', 'protein_tetramerization', 'negative_regulation_of_serotonin_uptake', 'oligodendrocyte_development', 'negative_regulation_of_focal_adhesion_as...', 'cellular_response_to_fluid_shear_stress', 'postsynaptic_density_assembly', 'positive_regulation_of_oxidoreductase_ac...', 'regulation_of_microtubule_polymerization', 'endothelin_receptor_signaling_pathway', 'regulation_of_respiratory_gaseous_exchan...', 'locomotor_rhythm', 'rhythmic_synaptic_transmission', 'potassium_ion_export_across_plasma_membr...', 'regulation_of_action_potential', 'sensory_perception_of_light_stimulus', 'equilibrioception', 'action_potential', 'cellular_response_to_cocaine', 'learning', 'heart_morphogenesis', 'establishment_of_protein_localization', 'positive_regulation_of_protein_localizat...', 'regulation_of_NMDA_receptor_activity', 'response_to_axon_injury', 'startle_response', 'negative_regulation_of_axonogenesis', 'synapse_maturation', 'postsynaptic_density_protein_95_clusteri...', 'negative_regulation_of_cell-cell_adhesio...', 'negative_regulation_of_excitatory_postsy...', 'establishment_of_cell_polarity', 'response_to_amphetamine', 'positive_regulation_of_cytosolic_calcium...', 'actin_filament_polymerization', 'T_cell_receptor_signaling_pathway', 'locomotory_behavior', 'cell-cell_adhesion', 'negative_regulation_of_cell_migration', 'protein_localization', 'visual_learning', 'regulation_of_dendritic_spine_morphogene...', 'regulation_of_membrane_potential', 'cellular_response_to_epidermal_growth_fa...', 'dendritic_spine_maintenance', 'axonal_fasciculation', 'retinal_ganglion_cell_axon_guidance', 'neurogenesis', 'calcium-dependent_cell-cell_adhesion_via...', 'positive_regulation_of_protein_serine/th...', 'positive_regulation_of_ubiquitin-depende...', 'positive_regulation_of_Arp2/3_complex-me...', 'potassium_ion_transport', 'associative_learning', 'cellular_response_to_lipopolysaccharide', 'regulation_of_actin_cytoskeleton_organiz...', 'synaptic_transmission,_glutamatergic', 'positive_regulation_of_protein_kinase_B_...']","['autistic_disorder', 'autism_spectrum_disorder', 'epilepsy_syndrome', 'schizophrenia', 'intellectual_disability', ""Alzheimer's_disease"", ""Parkinson's_disease""]",False
sgG1,5,113,0,0,"['SNAP receptor activity', 'syntaxin binding', 'SNARE binding', 'syntaxin-1 binding', 'G protein activity', 'calcium-dependent phospholipid binding', 'GDP binding', 'GTP binding', 'GTP-dependent protein binding', 'phosphatidylserine binding', 'clathrin binding', 'protein heterodimerization activity', 'chloride channel inhibitor activity', 'fibronectin binding', 'glycine transmembrane transporter activity', 'Rho-dependent protein serine/threonine kinase activity', 'Rab GDP-dissociation inhibitor activity', 'zinc ion transmembrane transporter activity', 'monoamine:proton antiporter activity', 'myosin II binding', 'voltage-gated chloride channel activity', 'GTPase activity', 'virus receptor activity']","['vesicle_fusion', 'vesicle_docking', 'exocytosis', 'intracellular_protein_transport', 'synaptic_vesicle_fusion_to_presynaptic_a...', 'protein_transport', 'vesicle-mediated_transport', 'membrane_fusion', 'regulation_of_exocytosis', 'SNARE_complex_assembly', 'regulation_of_synaptic_vesicle_priming', 'Rab_protein_signal_transduction', 'regulation_of_calcium_ion-dependent_exoc...', 'positive_regulation_of_heterotypic_cell-...', 'retrograde_transport,_endosome_to_Golgi', 'antigen_processing_and_presentation', 'synaptic_vesicle_to_endosome_fusion', 'leukocyte_tethering_or_rolling', 'protein_localization_to_basolateral_plas...', 'phagosome-lysosome_fusion', 'plasminogen_activation', 'fibrinolysis', 'blood_coagulation,_fibrin_clot_formation', 'positive_regulation_of_peptide_hormone_s...', 'proton_transmembrane_transport', 'positive_regulation_of_exocytosis', 'calcium_ion-regulated_exocytosis_of_neur...', 'synaptic_vesicle_priming', 'regulation_of_dopamine_secretion', 'endocytosis', 'regulation_of_insulin_secretion', 'cellular_response_to_calcium_ion', 'modulation_by_host_of_viral_process', 'calcium-dependent_activation_of_synaptic...', 'negative_regulation_of_endothelial_cell_...', 'neurotransmitter_loading_into_synaptic_v...', 'protein_polymerization', 'synaptic_vesicle_exocytosis', 'calcium_ion_regulated_exocytosis', 'ER_to_Golgi_vesicle-mediated_transport', 'exocytic_insertion_of_neurotransmitter_r...', 'cornified_envelope_assembly', 'vesicle_targeting', 'positive_regulation_of_natural_killer_ce...', 'B_cell_differentiation', 'glycine_transport', 'aortic_valve_morphogenesis', 'negative_regulation_of_myosin-light-chai...', 'regulation_of_keratinocyte_differentiati...', 'negative_regulation_of_biomineral_tissue...', 'response_to_transforming_growth_factor_b...', 'regulation_of_blood_vessel_diameter', 'regulation_of_angiotensin-activated_sign...', 'negative_regulation_of_bicellular_tight_...', 'response_to_angiotensin', 'eosinophil_degranulation', 'regulation_of_neurotransmitter_uptake', 'early_endosome_to_Golgi_transport', 'protein_to_membrane_docking', 'maintenance_of_epithelial_cell_apical/ba...', 'regulation_of_protein_secretion', 'induction_of_bacterial_agglutination', 'protein_localization_to_Golgi_apparatus', 'endosome_to_plasma_membrane_protein_tran...', 'establishment_of_protein_localization_to...', 'early_endosome_to_late_endosome_transpor...', 'plasma_membrane_to_endosome_transport', 'negative_regulation_of_extrinsic_apoptot...', 'Golgi_to_plasma_membrane_protein_transpo...', 'positive_regulation_of_vasoconstriction']",[],False
sgG1,6,3,0,0,"['protein-macromolecule adaptor activity', 'ubiquitin protein ligase activity', 'syntaxin binding']","['endosomal_vesicle_fusion', 'regulation_of_SNARE_complex_assembly', 'endosome_to_lysosome_transport', 'organelle_fusion', 'negative_regulation_of_intracellular_est...', 'endosome_organization', 'intracellular_protein_transport', 'vesicle_docking_involved_in_exocytosis', 'autophagy', 'protein_ubiquitination']",[],False
sgG1,20,20,0,2,"['protein tyrosine phosphatase activity', 'transmembrane receptor protein tyrosine phosphatase activity', 'NADP+ nucleosidase activity', 'NAD+ nucleotidase, cyclic ADP-ribose generating']","['synaptic_membrane_adhesion', 'regulation_of_presynapse_assembly', 'trans-synaptic_signaling_by_trans-synapt...', 'positive_regulation_of_synapse_assembly', 'transmembrane_receptor_protein_tyrosine_...', 'regulation_of_postsynaptic_density_assem...']",[],False
sgG1,4,4,0,0,['cell-cell adhesion mediator activity'],"['synaptic_membrane_adhesion', 'modulation_of_chemical_synaptic_transmis...', 'regulation_of_neuron_projection_arboriza...', 'regulation_of_neuron_migration', 'regulation_of_neuron_projection_developm...']",[],False
sgG1,12,109,0,0,"['protein serine kinase activity', 'protein serine/threonine kinase activity', 'ATP binding', 'clathrin adaptor activity', 'MAP kinase kinase activity', 'ribosomal protein S6 kinase activity', 'peptide binding', 'protein phosphatase 1 binding', 'protein kinase binding', 'JUN kinase activity', 'phosphatidylinositol-3,4-bisphosphate binding', 'MAP kinase activity', 'ubiquitin ligase-substrate adaptor activity', 'RNA polymerase II-specific DNA-binding transcription factor binding', 'histone deacetylase binding', 'protein serine/threonine/tyrosine kinase activity', 'clathrin light chain binding', 'clathrin heavy chain binding', 'protein phosphatase regulator activity', 'protein kinase activity', 'phosphatidylinositol binding', 'protein serine/threonine phosphatase activity', 'DNA-binding transcription factor binding', 'signal sequence binding', 'nucleic acid binding', 'NF-kappaB binding', 'DNA-binding transcription activator activity, RNA polymerase II-specific', 'protein kinase B binding', 'transcription coactivator binding', 'guanylate cyclase activity', 'histone H3S10 kinase activity', 'histone H3S28 kinase activity', 'Hsp90 protein binding', 'molecular function activator activity', 'heme binding', 'protein binding', 'chromatin binding', 'enzyme binding', 'transcription cis-regulatory region binding', 'magnesium ion binding', 'protein phosphatase binding', 'clathrin binding', 'protein homodimerization activity', 'I-SMAD binding', 'protein phosphatase inhibitor activity', 'phosphatidylinositol-3,5-bisphosphate binding', 'nuclear estrogen receptor binding', 'DNA-binding transcription factor activity', 'low-density lipoprotein particle receptor binding', 'phosphoprotein phosphatase activity']","['clathrin-dependent_endocytosis', 'intracellular_signal_transduction', 'clathrin_coat_assembly', 'regulation_of_circadian_rhythm', 'regulation_of_transcription,_DNA-templat...', 'cellular_response_to_cadmium_ion', 'apoptotic_process', 'phosphorylation', 'cellular_response_to_tumor_necrosis_fact...', 'proteasome-mediated_ubiquitin-dependent_...', 'peptidyl-serine_phosphorylation', 'cell_junction_assembly', 'establishment_of_epithelial_cell_apical/...', 'regulation_of_actin_cytoskeleton_organiz...', 'inflammatory_response', 'positive_regulation_of_proteasomal_ubiqu...', 'chromatin_remodeling', 'cellular_response_to_reactive_oxygen_spe...', 'protein_phosphorylation', 'positive_regulation_of_transcription_by_...', 'negative_regulation_of_apoptotic_process', 'regulation_of_endocytosis', 'postsynaptic_neurotransmitter_receptor_i...', 'stress-activated_MAPK_cascade', 'positive_regulation_of_cell_differentiat...', 'chemotaxis', 'cell_cycle', 'cellular_response_to_nutrient', 'anoikis', 'negative_regulation_of_TOR_signaling', 'regulation_of_ossification', 'positive_regulation_of_cyclase_activity', 'response_to_muramyl_dipeptide', 'positive_regulation_of_cell_division', 'glycogen_metabolic_process', 'cytoplasmic_microtubule_organization', 'positive_regulation_of_cytokine_producti...', 'regulation_of_myelination', 'positive_regulation_of_stress_fiber_asse...', 'insulin_receptor_signaling_pathway', 'positive_regulation_of_gene_expression', 'negative_regulation_of_protein_binding', 'cellular_response_to_amino_acid_starvati...', 'lipopolysaccharide-mediated_signaling_pa...', 'transcription_by_RNA_polymerase_II', 'Wnt_signaling_pathway,_planar_cell_polar...', 'interleukin-1-mediated_signaling_pathway', 'cellular_response_to_lipopolysaccharide', 'RNA_splicing', 'endocytosis', 'actin_filament_organization', 'negative_regulation_of_autophagy', 'cytokine-mediated_signaling_pathway', 'insulin-like_growth_factor_receptor_sign...', 'apoptotic_signaling_pathway', 'negative_regulation_of_canonical_Wnt_sig...', 'regulation_of_signal_transduction_by_p53...', 'positive_regulation_of_glucose_import', 'positive_regulation_of_extrinsic_apoptot...', 'trachea_formation', 'response_to_organic_substance', 'positive_regulation_of_epidermal_growth_...', 'negative_regulation_of_cell_proliferatio...', 'rhythmic_process', 'small_GTPase_mediated_signal_transductio...', 'protein_import_into_nucleus', 'regulation_of_MAPK_cascade', 'positive_regulation_of_myotube_different...', 'behavioral_response_to_pain', 'regulation_of_glycogen_biosynthetic_proc...', 'NIK/NF-kappaB_signaling', 'positive_regulation_of_organ_growth', 'labyrinthine_layer_blood_vessel_developm...', 'establishment_of_protein_localization_to...', 'regulation_of_type_B_pancreatic_cell_dev...', 'regulation_of_glucose_import', 'negative_regulation_of_Wnt_signaling_pat...', 'chondrocyte_differentiation', 'positive_regulation_of_erythrocyte_diffe...', 'cellular_response_to_lipoteichoic_acid', 'branching_morphogenesis_of_an_epithelial...', 'protein_localization_to_cytoplasmic_stre...', 'adiponectin-activated_signaling_pathway', 'regulation_of_vesicle_size', 'peptidyl-threonine_dephosphorylation', 'entrainment_of_circadian_clock_by_photop...', 'beta-catenin_destruction_complex_disasse...', 'embryonic_heart_tube_development', 'dendritic_cell_migration', 'neuron_fate_determination', 'positive_regulation_of_leukocyte_adhesio...', 'mammary_gland_epithelial_cell_proliferat...', 'outer_ear_morphogenesis', 'cardiac_neural_crest_cell_development_in...', 'response_to_epidermal_growth_factor', 'cortical_cytoskeleton_organization', 'respiratory_burst', 'regulation_of_neutrophil_migration', 'cellular_response_to_interleukin-3', 'positive_regulation_of_mitochondrial_out...', 'regulation_of_DNA_replication', 'ceramide_metabolic_process', 'mesoderm_development', 'second-messenger-mediated_signaling', 'negative_regulation_of_tyrosine_phosphor...', 'positive_regulation_of_NLRP3_inflammasom...', 'dorsal/ventral_axis_specification', 'negative_regulation_of_protein_sumoylati...', 'JAK-STAT_cascade', 'positive_regulation_of_pri-miRNA_transcr...', 'cGMP_biosynthetic_process', 'blood_circulation', 'nitric_oxide-cGMP-mediated_signaling_pat...', 'response_to_oxygen_levels', 'regulation_of_exit_from_mitosis', 'positive_regulation_of_CREB_transcriptio...', 'Fc-epsilon_receptor_signaling_pathway', 'germ_cell_development', 'negative_regulation_of_macroautophagy', 'TOR_signaling', 'negative_regulation_of_cell_size', 'cellular_response_to_vascular_endothelia...', 'positive_regulation_of_DNA-binding_trans...', 'positive_regulation_of_TORC1_signaling', 'positive_regulation_of_interleukin-1_bet...', 'kidney_development', 'positive_regulation_of_telomere_maintena...', 'positive_regulation_of_telomerase_activi...', 'negative_regulation_of_cell_growth', 'activation_of_cysteine-type_endopeptidas...', 'negative_regulation_of_gene_expression', 'protein_dephosphorylation', 'negative_regulation_of_transcription,_DN...', 'cellular_senescence', 'negative_regulation_of_protein_kinase_B_...', 'receptor_internalization', 'peptidyl-threonine_phosphorylation', 'regulation_of_cell_cycle', 'cell_division', 'positive_regulation_of_cell_growth', 'protein_kinase_B_signaling', 'JNK_cascade', 'positive_regulation_of_oligodendrocyte_d...', 'cellular_response_to_starvation', 'negative_regulation_of_insulin_receptor_...', 'positive_regulation_of_NIK/NF-kappaB_sig...', 'negative_regulation_of_protein_localizat...', 'cell_chemotaxis', 'regulation_of_stress_fiber_assembly', 'transforming_growth_factor_beta_receptor...', 'regulation_of_Rho_protein_signal_transdu...', 'post-translational_protein_modification', 'endosomal_transport', 'regulation_of_small_GTPase_mediated_sign...', 'positive_regulation_of_NF-kappaB_transcr...', 'protein_ubiquitination', 'protein_stabilization', 'positive_regulation_of_protein_phosphory...', 'negative_regulation_of_transcription_by_...', 'regulation_of_cell_size', 'ruffle_organization', 'response_to_nutrient_levels', 'response_to_amino_acid', 'positive_regulation_of_translational_ini...', 'regulation_of_cellular_response_to_heat', 'negative_regulation_of_protein_localizat...', 'sphingosine-1-phosphate_receptor_signali...', 'glucose_metabolic_process', 'striated_muscle_cell_differentiation', 'positive_regulation_of_peptidyl-threonin...', 'response_to_dietary_excess', 'osteoclast_differentiation', 'positive_regulation_of_interleukin-12_pr...', 'response_to_muscle_stretch', 'signal_transduction_in_response_to_DNA_d...', 'hepatocyte_growth_factor_receptor_signal...', 'energy_homeostasis', 'endothelial_tube_morphogenesis', 'positive_regulation_of_telomere_capping', 'peptidyl-serine_dephosphorylation', 'regulation_of_lamellipodium_assembly', 'androgen_receptor_signaling_pathway', 'positive_regulation_of_podosome_assembly', 'positive_regulation_of_macrophage_chemot...', 'regulation_of_cellular_pH', 'thyroid_gland_development', 'regulation_of_stress-activated_MAPK_casc...', 'response_to_exogenous_dsRNA', 'face_development', 'lung_morphogenesis', 'caveolin-mediated_endocytosis', 'regulation_of_Golgi_inheritance', 'engulfment_of_apoptotic_cell', 'growth_hormone_receptor_signaling_pathwa...', 'epidermis_development', 'regulation_of_protein_ubiquitination', 'meiotic_cell_cycle', 'regulation_of_G1/S_transition_of_mitotic...', 'positive_regulation_of_platelet-derived_...', 'positive_regulation_of_interleukin-8_pro...', 'regulation_of_DNA-templated_transcriptio...', 'cellular_response_to_hepatocyte_growth_f...', 'JAK-STAT_cascade_involved_in_growth_horm...', 'interleukin-6-mediated_signaling_pathway', 'regulation_of_nitric_oxide_biosynthetic_...', 'transcription,_DNA-templated', 'negative_regulation_of_NF-kappaB_transcr...', 'cGMP-mediated_signaling', 'SCF-dependent_proteasomal_ubiquitin-depe...', 'regulation_of_cell_proliferation', 'oligodendrocyte_differentiation', 'I-kappaB_kinase/NF-kappaB_signaling', 'negative_regulation_of_extrinsic_apoptot...', 'negative_regulation_of_TORC1_signaling', 'positive_regulation_of_protein_ubiquitin...', 'canonical_Wnt_signaling_pathway', 'dendritic_spine_morphogenesis', 'in_utero_embryonic_development']","[""Huntington's_disease"", 'hypertension']",False
sgG1,8,30,0,0,"['calmodulin-dependent protein phosphatase activity', 'cyclosporin A binding', 'voltage-gated calcium channel activity involved in AV node cell action potential', 'calcium-dependent protein serine/threonine phosphatase activity', 'protein serine/threonine phosphatase activity', 'myosin phosphatase activity', 'voltage-gated calcium channel activity involved in cardiac muscle cell action potential', 'phosphatidylinositol binding']","['synaptic_vesicle_uncoating', 'calcineurin-mediated_signaling', 'calcineurin-NFAT_signaling_cascade', 'positive_regulation_of_calcineurin-NFAT_...', 'protein_dephosphorylation', 'synaptic_vesicle_endocytosis', 'lipid_tube_assembly', 'negative_regulation_of_signaling', 'membrane_depolarization_during_AV_node_c...', 'membrane_depolarization_during_atrial_ca...', 'regulation_of_heart_rate_by_cardiac_cond...', 'endocytosis', 'T_cell_activation', 'skeletal_muscle_fiber_development', 'regulation_of_synaptic_vesicle_endocytos...']","['frontotemporal_dementia', ""Alzheimer's_disease""]",False
sgG1,15,3,0,0,"['vascular endothelial growth factor receptor activity', 'cytokine binding', 'semaphorin receptor activity', 'growth factor binding', 'heparin binding', 'vascular endothelial growth factor binding']","['outflow_tract_septum_morphogenesis', 'facial_nerve_structural_organization', 'vestibulocochlear_nerve_structural_organ...', 'gonadotrophin-releasing_hormone_neuronal...', 'ventral_trunk_neural_crest_cell_migratio...', 'axon_extension_involved_in_axon_guidance', 'trigeminal_ganglion_development', 'sensory_neuron_axon_guidance', 'sympathetic_neuron_projection_extension', 'sympathetic_neuron_projection_guidance', 'neural_crest_cell_migration_involved_in_...', 'semaphorin-plexin_signaling_pathway_invo...', 'facioacoustic_ganglion_development', 'dorsal_root_ganglion_morphogenesis', 'sympathetic_ganglion_development', 'axon_guidance', 'nerve_development', 'positive_regulation_of_endothelial_cell_...', 'positive_regulation_of_endothelial_cell_...', 'angiogenesis', 'trigeminal_nerve_structural_organization', 'branchiomotor_neuron_axon_guidance', 'regulation_of_vascular_endothelial_growt...', 'endothelial_cell_chemotaxis', 'VEGF-activated_neuropilin_signaling_path...', 'positive_regulation_of_axon_extension_in...', 'positive_regulation_of_cytokine_activity', 'axonogenesis_involved_in_innervation', 'angiogenesis_involved_in_coronary_vascul...', 'coronary_artery_morphogenesis', 'retina_vasculature_morphogenesis_in_came...', 'renal_artery_morphogenesis', 'regulation_of_retinal_ganglion_cell_axon...', 'endothelial_tip_cell_fate_specification', 'motor_neuron_migration', 'basal_dendrite_development', 'positive_regulation_of_retinal_ganglion_...', 'VEGF-activated_neuropilin_signaling_path...', 'protein_localization_to_early_endosome', 'otic_placode_development', 'vascular_endothelial_growth_factor_signa...', 'sprouting_angiogenesis', 'positive_regulation_of_phosphorylation', 'negative_regulation_of_axon_extension_in...', 'dichotomous_subdivision_of_terminal_unit...', 'basal_dendrite_arborization', 'semaphorin-plexin_signaling_pathway_invo...', 'cell_adhesion', 'hepatocyte_growth_factor_receptor_signal...', 'vasculogenesis', 'neuropilin_signaling_pathway', 'cellular_response_to_hepatocyte_growth_f...', 'artery_morphogenesis', 'positive_regulation_of_cell_migration_in...', 'commissural_neuron_axon_guidance', 'regulation_of_Cdc42_protein_signal_trans...', 'cell_migration_involved_in_sprouting_ang...', 'positive_regulation_of_smooth_muscle_cel...', 'positive_chemotaxis', 'neural_crest_cell_migration', 'cell-cell_signaling', 'branching_involved_in_blood_vessel_morph...', 'platelet-derived_growth_factor_receptor_...', 'regulation_of_vesicle-mediated_transport', 'cellular_response_to_vascular_endothelia...', 'axon_development', 'negative_chemotaxis', 'substrate-dependent_cell_migration,_cell...', 'endothelial_cell_migration', 'animal_organ_morphogenesis', 'positive_regulation_of_focal_adhesion_as...']",[],False
