alg,clNo,clustsize,no.Trubetskoy Broad,no. Trubetskoy Priortised,Molecular Function,Biological Function,Diseases,False Trub Enrichment
spectral,2,20,0,0,"['structural constituent of ribosome', 'RNA binding']","['cytoplasmic_translation', 'translation', 'rRNA_processing']",[],False
spectral,45,40,0,0,"['SNAP receptor activity', 'syntaxin binding', 'syntaxin-1 binding', 'SNARE binding', 'calcium-dependent protein binding', 'chloride channel inhibitor activity', 'myosin II binding', 'structural molecule activity', 'diacylglycerol binding', 'extracellular matrix structural constituent']","['vesicle_docking', 'exocytosis', 'vesicle_fusion', 'synaptic_vesicle_fusion_to_presynaptic_a...', 'SNARE_complex_assembly', 'platelet_aggregation', 'synaptic_vesicle_priming', 'regulation_of_synaptic_vesicle_priming', 'intracellular_protein_transport', 'presynaptic_dense_core_vesicle_exocytosi...', 'regulation_of_exocytosis', 'membrane_fusion', 'plasminogen_activation', 'fibrinolysis', 'blood_coagulation,_fibrin_clot_formation', 'positive_regulation_of_peptide_hormone_s...', 'synaptic_vesicle_docking', 'negative_regulation_of_endothelial_cell_...', 'positive_regulation_of_heterotypic_cell-...', 'protein_polymerization', 'protein_transport', 'positive_regulation_of_protein_secretion', 'positive_regulation_of_exocytosis', 'negative_regulation_of_extrinsic_apoptot...', 'positive_regulation_of_vasoconstriction', 'vesicle_docking_involved_in_exocytosis', 'vesicle-mediated_transport', 'spontaneous_neurotransmitter_secretion', 'cellular_response_to_interferon-gamma', 'exocytic_insertion_of_neurotransmitter_r...', 'cornified_envelope_assembly', 'vesicle_targeting', 'eosinophil_degranulation', 'neuronal_dense_core_vesicle_exocytosis', 'regulation_of_protein_secretion', 'induction_of_bacterial_agglutination', 'positive_regulation_of_dendrite_extensio...', 'neurotransmitter_secretion', 'endocytic_recycling', 'synaptic_vesicle_exocytosis', 'calcium_ion_regulated_exocytosis', 'synaptic_vesicle_to_endosome_fusion', 'neutrophil_degranulation', 'regulation_of_synaptic_vesicle_fusion_to...', 'dense_core_granule_priming', 'synaptic_vesicle_maturation', 'insulin_secretion', 'calcium_ion-regulated_exocytosis_of_neur...', 'protein-containing_complex_assembly', 'positive_regulation_of_neurotransmitter_...', 'calcium-dependent_activation_of_synaptic...']","['frontotemporal_dementia', ""Parkinson's_disease""]",False
spectral,17,54,0,0,"['protein tyrosine kinase activity', 'non-membrane spanning protein tyrosine kinase activity', 'SH3 domain binding', 'ephrin receptor binding', 'protein self-association', 'type 5 metabotropic glutamate receptor binding', 'SH2 domain binding', 'scaffold protein binding', 'ATP binding', 'phospholipase activator activity', 'neurotrophin TRKA receptor binding', 'phosphotyrosine residue binding', 'protein tyrosine kinase activator activity', 'delta-catenin binding', 'manganese ion binding', 'G protein-coupled glutamate receptor binding', 'outward rectifier potassium channel activity', 'transmembrane transporter binding', 'protein kinase C binding', 'signaling adaptor activity', 'structural constituent of postsynapse', 'synaptic receptor adaptor activity', 'integrin binding', 'protein tyrosine phosphatase activity', 'protein kinase activity', 'kinase activity', 'delayed rectifier potassium channel activity', 'nitric-oxide synthase binding', 'receptor tyrosine kinase binding', 'transmembrane receptor protein tyrosine phosphatase activity', 'phospholipase binding', 'actin monomer binding']","['peptidyl-tyrosine_phosphorylation', 'epidermal_growth_factor_receptor_signali...', 'transmembrane_receptor_protein_tyrosine_...', 'protein_autophosphorylation', 'vascular_endothelial_growth_factor_recep...', 'ephrin_receptor_signaling_pathway', 'Fc-gamma_receptor_signaling_pathway_invo...', 'positive_regulation_of_peptidyl-tyrosine...', 'negative_regulation_of_inflammatory_resp...', 'stimulatory_C-type_lectin_receptor_signa...', 'signal_complex_assembly', 'cellular_response_to_transforming_growth...', 'protein_phosphorylation', 'positive_regulation_of_potassium_ion_tra...', 'negative_regulation_of_anoikis', 'regulation_of_cell_adhesion_mediated_by_...', 'positive_regulation_of_tyrosine_phosphor...', 'positive_regulation_of_epithelial_cell_m...', 'focal_adhesion_assembly', 'cell_migration', 'positive_regulation_of_protein_localizat...', 'regulation_of_actin_cytoskeleton_organiz...', 'integrin-mediated_signaling_pathway', 'positive_regulation_of_protein_phosphory...', 'response_to_xenobiotic_stimulus', 'regulation_of_cell_adhesion', 'learning', 'feeding_behavior', 'response_to_hydrogen_peroxide', 'activated_T_cell_proliferation', 'regulation_of_epithelial_cell_migration', 'cellular_response_to_extracellular_stimu...', 'cellular_response_to_fluid_shear_stress', 'positive_regulation_of_oxidoreductase_ac...', 'regulation_of_microtubule_polymerization', 'mitochondrial_depolarization', 'positive_regulation_of_glutamate_secreti...', 'potassium_ion_export_across_plasma_membr...', 'response_to_mechanical_stimulus', 'regulation_of_GTPase_activity', 'negative_regulation_of_apoptotic_process', 'signal_transduction', 'negative_regulation_of_extrinsic_apoptot...', 'leukocyte_migration', 'cellular_response_to_retinoic_acid', 'response_to_ethanol', 'response_to_calcium_ion', 'T_cell_costimulation', 'multicellular_organism_development', 'positive_regulation_of_substrate_adhesio...', 'positive_regulation_of_protein_kinase_B_...', 'signaling', 'regulation_of_cell-cell_adhesion', 'response_to_hormone', 'myoblast_proliferation', 'positive_regulation_of_establishment_of_...', 'regulation_of_store-operated_calcium_ent...', 'phospholipid_scrambling', 'release_of_sequestered_calcium_ion_into_...', 'positive_regulation_of_cytosolic_calcium...', 'T_cell_receptor_signaling_pathway', 'cellular_response_to_hydrogen_peroxide', 'positive_regulation_of_cell_proliferatio...', 'negative_regulation_of_cell_proliferatio...', 'positive_regulation_of_neuron_projection...', 'cellular_response_to_lipopolysaccharide', 'dendrite_morphogenesis', 'regulation_of_ion_transmembrane_transpor...', 'megakaryocyte_development', 'positive_regulation_of_protein_localizat...', 'positive_regulation_of_smooth_muscle_cel...', 'positive_regulation_of_kinase_activity', 'peptidyl-tyrosine_autophosphorylation', 'forebrain_development', 'regulation_of_postsynaptic_neurotransmit...', 'circadian_rhythm', 'central_nervous_system_neuron_developmen...', 'regulation_of_dendrite_development', 'positive_regulation_of_long-term_neurona...', 'B_cell_receptor_signaling_pathway', 'cellular_response_to_platelet-derived_gr...', 'extrinsic_apoptotic_signaling_pathway', 'regulation_of_cell_motility', 'positive_regulation_of_release_of_seques...', 'bone_resorption', 'cerebral_cortex_development', 'innate_immune_response', 'positive_regulation_of_I-kappaB_kinase/N...', 'adaptive_immune_response', 'regulation_of_cell_shape', 'negative_regulation_of_ERK1_and_ERK2_cas...', 'Fc-epsilon_receptor_signaling_pathway', 'heart_morphogenesis', 'protein_catabolic_process', 'positive_regulation_of_T_cell_migration', 'regulation_of_cell_morphogenesis', 'response_to_axon_injury', 'response_to_ischemia', 'dendritic_spine_development', 'glutamate_secretion', 'neuronal_action_potential_propagation', 'substrate-dependent_cell_migration,_cell...', 'peptidyl-tyrosine_dephosphorylation', 'hematopoietic_progenitor_cell_differenti...', 'stress_fiber_assembly', 'progesterone_receptor_signaling_pathway', 'positive_regulation_of_protein_targeting...', 'negative_regulation_of_cell-cell_adhesio...', 'regulation_of_release_of_sequestered_cal...', 'negative_regulation_of_cell_volume', 'synapse_assembly', 'myelination_in_peripheral_nervous_system', 'positive_regulation_of_nitric_oxide_bios...', 'cellular_response_to_epidermal_growth_fa...', 'dendritic_spine_maintenance', 'behavioral_response_to_cocaine', 'corpus_callosum_development', 'retinal_ganglion_cell_axon_guidance', 'regulation_of_cytoskeleton_organization', 'transforming_growth_factor_beta_receptor...', 'positive_regulation_of_ubiquitin-depende...', 'protein_modification_process', 'intracellular_signal_transduction', 'angiogenesis', 'regulation_of_dendritic_spine_morphogene...', 'MAPK_cascade']","['autistic_disorder', 'autism_spectrum_disorder']",False
spectral,35,28,0,0,"['protein tyrosine phosphatase activity', 'transmembrane receptor protein tyrosine phosphatase activity']","['synaptic_membrane_adhesion', 'transmembrane_receptor_protein_tyrosine_...', 'regulation_of_presynapse_assembly', 'regulation_of_postsynaptic_density_assem...']",[],False
spectral,49,3,0,0,"['protein-macromolecule adaptor activity', 'ubiquitin protein ligase activity', 'syntaxin binding']","['endosomal_vesicle_fusion', 'regulation_of_SNARE_complex_assembly', 'endosome_to_lysosome_transport', 'organelle_fusion', 'negative_regulation_of_intracellular_est...', 'endosome_organization', 'intracellular_protein_transport', 'vesicle_docking_involved_in_exocytosis', 'autophagy', 'protein_ubiquitination']",[],False
spectral,5,82,0,4,"['glutamate-gated calcium ion channel activity', 'NMDA glutamate receptor activity', 'neurexin family protein binding', 'glutamate binding', 'signaling receptor activity', 'PDZ domain binding', 'scaffold protein binding', 'guanylate kinase activity', 'transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential', 'delayed rectifier potassium channel activity', 'glutamate-gated receptor activity', 'beta-1 adrenergic receptor binding', 'obsolete neurotransmitter binding', 'latrotoxin receptor activity']","['positive_regulation_of_excitatory_postsy...', 'positive_regulation_of_synaptic_transmis...', 'cation_transmembrane_transport', 'embryo_development', 'regulation_of_cation_transmembrane_trans...', 'calcium_ion_transmembrane_import_into_cy...', 'excitatory_chemical_synaptic_transmissio...', 'chemical_synaptic_transmission', 'social_behavior', 'receptor_localization_to_synapse', 'positive_regulation_of_synapse_assembly', 'postsynaptic_membrane_assembly', 'presynaptic_membrane_assembly', 'ionotropic_glutamate_receptor_signaling_...', 'neuron_cell-cell_adhesion', 'brain_development', 'receptor_clustering', 'neurotransmitter_receptor_localization_t...', 'vocalization_behavior', 'calcium-mediated_signaling', 'regulation_of_synaptic_plasticity', 'presynapse_assembly', 'synapse_assembly', 'establishment_or_maintenance_of_epitheli...', 'regulation_of_neuronal_synaptic_plastici...', 'GMP_metabolic_process', 'GDP_metabolic_process', 'righting_reflex', 'positive_regulation_of_long-term_synapti...', 'excitatory_postsynaptic_potential', 'potassium_ion_transmembrane_transport', 'neuromuscular_process_controlling_balanc...', 'cell_surface_receptor_signaling_pathway', 'G_protein-coupled_receptor_signaling_pat...', 'protein_localization_to_synapse', 'visual_learning', 'glutamate_receptor_signaling_pathway', 'startle_response', 'synapse_maturation', 'postsynaptic_density_protein_95_clusteri...', 'negative_regulation_of_excitatory_postsy...', 'cell-cell_adhesion', 'cellular_response_to_potassium_ion', 'membrane_repolarization_during_action_po...', 'directional_locomotion', 'protein_localization_to_postsynaptic_mem...', 'protein_heterotetramerization', 'regulation_of_respiratory_gaseous_exchan...', 'rhythmic_synaptic_transmission', 'regulation_of_presynaptic_membrane_poten...', 'adult_behavior', 'positive_regulation_of_protein_tyrosine_...']","['intellectual_disability', 'schizophrenia', 'autistic_disorder', 'autism_spectrum_disorder']",False
spectral,18,50,0,0,"['structural constituent of ribosome', 'RNA binding', 'GTPase activity', 'GTP binding', 'protein kinase binding', 'small ribosomal subunit rRNA binding', 'ubiquitin ligase inhibitor activity', 'tubulin binding', 'frizzled binding', 'MDM2/MDM4 family protein binding', 'microtubule binding', 'rRNA binding', 'lipid binding', 'beta-catenin binding', 'identical protein binding', 'Hsp90 protein binding', 'p53 binding']","['translation', 'cytoplasmic_translation', 'synaptic_vesicle_uncoating', 'ribosomal_small_subunit_biogenesis', 'canonical_Wnt_signaling_pathway']",[],False
spectral,39,17,0,0,[],"['cell_junction_assembly', 'establishment_of_epithelial_cell_apical/...', 'positive_regulation_of_cytokinesis', 'positive_regulation_of_podosome_assembly', 'negative_regulation_of_ubiquitin_protein...', 'negative_regulation_of_protein_complex_a...', 'Wnt_signaling_pathway,_planar_cell_polar...', 'regulation_of_Rho_protein_signal_transdu...', 'negative_regulation_of_ubiquitin-depende...', 'positive_regulation_of_gene_expression', 'establishment_or_maintenance_of_cell_pol...', 'actin_cytoskeleton_organization', 'actin_filament_organization', 'regulation_of_actin_cytoskeleton_organiz...', 'positive_regulation_of_stress_fiber_asse...', 'substantia_nigra_development', 'Rho_protein_signal_transduction', 'regulation_of_synaptic_vesicle_cycle', 'positive_regulation_of_proteasomal_ubiqu...', 'positive_regulation_of_I-kappaB_kinase/N...', 'intracellular_signal_transduction', 'eye_photoreceptor_cell_development', 'Golgi_vesicle_budding', 'cardiac_conduction_system_development', 'cardiac_neural_crest_cell_migration_invo...', 'macrophage_differentiation', 'positive_regulation_of_pseudopodium_asse...', 'Cdc42_protein_signal_transduction', 'positive_regulation_of_pinocytosis', 'regulation_of_attachment_of_spindle_micr...', 'positive_regulation_of_epithelial_cell_p...', 'angiotensin-mediated_vasoconstriction_in...', 'alpha-beta_T_cell_lineage_commitment', 'regulation_of_systemic_arterial_blood_pr...', 'forebrain_radial_glial_cell_differentiat...', 'negative_regulation_of_intracellular_ste...', 'regulation_of_osteoblast_proliferation', 'Roundabout_signaling_pathway', 'apolipoprotein_A-I-mediated_signaling_pa...', 'apical_junction_assembly', 'beta_selection', 'ossification_involved_in_bone_maturation', 'positive_regulation_of_alpha-beta_T_cell...', 'positive_regulation_of_lipase_activity', 'trabecula_morphogenesis', 'negative_regulation_of_cell_migration_in...', 'negative_regulation_of_oxidative_phospho...', 'endothelial_tube_lumen_extension', 'skeletal_muscle_satellite_cell_migration', 'mitotic_cleavage_furrow_formation', 'positive_regulation_of_vascular_smooth_m...', 'regulation_of_neural_precursor_cell_prol...', 'cerebral_cortex_GABAergic_interneuron_de...', 'positive_regulation_of_cell_adhesion_med...', 'immune_complex_clearance', 'complement_activation', 'response_to_misfolded_protein', 'microglial_cell_proliferation', 'negative_regulation_of_intrinsic_apoptot...', 'regulation_of_neuronal_signal_transducti...', 'positive_regulation_of_neurofibrillary_t...', 'macrophage_activation_involved_in_immune...', 'TRAM-dependent_toll-like_receptor_4_sign...', 'positive_regulation_of_lipid_catabolic_p...', 'mucus_secretion', 'positive_regulation_of_mucus_secretion', 'cellular_response_to_ethanol', 'positive_regulation_of_cellular_glucuron...', 'ribosomal_protein_import_into_nucleus', 'protein-DNA_complex_disassembly', 'G1_to_G0_transition', 'cellular_response_to_actinomycin_D', 'positive_regulation_of_macrophage_derive...', 'protein_localization_to_tricellular_tigh...', 'inflammatory_response_to_wounding', 'regulation_of_microvillus_assembly', 'cell_morphogenesis_involved_in_neuron_di...', 'myeloid_cell_homeostasis', 'positive_regulation_of_endopeptidase_act...', 'membrane_protein_intracellular_domain_pr...', 'amyloid_precursor_protein_biosynthetic_p...', 'positive_regulation_of_amyloid_precursor...', 'pyruvate_metabolic_process', 'anion_transmembrane_transport', 'small_GTPase_mediated_signal_transductio...', 'dendritic_spine_morphogenesis', 'synaptic_transmission,_GABAergic', 'peptidyl-serine_phosphorylation', 'protein_stabilization']",[],False
spectral,1,21,0,0,"['RNA binding', ""mRNA 3'-UTR binding"", 'single-stranded DNA binding', 'miRNA binding', 'G-rich strand telomeric DNA binding', 'mRNA binding', 'poly(U) RNA binding', 'single-stranded RNA binding', 'neurotransmitter receptor activity', 'poly(A) binding', 'molecular condensate scaffold activity', 'GABA-A receptor activity', 'GABA-gated chloride ion channel activity', 'DNA binding', 'translation activator activity', 'C-rich single-stranded DNA binding', 'minor groove of adenine-thymine-rich DNA binding', 'telomeric DNA binding', 'complement component C1q complex binding', 'kininogen binding', 'adrenergic receptor binding', 'mitochondrial ribosome binding', 'C5-methylcytidine-containing RNA reader activity', 'telomeric repeat-containing RNA binding', 'sequence-specific single stranded DNA binding', 'single-stranded telomeric DNA binding', 'SUMO binding', 'translation elongation factor binding', 'chloride channel activity']","['mRNA_splicing,_via_spliceosome', 'regulation_of_gene_expression', 'CRD-mediated_mRNA_stabilization', 'positive_regulation_of_cytoplasmic_trans...', 'mRNA_processing', 'regulation_of_RNA_splicing', 'negative_regulation_of_nuclear-transcrib...', 'viral_RNA_genome_replication', 'negative_regulation_of_defense_response_...', 'protein_localization_to_cytoplasmic_stre...', 'positive_regulation_of_telomerase_RNA_re...', 'RNA_transport', 'miRNA_transport', 'RNA_processing', 'RNA_splicing', 'mRNA_stabilization', 'negative_regulation_of_mRNA_splicing,_vi...']",[],False
spectral,4,4,0,0,['cell-cell adhesion mediator activity'],"['synaptic_membrane_adhesion', 'modulation_of_chemical_synaptic_transmis...', 'regulation_of_neuron_projection_arboriza...', 'regulation_of_neuron_migration', 'regulation_of_neuron_projection_developm...']",[],False
