alg,cl,Cn,Mu,FL,padj,pval,overlapGenes
infomap,47,25,22,postsynaptic ribosome(SYNGO:postsyn_ribosome),1.11971247299368e-21,4.9326540660514705e-24,"25873, 6165, 6194, 6156, 23521, 6135, 4736, 6129, 6124, 6189, 6130, 6159, 9045, 6161, 6141, 6175, 6136, 6158, 6168, 6228, 6208, 6229"
infomap,47,25,18,presynaptic ribosome(SYNGO:presyn_ribosome),3.37434461673077e-17,4.4594862776177605e-19,"25873, 6165, 6194, 23521, 6135, 6129, 6124, 6130, 6159, 9045, 6161, 6141, 6175, 6136, 6158, 6168, 6208, 6229"
infomap,47,25,18,translation at presynapse (GO:0140236),3.37434461673077e-17,4.4594862776177605e-19,"25873, 6165, 23521, 6135, 4736, 6129, 6124, 6130, 6159, 9045, 6161, 6141, 6175, 6136, 6158, 6168, 6208, 6229"
infomap,47,25,18,translation at postsynapse (GO:0140242),3.88026604827526e-17,6.83747321281984e-19,"25873, 6165, 23521, 6135, 4736, 6129, 6124, 6130, 6159, 9045, 6161, 6141, 6175, 6136, 6158, 6168, 6208, 6229"
infomap,47,25,22,synapse (GO:0045202),1.2437996677301e-10,2.73964684522048e-12,"25873, 6165, 6156, 23521, 6135, 4736, 6129, 6189, 6130, 6159, 9045, 6161, 6143, 6141, 6175, 6136, 6158, 6168, 6142, 6228, 6208, 6229"
infomap,2,15,9,synaptic vesicle endocytosis (GO:0048488),1.58597128529137e-08,6.98665764445537e-11,"2060, 58513, 6453, 163, 29924, 1213, 8301, 1175, 85439"
infomap,41,8,6,integral component of postsynaptic specialization membrane (GO:0099060),8.66505806768063e-08,5.09963638696665e-10,"2560, 2562, 2561, 2566, 2555, 2554"
infomap,41,8,6,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315),8.66505806768063e-08,7.63441239443227e-10,"2560, 2562, 2561, 2566, 2555, 2554"
infomap,2,15,6,extrinsic component of presynaptic endocytic zone membrane (GO:0098894),1.7317002868375e-07,1.5257271249669601e-09,"2060, 58513, 163, 29924, 8301, 1175"
infomap,8,53,15,integral component of postsynaptic density membrane (GO:0099061),3.4138241593174e-06,1.50388729485348e-08,"2903, 2904, 2906, 2066, 57554, 2902, 1128, 2895, 81832, 4897, 2894, 57497, 491, 80059, 26045"
