"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"infomap",1,"GO:0016191",887,4,18,4,Inf,NA,Inf,49.2777777777778,10.9506172839506,1.1944824982052e-07,0.000159543045676941,1,1,"6455, 6456, 6457, 8867"
"infomap",1,"GO:0097720",887,4,18,4,Inf,NA,Inf,49.2777777777778,10.9506172839506,1.1944824982052e-07,0.000159543045676941,1,1,"5530, 5532, 5533, 5534"
"infomap",1,"GO:1905949",887,4,18,4,Inf,NA,Inf,49.2777777777778,10.9506172839506,1.1944824982052e-07,0.000159543045676941,1,1,"5530, 5532, 5533, 5534"
"infomap",1,"GO:0033173",887,5,18,4,5.51342874616498,3.25936002350997,7.76749746882,39.4222222222222,10.9506172839506,5.89665822160415e-07,0.00039379849156613,0.999999998106143,1,"5530, 5532, 5533, 5534"
"infomap",1,"GO:0070886",887,5,18,4,5.51342874616498,3.25936002350997,7.76749746882,39.4222222222222,10.9506172839506,5.89665822160415e-07,0.00039379849156613,0.999999998106143,1,"5530, 5532, 5533, 5534"
"infomap",1,"GO:1905665",887,5,18,4,5.51342874616498,3.25936002350997,7.76749746882,39.4222222222222,10.9506172839506,5.89665822160415e-07,0.00039379849156613,0.999999998106143,1,"5530, 5532, 5533, 5534"
"infomap",1,"GO:0006470",887,18,18,5,3.23180957365277,2.06398114657854,4.399638000727,13.6882716049383,13.6882716049383,1.38099888639136e-05,0.00790523219681457,0.999999550181049,1,"5800, 5530, 5532, 5533, 5534"
"infomap",1,"GO:0048488",887,35,18,6,2.67295888129094,1.62537007892115,3.72054768366073,8.44761904761905,16.4259259259259,3.2115889506553e-05,0.0160860461565948,0.999998127477708,1,"273, 1759, 1785, 26052, 1020, 8867"
"infomap",1,"GO:0048675",887,8,18,3,3.54269694393586,2.02302385530913,5.06237003256258,18.4791666666667,8.21296296296296,0.000369755510284265,0.156021132943623,0.999992055091172,1,"1020, 5532, 65059"
"infomap",1,"GO:0023057",887,2,18,2,Inf,NA,Inf,49.2777777777778,5.47530864197531,0.00038937143235244,0.156021132943623,1,1,"5530, 5532"
"infomap",1,"GO:0006897",887,38,18,5,2.27660960659078,1.18810833014192,3.36511088303965,6.48391812865497,13.6882716049383,0.000629724411697834,0.229391428879384,0.999947309900542,1,"273, 1759, 1785, 26052, 51429"
"infomap",1,"GO:0048489",887,10,18,3,3.20390720917428,1.75825973744094,4.64955468090762,14.7833333333333,8.21296296296296,0.000772291197260455,0.238043909801742,0.999976767160809,1,"1785, 1020, 8867"
"infomap",1,"GO:1900242",887,10,18,3,3.20390720917428,1.75825973744094,4.64955468090762,14.7833333333333,8.21296296296296,0.000772291197260455,0.238043909801742,0.999976767160809,1,"51429, 57030, 5532"
"infomap",1,"GO:0006898",887,11,18,3,3.06921505031379,1.64749011608148,4.49093998454611,13.4393939393939,8.21296296296296,0.00104838368784859,0.289013722959832,0.999963955444308,1,"1759, 1785, 51429"
"infomap",1,"GO:0042110",887,3,18,2,4.68675017298051,2.23584711360595,7.13765323235508,32.8518518518519,5.47530864197531,0.00115403533001181,0.289013722959832,0.999992960516477,1,"5530, 5532"
"infomap",1,"GO:0048741",887,3,18,2,4.68675017298051,2.23584711360595,7.13765323235508,32.8518518518519,5.47530864197531,0.00115403533001181,0.289013722959832,0.999992960516477,1,"5530, 5532"
"infomap",1,"GO:0031623",887,14,18,3,2.74727091425549,1.37236955309763,4.12217227541336,10.5595238095238,8.21296296296296,0.0022255989347858,0.524586760687453,0.999894785653926,1,"1759, 1785, 26052"
"infomap",1,"GO:0016311",887,5,18,2,3.58583107821449,1.72952577976626,5.44213637666272,19.7111111111111,5.47530864197531,0.00375470880138964,0.835839898176016,0.999931385525379,1,"5530, 5532"
"infomap",2,"GO:0072583",887,13,15,8,5.28913245697096,3.94683930300347,6.63142561093846,36.3897435897436,31.5377777777778,8.68064311819673e-13,3.47833369746143e-09,0.999999999999996,1,"163, 23396, 1213, 8301, 1175, 1211, 85439, 84251"
"infomap",2,"GO:0048268",887,9,15,5,4.68675017298051,3.23165367911778,6.14184666684325,32.8518518518519,19.7111111111111,8.05165030414718e-08,0.000161314813843589,0.999999999384305,1,"2060, 1213, 8301, 1175, 1211"
"infomap",2,"GO:0006897",887,38,15,6,2.86220088092947,1.77053497762185,3.95386678423709,9.33684210526316,23.6533333333333,1.56240074767745e-05,0.0208684659864785,0.999999245047641,1,"2060, 58513, 29924, 4646, 8301, 25977"
"infomap",2,"GO:0098884",887,5,15,3,4.68905166996879,2.81131838250474,6.56678495743285,35.48,11.8266666666667,3.84567554444582e-05,0.038524054766486,0.999999736238673,1,"2060, 163, 1175"
"infomap",2,"GO:0016197",887,15,15,4,3.34859831995088,2.05889505334627,4.6383015865555,15.7688888888889,15.7688888888889,6.51253130684017e-05,0.0521914258930171,0.999998187742415,1,"2060, 58513, 6453, 8301"
"infomap",2,"GO:0016192",887,40,15,5,2.48132882844012,1.35579352237056,3.60686413450967,7.39166666666667,19.7111111111111,0.000312057845458004,0.208402631125037,0.999978665589862,1,"163, 8301, 25977, 1175, 9267"
"infomap",2,"GO:0030100",887,15,15,3,2.88573137833966,1.49819147738395,4.27327127929537,11.8266666666667,11.8266666666667,0.00157936255671937,0.904072252110645,0.999934874686932,1,"8301, 1175, 85439"
"infomap",2,"GO:0048488",887,35,15,4,2.28900354380932,1.08978428127049,3.48822280634816,6.75809523809524,15.7688888888889,0.00204034912020543,0.948135346945417,0.999838388719198,1,"163, 23396, 1175, 85439"
"infomap",2,"GO:0006886",887,60,15,5,2.00515872906759,0.897445158910289,3.11287229922488,4.92777777777778,19.7111111111111,0.00212957776953051,0.948135346945417,0.99976809134235,1,"163, 4646, 1213, 1175, 1211"
"infomap",3,"GO:0000398",887,12,23,8,4.74202936870529,3.43773889361515,6.04631984379543,25.7101449275362,13.413988657845,2.47955187868053e-11,9.93556437787288e-08,0.999999999999809,1,"26986, 3190, 3178, 3181, 4670, 3185, 3187, 220988"
"infomap",3,"GO:0043484",887,6,23,6,Inf,NA,Inf,38.5652173913044,10.0604914933837,1.51790204878126e-10,3.04111675473326e-07,1,1,"3178, 3188, 3185, 92906, 3187, 3191"
