"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"spectral",1,"GO:0000398",887,12,21,6,4.04888218814534,2.80746889002735,5.29029548626333,21.1190476190476,12.0680272108844,6.90176187963685e-08,0.000276553598517048,0.999999998974314,1,"26986, 3178, 3181, 3185, 3187, 220988"
"spectral",1,"GO:0010468",887,18,21,5,3.02065938022446,1.87679254945271,4.16452621099621,11.7328042328042,10.0566893424036,3.15948743811981e-05,0.0452728809505303,0.999998731098789,1,"5094, 3184, 4904, 3182, 9987"
"spectral",1,"GO:0070934",887,4,21,3,4.97097003770382,2.6601267475552,7.28181332785245,31.6785714285714,6.03401360544218,4.51937918148543e-05,0.0452728809505303,0.999999766373276,1,"26986, 3184, 4904"
"spectral",1,"GO:1900152",887,4,21,3,4.97097003770382,2.6601267475552,7.28181332785245,31.6785714285714,6.03401360544218,4.51937918148543e-05,0.0452728809505303,0.999999766373276,1,"26986, 3184, 4904"
"spectral",1,"GO:2000767",887,5,21,3,4.27666611901606,2.42755772526196,6.12577451277015,25.3428571428571,6.03401360544218,0.000111259266566265,0.0891631762262048,0.999998849858019,1,"26986, 3184, 4904"
"spectral",1,"GO:0006397",887,13,21,4,3.10929435832524,1.83740461121598,4.38118410543449,12.996336996337,8.0453514739229,0.000145241337711573,0.096997006701712,0.999994876493289,1,"708, 4904, 3181, 22927"
"spectral",1,"GO:0043484",887,6,21,3,3.87004293318726,2.20302753514063,5.5370583312339,21.1190476190476,6.03401360544218,0.000219121266160405,0.12543127335782,0.999996602733028,1,"3178, 3185, 3187"
"spectral",1,"GO:2000623",887,2,21,2,Inf,NA,Inf,42.2380952380952,4.02267573696145,0.000534431377738643,0.152961895042767,1,1,"26986, 3182"
"spectral",1,"GO:0039694",887,2,21,2,Inf,NA,Inf,42.2380952380952,4.02267573696145,0.000534431377738643,0.152961895042767,1,1,"5094, 5093"
"spectral",1,"GO:0050687",887,2,21,2,Inf,NA,Inf,42.2380952380952,4.02267573696145,0.000534431377738643,0.152961895042767,1,1,"5094, 708"
"spectral",1,"GO:1903608",887,2,21,2,Inf,NA,Inf,42.2380952380952,4.02267573696145,0.000534431377738643,0.152961895042767,1,1,"5058, 4904"
"spectral",1,"GO:1905663",887,2,21,2,Inf,NA,Inf,42.2380952380952,4.02267573696145,0.000534431377738643,0.152961895042767,1,1,"3184, 3181"
"spectral",1,"GO:0050658",887,2,21,2,Inf,NA,Inf,42.2380952380952,4.02267573696145,0.000534431377738643,0.152961895042767,1,1,"4904, 3181"
"spectral",1,"GO:1990428",887,2,21,2,Inf,NA,Inf,42.2380952380952,4.02267573696145,0.000534431377738643,0.152961895042767,1,1,"4904, 3181"
"spectral",1,"GO:0006396",887,8,21,3,3.35689712276558,1.85132834513586,4.86246590039529,15.8392857142857,6.03401360544218,0.000594952413184478,0.15893162130868,0.999984631036089,1,"3184, 3185, 3187"
"spectral",1,"GO:0008380",887,10,21,3,3.01809930370089,1.58728564270044,4.44891296470133,12.6714285714286,6.03401360544218,0.00123628729396543,0.309612699182468,0.999955304231611,1,"708, 4904, 22927"
"spectral",1,"GO:0048255",887,4,21,2,3.81713378963761,1.8051109841057,5.82915659516953,21.1190476190476,4.02267573696145,0.00311549980263041,0.693544872730003,0.999954806208185,1,"26986, 4904"
"spectral",1,"GO:0048025",887,4,21,2,3.81713378963761,1.8051109841057,5.82915659516953,21.1190476190476,4.02267573696145,0.00311549980263041,0.693544872730003,0.999954806208185,1,"708, 3181"
"spectral",2,"GO:0002181",887,74,20,16,4.02165026763196,2.89404969063203,5.1492508446319,9.58918918918919,35.48,4.10592651445175e-15,1.64524475434082e-11,1,1,"25873, 6194, 6124, 6139, 6128, 9045, 6154, 6161, 6143, 6141, 6175, 6158, 6168, 6191, 6142, 6229"
"spectral",2,"GO:0006412",887,78,20,16,3.95000225349336,2.82428760748594,5.07571689950079,9.0974358974359,35.48,1.0306466917926e-14,2.06490064700646e-11,1,1,"25873, 6194, 6124, 6139, 6128, 9045, 6154, 6161, 6143, 6141, 6175, 6158, 6168, 6191, 6142, 6229"
"spectral",2,"GO:0006364",887,18,20,4,2.72340785675653,1.50710048021386,3.9397152332992,9.85555555555556,8.87,0.000471527784490367,0.629803944150967,0.999975625595421,1,"6194, 9045, 6154, 6229"
