"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"sgG5",1,"GO:0015311",887,2,22,2,Inf,NA,Inf,40.3181818181818,3.66528925619835,0.000587874515512507,0.520268946228569,1,1,"6572, 6571"
"sgG5",1,"GO:0097016",887,3,22,2,4.45898767581001,2.01789646565495,6.90007888596507,26.8787878787879,3.66528925619835,0.00173705294696633,0.768645929032603,0.999986714700214,1,"55327, 8825"
"sgG5",2,"GO:0008307",887,3,13,2,5.06718746360118,2.59412522786458,7.54024969933778,45.4871794871795,10.4970414201183,0.00059057470955984,0.261329308980229,0.99999753273004,1,"1605, 1756"
"sgG5",2,"GO:0017166",887,3,13,2,5.06718746360118,2.59412522786458,7.54024969933778,45.4871794871795,10.4970414201183,0.00059057470955984,0.261329308980229,0.99999753273004,1,"1605, 1756"
"sgG5",2,"GO:0002162",887,4,13,2,4.37289415111061,2.32466519217474,6.42112311004648,34.1153846153846,10.4970414201183,0.00117136407015995,0.342690221954686,0.99999021465104,1,"1605, 1756"
"sgG5",2,"GO:0008270",887,18,13,3,2.84374591655611,1.45620414170753,4.23128769140469,11.3717948717949,15.7455621301775,0.00177123080863325,0.342690221954686,0.999923877908802,1,"114088, 1756, 1821"
"sgG5",2,"GO:0043236",887,5,13,2,3.96628159594597,2.08081606734528,5.85174712454665,27.2923076923077,10.4970414201183,0.00193610294889653,0.342690221954686,0.999975744247945,1,"1605, 3688"
"sgG5",2,"GO:0001618",887,9,13,2,3.1143807354868,1.43412263780527,4.79463883316834,15.1623931623932,10.4970414201183,0.00674201743466288,0.720593761743683,0.999803086506603,1,"1605, 3688"
"sgG5",2,"GO:0061630",887,10,13,2,2.97969527464417,1.31997469835731,4.63941585093104,13.6461538461538,10.4970414201183,0.00835779337916095,0.720593761743683,0.999721086343329,1,"114088, 26232"
"sgG5",2,"GO:0046982",887,32,13,3,2.16806799304476,0.82579061074261,3.51034537534692,6.39663461538462,15.7455621301775,0.00954803930735524,0.720593761743683,0.999203440252665,1,"3688, 7846, 150"
"sgG5",2,"GO:0043237",887,1,13,1,Inf,NA,Inf,68.2307692307692,5.24852071005917,0.0146561443066512,0.720593761743683,1,1,"1605"
"sgG5",2,"GO:0019960",887,1,13,1,Inf,NA,Inf,68.2307692307692,5.24852071005917,0.0146561443066512,0.720593761743683,1,1,"3688"
"sgG5",2,"GO:0098639",887,1,13,1,Inf,NA,Inf,68.2307692307692,5.24852071005917,0.0146561443066512,0.720593761743683,1,1,"3688"
"sgG5",2,"GO:0031249",887,1,13,1,Inf,NA,Inf,68.2307692307692,5.24852071005917,0.0146561443066512,0.720593761743683,1,1,"26232"
"sgG5",2,"GO:0004938",887,1,13,1,Inf,NA,Inf,68.2307692307692,5.24852071005917,0.0146561443066512,0.720593761743683,1,1,"150"
"sgG5",2,"GO:0031692",887,1,13,1,Inf,NA,Inf,68.2307692307692,5.24852071005917,0.0146561443066512,0.720593761743683,1,1,"150"
"sgG5",2,"GO:0031696",887,1,13,1,Inf,NA,Inf,68.2307692307692,5.24852071005917,0.0146561443066512,0.720593761743683,1,1,"150"
"sgG5",2,"GO:0051379",887,1,13,1,Inf,NA,Inf,68.2307692307692,5.24852071005917,0.0146561443066512,0.720593761743683,1,1,"150"
"sgG5",2,"GO:0051380",887,1,13,1,Inf,NA,Inf,68.2307692307692,5.24852071005917,0.0146561443066512,0.720593761743683,1,1,"150"
"sgG5",2,"GO:0031683",887,1,13,1,Inf,NA,Inf,68.2307692307692,5.24852071005917,0.0146561443066512,0.720593761743683,1,1,"2771"
"sgG5",2,"GO:0044877",887,41,13,3,1.88706964903238,0.556512139757999,3.21762715830676,4.99249530956848,15.7455621301775,0.0189914089713502,0.88459983892868,0.997919015226835,1,"1605, 3688, 7846"
"sgG5",4,"GO:0005096",887,36,17,6,2.72606870660489,1.66676247280387,3.78537494040591,8.69607843137255,18.4152249134948,2.61524086473925e-05,0.0231448816529424,0.999998553440626,1,"396, 4649, 55357, 9912, 4983, 116986"
"sgG5",4,"GO:0003925",887,22,17,4,2.6785597725915,1.4645421307437,3.89257741443931,9.48663101604278,12.2768166089965,0.000548638396759045,0.242772490565878,0.999970357461134,1,"998, 387, 5881, 5879"
"sgG5",4,"GO:0031996",887,4,17,2,4.05814151355814,2.0327693321756,6.08351369494068,26.0882352941176,6.13840830449827,0.00202999646164422,0.598848956185045,0.999976813767507,1,"998, 5879"
"sgG5",4,"GO:0003924",887,56,17,5,1.90078971377484,0.819832072689861,2.98174735485983,4.65861344537815,15.3460207612457,0.0028939278614593,0.640281539347871,0.999650775426437,1,"998, 387, 5881, 5879, 116986"
"sgG5",4,"GO:0005525",887,60,17,5,1.82038619065449,0.741954817922547,2.89881756338644,4.34803921568627,15.3460207612457,0.00394726711034878,0.698666278531734,0.999485094507597,1,"998, 387, 5881, 5879, 116986"
