"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"spectral",1,"GO:0003723",887,163,21,16,2.75057958074799,1.7308265176541,3.77033264384189,4.14607069821794,32.1814058956916,7.75440923653709e-09,6.86265217433532e-06,0.999999999541533,1,"26986, 5094, 3184, 4904, 3178, 5093, 3181, 22927, 3185, 3187, 3182, 220988, 1993, 6169, 6157, 9987"
"spectral",1,"GO:0003730",887,19,21,5,2.94537838740838,1.8107732048943,4.07998356992245,11.1152882205514,10.0566893424036,4.2226164498911e-05,0.0186850777907681,0.999998172737948,1,"26986, 3178, 3181, 220988, 1993"
"spectral",1,"GO:0003697",887,6,21,3,3.87004293318726,2.20302753514063,5.5370583312339,21.1190476190476,6.03401360544218,0.000219121266160405,0.0484805801379895,0.999996602733028,1,"5094, 3178, 5093"
"spectral",1,"GO:0035198",887,6,21,3,3.87004293318726,2.20302753514063,5.5370583312339,21.1190476190476,6.03401360544218,0.000219121266160405,0.0484805801379895,0.999996602733028,1,"4904, 3178, 3181"
"spectral",1,"GO:0098505",887,2,21,2,Inf,NA,Inf,42.2380952380952,4.02267573696145,0.000534431377738643,0.0945943538597398,1,1,"3178, 3181"
"spectral",1,"GO:0003729",887,34,21,5,2.19937743069732,1.12910704863197,3.26964781276268,6.21148459383754,10.0566893424036,0.00080207343550682,0.118305831737256,0.999927567695662,1,"26986, 5094, 708, 5093, 3182"
"spectral",1,"GO:0008266",887,3,21,2,4.51143770832538,2.06827774021982,6.95459767643095,28.1587301587302,4.02267573696145,0.00158034679722263,0.174825864442754,0.999988526332003,1,"26986, 3187"
"spectral",1,"GO:0003727",887,3,21,2,4.51143770832538,2.06827774021982,6.95459767643095,28.1587301587302,4.02267573696145,0.00158034679722263,0.174825864442754,0.999988526332003,1,"3178, 3185"
"spectral",1,"GO:0030594",887,4,21,2,3.81713378963761,1.8051109841057,5.82915659516953,21.1190476190476,4.02267573696145,0.00311549980263041,0.30635748059199,0.999954806208185,1,"2562, 2561"
"spectral",1,"GO:0008143",887,5,21,2,3.41051060380882,1.56444065511965,5.25658055249799,16.8952380952381,4.02267573696145,0.00511832682667317,0.452971924160576,0.999888740733434,1,"26986, 9987"
"spectral",1,"GO:0140693",887,6,21,2,3.12166911093731,1.36444229398589,4.87889592788873,14.0793650793651,4.02267573696145,0.00756792960692955,0.608874336557514,0.99978087873384,1,"3178, 3181"
"spectral",1,"GO:0004890",887,7,21,2,2.89736479338714,1.19566820988522,4.59906137688905,12.0680272108844,4.02267573696145,0.0104440580018185,0.710999333200724,0.999622391380293,1,"2562, 2561"
"spectral",1,"GO:0022851",887,7,21,2,2.89736479338714,1.19566820988522,4.59906137688905,12.0680272108844,4.02267573696145,0.0104440580018185,0.710999333200724,0.999622391380293,1,"2562, 2561"
"spectral",1,"GO:0003677",887,21,21,3,2.06074940866768,0.752350399780477,3.36914841755489,6.03401360544218,6.03401360544218,0.0115724331350265,0.73154309460703,0.998926658010122,1,"4904, 3178, 9987"
"spectral",1,"GO:0008494",887,1,21,1,Inf,NA,Inf,42.2380952380952,2.01133786848073,0.0236753100338218,0.748308906426155,1,1,"26986"
"spectral",1,"GO:1990829",887,1,21,1,Inf,NA,Inf,42.2380952380952,2.01133786848073,0.0236753100338218,0.748308906426155,1,1,"5094"
"spectral",1,"GO:0003680",887,1,21,1,Inf,NA,Inf,42.2380952380952,2.01133786848073,0.0236753100338218,0.748308906426155,1,1,"3184"
"spectral",1,"GO:0042162",887,1,21,1,Inf,NA,Inf,42.2380952380952,2.01133786848073,0.0236753100338218,0.748308906426155,1,1,"3184"
"spectral",1,"GO:0001849",887,1,21,1,Inf,NA,Inf,42.2380952380952,2.01133786848073,0.0236753100338218,0.748308906426155,1,1,"708"
"spectral",1,"GO:0030984",887,1,21,1,Inf,NA,Inf,42.2380952380952,2.01133786848073,0.0236753100338218,0.748308906426155,1,1,"708"
"spectral",1,"GO:0031690",887,1,21,1,Inf,NA,Inf,42.2380952380952,2.01133786848073,0.0236753100338218,0.748308906426155,1,1,"708"
"spectral",1,"GO:0097177",887,1,21,1,Inf,NA,Inf,42.2380952380952,2.01133786848073,0.0236753100338218,0.748308906426155,1,1,"708"
"spectral",1,"GO:0062153",887,1,21,1,Inf,NA,Inf,42.2380952380952,2.01133786848073,0.0236753100338218,0.748308906426155,1,1,"4904"
"spectral",1,"GO:0061752",887,1,21,1,Inf,NA,Inf,42.2380952380952,2.01133786848073,0.0236753100338218,0.748308906426155,1,1,"3178"
"spectral",1,"GO:0098847",887,1,21,1,Inf,NA,Inf,42.2380952380952,2.01133786848073,0.0236753100338218,0.748308906426155,1,1,"5093"
"spectral",1,"GO:0043047",887,1,21,1,Inf,NA,Inf,42.2380952380952,2.01133786848073,0.0236753100338218,0.748308906426155,1,1,"3181"
"spectral",1,"GO:0032183",887,1,21,1,Inf,NA,Inf,42.2380952380952,2.01133786848073,0.0236753100338218,0.748308906426155,1,1,"22927"
"spectral",1,"GO:0061770",887,1,21,1,Inf,NA,Inf,42.2380952380952,2.01133786848073,0.0236753100338218,0.748308906426155,1,1,"22927"
"spectral",1,"GO:0005254",887,12,21,2,2.1983934845412,0.613578882087179,3.78320808699522,7.03968253968254,4.02267573696145,0.0305571137611702,0.932518816504676,0.997802092317543,1,"2562, 2561"
"spectral",2,"GO:0003735",887,74,20,16,4.02165026763196,2.89404969063203,5.1492508446319,9.58918918918919,35.48,4.10592651445175e-15,3.6337449652898e-12,1,1,"25873, 6194, 6124, 6139, 6128, 9045, 6154, 6161, 6143, 6141, 6175, 6158, 6168, 6191, 6142, 6229"
"spectral",2,"GO:0003723",887,163,20,17,3.33163357096472,2.09141170048005,4.57185544144939,4.62546012269939,37.6975,1.03802852002739e-10,4.59327620112121e-08,0.999999999996546,1,"25873, 6194, 5073, 6124, 6139, 6128, 9045, 6154, 6161, 6143, 6141, 6175, 6158, 6168, 6191, 6142, 6229"
"spectral",3,"GO:0003729",887,34,15,5,2.67652394745544,1.54095976008293,3.81208813482794,8.69607843137255,19.7111111111111,0.000139872237597831,0.12378693027408,0.999992109284491,1,"3190, 10949, 9444, 92906, 3191"
"spectral",4,"GO:0098632",887,4,4,2,6.08791044537623,3.68650242102209,8.48931846973038,110.875,110.875,9.1340866541103e-05,0.0808366668888762,0.999999862088017,1,"22854, 57689"
"spectral",5,"GO:0022849",887,5,82,5,Inf,NA,Inf,10.8170731707317,0.659577632361689,6.03110613506544e-06,0.00533752892953291,1,1,"2903, 2904, 2905, 2906, 2902"
"spectral",5,"GO:0004972",887,6,82,5,3.95523175975938,1.79546579592357,6.1149977235952,9.01422764227642,0.659577632361689,3.35540111165148e-05,0.0148476499190578,0.999999473474861,1,"2903, 2904, 2905, 2906, 2902"
"spectral",5,"GO:0042043",887,7,82,5,3.26084002396723,1.60439957261779,4.91728047531668,7.72648083623693,0.659577632361689,0.000108906164141777,0.0321273184218243,0.999996586850094,1,"22871, 57502, 57555, 54413, 26045"
"spectral",5,"GO:0016595",887,5,82,4,3.71918480360927,1.51554477141163,5.9228248358069,8.65365853658537,0.527662105889352,0.000317251647079147,0.0701919269162613,0.999993968893865,1,"2904, 2906, 2902, 6505"
"spectral",5,"GO:0038023",887,14,82,6,2.0624392660521,0.978080418451352,3.14679811365285,4.63588850174216,0.791493158834027,0.000856653381105426,0.15162764845566,0.99990933697729,1,"22871, 2902, 9378, 57502, 57555, 54413"
"spectral",5,"GO:0030165",887,20,82,7,1.73803406987189,0.789150762667297,2.68691737707649,3.7859756097561,0.923408685306365,0.00128859206432025,0.190067329487237,0.999808188881496,1,"1742, 22871, 575, 5728, 2895, 60412, 491"
"spectral",5,"GO:0097110",887,22,82,7,1.59240477987786,0.664508888729437,2.52030067102628,3.44179600886918,0.923408685306365,0.00243013754023236,0.30723881758652,0.999583156710484,1,"1742, 22871, 50944, 4842, 57502, 2895, 54413"
"spectral",5,"GO:0004385",887,4,82,3,3.41876370538005,1.14378254262566,5.69374486813445,8.11280487804878,0.395746579417014,0.00285113838043654,0.315407183335792,0.999931724785676,1,"1740, 260425, 1739"
"spectral",5,"GO:1904315",887,18,82,6,1.65194270078857,0.644077751095638,2.6598076504815,3.60569105691057,0.791493158834027,0.00390446019270644,0.383938585616134,0.999382772251477,1,"2903, 2904, 2905, 2906, 2895, 2894"
"spectral",5,"GO:0005251",887,5,82,3,2.7243719695879,0.920280718788644,4.52846322038716,6.49024390243902,0.395746579417014,0.00665196848047261,0.534265049605775,0.999682748352921,1,"3739, 3736, 3738"
"spectral",5,"GO:0004970",887,5,82,3,2.7243719695879,0.920280718788644,4.52846322038716,6.49024390243902,0.395746579417014,0.00665196848047261,0.534265049605775,0.999682748352921,1,"2906, 2895, 2894"
"spectral",5,"GO:0031697",887,2,82,2,Inf,NA,Inf,10.8170731707317,0.263831052944676,0.00845165050223825,0.534265049605775,1,1,"9863, 1742"
"spectral",5,"GO:0042165",887,2,82,2,Inf,NA,Inf,10.8170731707317,0.263831052944676,0.00845165050223825,0.534265049605775,1,1,"2906, 2902"
"spectral",5,"GO:0016524",887,2,82,2,Inf,NA,Inf,10.8170731707317,0.263831052944676,0.00845165050223825,0.534265049605775,1,1,"23266, 22859"
"spectral",8,"GO:0004115",887,1,1,1,Inf,NA,Inf,887,887,0.00112739571589626,0.997745208568192,1,1,"5141"
"spectral",11,"GO:0015375",887,1,1,1,Inf,NA,Inf,887,887,0.00112739571589626,0.997745208568192,1,1,"6536"
"spectral",11,"GO:0015187",887,2,1,1,Inf,NA,Inf,443.5,887,0.00225479143179264,0.997745208568241,1,1,"6536"
"spectral",13,"GO:0005250",887,1,1,1,Inf,NA,Inf,887,887,0.00112739571589626,0.997745208568192,1,1,"3751"
"spectral",15,"GO:0001641",887,2,21,2,Inf,NA,Inf,42.2380952380952,4.02267573696145,0.000534431377738643,0.263266442834132,1,1,"2912, 2913"
"spectral",15,"GO:0008066",887,8,21,3,3.35689712276558,1.85132834513586,4.86246590039529,15.8392857142857,6.03401360544218,0.000594952413184478,0.263266442834132,0.999984631036089,1,"2911, 2912, 2913"
"spectral",15,"GO:0005201",887,10,21,3,3.01809930370089,1.58728564270044,4.44891296470133,12.6714285714286,6.03401360544218,0.00123628729396543,0.364704751719803,0.999955304231611,1,"3913, 3911, 3915"
"spectral",15,"GO:0004930",887,12,21,3,2.76445387203351,1.37690833628739,4.15199940777962,10.5595238095238,6.03401360544218,0.00219790768245656,0.486287074743514,0.999897871841058,1,"2911, 2912, 2913"
"spectral",15,"GO:0004683",887,5,21,2,3.41051060380882,1.56444065511965,5.25658055249799,16.8952380952381,4.02267573696145,0.00511832682667317,0.748308906426155,0.999888740733434,1,"815, 816"
"spectral",15,"GO:0005246",887,7,21,2,2.89736479338714,1.19566820988522,4.59906137688905,12.0680272108844,4.02267573696145,0.0104440580018185,0.748308906426155,0.999622391380293,1,"2912, 2913"
"spectral",15,"GO:0061629",887,9,21,2,2.55856697432245,0.922638598557129,4.19449535008776,9.38624338624339,4.02267573696145,0.0173980313013834,0.748308906426155,0.999121190163707,1,"6774, 1399"
"spectral",15,"GO:0035591",887,10,21,2,2.42387075920163,0.809043566291628,4.03869795211163,8.44761904761905,4.02267573696145,0.0214384673032379,0.748308906426155,0.998763712706035,1,"6774, 1399"
"spectral",15,"GO:0005009",887,1,21,1,Inf,NA,Inf,42.2380952380952,2.01133786848073,0.0236753100338218,0.748308906426155,1,1,"3480"
"spectral",15,"GO:0005010",887,1,21,1,Inf,NA,Inf,42.2380952380952,2.01133786848073,0.0236753100338218,0.748308906426155,1,1,"3480"
"spectral",15,"GO:0005520",887,1,21,1,Inf,NA,Inf,42.2380952380952,2.01133786848073,0.0236753100338218,0.748308906426155,1,1,"3480"
"spectral",15,"GO:0043559",887,1,21,1,Inf,NA,Inf,42.2380952380952,2.01133786848073,0.0236753100338218,0.748308906426155,1,1,"3480"
"spectral",15,"GO:0140318",887,1,21,1,Inf,NA,Inf,42.2380952380952,2.01133786848073,0.0236753100338218,0.748308906426155,1,1,"3480"
"spectral",15,"GO:0005160",887,1,21,1,Inf,NA,Inf,42.2380952380952,2.01133786848073,0.0236753100338218,0.748308906426155,1,1,"2280"
"spectral",15,"GO:0005527",887,1,21,1,Inf,NA,Inf,42.2380952380952,2.01133786848073,0.0236753100338218,0.748308906426155,1,1,"2280"
"spectral",15,"GO:0005528",887,1,21,1,Inf,NA,Inf,42.2380952380952,2.01133786848073,0.0236753100338218,0.748308906426155,1,1,"2280"
"spectral",15,"GO:0030547",887,1,21,1,Inf,NA,Inf,42.2380952380952,2.01133786848073,0.0236753100338218,0.748308906426155,1,1,"2280"
"spectral",15,"GO:0070697",887,1,21,1,Inf,NA,Inf,42.2380952380952,2.01133786848073,0.0236753100338218,0.748308906426155,1,1,"2280"
"spectral",15,"GO:0098872",887,1,21,1,Inf,NA,Inf,42.2380952380952,2.01133786848073,0.0236753100338218,0.748308906426155,1,1,"2911"
"spectral",15,"GO:0004879",887,1,21,1,Inf,NA,Inf,42.2380952380952,2.01133786848073,0.0236753100338218,0.748308906426155,1,1,"6774"
"spectral",15,"GO:0070878",887,1,21,1,Inf,NA,Inf,42.2380952380952,2.01133786848073,0.0236753100338218,0.748308906426155,1,1,"6774"
"spectral",15,"GO:0140610",887,1,21,1,Inf,NA,Inf,42.2380952380952,2.01133786848073,0.0236753100338218,0.748308906426155,1,1,"6774"
"spectral",15,"GO:0042166",887,1,21,1,Inf,NA,Inf,42.2380952380952,2.01133786848073,0.0236753100338218,0.748308906426155,1,1,"1131"
"spectral",15,"GO:0150043",887,1,21,1,Inf,NA,Inf,42.2380952380952,2.01133786848073,0.0236753100338218,0.748308906426155,1,1,"3913"
"spectral",15,"GO:1990932",887,1,21,1,Inf,NA,Inf,42.2380952380952,2.01133786848073,0.0236753100338218,0.748308906426155,1,1,"6203"
"spectral",15,"GO:0009931",887,1,21,1,Inf,NA,Inf,42.2380952380952,2.01133786848073,0.0236753100338218,0.748308906426155,1,1,"816"
"spectral",15,"GO:0016247",887,1,21,1,Inf,NA,Inf,42.2380952380952,2.01133786848073,0.0236753100338218,0.748308906426155,1,1,"10369"
"spectral",15,"GO:0030023",887,1,21,1,Inf,NA,Inf,42.2380952380952,2.01133786848073,0.0236753100338218,0.748308906426155,1,1,"3915"
"spectral",16,"GO:0016018",887,2,16,2,Inf,NA,Inf,55.4375,6.9296875,0.000305389358707796,0.100282230665672,1,1,"5530, 5534"
"spectral",16,"GO:0086056",887,2,16,2,Inf,NA,Inf,55.4375,6.9296875,0.000305389358707796,0.100282230665672,1,1,"775, 783"
"spectral",16,"GO:0005245",887,9,16,3,3.5046329689104,2.01441525046216,4.99485068735863,18.4791666666667,10.39453125,0.00037967061710997,0.100282230665672,0.999991525000662,1,"774, 775, 783"
"spectral",16,"GO:0008331",887,10,16,3,3.34932555095532,1.8901177789306,4.80853332298003,16.63125,10.39453125,0.000536398997864482,0.100282230665672,0.999986028937984,1,"774, 775, 783"
"spectral",16,"GO:0005516",887,46,16,5,2.21939627372207,1.11672571623587,3.32206683120826,6.0258152173913,17.32421875,0.000857411816331986,0.100282230665672,0.999924180390555,1,"5530, 775, 5532, 5534, 9495"
"spectral",16,"GO:0033192",887,3,16,2,4.82258306259332,2.36469461268679,7.28047151249984,36.9583333333333,6.9296875,0.000906506039915683,0.100282230665672,0.999995168981896,1,"5530, 5532"
"spectral",16,"GO:0086007",887,3,16,2,4.82258306259332,2.36469461268679,7.28047151249984,36.9583333333333,6.9296875,0.000906506039915683,0.100282230665672,0.999995168981896,1,"775, 783"
"spectral",16,"GO:0030346",887,3,16,2,4.82258306259332,2.36469461268679,7.28047151249984,36.9583333333333,6.9296875,0.000906506039915683,0.100282230665672,0.999995168981896,1,"5532, 9495"
"spectral",16,"GO:0004722",887,8,16,2,3.02505988864851,1.3398572828067,4.71026249449032,13.859375,6.9296875,0.00802453274502457,0.710171147934675,0.999744061255481,1,"5530, 5532"
"spectral",16,"GO:0017018",887,8,16,2,3.02505988864851,1.3398572828067,4.71026249449032,13.859375,6.9296875,0.00802453274502457,0.710171147934675,0.999744061255481,1,"5530, 5532"
"spectral",16,"GO:0046983",887,9,16,2,2.86975247069343,1.21190860099511,4.52759634039175,12.3194444444444,6.9296875,0.0102087790672859,0.785515937161296,0.99962032938289,1,"5530, 5532"
"spectral",16,"GO:0034237",887,10,16,2,2.73506300034828,1.09803781775771,4.37208818293885,11.0875,6.9296875,0.0126268740846412,0.785515937161296,0.999463601002135,1,"5566, 9495"
"spectral",16,"GO:0004679",887,1,16,1,Inf,NA,Inf,55.4375,3.46484375,0.0180383314543405,0.785515937161296,1,1,"5566"
"spectral",16,"GO:0004691",887,1,16,1,Inf,NA,Inf,55.4375,3.46484375,0.0180383314543405,0.785515937161296,1,1,"5566"
"spectral",16,"GO:0015075",887,1,16,1,Inf,NA,Inf,55.4375,3.46484375,0.0180383314543405,0.785515937161296,1,1,"3927"
"spectral",16,"GO:0070573",887,1,16,1,Inf,NA,Inf,55.4375,3.46484375,0.0180383314543405,0.785515937161296,1,1,"102"
"spectral",16,"GO:1902945",887,1,16,1,Inf,NA,Inf,55.4375,3.46484375,0.0180383314543405,0.785515937161296,1,1,"102"
"spectral",16,"GO:0001588",887,1,16,1,Inf,NA,Inf,55.4375,3.46484375,0.0180383314543405,0.785515937161296,1,1,"1812"
"spectral",16,"GO:0004952",887,1,16,1,Inf,NA,Inf,55.4375,3.46484375,0.0180383314543405,0.785515937161296,1,1,"1812"
"spectral",16,"GO:0008597",887,1,16,1,Inf,NA,Inf,55.4375,3.46484375,0.0180383314543405,0.785515937161296,1,1,"5534"
"spectral",16,"GO:0005509",887,60,16,4,1.5792241338376,0.415674842674898,2.74277342500031,3.69583333333333,13.859375,0.0186393612207765,0.785515937161296,0.997062251012576,1,"774, 5530, 5532, 5534"
"spectral",17,"GO:0004713",887,17,54,9,3.02650393222074,2.02797009795081,4.02503776649068,8.69607843137255,2.73765432098765,9.8462281148033e-08,8.71391188160092e-05,0.999999995751141,1,"2048, 2534, 5747, 2066, 4067, 6714, 27, 25, 2185"
"spectral",17,"GO:0004715",887,10,54,7,3.71857595946779,2.33448855714052,5.10266336179505,11.4981481481481,2.12928669410151,2.1993944934719e-07,9.73232063361316e-05,0.999999995376862,1,"2534, 5747, 4067, 6714, 27, 25, 2185"
"spectral",17,"GO:0017124",887,26,54,10,2.45144583169601,1.60511777964264,3.29777388374937,6.31766381766382,3.04183813443073,7.60112142916515e-07,0.000224233082160372,0.999999941311029,1,"10006, 1398, 23607, 22941, 4067, 85358, 25, 1793, 8871, 8506"
"spectral",17,"GO:0046875",887,13,54,7,3.02180777314089,1.89245040694561,4.15116513933618,8.84472934472934,2.12928669410151,2.72413596931552e-06,0.000602715083211059,0.999999885405335,1,"1398, 2534, 4067, 1946, 6714, 25, 56899"
"spectral",17,"GO:0043621",887,6,54,4,3.50375396998725,1.78251753532196,5.22499040465253,10.9506172839506,1.21673525377229,0.000168786137477298,0.0298751463334818,0.999995999960388,1,"1398, 85358, 25, 2185"
"spectral",17,"GO:0031802",887,3,54,3,Inf,NA,Inf,16.4259259259259,0.912551440329218,0.000213979594728479,0.0315619902224507,1,1,"26052, 2534, 9456"
"spectral",17,"GO:0042169",887,8,54,4,2.80819714970715,1.39318265618144,4.22321164323286,8.21296296296296,1.21673525377229,0.000718103595924512,0.0907888117704562,0.99996604097719,1,"1398, 5747, 6714, 25"
"spectral",17,"GO:0097110",887,22,54,6,1.85360883094039,0.871212739344255,2.83600492253652,4.47979797979798,1.82510288065844,0.00134884218303294,0.149215666498019,0.999824154223041,1,"1398, 2534, 4067, 6714, 85358, 9456"
"spectral",17,"GO:0005524",887,106,54,14,1.03638992374837,0.390339718874001,1.68244012862274,2.16946191474493,4.25857338820302,0.00271366926660908,0.266844144549893,0.999139398240255,1,"4915, 2048, 2534, 5747, 2066, 5062, 4067, 6714, 27, 25, 57144, 5027, 2185, 6792"
"spectral",17,"GO:0016004",887,2,54,2,Inf,NA,Inf,16.4259259259259,0.608367626886145,0.00364176810259047,0.292996797344778,1,1,"2534, 6714"
"spectral",17,"GO:0005168",887,2,54,2,Inf,NA,Inf,16.4259259259259,0.608367626886145,0.00364176810259047,0.292996797344778,1,1,"1946, 5335"
"spectral",17,"GO:0001784",887,8,54,3,2.27636189789494,0.817314798910136,3.73540899687975,6.15972222222222,0.912551440329218,0.00961466596630526,0.546479437041663,0.999281896404075,1,"1398, 27, 25"
