"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"infomap",1,"111",887,594,18,15,0.918016357841625,-0.329590064187856,2.16562277987111,1.24438832772166,41.0648148148148,0.104032297803895,0.728226084627263,0.966764434799975,0.979706877113867,"273, 6455, 1759, 1785, 26052, 6456, 6457, 1020, 5530, 1000, 57030, 5532, 5533, 8867, 5534"
"infomap",4,"101",887,231,17,9,1.18899635013638,0.224487488585238,2.15350521168752,2.03284950343774,27.6228373702422,0.0153880603726284,0.0848016885836629,0.996058929540307,0.996986973762498,"1432, 1612, 8536, 5970, 56924, 1630, 55357, 8986, 4076"
"infomap",4,"1",887,34,17,3,1.75777846103491,0.460306034258342,3.05525088781148,4.6038062283737,9.20761245674741,0.0242290538810465,0.0848016885836629,0.996986973762498,0.996986973762498,"409, 27330, 9252"
"infomap",5,"1",887,34,52,4,0.804738245968408,-0.278432488763523,1.88790898070034,2.00678733031674,1.31213017751479,0.132266563778013,0.584985573468528,0.956748797990552,0.956748797990552,"3480, 1946, 3717, 776"
"infomap",5,"101",887,231,52,17,0.34322034947843,-0.256674661191066,0.943115360147925,1.25532800532801,5.57655325443787,0.167138735276722,0.584985573468528,0.899164066710787,0.956748797990552,"23607, 5747, 160622, 6774, 27, 5335, 1009, 1793, 2185, 6792, 9101, 8871, 613, 26960, 9762, 56165, 80728"
"infomap",6,"111",887,594,42,34,0.771471379475781,-0.0118086046548821,1.55475136360644,1.20883437550104,17.0963718820862,0.031499211007989,0.220494477055923,0.987173793910506,0.987173793910506,"29993, 1605, 5861, 11252, 9253, 10938, 10211, 3337, 23236, 3312, 301, 118, 120, 3265, 9181, 2011, 1496, 2319, 6711, 490, 493, 832, 6138, 6520, 9066, 22848, 25921, 55714, 119, 27020, 3916, 65108, 6566, 57465"
"infomap",8,"101",887,231,53,21,0.667829372575655,0.095611689413839,1.24004705573747,1.52144082332762,6.6311854752581,0.017974284016357,0.125819988114499,0.991727586032505,0.991727586032505,"3739, 9863, 3736, 260425, 2903, 22871, 2905, 2066, 81832, 65217, 85461, 8525, 2894, 57497, 80059, 64072, 9758, 84435, 57101, 266727, 26045"
"infomap",9,"101",887,231,5,4,2.44597957927374,0.249439484901329,4.64251967364615,3.07186147186147,141.92,0.0179197658295109,0.125438360806577,0.998840094997634,0.998840094997634,"1975, 8661, 8662, 9775"
"infomap",10,"1",887,34,4,2,3.28067622577365,1.28915313563224,5.27219931591506,13.0441176470588,110.875,0.00815861939217717,0.0571103357452402,0.999798939397091,0.999798939397091,"1964, 9698"
"infomap",12,"111",887,594,29,25,1.15512771773441,0.0901825419563946,2.22007289351243,1.28729827005689,26.3674197384067,0.0160903716106999,0.112632601274899,0.995594658473202,0.995594658473202,"6616, 8773, 6804, 10228, 112476, 6857, 8675, 6844, 112755, 23673, 8674, 6843, 116841, 63908, 26276, 127833, 9341, 57460, 10815, 134957, 9342, 8775, 8417, 9515, 9554"
"infomap",14,"110",887,7,17,1,2.19722457733622,0.0231930773429552,4.37125607732948,7.45378151260504,3.06920415224914,0.127093918670486,0.672308548325607,0.993132729105223,0.993132729105223,"10971"
"infomap",14,"100",887,11,17,1,1.68175857401373,-0.432556203105373,3.79607335113283,4.74331550802139,3.06920415224914,0.192724956175675,0.672308548325607,0.982810431260545,0.993132729105223,"9001"
"infomap",14,"111",887,594,17,13,0.480330927602167,-0.649187763728117,1.60984961893245,1.14190928896811,39.8996539792388,0.288132234996689,0.672308548325607,0.866469063611159,0.993132729105223,"7249, 53616, 7534, 7533, 6853, 10971, 7531, 11346, 7532, 6854, 9211, 8745, 8567"
"infomap",14,"1",887,34,17,1,0.460727786783214,-1.5893214434601,2.51077701702653,1.53460207612457,3.06920415224914,0.488619972598213,0.855084952046873,0.864519401163117,0.993132729105223,"23557"
"infomap",18,"1",887,34,27,3,1.20679140897031,-0.0458684002089302,2.45945121814956,2.89869281045752,3.65020576131687,0.0802615178046448,0.561830624632513,0.983106760624371,0.983106760624371,"6530, 6532, 25945"
"infomap",19,"10",887,1,11,1,Inf,NA,Inf,80.6363636363636,7.33057851239669,0.0124013528748596,0.0868094701240169,1,1,"1129"
"infomap",19,"100",887,11,11,1,2.15871472257434,0.0106095045476229,4.30681994060106,7.33057851239669,7.33057851239669,0.128947185901144,0.351628520106786,0.992758807754701,1,"1813"
"infomap",19,"11",887,13,11,1,1.97408102602201,-0.159071483675698,4.10723353571972,6.2027972027972,7.33057851239669,0.150697937188623,0.351628520106786,0.98986941811465,1,"23413"
"infomap",19,"1",887,34,11,1,0.93787430354133,-1.14700679123071,3.02275539831337,2.3716577540107,7.33057851239669,0.351070635456624,0.614373612049092,0.9368292249695,1,"9144"
"infomap",20,"110",887,7,5,1,3.59731226058845,1.26350591583862,5.93111860533827,25.3428571428571,35.48,0.038927431238397,0.272492018668779,0.999471586919886,0.999471586919886,"2597"
"infomap",20,"1",887,34,5,1,1.86125726372498,-0.357511983849021,4.08002651129897,5.21764705882353,35.48,0.177887557956768,0.622606452848688,0.986728596515964,0.999471586919886,"3693"
"infomap",20,"101",887,231,5,2,0.642390017614027,-1.15315777643554,2.43793781166359,1.53593073593074,70.96,0.389225860493246,0.908193674484241,0.885784542575931,0.999471586919886,"5584, 3836"
"infomap",21,"111",887,594,8,8,Inf,NA,Inf,1.49326599326599,110.875,0.0398191800626855,0.278734260438798,1,1,"2280, 1509, 6203, 3708, 5332, 6187, 7416, 54413"
"infomap",22,"111",887,594,15,13,1.18037468722117,-0.314991861512251,2.6757412359546,1.29416386083053,51.2488888888889,0.0811374029914649,0.567961820940254,0.98024856839571,0.983089064261556,"5058, 5063, 998, 387, 4649, 8874, 5062, 57144, 5879, 27145, 9912, 4983, 116986"
"infomap",23,"110",887,7,24,1,1.82618423344058,-0.330984134441763,3.98335260132291,5.27976190476191,1.53993055555556,0.175248976271265,0.916121832329148,0.986429170737403,0.986429170737403,"1821"
