"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"sgG1",2,"100",887,11,72,2,0.939511103680995,-0.612033512998197,2.49105572036019,2.23989898989899,0.342206790123457,0.222529166616825,0.910840695823632,0.947294292314401,0.947294292314401,"2743, 5027"
"sgG1",2,"110",887,7,72,1,0.641359570789121,-1.48953749087579,2.77225663245403,1.75992063492063,0.171103395061728,0.448272147610774,0.910840695823632,0.895449530515517,0.947294292314401,"2597"
"sgG1",2,"111",887,594,72,49,0.0539622465166077,-0.46247075247176,0.570395245504975,1.01625046763936,8.38406635802469,0.475432654128925,0.910840695823632,0.627061579861029,0.947294292314401,"22895, 322, 351, 4915, 774, 708, 2915, 5582, 1020, 2596, 5580, 5864, 6812, 2597, 57524, 5581, 388, 334, 22908, 5579, 301, 2562, 2561, 5578, 8650, 4916, 8573, 2011, 23025, 102, 10564, 2566, 4082, 23385, 378, 6154, 2555, 9369, 9379, 2554, 4763, 51560, 7416, 5874, 85445, 6515, 7087, 8774, 6323"
"sgG1",2,"101",887,231,72,19,0.0194779876694916,-0.527480932061017,0.5664369074,1.01328763828764,3.25096450617284,0.520480397613504,0.910840695823632,0.590043097434228,0.947294292314401,"5584, 1994, 57576, 320, 7074, 8536, 5590, 22927, 25791, 5663, 23504, 2560, 149111, 6272, 321, 22883, 6169, 85376, 9669"
"sgG1",3,"1",887,34,10,2,1.88730636343756,0.298093894260024,3.47651883261509,5.21764705882353,17.74,0.0529373676693816,0.370561573685671,0.99485688339648,0.99485688339648,"3763, 9194"
"sgG1",3,"100",887,11,10,1,2.26522930645028,0.107212773697933,4.42324583920262,8.06363636363636,8.87,0.117883004659704,0.412590516308963,0.994034953226608,0.99485688339648,"64506"
"sgG1",4,"101",887,231,4,4,Inf,NA,Inf,3.83982683982684,221.75,0.00451187716779532,0.0315831401745672,1,1,"64101, 22854, 57689, 84628"
"sgG1",5,"111",887,594,113,89,0.680735489710674,0.206268545429461,1.15520243399189,1.17611215398826,6.18239486255776,0.00237413679915863,0.0166189575941104,0.998871641615529,0.998871641615529,"6616, 8773, 6804, 10228, 5869, 5868, 164, 112476, 5861, 10313, 7163, 6536, 114569, 6857, 10938, 8675, 9475, 6845, 6844, 10211, 4684, 27445, 58533, 10890, 2664, 2665, 6642, 3265, 11311, 112755, 23673, 4355, 8674, 6843, 116841, 63908, 26276, 53916, 2572, 55327, 10159, 127833, 5867, 9341, 57460, 9218, 23011, 10815, 7781, 80331, 2918, 6855, 6861, 140679, 10497, 134957, 9342, 5870, 2266, 9143, 9522, 490, 6520, 9066, 25921, 119, 27020, 821, 537, 3916, 8766, 5878, 1182, 143425, 8775, 8417, 9515, 8825, 9554, 9296, 7311, 83452, 7879, 8448, 65108, 6566, 57465, 91683, 7284"
"sgG1",5,"11",887,13,113,4,1.13759773538106,-0.0571868395478639,2.33238231030999,2.41524846834581,0.277860443261023,0.0715981770727557,0.250593619754645,0.982987265169301,0.998871641615529,"8905, 2054, 6572, 6571"
"sgG1",11,"11",887,13,36,2,1.50229327498277,-0.0428921288648738,3.04747867883042,3.79059829059829,1.36882716049383,0.0943516450859929,0.543710701472436,0.986720166333241,0.986720166333241,"81926, 6856"
"sgG1",11,"1",887,34,36,3,0.877421862974782,-0.357710888286958,2.11255461423652,2.17401960784314,2.05324074074074,0.15534591470641,0.543710701472436,0.955639150953044,0.986720166333241,"6530, 6532, 25945"
"sgG1",12,"1",887,34,109,10,1.15480378051947,0.387910262954668,1.92169729808426,2.39341608202914,0.746570154027439,0.00527873070281202,0.0369511149196842,0.998557312318829,0.998557312318829,"10928, 8312, 3717, 409, 2982, 51339, 27330, 6780, 8531, 9252"
"sgG1",13,"1",887,34,4,2,3.28067622577365,1.28915313563224,5.27219931591506,13.0441176470588,110.875,0.00815861939217717,0.0571103357452402,0.999798939397091,0.999798939397091,"1964, 9698"
"sgG1",14,"100",887,11,117,4,1.35025442463669,0.105974985538581,2.59453386373481,2.75679875679876,0.259186207904157,0.0452773456454504,0.183759536933375,0.991214343259801,0.992664697872874,"9001, 27185, 10460, 9478"
"sgG1",14,"110",887,7,117,3,1.61730164889432,0.107451748225212,3.12715154956342,3.24908424908425,0.194389655928117,0.0525027248381072,0.183759536933375,0.992664697872874,0.992664697872874,"10971, 1821, 525"
"sgG1",14,"101",887,231,117,32,0.077169031240928,-0.360183987057935,0.514522049539791,1.05020905020905,2.07348966323325,0.403107060804077,0.940583141876181,0.680547999159862,0.992664697872874,"1975, 65125, 10142, 23345, 7337, 1756, 8661, 1131, 375790, 11224, 3911, 26012, 3781, 10636, 221400, 10297, 22849, 9638, 9256, 1812, 132864, 8165, 3915, 8851, 8404, 8662, 3908, 23237, 9775, 401190, 6678, 9344"
"sgG1",14,"111",887,594,117,75,-0.146632448781163,-0.553320420161116,0.260055522598791,0.957221790555124,4.85974139820294,0.792605312476817,0.990925948597923,0.271910522880359,0.992664697872874,"1605, 5573, 53616, 7534, 7533, 3800, 815, 88, 6853, 87, 5566, 23085, 22866, 57554, 5576, 55770, 1191, 1808, 1809, 1938, 23043, 10439, 203068, 10971, 10059, 22999, 6336, 23513, 4628, 7531, 11346, 773, 347733, 7532, 11151, 816, 4644, 156, 3708, 51699, 55737, 5577, 1501, 4741, 5575, 51382, 2912, 7846, 1462, 23312, 26011, 4747, 6854, 5048, 523, 9211, 10369, 526, 8745, 51386, 9495, 8997, 79641, 491, 8567, 9118, 9465, 79065, 81873, 26115, 56479, 8473, 2771, 93664, 440073"
"sgG1",14,"11",887,13,117,1,-0.607813455251993,-2.65718376063637,1.44155685013239,0.583168967784352,0.0647965519760392,0.843140776080995,0.990925948597923,0.471612363207668,0.992664697872874,"150"
"sgG1",14,"1",887,34,117,3,-0.46627544326333,-1.66767152107304,0.735120634546383,0.668929110105581,0.194389655928117,0.84936509879822,0.990925948597923,0.322245232537422,0.992664697872874,"23557, 2647, 84961"
"sgG1",17,"10",887,1,23,1,Inf,NA,Inf,38.5652173913044,1.67674858223062,0.025930101465614,0.181510710259298,1,1,"1129"
"sgG1",17,"100",887,11,23,1,1.35630364743621,-0.742476127212365,3.45508342208478,3.50592885375494,1.67674858223062,0.252228860536721,0.679004072353807,0.969300528554858,1,"1813"
"sgG1",17,"11",887,13,23,1,1.171637423683,-0.911835742772309,3.25511059013831,2.96655518394649,1.67674858223062,0.291001745294489,0.679004072353807,0.957813369913196,1,"23413"
"sgG1",17,"1",887,34,23,1,0.135079780030652,-1.8989441055345,2.1691036655958,1.13427109974425,1.67674858223062,0.597690705684839,0.939570979264334,0.780896379940259,1,"9144"
"sgG1",17,"101",887,231,23,5,-0.24313056138956,-1.24550861827485,0.759247495495734,0.834744965179748,8.38374291115312,0.75714728444989,0.939570979264334,0.421035221590964,1,"7813, 575, 8787, 93145, 5662"
"sgG1",17,"111",887,594,23,14,-0.27222111310022,-1.12157066027364,0.577128434073196,0.90894451764017,23.4744801512287,0.805346553655144,0.939570979264334,0.335552029374692,1,"10681, 9230, 3778, 7102, 10612, 4645, 6529, 5245, 1268, 4218, 8938, 57348, 527, 7466"
"sgG1",18,"1",887,34,2,1,3.25107896536284,0.457493269272609,6.04466466145306,13.0441176470588,221.75,0.0752352134289879,0.526646494002915,0.998572304748041,0.998572304748041,"3765"
"sgG1",21,"11",887,13,4,1,3.18612303839639,0.852311300222462,5.51993477657032,17.0576923076923,55.4375,0.0574433998971933,0.402103799280353,0.99882863592984,0.99882863592984,"10509"
"sgG1",21,"101",887,231,4,2,1.04938534790296,-0.916384107543873,3.01515480334979,1.91991341991342,110.875,0.279221699265575,0.977275947429513,0.943561957532666,0.99882863592984,"10755, 23129"
"sgG1",23,"101",887,231,126,41,0.371285947709515,-0.0359481966670229,0.778520092086054,1.24946746375318,2.29069035021416,0.0480050344260121,0.336035240982085,0.969636237582491,0.969636237582491,"3739, 9863, 3736, 260425, 23607, 2903, 22871, 2905, 5747, 2066, 160622, 27, 5335, 1009, 1793, 29, 5728, 81832, 65217, 2185, 3745, 6792, 176, 9101, 8871, 613, 26960, 9762, 8525, 2894, 57497, 56165, 80059, 64072, 9758, 9722, 84435, 57101, 80728, 266727, 26045"
