"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"spectral",4,"101",887,231,4,4,Inf,NA,Inf,3.83982683982684,221.75,0.00451187716779532,0.0315831401745672,1,1,"64101, 22854, 57689, 84628"
"spectral",5,"101",887,231,82,29,0.490653415760333,0.0107152751932464,0.970591556327419,1.35798754091437,3.8255502676978,0.0320960714031281,0.224672499821897,0.982169956454324,0.982169956454324,"3739, 9863, 3736, 260425, 2903, 22871, 2905, 7813, 23266, 1948, 575, 5728, 81832, 9101, 9256, 64854, 85461, 8787, 8525, 2894, 57497, 57622, 9758, 84435, 57101, 80728, 266727, 26045, 81609"
"spectral",9,"101",887,231,2,2,Inf,NA,Inf,3.83982683982684,443.5,0.0676055692839383,0.473238984987568,1,1,"65217, 64072"
"spectral",10,"11",887,13,1,1,Inf,NA,Inf,68.2307692307692,887,0.0146561443066517,0.102593010146562,1,1,"8447"
"spectral",18,"111",887,594,50,39,0.588605330522955,-0.0957070430142991,1.27291770406021,1.16474747474747,13.8372,0.0569753326754844,0.398827328728391,0.972148516582549,0.972148516582549,"273, 6455, 1759, 1785, 6456, 6457, 6133, 71, 114569, 1020, 203068, 10059, 6137, 1000, 3778, 57030, 347733, 6156, 23521, 25930, 156, 192683, 11069, 6217, 3192, 6188, 6201, 6223, 6207, 4218, 6164, 8867, 6205, 1917, 6228, 6222, 81876, 5908, 5911"
"spectral",19,"1",887,34,27,3,1.20679140897031,-0.0458684002089302,2.45945121814956,2.89869281045752,3.65020576131687,0.0802615178046448,0.561830624632513,0.983106760624371,0.983106760624371,"3717, 6780, 84961"
"spectral",20,"10",887,1,12,1,Inf,NA,Inf,73.9166666666667,6.15972222222222,0.0135287485907554,0.0947012401352876,1,1,"1129"
"spectral",20,"100",887,11,12,1,2.06224914113946,-0.0777128958382325,4.20221117811716,6.71969696969697,6.15972222222222,0.139885063703755,0.416471379530988,0.991369469927579,1,"9478"
"spectral",20,"101",887,231,12,5,0.718425480810591,-0.43917440278007,1.87602536440125,1.59992784992785,30.7986111111111,0.178487734084709,0.416471379530988,0.936224927570106,1,"8661, 375790, 6218, 26012, 8662"
"spectral",22,"100",887,11,11,1,2.15871472257434,0.0106095045476229,4.30681994060106,7.33057851239669,7.33057851239669,0.128947185901144,0.527442780160179,0.992758807754701,0.992758807754701,"1813"
"spectral",22,"11",887,13,11,1,1.97408102602201,-0.159071483675698,4.10723353571972,6.2027972027972,7.33057851239669,0.150697937188623,0.527442780160179,0.98986941811465,0.992758807754701,"23413"
"spectral",22,"1",887,34,11,1,0.93787430354133,-1.14700679123071,3.02275539831337,2.3716577540107,7.33057851239669,0.351070635456624,0.819164816065455,0.9368292249695,0.992758807754701,"9144"
"spectral",24,"1",887,34,2,1,3.25107896536284,0.457493269272609,6.04466466145306,13.0441176470588,221.75,0.0752352134289879,0.526646494002915,0.998572304748041,0.998572304748041,"2982"
"spectral",26,"1",887,34,23,3,1.39392645279582,0.128561810218674,2.65929109537296,3.40281329923274,5.03024574669187,0.0539268026535986,0.37748761857519,0.990490492783347,0.990490492783347,"409, 27330, 8531"
