"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"infomap",1,"DOID:9255",887,42,18,5,2.15740308314955,1.07468796501966,3.24011820127944,5.86640211640212,13.6882716049383,0.00101470777899657,0.0121764933479588,0.999904586773814,0.999904586773814,"273, 6455, 1785, 5530, 5533"
"infomap",1,"DOID:5419",887,235,18,9,1.04560972496533,0.109307629734233,1.98191182019643,1.88723404255319,24.6388888888889,0.0267173766040016,0.146652093979221,0.992162847618052,0.999904586773814,"1759, 6456, 6457, 1020, 5530, 57030, 5532, 5533, 5534"
"infomap",1,"DOID:10652",887,167,18,7,1.03669658755524,0.0736469007163838,1.9997462743941,2.06553559547572,19.1635802469136,0.0366630234948052,0.146652093979221,0.989430930275043,0.999904586773814,"1785, 1020, 5530, 1000, 57030, 8867, 5534"
"infomap",4,"DOID:12858",887,42,17,3,1.51862310777865,0.230966802138382,2.80627941341892,3.72689075630252,9.20761245674741,0.0422408828791496,0.488102970285101,0.993394261022622,0.993394261022622,"5602, 1432, 5595"
"infomap",4,"DOID:10652",887,167,17,6,0.876315357977349,-0.133032072569888,1.88566278852459,1.87460373370905,18.4152249134948,0.0813504950475168,0.488102970285101,0.973484625193469,0.993394261022622,"5602, 1432, 1612, 5594, 8536, 5595"
"infomap",4,"DOID:10763",887,68,17,3,0.976009966575777,-0.29631351654788,2.24833344969943,2.30190311418685,9.20761245674741,0.1351960189661,0.5407840758644,0.964894444057639,0.993394261022622,"1432, 5594, 5595"
"infomap",4,"DOID:2377",887,50,17,2,0.825636363606024,-0.678229813724504,2.32950254093655,2.08705882352941,6.13840830449827,0.247969965072396,0.743909895217187,0.934458209001929,0.993394261022622,"1432, 5594"
"infomap",4,"DOID:1826",887,103,17,3,0.500775287912489,-0.763478810060867,1.76502938588585,1.5197030268418,9.20761245674741,0.315106481885674,0.756255556525617,0.875569205644443,0.993394261022622,"1612, 5515, 8536"
"infomap",4,"DOID:5419",887,235,17,5,0.147920130076622,-0.906194874099386,1.20203513425263,1.11013767209011,15.3460207612457,0.483639745083114,0.967279490166228,0.719288153837727,0.993394261022622,"1432, 1612, 5595, 56924, 1630"
"infomap",4,"DOID:9255",887,42,17,1,0.234059366191206,-1.81045318643923,2.27857191882164,1.24229691876751,3.06920415224914,0.56497911011066,0.96853561733256,0.809695094208989,0.993394261022622,"1612"
"infomap",5,"DOID:12849",887,91,52,13,1.17404213807975,0.504462936427064,1.84362133973243,2.43681318681319,4.26442307692308,0.00130307080092368,0.00870393939566842,0.999640002387531,0.999640002387531,"5747, 22941, 6531, 6714, 85358, 1009, 9456, 2550, 2918, 6792, 26960, 9568, 84152"
"infomap",5,"DOID:0060041",887,92,52,13,1.1599812350444,0.490862720883417,1.82909974920539,2.41032608695652,4.26442307692308,0.00145065656594474,0.00870393939566842,0.999593796540358,0.999640002387531,"5747, 22941, 6531, 6714, 85358, 1009, 9456, 2550, 2918, 6792, 26960, 9568, 84152"
"infomap",5,"DOID:10652",887,167,52,14,0.496062906339899,-0.141303611567114,1.13342942424691,1.42998618148319,4.59245562130178,0.0910351034418908,0.364140413767563,0.95258025127898,0.999640002387531,"23607, 2534, 5747, 6531, 2911, 6622, 6714, 25, 9456, 2550, 5604, 9229, 2185, 4133"
"infomap",5,"DOID:14330",887,72,52,6,0.418554300218179,-0.468565392621852,1.30567399305821,1.42147435897436,1.96819526627219,0.240173366702622,0.599394177781293,0.880381233325883,0.999640002387531,"4734, 6531, 6622, 25, 9456, 9762"
"infomap",5,"DOID:1059",887,75,52,6,0.370193737882292,-0.515509494621068,1.25589697038565,1.36461538461538,1.96819526627219,0.271116783652403,0.599394177781293,0.859373203436374,0.999640002387531,"2316, 22941, 6531, 85358, 9456, 6792"
"infomap",5,"DOID:2377",887,50,52,4,0.357218274568779,-0.705238936262359,1.41967548539992,1.36461538461538,1.31213017751479,0.335900115163468,0.599394177781293,0.837610512776366,0.999640002387531,"50807, 6622, 6774, 6000"
"infomap",5,"DOID:5419",887,235,52,15,0.125127009912142,-0.494261410984271,0.744515430808555,1.08878887070376,4.92048816568047,0.39927932997812,0.599394177781293,0.716716178740511,0.999640002387531,"58512, 2534, 4734, 6531, 2911, 6622, 85358, 6137, 9456, 2550, 9229, 2918, 9568, 84152, 4133"
"infomap",5,"DOID:1826",887,103,52,7,0.180197388765359,-0.644050105461701,1.00444488299242,1.15926064227035,2.29622781065089,0.399596118520862,0.599394177781293,0.75213879504592,0.999640002387531,"160622, 2911, 2550, 2185, 6792, 9568, 4133"
"infomap",5,"DOID:12858",887,42,52,3,0.22282953027222,-0.986410738693863,1.4320697992383,1.21840659340659,0.984097633136095,0.452658511873177,0.603544682497569,0.772399973661222,0.999640002387531,"6531, 9101, 4133"
"infomap",5,"DOID:9255",887,42,52,2,-0.229413164327805,-1.67803464741366,1.21920831875805,0.812271062271062,0.656065088757397,0.72137834360125,0.780150816958578,0.547341488126823,0.999640002387531,"8506, 56165"
"infomap",5,"DOID:3312",887,103,52,5,-0.223089275757194,-1.16885280500333,0.722674253488947,0.828043315907394,1.64016272189349,0.744624313917227,0.780150816958578,0.424490679354315,0.999640002387531,"2534, 6531, 2911, 2918, 84152"
"infomap",5,"DOID:10763",887,68,52,3,-0.321204764490425,-1.51411044504692,0.871700916066074,0.752545248868778,0.984097633136095,0.780150816958578,0.780150816958578,0.422755006872888,0.999640002387531,"6774, 9475, 2185"
