"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"sgG5",3,"DOID:3312",887,103,2,2,Inf,NA,Inf,8.61165048543689,443.5,0.0133684191774338,0.160421030129205,1,1,"1272, 26047"
"sgG5",3,"DOID:10652",887,167,2,2,Inf,NA,Inf,5.31137724550898,443.5,0.035275015842073,0.211650095052438,1,1,"1272, 26047"
"sgG5",3,"DOID:2377",887,50,2,1,2.83680831497407,0.0500189050417412,5.62359772490641,8.87,221.75,0.109622055219486,0.3283126474458,0.996882483629858,1,"1272"
"sgG5",3,"DOID:14330",887,72,2,1,2.43928048896122,-0.343169232520357,5.22173021044281,6.15972222222222,221.75,0.155840189748588,0.3283126474458,0.993495206659524,1,"1272"
"sgG5",3,"DOID:1059",887,75,2,1,2.39420296091124,-0.387855697991841,5.17626161981433,5.91333333333333,221.75,0.162047228464324,0.3283126474458,0.992937871079882,1,"26047"
"sgG5",3,"DOID:12849",887,91,2,1,2.17853244432407,-0.601884187352255,4.95894907600039,4.87362637362637,221.75,0.194764608427219,0.3283126474458,0.989578588134096,1,"26047"
"sgG5",3,"DOID:0060041",887,92,2,1,2.16622395473029,-0.614109419483864,4.94655732894443,4.82065217391304,221.75,0.196787812928658,0.3283126474458,0.989347001203743,1,"26047"
"sgG5",3,"DOID:1826",887,103,2,1,2.03815988270653,-0.741366876128533,4.8176866415416,4.30582524271845,221.75,0.2188750982972,0.3283126474458,0.986631580822566,1,"26047"
"sgG5",3,"DOID:5419",887,235,2,1,1.02318852685087,-1.75269298526126,3.79907003896299,1.88723404255319,221.75,0.459903649657328,0.61320486620977,0.930027663186076,1,"26047"
"sgG5",4,"DOID:10763",887,68,17,4,1.35454566280531,0.205328996806496,2.50376232880412,3.06920415224914,12.2768166089965,0.0351055559423613,0.421266671308336,0.993145784427242,0.993145784427242,"387, 396, 6093, 5879"
"sgG5",9,"DOID:9255",887,42,7,1,1.22687917053484,-0.913247697645934,3.36700603871562,3.01700680272109,18.1020408163265,0.288757025046096,0.994053735362041,0.960474720646929,0.960474720646929,"1499"
"sgG5",9,"DOID:10652",887,167,7,2,0.550046336919272,-1.09852131148806,2.19861398532661,1.51753635585971,36.2040816326531,0.391001397132171,0.994053735362041,0.872330694302597,0.960474720646929,"1499, 1855"
"sgG5",9,"DOID:10763",887,68,7,1,0.704279020928789,-1.427370386303,2.83592842816058,1.86344537815126,18.1020408163265,0.428963451809725,0.994053735362041,0.905370369762933,0.960474720646929,"1499"
"sgG5",9,"DOID:1059",887,75,7,1,0.596259180074404,-1.53412727155401,2.72664563170282,1.68952380952381,18.1020408163265,0.462383874464559,0.994053735362041,0.887800326411503,0.960474720646929,"1499"
"sgG5",9,"DOID:12849",887,91,7,1,0.380463805902747,-1.74777816716358,2.50870577896907,1.39246467817896,18.1020408163265,0.532539878120075,0.994053735362041,0.844386827750194,0.960474720646929,"1499"
"sgG5",9,"DOID:0060041",887,92,7,1,0.368147345100969,-1.75998587425292,2.49628056445486,1.37732919254658,18.1020408163265,0.536650708337612,0.994053735362041,0.841545671675795,0.960474720646929,"1499"
"sgG5",9,"DOID:3312",887,103,7,1,0.239994241666065,-1.88708525872121,2.36707374205334,1.23023578363384,18.1020408163265,0.579864678961191,0.994053735362041,0.809489519585058,0.960474720646929,"1499"
"sgG5",10,"DOID:5419",887,235,19,9,0.938692788759849,0.0254641891441816,1.85192138837552,1.78790593505039,22.1135734072022,0.0392904327113695,0.471485192536434,0.987252685737518,0.987252685737518,"3800, 23345, 1808, 23043, 347733, 4741, 26011, 4747, 5048"
"sgG5",10,"DOID:3312",887,103,19,4,0.728215279388735,-0.394418358867446,1.85084891764492,1.81297904956566,9.82825484764543,0.169651421545153,0.754192568142731,0.941042015563121,0.987252685737518,"3800, 23345, 1808, 26011"
"sgG5",10,"DOID:1059",887,75,19,3,0.728956633256656,-0.527552427411891,1.9854656939252,1.86736842105263,7.37119113573407,0.212128961390281,0.754192568142731,0.931092164595402,0.987252685737518,"3800, 23345, 347733"
"sgG5",10,"DOID:12849",887,91,19,3,0.507980671633759,-0.744701653216802,1.76066299648432,1.53903990746096,7.37119113573407,0.308075504149299,0.754192568142731,0.878764926622875,0.987252685737518,"3800, 23345, 26011"
"sgG5",10,"DOID:0060041",887,92,19,3,0.495398242566937,-0.757090810820284,1.74788729595416,1.52231121281465,7.37119113573407,0.314246903392805,0.754192568142731,0.875009340074691,0.987252685737518,"3800, 23345, 26011"
"sgG5",10,"DOID:10652",887,167,19,4,0.142691762023187,-0.973338633100691,1.25872215714707,1.11818468326505,9.82825484764543,0.493727297209301,0.895711123425867,0.721810890805138,0.987252685737518,"3800, 1808, 4741, 4747"
"sgG5",10,"DOID:9255",887,42,19,1,0.113860870423219,-1.92411974943016,2.1518414902766,1.11152882205514,2.45706371191136,0.605990285468745,0.895711123425867,0.774202885263954,0.987252685737518,"26115"
"sgG5",10,"DOID:12858",887,42,19,1,0.113860870423219,-1.92411974943016,2.1518414902766,1.11152882205514,2.45706371191136,0.605990285468745,0.895711123425867,0.774202885263954,0.987252685737518,"1808"
"sgG5",10,"DOID:2377",887,50,19,1,-0.0741079721537218,-2.10834316517168,1.96012722086424,0.933684210526316,2.45706371191136,0.671783342569401,0.895711123425867,0.708931949932515,0.987252685737518,"4747"
