"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"spectral",1,"DOID:9255",887,42,21,3,1.26248357966599,-0.00128196162647654,2.52624912095846,3.01700680272109,6.03401360544218,0.0724565370776378,0.869478444931653,0.985540709639037,0.985540709639037,"3178, 3181, 9987"
"spectral",4,"DOID:5419",887,235,4,3,2.13038455921037,-0.137784973538849,4.39855409195959,2.83085106382979,166.3125,0.0591841075702502,0.710209290843002,0.995165241916796,0.995165241916796,"22854, 57689, 84628"
"spectral",5,"DOID:1059",887,75,82,14,0.920716795098933,0.289024933755443,1.55240865644242,2.01918699186992,1.84681737061273,0.00583430404591119,0.0378871233950603,0.997932582030636,0.997932582030636,"1741, 2903, 2904, 50944, 22866, 2902, 9378, 57502, 5728, 1501, 23096, 54413, 8831, 93664"
"spectral",5,"DOID:5419",887,235,82,32,0.640764363638614,0.169396637463103,1.11213208981413,1.47296315516347,4.22129684711481,0.00631452056584339,0.0378871233950603,0.996927623888815,0.997932582030636,"9863, 1742, 1741, 9228, 26037, 1739, 2903, 2904, 2905, 2906, 50944, 22866, 2902, 1948, 4842, 9378, 575, 57502, 57555, 1128, 9229, 1501, 81832, 64854, 9223, 8787, 9568, 9900, 2894, 6505, 8831, 266727"
"spectral",5,"DOID:12849",887,91,82,14,0.666045250782154,0.0447064142244421,1.28738408733987,1.66416510318949,1.84681737061273,0.0317166509374194,0.103752653087743,0.985752097581167,0.997932582030636,"2903, 2904, 22871, 2906, 9378, 57502, 5728, 4897, 9568, 491, 6505, 54413, 8831, 93664"
"spectral",5,"DOID:0060041",887,92,82,14,0.65176727528308,0.03093752304304,1.27259702752312,1.64607635206787,1.84681737061273,0.0345842176959143,0.103752653087743,0.984259792431338,0.997932582030636,"2903, 2904, 22871, 2906, 9378, 57502, 5728, 4897, 9568, 491, 6505, 54413, 8831, 93664"
"spectral",5,"DOID:1826",887,103,82,14,0.504593421667658,-0.111380218774343,1.12056706210966,1.47028179019654,1.84681737061273,0.0795961364313728,0.159192272862746,0.958641560607187,0.997932582030636,"9863, 53616, 1740, 3736, 2903, 2904, 2902, 4842, 9378, 9211, 9568, 9900, 6505, 8831"
"spectral",5,"DOID:3312",887,103,82,14,0.504593421667658,-0.111380218774343,1.12056706210966,1.47028179019654,1.84681737061273,0.0795961364313728,0.159192272862746,0.958641560607187,0.997932582030636,"9863, 2903, 2904, 2902, 1948, 4842, 575, 1501, 51606, 64854, 9223, 8525, 54413, 266727"
"spectral",5,"DOID:2377",887,50,82,6,0.311469852885149,-0.573499762756633,1.19643946852693,1.2980487804878,0.791493158834027,0.312165650823674,0.518835489125145,0.830078694151602,0.997932582030636,"2904, 7813, 2902, 4842, 3738, 6505"
"spectral",5,"DOID:12858",887,42,82,5,0.298504311083864,-0.664324863511126,1.26133348567885,1.28774680603949,0.659577632361689,0.34589032608343,0.518835489125145,0.816276410928439,0.997932582030636,"2903, 2904, 1128, 5332, 9101"
"spectral",5,"DOID:14330",887,72,82,7,0.0606849518215812,-0.754369784466862,0.875739688110024,1.05165989159892,0.923408685306365,0.506749921939761,0.675666562586348,0.655439113611639,0.997932582030636,"1742, 1740, 1739, 2903, 2904, 4842, 5728"
