"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"sgG2",1,"FALSE",887,839,31,31,Inf,NA,Inf,1.05721096543504,28.6129032258064,0.172841329169595,0.34568265833919,1,1,"2060, 58513, 322, 164, 8905, 6453, 3092, 163, 23396, 29924, 4646, 1213, 334, 301, 8301, 2572, 9026, 6855, 1175, 1211, 382, 9143, 9522, 1212, 6154, 10178, 85439, 85440, 9267, 84251, 7284"
"sgG2",2,"FALSE",887,839,28,28,Inf,NA,Inf,1.05721096543504,31.6785714285714,0.205425558473285,0.41085111694657,1,1,"1975, 10755, 8829, 10509, 3337, 1982, 6155, 1627, 6231, 8828, 999, 1496, 6152, 493, 1266, 6138, 6147, 6164, 6167, 9066, 10163, 22848, 80124, 55714, 3897, 9775, 9455, 23129"
"sgG2",4,"FALSE",887,839,14,14,Inf,NA,Inf,1.05721096543504,63.3571428571429,0.456205782984262,0.912411565968524,1,1,"5573, 5566, 5576, 10059, 5577, 5575, 51382, 523, 1812, 8165, 526, 9590, 9495, 9465"
"sgG2",5,"TRUE",887,48,43,5,0.896512584082511,-0.0850933840735426,1.87811855223857,2.14874031007752,2.39859383450514,0.0763316157484691,0.152663231496938,0.9759522346132,0.9759522346132,"4905, 6536, 3745, 25921, 8943"
"sgG2",5,"FALSE",887,839,43,38,-0.896512584082511,-1.87811855223857,0.0850933840735425,0.934279457826316,18.229313142239,0.9759522346132,0.9759522346132,0.0763316157484691,0.152663231496938,"5861, 3688, 5413, 23176, 4067, 10938, 9475, 6845, 10211, 23236, 27445, 118, 989, 120, 3265, 23157, 10159, 9218, 7779, 3675, 55752, 2319, 490, 5331, 6520, 119, 27020, 821, 537, 196527, 3916, 9722, 9554, 27065, 9296, 65108, 6566, 57465"
"sgG2",6,"TRUE",887,48,4,1,1.77986872270653,-0.502337385176167,4.06207483058923,4.61979166666667,55.4375,0.19982525989701,0.399650519794019,0.983946929217553,0.983946929217553,"64101"
"sgG2",6,"FALSE",887,839,4,3,-1.77986872270653,-4.06207483058923,0.502337385176167,0.792908224076281,166.3125,0.983946929217553,0.983946929217553,0.19982525989701,0.399650519794019,"22854, 57689, 84628"
"sgG2",7,"TRUE",887,48,38,3,0.426201006587343,-0.790532461216909,1.64293447439159,1.45888157894737,1.84279778393352,0.338914799119577,0.677829598239155,0.855917991630922,0.855917991630922,"22866, 1191, 9344"
"sgG2",7,"FALSE",887,839,38,35,-0.426201006587343,-1.64293447439159,0.790532461216909,0.973746941848065,21.4993074792244,0.855917991630922,0.855917991630922,0.338914799119578,0.677829598239155,"1605, 88, 3921, 87, 57554, 27185, 23345, 1756, 1808, 1809, 1938, 23043, 6336, 347733, 11224, 4741, 1821, 7846, 1462, 22849, 23312, 26011, 4747, 5048, 132864, 6227, 51386, 79641, 8404, 26115, 401190, 56479, 57451, 6678, 440073"
"sgG2",8,"FALSE",887,839,32,32,Inf,NA,Inf,1.05721096543504,27.71875,0.163149292019898,0.326298584039796,1,1,"3800, 1981, 1173, 6421, 27316, 9513, 10439, 7248, 10787, 22927, 6146, 29, 23191, 2332, 26999, 23208, 7430, 56904, 58533, 1977, 5962, 7525, 148281, 55327, 23335, 6134, 8087, 308, 6169, 8672, 6233, 84162"
"sgG2",11,"TRUE",887,48,45,4,0.57064125794713,-0.499975707625721,1.64125822351998,1.64259259259259,1.7520987654321,0.221689095218254,0.443378190436507,0.910666067773659,0.910666067773659,"2911, 1946, 85358, 2185"
"sgG2",11,"FALSE",887,839,45,41,-0.57064125794713,-1.64125822351998,0.499975707625721,0.963236657396371,17.959012345679,0.910666067773659,0.910666067773659,0.221689095218254,0.443378190436507,"2316, 10006, 58512, 22839, 1398, 50807, 2048, 23607, 2534, 5747, 11252, 23266, 22941, 50944, 160622, 6714, 2043, 27, 5335, 25, 1009, 1793, 9456, 1399, 776, 22859, 9229, 51606, 2571, 6792, 9101, 8871, 613, 26960, 9762, 84152, 8506, 6000, 56165, 9751, 80728"
"sgG2",12,"FALSE",887,839,33,32,0.622559836239836,-1.38944078930103,2.6345604617807,1.02517426951277,26.0642791551882,0.456245563999504,0.846009966479465,0.846009966479465,0.846009966479465,"7249, 53616, 7534, 7533, 65125, 23557, 3798, 2647, 6853, 9001, 7337, 10971, 8661, 4628, 11346, 7532, 53335, 5300, 3911, 3781, 221400, 6854, 143425, 9211, 8745, 3915, 8662, 8567, 9362, 3908, 79065, 525"
"sgG2",12,"TRUE",887,48,33,1,-0.622559836239836,-2.6345604617807,1.38944078930103,0.559974747474747,0.814508723599633,0.846009966479465,0.846009966479465,0.456245563999504,0.846009966479465,"7531"
"sgG2",13,"TRUE",887,48,23,4,1.36697008829349,0.246888197250658,2.48705197933632,3.21376811594203,6.7069943289225,0.031254820811994,0.0625096416239879,0.993950604367991,0.993950604367991,"5970, 5595, 56924, 1630"
"sgG2",13,"FALSE",887,839,23,19,-1.36697008829349,-2.48705197933632,-0.246888197250658,0.873348188837643,31.8582230623819,0.993950604367991,0.993950604367991,0.031254820811994,0.0625096416239879,"5602, 1432, 1612, 5594, 5515, 1936, 55770, 409, 9349, 5604, 27330, 55357, 25977, 6125, 5898, 8986, 8531, 9252, 4076"
"sgG2",14,"TRUE",887,48,27,2,0.34759032520519,-1.12302058655824,1.81820123696862,1.36882716049383,2.43347050754458,0.435605292650016,0.824727069872209,0.824727069872209,0.824727069872209,"25791, 9912"
"sgG2",14,"FALSE",887,839,27,25,-0.34759032520519,-1.81820123696862,1.12302058655824,0.978899042069483,30.4183813443073,0.824727069872209,0.824727069872209,0.435605292650016,0.824727069872209,"5584, 5058, 375, 5063, 998, 387, 5881, 396, 4649, 6093, 8874, 9266, 5062, 388, 57144, 5879, 3556, 22933, 27145, 5337, 4983, 116986, 3836, 6157, 55619"
"sgG2",15,"FALSE",887,839,32,31,0.589572747674109,-1.42338855505962,2.60253405040784,1.0241731227652,26.8525390625,0.473294480810199,0.836850707980102,0.836850707980102,0.836850707980102,"5869, 5868, 9135, 10567, 7813, 9230, 56850, 26060, 3778, 25930, 10890, 2664, 2665, 27342, 25978, 10612, 53916, 4645, 5867, 23011, 8411, 5870, 2900, 4218, 64854, 8766, 5878, 5813, 7311, 83452, 7879"
"sgG2",15,"TRUE",887,48,32,1,-0.589572747674109,-2.60253405040784,1.42338855505962,0.577473958333333,0.8662109375,0.836850707980102,0.836850707980102,0.473294480810199,0.836850707980102,"11311"
"sgG2",17,"TRUE",887,48,30,2,0.230569328011059,-1.23443917419716,1.69557783021928,1.23194444444444,1.97111111111111,0.49139878073636,0.782129588923356,0.782129588923356,0.782129588923356,"2913, 8452"
"sgG2",17,"FALSE",887,839,30,28,-0.230569328011059,-1.69557783021928,1.23443917419716,0.986730234406039,27.5955555555556,0.782129588923356,0.782129588923356,0.49139878073636,0.782129588923356,"2891, 2892, 2045, 9463, 1947, 9253, 80725, 2917, 6530, 6532, 2893, 8497, 80852, 1948, 5601, 5818, 25945, 23705, 6386, 11178, 1984, 2898, 2897, 23426, 23385, 84557, 8618, 9783"
"sgG2",19,"TRUE",887,48,59,7,0.949322612186981,0.100054806647124,1.79859041772684,2.19244350282486,1.78368284975582,0.0340793456320312,0.0681586912640625,0.989173267854683,0.989173267854683,"9228, 2903, 57502, 23513, 8525, 60412, 9758"
"sgG2",19,"FALSE",887,839,59,52,-0.949322612186981,-1.79859041772684,-0.100054806647124,0.931779155976647,13.2502154553289,0.989173267854683,0.989173267854683,0.0340793456320312,0.0681586912640625,"3739, 10928, 9863, 1742, 1740, 1741, 3736, 260425, 26037, 1739, 2904, 22871, 2905, 2906, 3759, 2902, 4842, 9378, 869, 57555, 1128, 1487, 5728, 3737, 8514, 1501, 132204, 2895, 81832, 65217, 5332, 85461, 3765, 4897, 3738, 2894, 57497, 491, 6326, 80059, 64072, 8447, 84435, 6505, 54413, 57101, 8831, 392862, 3751, 266727, 26045, 81609"
"sgG2",21,"FALSE",887,839,41,40,0.85566611005772,-1.15037082385583,2.86170304397127,1.03142533213175,21.1064842355741,0.335057408378855,0.670114816757709,0.903248691978784,0.903248691978784,"6616, 6810, 8773, 6804, 10228, 112476, 6857, 8675, 6844, 112755, 23673, 6814, 8674, 6843, 116841, 63908, 26276, 2054, 127833, 9341, 57460, 10815, 80331, 2918, 6861, 246213, 140679, 6572, 134957, 9342, 2243, 2244, 2266, 6571, 9900, 8775, 8417, 9515, 145773, 91683"
"sgG2",21,"TRUE",887,48,41,1,-0.85566611005772,-2.86170304397127,1.15037082385583,0.450711382113821,0.527662105889352,0.903248691978784,0.903248691978784,0.335057408378855,0.670114816757709,"1182"
"sgG2",23,"FALSE",887,839,51,50,1.09140428629233,-0.909854597072901,3.09266316965756,1.03648133866181,17.0511341791619,0.220621328668957,0.441242657337913,0.946224829064008,0.946224829064008,"3320, 25873, 6230, 6165, 6133, 6194, 120892, 1488, 6122, 6156, 23521, 4736, 6232, 782, 5073, 6217, 6129, 6124, 6209, 6193, 6188, 6189, 6201, 6223, 6139, 6202, 6207, 6130, 6159, 6173, 9045, 6161, 6143, 6141, 6175, 6136, 6158, 6168, 6191, 6142, 785, 6234, 6205, 6224, 1917, 6228, 6222, 81876, 6208, 6229"
"sgG2",23,"TRUE",887,48,51,1,-1.09140428629233,-3.09266316965756,0.909854597072901,0.36233660130719,0.341022683583237,0.946224829064008,0.946224829064008,0.220621328668957,0.441242657337913,"6137"
"sgG2",24,"TRUE",887,48,32,4,0.968168271141838,-0.122540653811657,2.05887719609533,2.30989583333333,3.46484375,0.0888157635963352,0.17763152719267,0.97498833270811,0.97498833270811,"1813, 64506, 11141, 9568"
"sgG2",24,"FALSE",887,839,32,28,-0.968168271141839,-2.05887719609533,0.122540653811657,0.925059594755662,24.25390625,0.97498833270811,0.97498833270811,0.0888157635963352,0.17763152719267,"10681, 10313, 57142, 2550, 7102, 22908, 3763, 6642, 51699, 55737, 1312, 9194, 53826, 7781, 1129, 6529, 1268, 8787, 84258, 93145, 5662, 9145, 55530, 9144, 57348, 527, 7466, 23413"
"sgG2",25,"TRUE",887,48,36,3,0.487525979937938,-0.731933161048787,1.70698512092466,1.53993055555556,2.05324074074074,0.308169801556345,0.616339603112691,0.875670725173752,0.875670725173752,"1500, 1996, 9162"
"sgG2",25,"FALSE",887,839,36,33,-0.487525979937938,-1.70698512092466,0.731933161048786,0.969110051648788,22.5856481481481,0.875670725173752,0.875670725173752,0.308169801556345,0.616339603112691,"2475, 207, 6198, 2280, 5764, 4904, 2932, 1008, 6195, 1499, 5599, 575, 7415, 2982, 6203, 10243, 2556, 3708, 6176, 2983, 8665, 11331, 3710, 5245, 440279, 6187, 10297, 6181, 9223, 58489, 221092, 8938, 6620"
"sgG2",26,"FALSE",887,839,22,22,Inf,NA,Inf,1.05721096543504,40.3181818181818,0.289643099830189,0.579286199660378,1,1,"1072, 10458, 9815, 5217, 5216, 114088, 60, 71, 2059, 2017, 8976, 10486, 3312, 1729, 9181, 6449, 832, 5358, 70, 23096, 8936, 8880"
"sgG2",27,"FALSE",887,839,28,28,Inf,NA,Inf,1.05721096543504,31.6785714285714,0.205425558473285,0.41085111694657,1,1,"1460, 5499, 5803, 7163, 114569, 203068, 1965, 5501, 1968, 55914, 51339, 1272, 156, 26232, 3692, 55697, 6500, 1108, 3691, 200933, 6128, 6780, 84687, 55607, 8894, 84961, 26047, 8473"
"sgG2",28,"FALSE",887,839,17,17,Inf,NA,Inf,1.05721096543504,52.1764705882353,0.384939872402535,0.76987974480507,1,1,"1994, 2915, 5582, 7074, 2743, 8536, 5590, 2596, 5580, 5581, 5579, 5578, 8650, 2011, 4082, 7416, 85445"
"sgG2",29,"TRUE",887,48,22,2,0.576857594369929,-0.906747353643139,2.060462542383,1.67992424242424,3.66528925619835,0.336441113591963,0.672882227183925,0.888867116781869,0.888867116781869,"5792, 5789"
"sgG2",29,"FALSE",887,839,22,20,-0.576857594369929,-2.060462542383,0.906747353643139,0.96110087766822,36.6528925619835,0.888867116781869,0.888867116781869,0.336441113591962,0.672882227183925,"28964, 5802, 5786, 11021, 8541, 5519, 26059, 9638, 8500, 8499, 8495, 11336, 5518, 5520, 57622, 7204, 83992, 145581, 84631, 114798"
"sgG2",30,"TRUE",887,48,26,2,0.389640066963767,-1.08314414322346,1.862424277151,1.42147435897436,2.62426035502959,0.416321413944666,0.832642827889332,0.838332260369848,0.838332260369848,"775, 783"
"sgG2",30,"FALSE",887,839,26,24,-0.389640066963767,-1.862424277151,1.08314414322346,0.975887045016962,31.491124260355,0.838332260369848,0.838332260369848,0.416321413944666,0.832642827889331,"273, 6455, 1759, 1785, 26052, 29993, 6456, 6457, 3064, 5800, 51429, 5530, 1000, 57030, 5532, 26286, 27068, 65059, 192683, 5533, 8867, 5534, 5064, 6856"
"sgG2",31,"TRUE",887,48,36,3,0.487525979937938,-0.731933161048787,1.70698512092466,1.53993055555556,2.05324074074074,0.308169801556345,0.616339603112691,0.875670725173752,0.875670725173752,"6622, 1983, 4900"
"sgG2",31,"FALSE",887,839,36,33,-0.487525979937938,-1.70698512092466,0.731933161048786,0.969110051648788,22.5856481481481,0.875670725173752,0.875670725173752,0.308169801556345,0.616339603112691,"1964, 351, 4915, 4734, 6531, 2066, 7143, 1020, 1509, 5864, 2597, 6009, 4684, 5663, 348, 5664, 2896, 55738, 4916, 388336, 149111, 6272, 176, 56899, 4763, 9698, 3693, 9922, 6515, 7087, 4133, 8774, 6323"
"sgG2",32,"FALSE",887,839,18,18,Inf,NA,Inf,1.05721096543504,49.2777777777778,0.363701810476877,0.727403620953755,1,1,"3480, 815, 6774, 3717, 1131, 3913, 6135, 11151, 816, 3927, 55964, 10636, 2912, 150, 10369, 8851, 23237, 2771"
"sgG2",33,"TRUE",887,48,17,1,0.09021987672723,-1.95137361144367,2.13181336489813,1.08700980392157,3.06920415224914,0.615060127597466,0.766605651115132,0.766605651115132,0.766605651115132,"9892"
"sgG2",33,"FALSE",887,839,17,16,-0.0902198767272299,-2.13181336489813,1.95137361144367,0.995022085115333,49.1072664359862,0.766605651115132,0.766605651115132,0.615060127597465,0.766605651115132,"22895, 10142, 10152, 57524, 2239, 5027, 8573, 4355, 10460, 22885, 9369, 9379, 81926, 8825, 5874, 10810"
