"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"spectral",1,"FALSE",887,839,21,21,Inf,NA,Inf,1.05721096543504,42.2380952380952,0.306639271947364,0.613278543894728,1,1,"26986, 5094, 5058, 3184, 708, 4904, 3178, 5093, 3181, 22927, 2562, 2561, 5906, 3185, 3187, 3182, 220988, 1993, 6169, 6157, 9987"
"spectral",2,"FALSE",887,839,20,20,Inf,NA,Inf,1.05721096543504,44.35,0.324610804369188,0.649221608738376,1,1,"25873, 6194, 55964, 3692, 5073, 6124, 6139, 1108, 6128, 9045, 6154, 6161, 6143, 6141, 6175, 6158, 6168, 6191, 6142, 6229"
"spectral",3,"TRUE",887,48,15,2,1.01615120013029,-0.501897410172942,2.53419981043353,2.46388888888889,7.88444444444445,0.192625504340568,0.385251008681135,0.957237656940301,0.957237656940301,"64506, 9892"
"spectral",3,"FALSE",887,839,15,13,-1.01615120013029,-2.53419981043353,0.501897410172942,0.916249503377036,51.2488888888889,0.957237656940301,0.957237656940301,0.192625504340568,0.385251008681135,"3190, 10152, 5300, 10949, 3188, 9444, 92906, 55697, 10550, 3191, 22885, 9362, 10810"
"spectral",4,"TRUE",887,48,4,1,1.77986872270653,-0.502337385176167,4.06207483058923,4.61979166666667,55.4375,0.19982525989701,0.399650519794019,0.983946929217553,0.983946929217553,"64101"
"spectral",4,"FALSE",887,839,4,3,-1.77986872270653,-4.06207483058923,0.502337385176167,0.792908224076281,166.3125,0.983946929217553,0.983946929217553,0.19982525989701,0.399650519794019,"22854, 57689, 84628"
"spectral",5,"TRUE",887,48,82,8,0.726372828188266,-0.0693502472971187,1.52209590367365,1.80284552845528,1.0553242117787,0.0661193684742361,0.132238736948472,0.973717180595193,0.973717180595193,"9228, 2903, 22866, 57502, 8525, 9568, 60412, 9758"
"spectral",5,"FALSE",887,839,82,74,-0.726372828188266,-1.52209590367365,0.0693502472971187,0.954068432221867,9.761748958953,0.973717180595193,0.973717180595193,0.0661193684742361,0.132238736948472,"3739, 9863, 53616, 1742, 1740, 1741, 3736, 260425, 26037, 1739, 2904, 22871, 2905, 2906, 7813, 88, 3759, 140735, 23266, 50944, 57554, 2902, 1948, 2043, 4842, 9378, 575, 869, 776, 57555, 1128, 22859, 4670, 9229, 5728, 4644, 8514, 1501, 51606, 132204, 2895, 81832, 5332, 6202, 9101, 9256, 64854, 9223, 85461, 8787, 9211, 3765, 4897, 3738, 9900, 2894, 57497, 57622, 491, 23096, 9922, 84435, 7311, 9751, 6505, 54413, 57101, 80728, 8831, 392862, 93664, 266727, 26045, 81609"
"spectral",11,"TRUE",887,48,1,1,Inf,NA,Inf,18.4791666666667,887,0.0541149943630216,0.108229988726043,1,1,"6536"
"spectral",15,"TRUE",887,48,21,2,0.629371145162709,-0.85763504016782,2.11637733049324,1.75992063492063,4.02267573696145,0.315958547194341,0.631917094388682,0.900357336956144,0.900357336956144,"2911, 2913"
"spectral",15,"FALSE",887,839,21,19,-0.629371145162709,-2.11637733049324,0.85763504016782,0.956524206822181,38.2154195011338,0.900357336956144,0.900357336956144,0.315958547194342,0.631917094388683,"3480, 2280, 815, 9266, 160622, 6774, 22999, 1399, 1131, 3913, 6203, 6135, 816, 3911, 2912, 613, 10369, 3915, 23237"
"spectral",16,"TRUE",887,48,16,3,1.44359521495723,0.15283545342624,2.73435497648822,3.46484375,10.39453125,0.0506679685401115,0.101335937080223,0.991495367355424,0.991495367355424,"775, 25791, 783"
"spectral",16,"FALSE",887,839,16,13,-1.44359521495723,-2.73435497648822,-0.15283545342624,0.858983909415971,45.04296875,0.991495367355424,0.991495367355424,0.0506679685401115,0.101335937080223,"774, 5566, 5530, 388, 23504, 5532, 3927, 5577, 2571, 102, 1812, 5534, 9495"
"spectral",17,"TRUE",887,48,54,4,0.360848042619358,-0.70188900808725,1.42358509332597,1.36882716049383,1.21673525377229,0.333758869509176,0.667517739018352,0.83913808401913,0.83913808401913,"1946, 85358, 2185, 3745"
"spectral",17,"FALSE",887,839,54,50,-0.360848042619358,-1.42358509332597,0.70188900808725,0.978899042069483,15.2091906721536,0.83913808401913,0.83913808401913,0.333758869509176,0.667517739018352,"26052, 2316, 1072, 10006, 58512, 22839, 4915, 1398, 50807, 2048, 23607, 11122, 5803, 2534, 5747, 4734, 22941, 2066, 5062, 4067, 6714, 27, 5335, 25, 1009, 1793, 2017, 9456, 2550, 57144, 5027, 3763, 3737, 8664, 9454, 388336, 27145, 6792, 8871, 26960, 9762, 84258, 84152, 56899, 8506, 6000, 56165, 9722, 79065, 4133"
"spectral",18,"FALSE",887,839,50,49,1.06993495435962,-0.931714104547285,3.07158401326652,1.03606674612634,17.3852,0.230352985920693,0.460705971841386,0.942953335775126,0.942953335775126,"273, 6455, 1759, 1785, 6456, 6457, 5800, 51429, 8312, 6165, 6133, 71, 114569, 1020, 203068, 10059, 1000, 3778, 57030, 347733, 1855, 120892, 6156, 23521, 11224, 1857, 25930, 65059, 156, 192683, 11069, 6217, 6209, 3192, 6188, 6201, 6223, 6207, 4218, 6164, 8867, 6205, 6224, 1917, 6228, 6222, 81876, 5908, 5911"
"spectral",18,"TRUE",887,48,50,1,-1.06993495435962,-3.07158401326652,0.931714104547285,0.369583333333333,0.3548,0.942953335775126,0.942953335775126,0.230352985920693,0.460705971841386,"6137"
"spectral",19,"FALSE",887,839,27,26,0.40751303018373,-1.6113518071986,2.42637786756606,1.01805500375226,31.6351165980796,0.564394707349984,0.782431058759821,0.782431058759821,0.782431058759821,"207, 6198, 1460, 5499, 2059, 1965, 5501, 3717, 5519, 26232, 6500, 53826, 11331, 3710, 5245, 6129, 200933, 5518, 5520, 6780, 84687, 55607, 8938, 6620, 84961, 55530"
"spectral",19,"TRUE",887,48,27,1,-0.40751303018373,-2.42637786756606,1.6113518071986,0.684413580246914,1.21673525377229,0.782431058759821,0.782431058759821,0.564394707349984,0.782431058759821,"9162"
"spectral",21,"TRUE",887,48,18,1,0.0283794492899052,-2.00975354934383,2.06651244792364,1.02662037037037,2.73765432098765,0.636298189523123,0.745986925138705,0.745986925138705,0.745986925138705,"6622"
"spectral",21,"FALSE",887,839,18,17,-0.0283794492899053,-2.06651244792364,2.00975354934383,0.998477022910873,46.5401234567901,0.745986925138705,0.745986925138705,0.636298189523123,0.745986925138705,"351, 1994, 375, 6853, 6531, 1509, 348, 3337, 5664, 2896, 55738, 4916, 149111, 6272, 116986, 4763, 8774"
"spectral",22,"TRUE",887,48,11,2,1.38870690752527,-0.17199355113348,2.94940736618403,3.35984848484848,14.6611570247934,0.115508219343917,0.231016438687835,0.981931863886993,0.981931863886993,"1813, 11141"
"spectral",22,"FALSE",887,839,11,9,-1.38870690752527,-2.94940736618403,0.17199355113348,0.864990789901398,65.9752066115703,0.981931863886993,0.981931863886993,0.115508219343917,0.231016438687835,"10681, 6529, 1268, 5662, 9144, 57348, 527, 7466, 23413"
"spectral",23,"TRUE",887,48,23,2,0.526845682950174,-0.953675410898181,2.00736677679853,1.60688405797101,3.35349716446125,0.356757925117001,0.713515850234002,0.876885407420949,0.876885407420949,"23513, 9912"
"spectral",23,"FALSE",887,839,23,21,-0.526845682950174,-2.00736677679853,0.953675410898181,0.965279577136342,35.2117202268431,0.876885407420949,0.876885407420949,0.356757925117002,0.713515850234004,"10928, 5063, 9815, 87, 8874, 2915, 5582, 1499, 5879, 11100, 11151, 6232, 2560, 5578, 1312, 9194, 10297, 2566, 2555, 2554, 8851"
"spectral",26,"TRUE",887,48,23,2,0.526845682950174,-0.953675410898181,2.00736677679853,1.60688405797101,3.35349716446125,0.356757925117001,0.713515850234002,0.876885407420949,0.876885407420949,"5970, 5595"
