"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"infomap",4,"TRUE",887,13,17,3,2.91390225530636,1.5197859366021,4.30801857401062,12.0407239819005,9.20761245674741,0.00148871268906071,0.00297742537812143,0.99994030338087,0.99994030338087,"5595, 56924, 1630"
"infomap",4,"FALSE",887,874,17,14,-2.91390225530636,-4.30801857401062,-1.5197859366021,0.835778705074707,42.9688581314879,0.99994030338087,0.99994030338087,0.00148871268906071,0.00297742537812143,"5602, 1432, 1612, 5594, 5515, 1936, 8536, 5970, 409, 27330, 55357, 8986, 9252, 4076"
"infomap",5,"TRUE",887,13,52,2,1.0973994322429,-0.436070652094807,2.63086951658061,2.62426035502959,0.656065088757397,0.174119338341613,0.348238676683226,0.964191615035078,0.964191615035078,"2911, 9568"
"infomap",5,"FALSE",887,874,52,50,-1.0973994322429,-2.63086951658061,0.436070652094807,0.975840521035029,16.4016272189349,0.964191615035078,0.964191615035078,0.174119338341613,0.348238676683226,"2316, 3480, 10006, 58512, 22839, 1398, 50807, 2048, 23607, 2534, 5747, 4734, 22941, 6531, 160622, 6622, 4067, 1946, 6714, 6774, 2043, 3717, 85358, 27, 5335, 25, 1009, 6137, 1793, 9475, 9456, 1399, 2550, 776, 5604, 9229, 2918, 2185, 6792, 9101, 8871, 613, 26960, 9762, 84152, 8506, 6000, 56165, 80728, 4133"
"infomap",8,"TRUE",887,13,53,3,1.59817472015539,0.276740851490119,2.91960858882066,3.86211901306241,0.947312210751157,0.0376304454285672,0.0752608908571345,0.994559289429161,0.994559289429161,"9228, 2903, 57502"
"infomap",8,"FALSE",887,874,53,50,-1.59817472015539,-2.91960858882066,-0.276740851490119,0.957428435732481,15.7885368458526,0.994559289429161,0.994559289429161,0.0376304454285672,0.0752608908571345,"3739, 10928, 9863, 1742, 1740, 1741, 3736, 260425, 26037, 1739, 2904, 22871, 2905, 2906, 88, 3759, 2066, 6536, 57554, 2902, 9378, 869, 57555, 23513, 1128, 1501, 2895, 81832, 65217, 6202, 85461, 8525, 4897, 3738, 60412, 2894, 57497, 491, 6326, 80059, 64072, 8447, 9758, 84435, 57101, 8831, 392862, 3751, 266727, 26045"
"infomap",19,"TRUE",887,13,11,1,1.97408102602201,-0.159071483675698,4.10723353571972,6.2027972027972,7.33057851239669,0.150697937188623,0.301395874377245,0.98986941811465,0.98986941811465,"11141"
"infomap",19,"FALSE",887,874,11,10,-1.97408102602201,-4.10723353571972,0.159071483675698,0.9226128562513,73.3057851239669,0.98986941811465,0.98986941811465,0.150697937188622,0.301395874377245,"1813, 7102, 1129, 6529, 1268, 9144, 57348, 527, 7466, 23413"
"infomap",32,"TRUE",887,13,18,1,1.43531792475356,-0.660437885852847,3.53107373535997,3.79059829059829,2.73765432098765,0.235369902724708,0.470739805449417,0.973408910300284,0.973408910300284,"5789"
"infomap",32,"FALSE",887,874,18,17,-1.43531792475356,-3.53107373535997,0.660437885852847,0.958492245105517,46.5401234567901,0.973408910300284,0.973408910300284,0.235369902724708,0.470739805449417,"28964, 5802, 5792, 5786, 11021, 8541, 26059, 8500, 8499, 8495, 11336, 5518, 57622, 7204, 145581, 84631, 114798"
"infomap",46,"TRUE",887,13,8,1,2.33422217793723,0.162825336150509,4.50561901972395,8.52884615384616,13.859375,0.111827297380538,0.223654594761076,0.994712450107841,0.994712450107841,"9892"
"infomap",46,"FALSE",887,874,8,7,-2.33422217793723,-4.50561901972395,-0.162825336150509,0.888014874141877,97.015625,0.994712450107841,0.994712450107841,0.111827297380538,0.223654594761075,"3798, 10152, 53335, 5300, 22885, 9362, 10810"
"infomap",65,"TRUE",887,13,13,1,1.78944197108769,-0.328652285359756,3.90753622753514,5.24852071005917,5.24852071005917,0.175732680576959,0.351465361153918,0.985869612906212,0.985869612906212,"775"
"infomap",65,"FALSE",887,874,13,12,-1.78944197108769,-3.90753622753514,0.328652285359756,0.936806900193628,62.9822485207101,0.985869612906212,0.985869612906212,0.175732680576959,0.351465361153919,"6709, 1488, 388336, 783, 782, 6139, 102, 28988, 6191, 6710, 85376, 729993"
"infomap",66,"TRUE",887,13,20,1,1.32175583998232,-0.768319734352912,3.41183141431755,3.41153846153846,2.2175,0.258089074796179,0.516178149592358,0.967521265031883,0.967521265031883,"1182"
"infomap",66,"FALSE",887,874,20,19,-1.32175583998232,-3.41183141431755,0.768319734352912,0.964130434782609,42.1325,0.967521265031883,0.967521265031883,0.258089074796179,0.516178149592358,"57524, 5027, 8573, 4355, 55327, 192683, 80331, 6861, 246213, 140679, 6572, 6571, 143425, 9369, 9379, 9900, 8618, 8825, 91683"
