"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"spectral",3,"TRUE",887,13,15,1,1.63296840984429,-0.474304783189186,3.74024160287777,4.54871794871795,3.94222222222222,0.20008469264827,0.400169385296539,0.981291452623343,0.981291452623343,"9892"
"spectral",3,"FALSE",887,874,15,14,-1.63296840984429,-3.74024160287777,0.474304783189186,0.947215865751335,55.1911111111111,0.981291452623343,0.981291452623343,0.20008469264827,0.40016938529654,"3190, 10152, 64506, 5300, 10949, 3188, 9444, 92906, 55697, 10550, 3191, 22885, 9362, 10810"
"spectral",5,"TRUE",887,13,82,4,1.51196014293846,0.311409495464982,2.71251079041194,3.32833020637899,0.527662105889352,0.0254069219136196,0.0508138438272391,0.995745419073582,0.995745419073582,"9228, 2903, 57502, 9568"
"spectral",5,"FALSE",887,874,82,78,-1.51196014293846,-2.71251079041194,-0.311409495464982,0.965368086175141,10.2894110648424,0.995745419073582,0.995745419073582,0.0254069219136196,0.0508138438272391,"3739, 9863, 53616, 1742, 1740, 1741, 3736, 260425, 26037, 1739, 2904, 22871, 2905, 2906, 7813, 88, 3759, 140735, 23266, 50944, 22866, 57554, 2902, 1948, 2043, 4842, 9378, 575, 869, 776, 57555, 1128, 22859, 4670, 9229, 5728, 4644, 8514, 1501, 51606, 132204, 2895, 81832, 5332, 6202, 9101, 9256, 64854, 9223, 85461, 8787, 9211, 8525, 3765, 4897, 3738, 9900, 60412, 2894, 57497, 57622, 491, 23096, 9758, 9922, 84435, 7311, 9751, 6505, 54413, 57101, 80728, 8831, 392862, 93664, 266727, 26045, 81609"
"spectral",15,"TRUE",887,13,21,1,1.26929227044658,-0.818364716222704,3.35694925711586,3.24908424908425,2.01133786848073,0.269213460064518,0.538426920129035,0.964398630570595,0.964398630570595,"2911"
"spectral",15,"FALSE",887,874,21,20,-1.26929227044658,-3.35694925711586,0.818364716222704,0.966546801787076,40.2267573696145,0.964398630570595,0.964398630570595,0.269213460064518,0.538426920129036,"3480, 2280, 815, 9266, 160622, 6774, 22999, 1399, 1131, 3913, 6203, 6135, 816, 3911, 2912, 2913, 613, 10369, 3915, 23237"
"spectral",16,"TRUE",887,13,16,1,1.56281207109404,-0.54011735638324,3.66574149857133,4.26442307692308,3.46484375,0.212010035533101,0.424020071066202,0.978795450624193,0.978795450624193,"775"
"spectral",16,"FALSE",887,874,16,15,-1.56281207109404,-3.66574149857133,0.54011735638324,0.951444508009153,51.97265625,0.978795450624193,0.978795450624193,0.212010035533101,0.424020071066202,"774, 5566, 5530, 25791, 388, 23504, 5532, 3927, 5577, 2571, 783, 102, 1812, 5534, 9495"
"spectral",17,"FALSE",887,874,54,54,Inf,NA,Inf,1.01487414187643,16.4259259259259,0.439418106111445,0.87883621222289,1,1,"26052, 2316, 1072, 10006, 58512, 22839, 4915, 1398, 50807, 2048, 23607, 11122, 5803, 2534, 5747, 4734, 22941, 2066, 5062, 4067, 1946, 6714, 85358, 27, 5335, 25, 1009, 1793, 2017, 9456, 2550, 57144, 5027, 3763, 3737, 8664, 9454, 388336, 27145, 2185, 3745, 6792, 8871, 26960, 9762, 84258, 84152, 56899, 8506, 6000, 56165, 9722, 79065, 4133"
"spectral",18,"FALSE",887,874,50,50,Inf,NA,Inf,1.01487414187643,17.74,0.467864601598109,0.935729203196219,1,1,"273, 6455, 1759, 1785, 6456, 6457, 5800, 51429, 8312, 6165, 6133, 71, 114569, 1020, 203068, 10059, 6137, 1000, 3778, 57030, 347733, 1855, 120892, 6156, 23521, 11224, 1857, 25930, 65059, 156, 192683, 11069, 6217, 6209, 3192, 6188, 6201, 6223, 6207, 4218, 6164, 8867, 6205, 6224, 1917, 6228, 6222, 81876, 5908, 5911"
"spectral",22,"TRUE",887,13,11,1,1.97408102602201,-0.159071483675698,4.10723353571972,6.2027972027972,7.33057851239669,0.150697937188623,0.301395874377245,0.98986941811465,0.98986941811465,"11141"
"spectral",22,"FALSE",887,874,11,10,-1.97408102602201,-4.10723353571972,0.159071483675698,0.9226128562513,73.3057851239669,0.98986941811465,0.98986941811465,0.150697937188622,0.301395874377245,"1813, 10681, 6529, 1268, 5662, 9144, 57348, 527, 7466, 23413"
"spectral",26,"TRUE",887,13,23,1,1.171637423683,-0.911835742772309,3.25511059013831,2.96655518394649,1.67674858223062,0.291001745294489,0.582003490588977,0.957813369913196,0.957813369913196,"5595"
"spectral",26,"FALSE",887,874,23,22,-1.171637423683,-3.25511059013831,0.911835742772309,0.970749179186151,36.8884688090737,0.957813369913196,0.957813369913196,0.291001745294489,0.582003490588978,"5602, 1432, 1612, 5594, 5515, 7337, 7074, 55770, 2743, 5590, 5580, 5970, 409, 5604, 27330, 3781, 4082, 5898, 8986, 8531, 85445, 4076"
"spectral",29,"TRUE",887,13,5,1,2.89729220074074,0.6331038328002,5.16148056868128,13.6461538461538,35.48,0.0713202241342675,0.142640448268535,0.998063897051104,0.998063897051104,"1630"
"spectral",29,"FALSE",887,874,5,4,-2.89729220074074,-5.16148056868128,-0.6331038328002,0.811899313501144,141.92,0.998063897051104,0.998063897051104,0.0713202241342674,0.142640448268535,"26060, 51339, 55357, 83992"
"spectral",31,"TRUE",887,13,17,1,1.49710872746018,-0.602012689373711,3.59623014429407,4.01357466063349,3.06920415224914,0.223771079778876,0.447542159557751,0.976166672399293,0.976166672399293,"1182"
"spectral",31,"FALSE",887,874,17,16,-1.49710872746018,-3.59623014429407,0.602012689373711,0.955175662942523,49.1072664359862,0.976166672399293,0.976166672399293,0.223771079778875,0.447542159557751,"22895, 5864, 57524, 8573, 4355, 80331, 2918, 246213, 140679, 6572, 6571, 143425, 9369, 9379, 8825, 91683"
"spectral",33,"FALSE",887,874,78,78,Inf,NA,Inf,1.01487414187643,11.3717948717949,0.299643531232096,0.599287062464192,1,1,"1975, 5573, 7534, 7533, 3800, 65125, 23557, 10142, 3921, 6230, 9001, 27185, 23345, 5576, 1756, 1808, 1809, 1938, 23043, 10439, 10971, 6709, 10486, 4628, 7531, 11346, 2239, 535, 7532, 58533, 1272, 3708, 51699, 55737, 528, 10460, 4741, 5575, 51382, 221400, 7846, 150, 10564, 1462, 22849, 23312, 26011, 4747, 6711, 6854, 5048, 523, 132864, 8165, 6136, 526, 8745, 8723, 6227, 8997, 79641, 8404, 6710, 8567, 81926, 3908, 9465, 9775, 26047, 525, 729993, 26115, 401190, 56479, 57451, 6678, 2771, 440073"
"spectral",35,"TRUE",887,13,28,1,0.960957178859725,-1.11474760554602,3.03666196326547,2.43681318681319,1.13137755102041,0.342876198366404,0.685752396732808,0.939524113079439,0.939524113079439,"5789"
"spectral",35,"FALSE",887,874,28,27,-0.960957178859725,-3.03666196326547,1.11474760554602,0.978628636809415,30.547193877551,0.939524113079439,0.939524113079439,0.342876198366404,0.685752396732809,"28964, 5764, 5802, 5792, 5786, 1008, 2647, 11021, 60, 8541, 6336, 54477, 3312, 3556, 9181, 6449, 26059, 9638, 8500, 8499, 832, 7204, 3836, 9344, 145581, 84631, 114798"
"spectral",40,"TRUE",887,13,71,1,-0.0438026226583929,-2.09840512503837,2.01079987972159,0.960996749729144,0.175957151358857,0.664564426703263,0.720518949108788,0.720518949108788,0.720518949108788,"56924"
"spectral",40,"FALSE",887,874,71,70,0.0438026226583928,-2.01079987972159,2.09840512503837,1.00058013987817,12.31700059512,0.720518949108788,0.720518949108788,0.664564426703263,0.720518949108788,"1605, 1964, 1947, 1936, 9230, 5861, 3688, 9253, 7163, 6093, 8536, 1968, 10938, 9475, 4684, 23236, 1982, 1983, 301, 118, 10890, 2664, 1627, 120, 3265, 8650, 6231, 2011, 9218, 23011, 999, 1496, 10636, 7779, 6861, 3675, 6152, 1821, 8452, 8495, 490, 493, 5331, 6138, 6167, 6173, 6520, 9066, 10163, 11336, 22848, 25921, 28988, 80124, 55714, 119, 27020, 3916, 93145, 4900, 9698, 5874, 83452, 6515, 6233, 84162, 65108, 6566, 57465, 9455"
