"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"infomap",1,"synaptic vesicle endocytosis (GO:0048488)",887,30,18,5,2.56376522470032,1.45830452839517,3.66922592100547,8.21296296296296,13.6882716049383,0.000197701891862235,0.0448783294527273,0.999987526733347,0.999987526733347,"273, 1759, 1785, 26052, 6456"
"infomap",1,"presynaptic dense core vesicle exocytosis (GO:0099525)",887,9,18,3,3.35921730942127,1.88227515919928,4.83615945964326,16.4259259259259,8.21296296296296,0.000547573689839764,0.0621496137968132,0.999985880848827,0.999987526733347,"1759, 1785, 26052"
"infomap",1,"regulation of synaptic vesicle endocytosis (GO:1900242)",887,15,18,3,2.65909335637568,1.29481481183197,4.02337190091939,9.85555555555556,8.21296296296296,0.00274658690074078,0.207825075489386,0.999858352929034,0.999987526733347,"51429, 5532, 5533"
"infomap",1,"synaptic vesicle membrane (GO:0030672)",887,7,18,2,3.07269331469012,1.35989843604986,4.78548819333038,14.0793650793651,5.47530864197531,0.00769642018978199,0.436771845770128,0.999765923465262,0.999987526733347,"6456, 57030"
"infomap",2,"synaptic vesicle endocytosis (GO:0048488)",887,30,15,9,4.10735479895812,2.9872839694965,5.22742562841973,17.74,35.48,6.98665764445537e-11,1.58597128529137e-08,0.999999999998971,0.999999999998971,"2060, 58513, 6453, 163, 29924, 1213, 8301, 1175, 85439"
"infomap",2,"extrinsic component of presynaptic endocytic zone membrane (GO:0098894)",887,10,15,6,4.9744322454323,3.54897199780603,6.39989249305856,35.48,23.6533333333333,1.52572712496696e-09,1.7317002868375e-07,0.999999999990993,0.999999999998971,"2060, 58513, 163, 29924, 8301, 1175"
"infomap",2,"postsynaptic neurotransmitter receptor endocytosis (GO:0098884)",887,7,15,4,4.6571299249188,3.04635669120977,6.26790315862783,33.7904761904762,15.7688888888889,1.8096829769764e-06,0.000136932678591214,0.999999986322908,0.999999999998971,"2060, 163, 4646, 1175"
"infomap",2,"presynaptic endocytic zone membrane (GO:0098835)",887,6,15,3,4.28243647547739,2.58372498924327,5.98114796171152,29.5666666666667,11.8266666666667,7.61301169892089e-05,0.0043203841391376,0.9999992166061,0.999999999998971,"23396, 1213, 1211"
"infomap",2,"presynaptic endocytic zone (GO:0098833)",887,5,15,2,3.79692865969569,1.92576278273428,5.6680945366571,23.6533333333333,7.88444444444445,0.00259444943871139,0.117788004517497,0.999961543244556,0.999999999998971,"6453, 4646"
"infomap",2,"postsynaptic actin cytoskeleton (GO:0098871)",887,15,15,2,2.31901738762113,0.732736340150243,3.90529843509201,7.88444444444445,7.88444444444445,0.0246961204775448,0.934336558067111,0.998420637443281,0.999999999998971,"6453, 4646"
"infomap",3,"synapse (GO:0045202)",887,200,23,12,1.36676249020264,0.532804110090319,2.20072087031497,2.31391304347826,20.1209829867675,0.00159252409327737,0.261071449491614,0.999641957633142,0.999641957633142,"26986, 3184, 3178, 4670, 11100, 10949, 9444, 3185, 92906, 3191, 1993, 9987"
"infomap",3,"postsynaptic density (GO:0014069)",887,100,23,8,1.49858731355336,0.613692204396968,2.38348242270976,3.08521739130435,13.413988657845,0.00230018898230497,0.261071449491614,0.999560715074054,0.999641957633142,"5094, 3184, 5093, 3181, 4670, 3188, 3187, 220988"
"infomap",5,"synapse organization (GO:0050808)",887,6,52,3,2.83201214271058,1.20594819121329,4.45807609420787,8.52884615384616,0.984097633136095,0.00335787502237682,0.53393979061799,0.999854963372099,1,"2316, 23607, 26960"
"infomap",5,"modulation of chemical synaptic transmission (GO:0050804)",887,69,52,10,1.14153055098818,0.402822864188206,1.88023823778815,2.47212931995541,3.28032544378698,0.00470431533584132,0.53393979061799,0.998693702624051,1,"58512, 2534, 6774, 3717, 85358, 5335, 1009, 9229, 6792, 613"
"infomap",5,"postsynaptic density, intracellular component (GO:0099092)",887,37,52,6,1.21873013743278,0.295431485726397,2.14202878913916,2.76611226611227,1.96819526627219,0.0172558436834182,0.804014409512797,0.995847166287197,1,"2534, 85358, 9229, 2185, 6792, 613"
"infomap",5,"regulation of protein catabolic process at postsynapse, modulating synaptic transmission (GO:0099576)",887,4,52,2,2.8130106367387,0.832343131904561,4.79367814157283,8.52884615384616,0.656065088757397,0.0187537966087029,0.804014409512797,0.999269092841341,1,"4734, 9101"
"infomap",5,"structural constituent of postsynaptic density (GO:0098919)",887,11,52,3,1.84515514390134,0.487297066989965,3.20301322081271,4.6520979020979,0.984097633136095,0.022454154858365,0.804014409512797,0.99744288979278,1,"22941, 85358, 9229"
"infomap",5,"extrinsic component of postsynaptic membrane (GO:0098890)",887,6,52,2,2.11745960886736,0.396223174202074,3.83869604353264,5.68589743589744,0.656065088757397,0.0434540981854298,0.804014409512797,0.996642124977623,1,"1399, 26960"
"infomap",5,"postsynaptic density (GO:0014069)",887,100,52,10,0.678490022759972,-0.0450205999528016,1.40200064547275,1.70576923076923,3.28032544378698,0.0571264499113594,0.804014409512797,0.975581840191741,1,"10006, 22941, 160622, 6774, 85358, 25, 9456, 5604, 9101, 9762"
"infomap",5,"synaptic vesicle clustering (GO:0097091)",887,7,52,2,1.89311196348834,0.228605900497,3.55761802647968,4.87362637362637,0.656065088757397,0.0585823440190266,0.804014409512797,0.994366516398562,1,"10006, 1793"
"infomap",5,"postsynaptic specialization assembly (GO:0098698)",887,7,52,2,1.89311196348834,0.228605900497,3.55761802647968,4.87362637362637,0.656065088757397,0.0585823440190266,0.804014409512797,0.994366516398562,1,"1398, 1399"
"infomap",5,"postsynaptic specialization, intracellular component (GO:0099091)",887,7,52,2,1.89311196348834,0.228605900497,3.55761802647968,4.87362637362637,0.656065088757397,0.0585823440190266,0.804014409512797,0.994366516398562,1,"4067, 6714"
"infomap",5,"modification of synaptic structure (GO:0099563)",887,1,52,1,Inf,NA,Inf,17.0576923076923,0.328032544378698,0.0586245772266065,0.804014409512797,1,1,"58512"
"infomap",5,"postsynaptic membrane assembly (GO:0097104)",887,1,52,1,Inf,NA,Inf,17.0576923076923,0.328032544378698,0.0586245772266065,0.804014409512797,1,1,"2048"
"infomap",5,"G-protein coupled neurotransmitter receptor activity involved in regulation of postsynaptic cytosolic calcium levels (GO:0098872)",887,1,52,1,Inf,NA,Inf,17.0576923076923,0.328032544378698,0.0586245772266065,0.804014409512797,1,1,"2911"
"infomap",5,"synapse disassembly (GO:0098883)",887,1,52,1,Inf,NA,Inf,17.0576923076923,0.328032544378698,0.0586245772266065,0.804014409512797,1,1,"2043"
"infomap",5,"regulation of postsynapse to nucleus signaling pathway (GO:1905539)",887,1,52,1,Inf,NA,Inf,17.0576923076923,0.328032544378698,0.0586245772266065,0.804014409512797,1,1,"3717"
"infomap",5,"G protein-coupled neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential (GO:0099579)",887,1,52,1,Inf,NA,Inf,17.0576923076923,0.328032544378698,0.0586245772266065,0.804014409512797,1,1,"2550"
"infomap",5,"integral component of postsynaptic membrane (GO:0099055)",887,49,52,6,0.876479348859823,-0.0279374522220414,1.78089614994169,2.08869701726845,1.96819526627219,0.0602125328710024,0.804014409512797,0.980032492171327,1,"2048, 6531, 2911, 2043, 2550, 9568"
"infomap",5,"postsynapse to nucleus signaling pathway (GO:0099527)",887,8,52,2,1.70958486103904,0.0839979874593824,3.3351717346187,4.26442307692308,0.656065088757397,0.0752291448321322,0.94872310427189,0.99135805842029,1,"10006, 6774"
"infomap",7,"anchored component of synaptic vesicle membrane (GO:0098993)",887,12,3,2,5.16364246322143,2.68353048523718,7.64375444120569,49.2777777777778,197.111111111111,0.000500096641929122,0.113521937717911,0.999998102100031,0.999998102100031,"5864, 5874"
"infomap",8,"integral component of postsynaptic density membrane (GO:0099061)",887,48,53,15,2.2598174269777,1.56814587941004,2.95148897454537,5.22995283018868,4.73656105375578,1.50388729485348e-08,3.4138241593174e-06,0.999999998547583,1,"2903, 2904, 2906, 2066, 57554, 2902, 1128, 2895, 81832, 4897, 2894, 57497, 491, 80059, 26045"
"infomap",8,"structural constituent of postsynaptic density (GO:0098919)",887,11,53,6,3.05239411021919,1.8297098280894,4.27507839234898,9.12864493996569,1.89462442150231,1.26207208917379e-05,0.00132758445769797,0.999999496093354,1,"9863, 1742, 1740, 1741, 1739, 1501"
"infomap",8,"integral component of presynaptic membrane (GO:0099056)",887,60,53,13,1.69415055005495,1.0026556592608,2.38564544084909,3.62610062893082,4.10501957992168,1.75451690444666e-05,0.00132758445769797,0.999997073198865,1,"3739, 3736, 2903, 2904, 2906, 2066, 6536, 2902, 9378, 1128, 3738, 6326, 57101"
"infomap",8,"regulation of postsynaptic density assembly (GO:0099151)",887,10,53,5,2.8490191442274,1.57571346599411,4.1223248224607,8.36792452830189,1.57885368458526,0.000126766618728684,0.00719400561285283,0.999993988450515,1,"26037, 9378, 869, 2895, 26045"
"infomap",8,"integral component of postsynaptic membrane (GO:0099055)",887,49,53,10,1.55616544582517,0.796669362725231,2.31566152892511,3.41547939930689,3.15770736917052,0.000335652244329614,0.0137401005258259,0.999937493763341,1,"3739, 3736, 3759, 6536, 1128, 4897, 3738, 2894, 491, 3751"
"infomap",8,"neurotransmitter receptor localization to postsynaptic specialization membrane (GO:0099645)",887,12,53,5,2.51013144749459,1.32615570575261,3.69410718923656,6.97327044025157,1.57885368458526,0.00036317446323769,0.0137401005258259,0.99997591256791,1,"1742, 1740, 1739, 2066, 81832"
"infomap",8,"postsynaptic density, intracellular component (GO:0099092)",887,37,53,8,1.59632549934161,0.757987841640859,2.43466315704235,3.6185619581846,2.52616589533642,0.00095610279439516,0.0310050477611002,0.999833152199435,1,"1741, 9228, 1739, 88, 85461, 60412, 8831, 392862"
"infomap",8,"regulation of presynapse assembly (GO:1905606)",887,16,53,5,2.05329782940491,0.956822796538799,3.14977286227102,5.22995283018868,1.57885368458526,0.001664840118495,0.0472398383622956,0.999826872387908,1,"9378, 869, 57555, 2895, 266727"
"infomap",8,"integral component of postsynaptic specialization membrane (GO:0099060)",887,17,53,5,1.96507064679439,0.881945471209682,3.0481958223791,4.92230854605993,1.57885368458526,0.00225213412575167,0.0568038273939588,0.999744665498921,1,"22871, 57502, 57555, 3751, 26045"
"infomap",8,"transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315)",887,18,53,5,1.8838106535171,0.812110976656646,2.95551033037756,4.64884696016771,1.57885368458526,0.00297776157556642,0.0675951877653577,0.999634497243767,1,"2903, 2904, 2905, 2906, 2902"
"infomap",8,"voltage-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1905030)",887,3,53,2,3.48635519000246,1.06926246217799,5.90344791782694,11.1572327044025,0.631541473834105,0.010116479728552,0.2087673543983,0.999797908160534,1,"3736, 3751"
"infomap",8,"ligand-gated ion channel activity involved in regulation of presynaptic membrane potential (GO:0099507)",887,16,53,4,1.72130780827744,0.55357204507925,2.88904357147564,4.18396226415094,1.26308294766821,0.012104290737282,0.228859492980761,0.998335159881505,1,"2903, 2904, 2906, 2902"
"infomap",8,"voltage-gated ion channel activity involved in regulation of presynaptic membrane potential (GO:0099508)",887,9,53,3,2.11384296839717,0.698826497282231,3.52885943951211,5.57861635220126,0.947312210751157,0.0131064907874445,0.228859492980761,0.998851744071037,1,"3739, 3736, 6326"
"infomap",8,"regulation of synaptic membrane adhesion (GO:0099179)",887,4,53,2,2.79200680809688,0.811718243799147,4.77229537239462,8.36792452830189,0.631541473834105,0.0194588837009601,0.294477773341197,0.999225924243856,1,"9863, 266727"
"infomap",8,"synapse assembly (GO:0007416)",887,4,53,2,2.79200680809688,0.811718243799147,4.77229537239462,8.36792452830189,0.631541473834105,0.0194588837009601,0.294477773341197,0.999225924243856,1,"2066, 9378"
"infomap",8,"integral component of presynaptic active zone membrane (GO:0099059)",887,29,53,5,1.25721731884475,0.250657476585291,2.26377716110421,2.88549121665582,1.57885368458526,0.0249025067926468,0.353304315120676,0.994404962554852,1,"2904, 2906, 2902, 9378, 491"
"infomap",8,"regulation of postsynaptic membrane neurotransmitter receptor levels (GO:0099072)",887,21,53,4,1.36689981381305,0.240188426024861,2.49361120160124,3.18778077268643,1.26308294766821,0.0318419979824714,0.425184326001236,0.99384068770721,1,"10928, 1741, 1501, 392862"
"infomap",8,"anchored component of postsynaptic density membrane (GO:0099031)",887,6,53,2,2.09645288750637,0.375652514444169,3.81725326056858,5.57861635220126,0.631541473834105,0.0450189666343436,0.567739190333111,0.996450047261872,1,"1742, 1740"
"infomap",8,"regulation of presynapse organization (GO:0099174)",887,1,53,1,Inf,NA,Inf,16.7358490566038,0.315770736917052,0.0597519729425029,0.625759923825037,1,1,"22871"
"infomap",8,"anterograde axonal transport of neurotransmitter receptor complex (GO:0140231)",887,1,53,1,Inf,NA,Inf,16.7358490566038,0.315770736917052,0.0597519729425029,0.625759923825037,1,1,"81832"
