"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"sgG5",1,"integral component of synaptic vesicle membrane (GO:0030285)",887,37,22,9,3.02989478018895,2.1003024706461,3.95948708973181,9.80712530712531,16.4938016528926,4.70481371053188e-08,1.06799271229074e-05,0.999999997973747,0.999999997973747,"192683, 246213, 140679, 6572, 1182, 6571, 143425, 9900, 91683"
"sgG5",1,"synaptic vesicle neurotransmitter loading (GO:0098700)",887,5,22,4,5.25749537202778,3.01698906350765,7.49800168054792,32.2545454545455,7.33057851239669,1.4044355708478e-06,0.000159403437291225,0.999999994179176,0.999999997973747,"246213, 140679, 6572, 6571"
"sgG5",1,"synaptic vesicle priming (GO:0016082)",887,11,22,3,2.82816968641961,1.42552738676282,4.23081198607641,10.995867768595,5.49793388429752,0.00192501308970527,0.145659323787699,0.999916022356562,0.999999997973747,"22895, 9900, 8618"
"sgG5",5,"modification of postsynaptic actin cytoskeleton (GO:0098885)",887,9,11,4,4.60058827648298,3.08998225154737,6.11119430141859,35.8383838383838,29.3223140495868,1.57220329039656e-06,0.000356890146920019,0.999999987422562,1,"1072, 5217, 5216, 2017"
"sgG5",5,"postsynaptic actin cytoskeleton (GO:0098871)",887,15,11,3,3.29583686600433,1.85177559204018,4.73989813996848,16.1272727272727,21.9917355371901,0.000596713511552793,0.0626877132783511,0.9999836089112,1,"60, 71, 2017"
"sgG5",5,"structural constituent of postsynaptic actin cytoskeleton (GO:0098973)",887,4,11,2,4.57585579831932,2.50877092638362,6.64294067025501,40.3181818181818,14.6611570247934,0.000828471981652217,0.0626877132783511,0.999994344945114,1,"60, 71"
"sgG5",5,"postsynapse (GO:0098794)",887,112,11,5,1.78994057824978,0.585994961089861,2.99388619540971,3.59983766233766,36.6528925619835,0.00725660973630318,0.411812602535206,0.999033913127834,1,"5217, 5216, 2017, 8976, 1266"
"sgG5",5,"presynaptic actin cytoskeleton (GO:0099143)",887,1,11,1,Inf,NA,Inf,80.6363636363636,7.33057851239669,0.0124013528748596,0.50897513182674,1,1,"71"
"sgG5",5,"regulation of synaptic vesicle endocytosis (GO:1900242)",887,15,11,2,2.69138793684562,1.06424209667399,4.31853377701724,10.7515151515152,14.6611570247934,0.0134530871848478,0.50897513182674,0.999403286488447,1,"60, 71"
"sgG5",5,"synapse maturation (GO:0060074)",887,2,11,1,4.47163879336357,1.63055618280822,7.31272140391892,40.3181818181818,7.33057851239669,0.0246627356269773,0.799777283903407,0.999860029877259,1,"5216"
"sgG5",10,"presynaptic intermediate filament cytoskeleton (GO:0099182)",887,2,19,2,Inf,NA,Inf,46.6842105263158,4.91412742382271,0.000435179836158609,0.0987858228080043,1,1,"4741, 4747"
"sgG5",10,"postsynaptic intermediate filament cytoskeleton (GO:0099160)",887,3,19,2,4.62497281328427,2.17695169781646,7.07299392875208,31.1228070175439,4.91412742382271,0.00128882073510928,0.146281153434904,0.999991640613317,1,"4741, 4747"
"sgG5",11,"postsynaptic density membrane (GO:0098839)",887,5,12,2,4.06273922280677,2.16803638649695,5.95744205911659,29.5666666666667,12.3194444444444,0.00164197261092093,0.37272778267905,0.999981309787597,0.999981309787597,"88, 23237"
"sgG5",12,"synaptic signaling by nitric oxide (GO:0099163)",887,1,8,1,Inf,NA,Inf,110.875,13.859375,0.00901916572717054,0.682450206689238,1,1,"4842"
"sgG5",12,"establishment of endoplasmic reticulum localization to postsynapse (GO:0099089)",887,1,8,1,Inf,NA,Inf,110.875,13.859375,0.00901916572717054,0.682450206689238,1,1,"4644"
"sgG5",12,"anchored component of postsynaptic recycling endosome membrane (GO:0099033)",887,1,8,1,Inf,NA,Inf,110.875,13.859375,0.00901916572717054,0.682450206689238,1,1,"81926"
"sgG5",14,"voltage-gated ion channel activity involved in regulation of presynaptic membrane potential (GO:0099508)",887,9,15,2,2.94501718097497,1.28082102415419,4.60921333779576,13.1407407407407,7.88444444444445,0.00898014051101388,0.959695603156706,0.999689928561222,1,"3763, 3737"
"sgG5",14,"integral component of presynaptic membrane (GO:0099056)",887,60,15,4,1.66746175255048,0.491475270156391,2.84344823494456,3.94222222222222,15.7688888888889,0.0147139581624383,0.959695603156706,0.99787042223047,1,"3763, 3737, 53826, 9218"
"sgG5",14,"neurotransmitter catabolic process (GO:0042135)",887,1,15,1,Inf,NA,Inf,59.1333333333333,3.94222222222222,0.0169109357384442,0.959695603156706,1,1,"1312"
"sgG5",14,"presynaptic cytoskeleton (GO:0099569)",887,1,15,1,Inf,NA,Inf,59.1333333333333,3.94222222222222,0.0169109357384442,0.959695603156706,1,1,"9218"
"sgG5",15,"synaptic vesicle budding from endosome (GO:0016182)",887,3,12,2,5.16364246322143,2.68353048523718,7.64375444120569,49.2777777777778,12.3194444444444,0.000500096641929123,0.113521937717911,0.999998102100031,0.999998102100031,"164, 8905"
"sgG5",16,"postsynaptic ribosome(SYNGO:postsyn_ribosome)",887,65,14,9,3.26807406902697,2.14181187698295,4.39433626107099,8.77252747252747,40.7295918367347,5.2944159326422e-08,1.20183241670978e-05,0.999999998205683,0.999999998205683,"6232, 6209, 6188, 6144, 6207, 6173, 6224, 6228, 6222"
"sgG5",16,"synapse (GO:0045202)",887,200,14,12,3.08473634466033,1.57908846050248,4.59038422881818,3.80142857142857,54.3061224489796,7.7743807424557e-07,8.82392214268722e-05,0.999999967961488,0.999999998205683,"6232, 6209, 6188, 6201, 6144, 6207, 6173, 6224, 1917, 6228, 6222, 81876"
