"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"spectral",1,"postsynaptic density (GO:0014069)",887,100,21,8,1.64427548075899,0.737397582946738,2.55115337857123,3.37904761904762,16.0907029478458,0.00115907225084533,0.263109400941889,0.999807882842449,0.999807882842449,"5094, 5058, 3184, 5093, 3181, 3187, 220988, 6169"
"spectral",2,"presynaptic ribosome(SYNGO:presyn_ribosome)",887,50,20,13,3.72954699655264,2.7534511236643,4.70564286944099,11.531,28.8275,6.71241203048058e-13,1.52371753091909e-10,0.999999999999985,0.999999999999985,"25873, 6194, 6124, 6139, 6128, 9045, 6154, 6161, 6141, 6175, 6158, 6168, 6229"
"spectral",2,"translation at presynapse (GO:0140236)",887,50,20,12,3.48809910351707,2.53622616711051,4.43997203992364,10.644,26.61,2.39681487755983e-11,1.76310412004171e-09,0.999999999999329,0.999999999999985,"25873, 6124, 6139, 6128, 9045, 6154, 6161, 6141, 6175, 6158, 6168, 6229"
"spectral",2,"postsynaptic ribosome(SYNGO:postsyn_ribosome)",887,65,20,13,3.37098360306566,2.41030767695086,4.33165952918045,8.87,28.8275,2.76237128720514e-11,1.76310412004171e-09,0.999999999999126,0.999999999999985,"25873, 6194, 6124, 6139, 6128, 9045, 6154, 6161, 6141, 6175, 6158, 6168, 6229"
"spectral",2,"translation at postsynapse (GO:0140242)",887,51,20,12,3.46091661636378,2.51040332820707,4.41142990452048,10.4352941176471,26.61,3.10679140095455e-11,1.76310412004171e-09,0.999999999999106,0.999999999999985,"25873, 6124, 6139, 6128, 9045, 6154, 6161, 6141, 6175, 6158, 6168, 6229"
"spectral",2,"synapse (GO:0045202)",887,200,20,15,2.40328612143325,1.3781886057564,3.4283836371101,3.32625,33.2625,6.65869153266404e-07,3.02304595582947e-05,0.999999944881078,0.999999999999985,"25873, 3692, 6139, 6128, 9045, 6154, 6161, 6143, 6141, 6175, 6158, 6168, 6191, 6142, 6229"
"spectral",4,"synapse adhesion between pre- and post-synapse (GO:0099560)",887,20,4,4,Inf,NA,Inf,44.35,221.75,1.89126395549156e-07,4.29316917896585e-05,1,1,"64101, 22854, 57689, 84628"
"spectral",4,"modulation of chemical synaptic transmission (GO:0050804)",887,69,4,4,Inf,NA,Inf,12.8550724637681,221.75,3.37461213784606e-05,0.0034609471208117,1,1,"64101, 22854, 57689, 84628"
"spectral",4,"anchored component of presynaptic active zone membrane (GO:0099029)",887,3,4,2,6.78219205600679,4.00954791087104,9.55483620114254,147.833333333333,110.875,4.57393892618287e-05,0.0034609471208117,0.999999965492728,1,"22854, 84628"
"spectral",4,"integral component of postsynaptic density membrane (GO:0099061)",887,48,4,2,2.90118267400038,0.918834881939829,4.88353046606093,9.23958333333333,110.875,0.0160530707824473,0.911011766903887,0.999425948730786,1,"64101, 57689"
"spectral",5,"integral component of postsynaptic density membrane (GO:0099061)",887,48,82,17,1.87641074326516,1.23301048122879,2.51981100530153,3.83104674796748,2.24256395002974,2.20180554771442e-07,4.99809859331173e-05,0.999999968698009,1,"53616, 2903, 2904, 2906, 57554, 2902, 1948, 1128, 8514, 2895, 81832, 4897, 2894, 57497, 57622, 491, 26045"
"spectral",5,"structural constituent of postsynaptic density (GO:0098919)",887,11,82,8,3.36387276767407,2.01574930456526,4.71199623078289,7.8669623059867,1.0553242117787,5.05802094735595e-07,5.740853775249e-05,0.999999984658161,1,"9863, 1742, 1740, 1741, 1739, 50944, 9229, 1501"
"spectral",5,"postsynaptic density, intracellular component (GO:0099092)",887,37,82,12,1.67682950255408,0.946348522967024,2.40731048214113,3.50823994726434,1.58298631766805,4.84476484495103e-05,0.00366587206601295,0.99999184611774,1,"1741, 9228, 1739, 88, 4842, 9229, 85461, 60412, 23096, 9922, 8831, 392862"
