alg,C,Cn,Crob,CrobScaled
fc,1,1100,0.1967,0.2951
fc,2,858,0.1965,0.2948
fc,3,237,0.2017,0.3026
fc,4,1340,0.2026,0.304
fc,5,965,0.1981,0.2971
fc,6,63,0.2131,0.3197
fc,7,46,0.1737,0.2605
fc,8,36,0.1977,0.2965
fc,9,35,0.1909,0.2863
fc,10,37,0.234,0.3509
fc,11,24,0.194,0.291
fc,12,14,0.1813,0.272
fc,13,9,0.2259,0.3389
fc,14,5,0.19,0.285
fc,15,5,0.2867,0.43
fc,16,5,0.1383,0.2075
fc,17,4,0.1556,0.2333
fc,18,6,0.2733,0.41
fc,19,4,0.15,0.225
fc,20,4,0.1528,0.2292
fc,21,3,0.08333,0.125
fc,22,4,0.2417,0.3625
fc,23,3,0.1333,0.2
fc,24,4,0.2,0.3
fc,25,3,0.3333,0.5
fc,26,3,0.1667,0.25
fc,27,2,0.6667,1
fc,28,2,0,0
fc,29,4,0,0
fc,30,4,0.1667,0.25
fc,31,4,0.1167,0.175
fc,32,2,0,0
fc,33,2,0.3333,0.5
fc,34,2,0,0
fc,35,2,0,0
fc,36,2,0,0
