,alg,cl,FL,N,Fn,Cn,Mu,OR,CIl,CIu,Fe,Fc,pval,padj,palt,paltadj,overlapGenes
1,louvain,1,TRUE,4843,191,716,37,0.34062093848649816,-0.027342565528295115,0.7085844425012915,1.3102971716049021,0.3495345806934865,0.04640488255879135,0.0928097651175827,0.9695678767460658,0.9695678767460658,"7531, 9228, 23113, 1191, 2903, 23513, 5792, 26354, 10769, 4192, 4137, 2911, 6622, 85358, 6137, 462, 5970, 5595, 57502, 56924, 4208, 1630, 22980, 2185, 348980, 192669, 51678, 9472, 3745, 9912, 8525, 9758, 9568, 7812, 56138, 8120, 54497"
2,louvain,1,FALSE,4843,4652,716,679,-0.3406209384864981,-0.7085844425012914,0.02734256552829517,0.9872599398588701,6.41443189975344,0.9695678767460658,0.9695678767460658,0.04640488255879135,0.0928097651175827,"273, 6455, 1759, 1785, 673, 369, 22808, 7534, 2317, 2316, 2887, 1793, 2274, 8470, 2885, 6456, 8844, 3739, 4842, 9863, 8491, 4734, 30011, 2318, 207, 5170, 6198, 3667, 1956, 3320, 1615, 5573, 7249, 10971, 53616, 2561, 7529, 7532, 7164, 1432, 3984, 5894, 1147, 405, 1742, 2066, 1740, 1741, 10015, 55824, 2512, 5295, 5584, 2280, 6640, 387, 824, 1495, 3736, 5058, 2934, 7332, 259217, 23499, 260425, 3547, 23037, 23026, 57453, 5365, 57610, 23031, 4035, 1600, 10006, 6457, 57787, 708, 529, 8404, 58512, 22839, 1739, 4216, 10598, 5063, 7454, 65125, 4130, 4915, 3326, 576, 80347, 1399, 1398, 4217, 2810, 355, 3643, 5335, 2017, 50807, 2048, 9379, 4301, 10987, 1499, 22800, 5315, 9693, 274, 23263, 10188, 23607, 867, 3761, 2904, 23327, 10564, 22871, 10494, 9990, 9943, 2905, 2906, 324, 11122, 10076, 5786, 5803, 5787, 5795, 6774, 5305, 9138, 408, 5290, 29760, 2335, 5336, 3716, 9588, 5321, 9821, 1523, 6262, 1982, 3939, 998, 3096, 394, 5600, 5594, 2037, 6655, 9644, 1471, 226, 3704, 2534, 6654, 5576, 5879, 5747, 2273, 5781, 4067, 51429, 6311, 2597, 5601, 3728, 481, 613, 8878, 6853, 52, 396, 826, 157285, 3857, 23162, 23039, 4190, 4649, 23136, 11345, 6142, 28966, 6197, 3759, 572, 11083, 26060, 26128, 140735, 443, 10016, 1453, 11216, 50944, 22941, 87, 6531, 5566, 6300, 9699, 8874, 1386, 9266, 160622, 2697, 2895, 8678, 10207, 2915, 57555, 2902, 3615, 2023, 5582, 27429, 26355, 5062, 3055, 5728, 3791, 7422, 9479, 22794, 2321, 7074, 208, 2743, 23396, 1020, 1938, 55704, 203068, 4647, 6714, 2043, 1969, 5605, 5037, 4134, 491, 5590, 4155, 115703, 5530, 2596, 5921, 23092, 5580, 5052, 65266, 5588, 29127, 27, 1271, 11248, 114784, 1795, 357, 610, 445815, 23114, 11176, 23230, 2533, 2550, 23013, 2571, 171023, 25924, 2242, 1445, 5599, 27347, 10135, 5908, 9378, 3636, 229, 350, 2931, 259, 1892, 2098, 1645, 5213, 3697, 5587, 3815, 6224, 9456, 4643, 3778, 57030, 116986, 9826, 10749, 10395, 5581, 200576, 55803, 26230, 7410, 869, 5569, 8482, 7054, 171024, 4215, 1436, 6772, 4082, 23164, 22859, 1730, 8888, 9743, 9349, 152503, 25930, 282974, 5604, 4294, 5602, 11221, 3895, 50649, 4509, 3097, 6744, 23108, 11346, 23504, 51222, 8202, 109, 116931, 116984, 1002, 1128, 3339, 4145, 5730, 10728, 54623, 120892, 128, 156, 230, 1452, 1620, 1644, 1845, 2263, 2879, 427, 4794, 5494, 5567, 5578, 5609, 6156, 6638, 6776, 10383, 11344, 5214, 57118, 6167, 84172, 84867, 373156, 27339, 3718, 10891, 2268, 2548, 6203, 10247, 10541, 10960, 11197, 11334, 25777, 6232, 7295, 51719, 5579, 7145, 5534, 1397, 1455, 11253, 126374, 11033, 3611, 5909, 5606, 6885, 23224, 3280, 6187, 1501, 2768, 151742, 23109, 178, 26973, 83737, 5783, 7094, 2560, 2562, 9229, 147746, 26750, 2047, 83605, 3305, 5156, 5294, 5291, 3685, 25830, 153090, 10075, 5906, 23328, 54187, 8567, 6794, 27248, 1917, 54897, 23221, 57402, 65059, 10044, 3737, 6710, 54014, 55748, 56899, 10818, 1277, 5577, 3945, 56165, 57381, 11163, 8767, 8514, 23336, 3839, 11069, 10276, 166647, 83604, 4133, 84305, 55342, 25824, 126133, 81, 5524, 4074, 5533, 9026, 81832, 7222, 9817, 2890, 4040, 5338, 7535, 952, 65217, 56288, 6521, 57580, 4776, 55357, 27145, 2909, 11138, 22844, 114786, 2977, 3710, 6202, 51434, 57716, 222950, 7153, 4629, 4139, 65268, 6936, 5550, 102, 2044, 22849, 399687, 4121, 9467, 2674, 5144, 6854, 5880, 30811, 115557, 6604, 6634, 4983, 9064, 391, 8239, 6792, 79813, 22992, 64397, 8216, 4775, 5603, 2629, 6416, 823, 2287, 85365, 2554, 2555, 50813, 5286, 9312, 30851, 54549, 2566, 54861, 9870, 657, 8428, 6164, 9784, 873, 8897, 9110, 285513, 57224, 9683, 1812, 644, 132864, 6599, 3493, 92609, 9612, 84630, 5230, 116443, 9211, 889, 8867, 8986, 4897, 8871, 8853, 85445, 966, 84258, 90627, 8723, 8621, 63971, 3738, 3858, 63897, 129138, 7786, 9900, 57497, 3766, 7857, 9495, 3751, 9901, 8506, 9757, 18, 6000, 29934, 3000, 94137, 90134, 8288, 8455, 3700, 80727, 2038, 9185, 94274, 9689, 84952, 3909, 89795, 721, 9931, 84451, 55966, 5549, 5067, 5128, 80059, 64072, 5445, 6205, 53343, 91, 55362, 5613, 6451, 83442, 6900, 2184, 84433, 487, 6653, 7064, 79012, 5583, 80216, 3645, 3742, 386617, 8577, 7111, 7464, 51493, 9722, 84940, 9465, 160418, 94005, 25960, 29919, 53919, 9754, 9922, 642968, 84435, 84623, 79674, 57101, 51449, 4712, 282973, 53917, 89853, 9371, 93377, 9891, 80208, 392862, 1476, 9196, 59269, 79585, 84446, 482, 9024, 9520, 266727, 26045, 59283"
3,louvain,2,TRUE,4843,191,163,8,0.2376960586898757,-0.4881352745069582,0.9635273918867095,1.2444672855169756,1.4582408069554744,0.3135262925016307,0.6270525850032614,0.8070170041636314,0.8070170041636314,"2107, 3313, 4157, 122402, 54805, 8943, 9529, 9628"
4,louvain,2,FALSE,4843,4652,163,155,-0.2376960586898758,-0.9635273918867098,0.4881352745069581,0.9899627576238731,28.253415634762316,0.8070170041636314,0.8070170041636314,0.3135262925016307,0.6270525850032614,"26052, 3303, 4291, 27101, 2783, 9531, 6449, 3306, 2324, 10287, 5536, 2773, 57655, 11316, 5708, 10382, 51608, 1114, 3312, 25873, 10273, 2771, 5424, 60626, 10072, 5955, 2788, 1314, 10681, 4141, 5662, 6002, 5704, 5635, 1315, 5631, 10456, 2580, 5701, 2770, 10049, 2794, 10963, 23542, 10726, 6493, 10910, 81488, 2870, 23191, 3054, 1025, 5716, 10055, 10131, 10636, 26575, 29968, 4924, 51284, 22820, 10426, 1181, 55082, 9532, 79705, 283455, 4046, 9687, 8079, 51495, 200424, 5709, 10869, 80755, 5634, 2781, 3300, 5431, 2774, 1384, 2782, 10672, 7260, 4128, 5875, 4129, 26958, 7266, 55226, 10391, 2785, 57532, 157807, 22824, 26507, 126006, 23349, 23066, 5636, 480, 56111, 7514, 2775, 790, 6130, 440, 157680, 111, 80232, 5999, 27089, 6011, 1901, 2784, 2786, 55140, 54331, 81027, 117, 59345, 7803, 26504, 1176, 10239, 372, 8787, 5179, 7841, 8402, 90990, 9535, 8647, 85300, 53353, 55970, 80150, 6611, 9829, 57626, 6620, 55631, 2009, 1762, 284434, 124997, 23507, 9751, 9521, 460, 9276, 6623, 22821, 10840, 55667"
5,louvain,3,TRUE,4843,191,254,10,-0.00190381273223149,-0.6515191435545838,0.6477115180901208,0.9982685410396999,0.7506665013330026,0.5501720643724646,0.5809479083276748,0.5809479083276748,0.5809479083276748,"64219, 7322, 7323, 8452, 5119, 29965, 22905, 8883, 63967, 381"
6,louvain,3,FALSE,4843,4652,254,244,0.0019038127322315859,-0.6477115180901207,0.651519143554584,1.0000710895660827,18.316262632525262,0.5809479083276748,0.5809479083276748,0.5501720643724646,0.5809479083276748,"2060, 58513, 29979, 10043, 3503, 3500, 50618, 57571, 1642, 10617, 26994, 5868, 7334, 7316, 55666, 164, 4214, 29924, 161, 4738, 1174, 2049, 163, 6453, 133957, 146691, 11059, 29978, 114793, 4881, 9815, 10961, 4831, 7336, 3092, 7314, 25978, 2286, 55262, 2936, 10994, 114088, 2901, 2873, 2632, 23558, 7317, 11171, 327, 54472, 84864, 4830, 8027, 6921, 7461, 7337, 11047, 1155, 7874, 23072, 54880, 6923, 9039, 8454, 79837, 56957, 9040, 9184, 8314, 23077, 8065, 57132, 23376, 7321, 6201, 55611, 57169, 6218, 63893, 196403, 23295, 3093, 23321, 23609, 7335, 58497, 5710, 388, 26227, 51652, 57514, 27005, 29, 55739, 4798, 162, 8926, 8904, 11336, 722, 712, 654364, 2157, 23644, 6737, 130507, 9958, 221184, 127281, 54914, 51440, 5153, 8301, 23111, 5962, 128866, 714, 3964, 55832, 26091, 317719, 23017, 9666, 25977, 11332, 27243, 1278, 1013, 54726, 118881, 23127, 51571, 84959, 23534, 27183, 79643, 26133, 10612, 29944, 112939, 10920, 5887, 27239, 83892, 131034, 23544, 51534, 3241, 8453, 375567, 114900, 361, 2152, 55364, 114876, 3416, 9798, 6157, 1175, 811, 55814, 292, 5042, 26094, 84251, 55975, 51065, 161436, 6138, 23074, 23355, 6207, 7110, 90678, 7706, 6134, 9781, 51377, 326624, 8451, 128312, 284697, 9354, 51667, 3268, 3706, 79876, 6683, 9101, 10444, 55236, 7347, 2900, 57646, 9097, 7345, 80128, 3502, 79594, 161725, 9978, 123879, 1212, 6233, 64682, 65082, 5442, 55585, 3514, 713, 563, 9320, 9820, 9765, 8533, 8078, 6447, 5226, 51250, 8933, 79699, 85439, 93664, 53840, 89970, 6942, 80131, 84284, 7412, 51144, 83692, 9455, 3933, 84502, 9525, 9700, 83449, 9267, 57605, 154810, 219793, 79092, 79870, 5304"
7,louvain,4,FALSE,4843,4652,534,519,0.38757886259009794,-0.14745885616463678,0.9226165813448326,1.0118144183485176,8.814533097672854,0.09090218461707729,0.18180436923415458,0.9445447416841626,0.9445447416841626,"1837, 1821, 1756, 1605, 29993, 6548, 3688, 6645, 3265, 2475, 5898, 5333, 322, 3936, 5362, 1173, 57556, 4645, 4684, 1804, 4099, 4340, 5621, 3897, 334, 667, 375, 2036, 10458, 4478, 1947, 19, 1729, 11190, 1464, 5097, 23705, 5861, 6558, 1080, 5797, 5791, 5793, 9844, 682, 27131, 6711, 4638, 10163, 55845, 63916, 11113, 6184, 8546, 3732, 8476, 10627, 4354, 3039, 2804, 11078, 4356, 10397, 3703, 4733, 4893, 58477, 1952, 10211, 57498, 11031, 5127, 8394, 9230, 57003, 58478, 6734, 2170, 6195, 26086, 10328, 11252, 11180, 23392, 11135, 1731, 389, 27095, 1525, 23157, 57120, 8829, 9253, 23266, 202333, 7165, 6093, 59338, 55914, 9223, 2894, 51706, 5413, 23176, 1948, 2803, 476, 23043, 58533, 286, 9672, 6708, 1509, 3845, 5218, 5364, 26056, 23242, 57148, 287, 4606, 10938, 9648, 253260, 6793, 9625, 9475, 54822, 575, 3267, 6845, 22853, 10801, 346288, 55752, 5911, 2029, 3956, 50488, 1000, 4659, 6786, 57524, 219771, 55740, 9353, 3691, 3655, 23256, 1267, 150209, 382, 1131, 10154, 126003, 26057, 25839, 23086, 23580, 9578, 22837, 23301, 23236, 2125, 3913, 54477, 22874, 26999, 25822, 3996, 23208, 2776, 4363, 6155, 30844, 81839, 51715, 2778, 4519, 5447, 7430, 10970, 23550, 83700, 5818, 9647, 5532, 301, 307, 23646, 118, 5297, 10890, 116987, 989, 23348, 8522, 51735, 10979, 55243, 23011, 10768, 140469, 10113, 4651, 120, 115, 2011, 821, 11188, 51062, 10952, 4853, 5245, 6768, 116442, 288, 214, 57488, 10507, 8650, 3482, 10652, 151011, 55964, 4355, 3050, 3045, 23181, 5711, 284069, 64398, 118812, 23143, 4735, 4012, 26232, 23433, 5860, 81704, 8777, 54734, 200844, 421, 30845, 2686, 22841, 143098, 5414, 145567, 3046, 284119, 80851, 23657, 23052, 57826, 255057, 55327, 51552, 501, 10159, 144402, 64130, 55075, 6059, 57460, 54768, 55379, 10493, 3043, 50814, 9448, 8828, 6647, 55847, 6091, 5923, 9368, 79834, 4756, 3035, 738, 745, 51393, 7779, 23218, 128869, 6641, 6507, 23197, 54893, 6305, 5754, 114882, 10723, 201595, 54499, 5064, 112, 51347, 51635, 53904, 401024, 51097, 23075, 2319, 23187, 149465, 477, 23303, 6624, 1769, 2182, 56851, 23416, 54948, 118427, 2042, 2181, 6566, 122553, 6520, 10752, 1362, 22930, 26050, 1528, 8842, 399473, 54795, 2035, 3758, 4744, 5331, 8502, 80223, 23209, 7402, 10067, 6196, 6621, 5872, 58485, 22878, 7109, 1456, 23592, 224, 10554, 57648, 51479, 65108, 23362, 8495, 54566, 11231, 22998, 132884, 9732, 80005, 23167, 57513, 114787, 57181, 119, 10160, 1650, 23155, 254102, 490, 54867, 494115, 57572, 23603, 391634, 5361, 255252, 25912, 23670, 11261, 23250, 27020, 26000, 124739, 257407, 29091, 26084, 25963, 219287, 139065, 29801, 57216, 537, 57620, 53407, 57482, 55854, 57609, 11217, 11152, 3916, 23180, 64121, 51234, 54901, 23065, 65992, 80279, 23344, 81542, 23382, 83696, 9321, 6170, 133686, 26509, 57082, 26090, 4763, 1595, 285172, 1717, 22979, 23007, 26608, 56926, 26953, 471, 55604, 5593, 83715, 8754, 6560, 9043, 51196, 4694, 6515, 81618, 9789, 9694, 91782, 8825, 9351, 55607, 84033, 987, 51762, 8938, 7108, 23096, 64223, 80303, 5538, 9771, 90102, 85440, 23358, 4626, 93643, 8036, 26154, 57624, 83733, 9462, 80224, 80856, 64840, 84668, 81539, 9497, 6102, 83660, 6509, 8776, 84293, 9962, 493, 29953, 55176, 6533, 55345, 29957, 9066, 92255, 54617, 63892, 84162, 8140, 26115, 283450, 9445, 9950, 54509, 51337, 440073, 79572, 57446, 6575, 5099, 57465, 55144, 8613, 6542, 79143, 55612, 9772, 64285, 63895, 57512, 90167, 54664, 55714, 6526, 5101, 9527, 6836, 9537, 56255, 27255"
8,louvain,4,TRUE,4843,191,534,15,-0.38757886259009805,-0.9226165813448328,0.14745885616463666,0.7122477792811341,0.25475529184025586,0.9445447416841626,0.9445447416841626,0.09090218461707729,0.18180436923415458,"2923, 29763, 57670, 392, 4140, 6536, 22866, 10381, 129285, 1500, 25921, 23478, 4978, 9779, 92521"
9,louvain,5,FALSE,4843,4652,745,724,0.4001817222381986,-0.06005198123596345,0.8604154257123606,1.0117123615735744,6.317430746362776,0.04907106739927582,0.09814213479855163,0.9697656649977875,0.9697656649977875,"3836, 26986, 10014, 5094, 10605, 1975, 1981, 1387, 3800, 3146, 2058, 6427, 672, 3276, 1859, 2197, 5093, 2547, 3842, 1951, 9439, 3178, 6294, 1459, 1457, 10212, 7919, 6210, 10189, 1994, 26019, 3184, 23248, 142, 4999, 4685, 11127, 55660, 3837, 1660, 23405, 4297, 5211, 221935, 55252, 26036, 11100, 51755, 55729, 1009, 23420, 26168, 23394, 5216, 56252, 70, 1063, 9584, 1434, 3190, 88, 4904, 10657, 2261, 1363, 10399, 6117, 2026, 10236, 2975, 5049, 26135, 6230, 6421, 546, 22913, 116985, 2521, 22927, 3189, 6189, 22985, 1123, 10658, 311, 57095, 3757, 4673, 23435, 10419, 6601, 57143, 6204, 6429, 55324, 10949, 23450, 4857, 10209, 55229, 3191, 5223, 10156, 79577, 4869, 641, 56474, 2130, 3183, 51729, 11052, 10919, 56341, 10521, 10428, 10921, 10007, 27316, 7360, 1153, 5725, 140576, 95, 2033, 3066, 11177, 9031, 1973, 10432, 23543, 54039, 23633, 10659, 57060, 7112, 23090, 7158, 121504, 5527, 10492, 2247, 23380, 8658, 10664, 27340, 472, 2648, 80854, 8350, 2314, 8125, 5500, 2556, 5591, 55576, 6597, 3181, 8359, 8360, 8368, 8370, 23020, 1655, 6143, 3182, 6159, 3240, 7052, 5610, 3185, 57448, 51720, 5901, 10243, 3020, 3021, 11335, 6146, 8976, 147179, 8349, 23229, 5339, 3069, 54737, 10130, 27445, 1786, 221692, 10125, 2332, 6160, 6426, 7450, 64210, 4691, 2969, 1610, 2935, 4001, 5629, 6122, 6168, 25793, 26229, 3981, 65982, 10180, 10319, 11224, 103, 3033, 4535, 4736, 6128, 6648, 9667, 10498, 11080, 23131, 55753, 283820, 5192, 55636, 8237, 3014, 3632, 55349, 11004, 3628, 3792, 4650, 58525, 221037, 23137, 7311, 3963, 1108, 10250, 10923, 11168, 11333, 10270, 6872, 1665, 129446, 644150, 84629, 152485, 58517, 3188, 6428, 23524, 10594, 3187, 9444, 56254, 91010, 23047, 22826, 6434, 6432, 64783, 51645, 10767, 80206, 9611, 4131, 3159, 51701, 125113, 266553, 55818, 9972, 55054, 3192, 4868, 8826, 23708, 4538, 134492, 10565, 4204, 3149, 4839, 23549, 10290, 55074, 57715, 27125, 8890, 23270, 8574, 9810, 1503, 7414, 9782, 26040, 29855, 220988, 4440, 80781, 23154, 6627, 55719, 5814, 25999, 7458, 26049, 5983, 22890, 2957, 23244, 3608, 3012, 64854, 3310, 3779, 3018, 55506, 8341, 149699, 23304, 25925, 11259, 28992, 4308, 26063, 723790, 163259, 6231, 8940, 3609, 23234, 83473, 115207, 8815, 6778, 6877, 6418, 23466, 10765, 6907, 3075, 8841, 9780, 55269, 23417, 6301, 6132, 79697, 8343, 57599, 1105, 51592, 81550, 84656, 30968, 781, 3009, 259266, 6147, 6238, 203, 6217, 127795, 58508, 197358, 6594, 6209, 23033, 5611, 6152, 10788, 57136, 2805, 65084, 345651, 6188, 22915, 4353, 6223, 22884, 56666, 55973, 10322, 84717, 25782, 3024, 3005, 3006, 3008, 2713, 3015, 3321, 3007, 8345, 6741, 8467, 11076, 8085, 55862, 114880, 6904, 7343, 25851, 23310, 23215, 4926, 57631, 317772, 27133, 6125, 23481, 8342, 8340, 166785, 7586, 55870, 79784, 64324, 1307, 7175, 4437, 11313, 492, 114827, 55749, 6949, 23316, 10514, 27127, 8331, 3752, 23211, 6329, 146177, 79776, 1767, 8338, 1662, 22990, 115098, 127731, 6840, 23381, 79811, 4076, 1828, 146754, 129684, 1763, 23, 57496, 79915, 80243, 115701, 22865, 286410, 10343, 7011, 23347, 23560, 49855, 115827, 100653515, 51673, 57092, 23335, 23523, 58499, 5980, 24149, 80144, 6101, 255626, 50809, 221322, 85235, 2050, 3908, 1657, 8761, 10129, 256957, 152100, 57455, 55799, 8892, 10296, 10943, 1130, 131096, 2180, 23161, 9318, 3148, 5430, 5141, 308, 57680, 10587, 56946, 2177, 5337, 7290, 3832, 10499, 85456, 6729, 57510, 3376, 4261, 1993, 675, 545, 7994, 55193, 57602, 57519, 92815, 5289, 23373, 9092, 9343, 113246, 7520, 3948, 25927, 54875, 283871, 345630, 4858, 90, 7799, 5036, 5813, 8450, 5981, 254048, 29028, 57507, 23389, 57634, 2020, 113157, 170692, 249, 23255, 256158, 114780, 5719, 57084, 6651, 55100, 64848, 8682, 23269, 9733, 57520, 7156, 23225, 23385, 2739, 7750, 6888, 166336, 115286, 2530, 152007, 4660, 4697, 8148, 55920, 440915, 53981, 5358, 5357, 6874, 24137, 4774, 81611, 3070, 6175, 54881, 7057, 10620, 7515, 23036, 51663, 26010, 23060, 9968, 9969, 6935, 57187, 54443, 6525, 11169, 7732, 83990, 9806, 23277, 7486, 9774, 607, 752, 9849, 57724, 9585, 8880, 8562, 4817, 8479, 25836, 79187, 4542, 4707, 8968, 9208, 9209, 9324, 8570, 7546, 55088, 9203, 65249, 84991, 645, 718, 6169, 6400, 7167, 5341, 6678, 84524, 23367, 92140, 9669, 9967, 6222, 9987, 9879, 79969, 94134, 6334, 91754, 670, 8539, 91833, 633, 349667, 8520, 9861, 63875, 780776, 56853, 9555, 84124, 8731, 6206, 6738, 84250, 84910, 374864, 339766, 9828, 654790, 79747, 84643, 55567, 57537, 6764, 341640, 9401, 94160, 24, 83889, 85441, 387597, 84364, 79633, 8504, 84896, 343990, 57578, 80724, 63929, 90381, 8632, 53349, 489, 54627, 7368, 28316, 80003, 8284, 5902, 6917, 85236, 760, 7263, 3324, 7881, 51761, 7399, 9946, 9114, 92675, 6388, 9824, 9658, 646875, 729708, 653162, 728953, 643949, 54921, 29767, 54788, 80315, 726, 6632, 83939"
10,louvain,5,TRUE,4843,191,745,21,-0.4001817222381986,-0.8604154257123606,0.06005198123596345,0.714733476228961,0.18324039457682087,0.9697656649977875,0.9697656649977875,0.04907106739927582,0.09814213479855163,"58155, 22891, 8204, 6733, 23451, 6687, 9640, 23505, 27044, 1958, 399909, 51474, 55215, 152330, 51780, 9858, 29789, 9651, 64478, 9745, 57476"
