alg,C,Cn,Crob,CrobScaled
sgG2,1,238,0.04583,0.5499
sgG2,2,75,0.04752,0.5702
sgG2,3,11,0.06758,0.8109
sgG2,4,9,0.0125,0.15
sgG2,5,13,0.0641,0.7692
sgG2,6,4,0.08333,1
sgG2,7,289,0.04679,0.5615
sgG2,8,41,0.04372,0.5246
sgG2,9,206,0.04774,0.5729
sgG2,10,327,0.04737,0.5685
sgG2,11,11,0.0397,0.4764
sgG2,12,65,0.04313,0.5175
sgG2,13,56,0.04195,0.5034
sgG2,14,292,0.04652,0.5582
sgG2,15,16,0.04597,0.5517
sgG2,16,200,0.04663,0.5596
sgG2,17,112,0.05097,0.6116
sgG2,18,74,0.05674,0.6809
sgG2,19,305,0.04928,0.5913
sgG2,20,118,0.03858,0.4629
sgG2,21,80,0.03807,0.4568
sgG2,22,52,0.05263,0.6315
sgG2,23,4,0.05556,0.6667
sgG2,24,9,0.05556,0.6667
sgG2,25,283,0.04655,0.5586
sgG2,26,11,0.05424,0.6509
sgG2,27,38,0.03608,0.433
sgG2,28,194,0.04407,0.5289
sgG2,29,239,0.047,0.5639
sgG2,30,54,0.04387,0.5265
sgG2,31,6,0.05,0.6
sgG2,32,35,0.04098,0.4918
sgG2,33,90,0.04542,0.545
sgG2,34,10,0.06815,0.8178
sgG2,35,39,0.0561,0.6731
sgG2,36,39,0.0448,0.5377
sgG2,37,4,0.08333,1
sgG2,38,6,0.07444,0.8933
sgG2,39,49,0.0506,0.6071
sgG2,40,264,0.04446,0.5335
sgG2,41,2,0,0
sgG2,42,108,0.04508,0.5409
sgG2,43,320,0.04277,0.5133
sgG2,44,88,0.04394,0.5273
sgG2,45,50,0.04614,0.5536
sgG2,46,106,0.04088,0.4906
sgG2,47,201,0.0436,0.5232
