"GeneID" "MGI" "HumanEntrez" "MouseEntrez" "RatEntrez" "HumanName" "MouseName" "RatName" "Localisation" "Npmid"
"1" 1 "MGI:1277959" 1742 13385 29495 "DLG4" "Dlg4" "Dlg4" "Postsynaptic" 29
"2" 2 "MGI:88256" 815 12322 25400 "CAMK2A" "Camk2a" "Camk2a" "Postsynaptic" 28
"3" 3 "MGI:96568" 9118 226180 24503 "INA" "Ina" "Ina" "Postsynaptic" 26
"4" 4 "MGI:98388" 6711 20742 305614 "SPTBN1" "Sptbn1" "Sptbn1" "Postsynaptic" 25
"5" 5 "MGI:88257" 816 12323 24245 "CAMK2B" "Camk2b" "Camk2b" "Postsynaptic" 26
"6" 6 "MGI:1344351" 1740 23859 64053 "DLG2" "Dlg2" "Dlg2" "Postsynaptic" 26
"7" 7 "MGI:95821" 2904 14812 24410 "GRIN2B" "Grin2b" "Grin2b" "Postsynaptic" 26
"8" 8 "MGI:104560" 4905 18195 60355 "NSF" "Nsf" "Nsf" "Postsynaptic" 25
"9" 9 "MGI:95819" 2902 14810 24408 "GRIN1" "Grin1" "Grin1" "Postsynaptic" 26
"10" 10 "MGI:2137336" 10458 108100 117542 "BAIAP2" "Baiap2" "Baiap2" "Postsynaptic" 24
"11" 11 "MGI:1277955" 8927 12217 29138 "BSN" "Bsn" "Bsn" "Postsynaptic" 24
"12" 12 "MGI:103020" 6854 20965 29179 "SYN2" "Syn2" "Syn2" "Postsynaptic" 23
"13" 13 "MGI:1353495" 291 11739 85333 "SLC25A4" "Slc25a4" "Slc25a4" "Postsynaptic" 24
"14" 14 "MGI:97314" 4741 18040 24588 "NEFM" "Nefm" "Nefm" "Postsynaptic" 23
"15" 15 "MGI:1888986" 1741 53310 58948 "DLG3" "Dlg3" "Dlg3" "Postsynaptic" 24
"16" 16 "MGI:1347345" 9456 26556 29546 "HOMER1" "Homer1" "Homer1" "Postsynaptic" 24
"17" 17 "MGI:95739" 2752 14645 24957 "GLUL" "Glul" "Glul" "Postsynaptic" 24
"18" 18 "MGI:95809" 2891 14800 29627 "GRIA2" "Gria2" "Gria2" "Postsynaptic" 24
"19" 19 "MGI:3039785" 8831 240057 192117 "SYNGAP1" "Syngap1" "Syngap1" "Postsynaptic" 24
"20" 20 "MGI:1195461" 5413 18951 116728 "SEPTIN5" "Septin5" "Septin5" "Postsynaptic" 22
"21" 21 "MGI:97313" 4747 18039 83613 "NEFL" "Nefl" "Nefl" "Postsynaptic" 22
"22" 22 "MGI:3613677" 50944 243961 78957 "SHANK1" "Shank1" "Shank1" "Postsynaptic" 23
"23" 23 "MGI:88437" 1267 12799 25275 "CNP" "Cnp" "Cnp" "Postsynaptic" 22
"24" 24 "MGI:105313" 11113 12704 83620 "CIT" "Cit" "Cit" "Postsynaptic" 23
"25" 25 "MGI:1277961" 5339 18810 64204 "PLEC" "Plec" "Plec" "Postsynaptic" 22
"26" 26 "MGI:98460" 6853 20964 24949 "SYN1" "Syn1" "Syn1" "Postsynaptic" 22
"27" 27 "MGI:95808" 2890 14799 50592 "GRIA1" "Gria1" "Gria1" "Postsynaptic" 23
"28" 28 "MGI:105384" 3312 15481 24468 "HSPA8" "Hspa8" "Hspa8" "Postsynaptic" 23
"29" 29 "MGI:95781" 2782 14688 24400 "GNB1" "Gnb1" "Gnb1" "Postsynaptic" 22
"30" 30 "MGI:1346065" 9229 224997 65040 "DLGAP1" "Dlgap1" "Dlgap1" "Postsynaptic" 23
